Detail Data For Oil Consumption Productwise Trend Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
YearValue,Region,State,OilType,Qty_000Tonne
2020,ER,WEST BENGAL,OTHERS,147.678
2016,ER,WEST BENGAL,ATF/RTF/JET,270.000
2016,ER,WEST BENGAL,BITUMEN,232.000
2016,ER,WEST BENGAL,DIESEL/ HSD,2955.000
2016,ER,WEST BENGAL,FUEL OIL,368.000
2016,ER,WEST BENGAL,SKO (KEROSENE),736.000
2016,ER,WEST BENGAL,LDO,61.000
2016,ER,WEST BENGAL,LPG,1226.000
2016,ER,WEST BENGAL,LSHS/HHS/RFO,0.000
2016,ER,WEST BENGAL,LUBES/GREASES,65.000
2016,ER,WEST BENGAL,NAPHTHA,517.000
2016,ER,WEST BENGAL,OTHERS,108.000
2016,ER,WEST BENGAL,PETROL,655.000
2011,ER,JHARKHAND,ATF/RTF/JET,9.000
2011,ER,JHARKHAND,BITUMEN,94.000
2011,ER,JHARKHAND,DIESEL/ HSD,1256.000
2011,ER,JHARKHAND,FUEL OIL,138.000
2011,ER,JHARKHAND,SKO (KEROSENE),209.000
2011,ER,JHARKHAND,LDO,48.000
2011,ER,JHARKHAND,LPG,134.000
2011,ER,JHARKHAND,LSHS/HHS/RFO,0.000
2011,ER,JHARKHAND,LUBES/GREASES,32.000
2011,ER,JHARKHAND,NAPHTHA,0.000
2011,ER,JHARKHAND,OTHERS,12.000
2011,ER,JHARKHAND,PETROL,217.000
2012,ER,JHARKHAND,ATF/RTF/JET,14.000
2012,ER,JHARKHAND,BITUMEN,104.000
2012,ER,JHARKHAND,DIESEL/ HSD,1298.000
2012,ER,JHARKHAND,FUEL OIL,159.000
2012,ER,JHARKHAND,SKO (KEROSENE),210.000
2012,ER,JHARKHAND,LDO,60.000
2012,ER,JHARKHAND,LPG,155.000
2012,ER,JHARKHAND,LSHS/HHS/RFO,0.000
2012,ER,JHARKHAND,LUBES/GREASES,33.000
2012,ER,JHARKHAND,NAPHTHA,0.000
2012,ER,JHARKHAND,OTHERS,11.000
2012,ER,JHARKHAND,PETROL,222.000
2013,ER,JHARKHAND,ATF/RTF/JET,12.000
2013,ER,JHARKHAND,BITUMEN,149.000
2013,ER,JHARKHAND,DIESEL/ HSD,1361.000
2013,ER,JHARKHAND,FUEL OIL,163.000
2013,ER,JHARKHAND,SKO (KEROSENE),209.000
2013,ER,JHARKHAND,LDO,40.000
2013,ER,JHARKHAND,LPG,161.000
2013,ER,JHARKHAND,LSHS/HHS/RFO,0.000
2013,ER,JHARKHAND,LUBES/GREASES,30.000
2013,ER,JHARKHAND,NAPHTHA,0.000
2013,ER,JHARKHAND,OTHERS,62.000
2013,ER,JHARKHAND,PETROL,235.000
2014,ER,JHARKHAND,ATF/RTF/JET,20.000
2014,ER,JHARKHAND,BITUMEN,140.000
2014,ER,JHARKHAND,DIESEL/ HSD,1461.000
2014,ER,JHARKHAND,FUEL OIL,142.000
2014,ER,JHARKHAND,SKO (KEROSENE),208.000
2014,ER,JHARKHAND,LDO,33.000
2014,ER,JHARKHAND,LPG,175.000
2014,ER,JHARKHAND,LSHS/HHS/RFO,0.000
2014,ER,JHARKHAND,LUBES/GREASES,29.000
2014,ER,JHARKHAND,NAPHTHA,0.000
2014,ER,JHARKHAND,OTHERS,33.000
2014,ER,JHARKHAND,PETROL,266.000
2015,ER,JHARKHAND,ATF/RTF/JET,25.000
2015,ER,JHARKHAND,BITUMEN,134.000
2015,ER,JHARKHAND,DIESEL/ HSD,1554.000
2015,ER,JHARKHAND,FUEL OIL,145.000
2015,ER,JHARKHAND,SKO (KEROSENE),208.000
2015,ER,JHARKHAND,LDO,18.000
2015,ER,JHARKHAND,LPG,196.000
2015,ER,JHARKHAND,LSHS/HHS/RFO,0.000
2015,ER,JHARKHAND,LUBES/GREASES,30.000
2015,ER,JHARKHAND,NAPHTHA,0.000
2015,ER,JHARKHAND,OTHERS,14.000
2015,ER,JHARKHAND,PETROL,303.000
2017,ER,JHARKHAND,LPG,249.830
2017,ER,JHARKHAND,PETROL,375.100
2017,ER,JHARKHAND,NAPHTHA,0.000
2017,ER,JHARKHAND,SKO (KEROSENE),170.530
2017,ER,JHARKHAND,ATF/RTF/JET,32.620
2017,ER,JHARKHAND,DIESEL/ HSD,1633.170
2017,ER,JHARKHAND,LDO,18.100
2017,ER,JHARKHAND,FURNACE OIL,143.910
2017,ER,JHARKHAND,LSHS/HHS/RFO,0.000
2017,ER,JHARKHAND,LUBES/GREASES,32.060
2017,ER,JHARKHAND,BITUMEN,218.410
2017,ER,JHARKHAND,PETROLEUM COKE,27.223
2017,ER,JHARKHAND,OTHERS,19.840
2018,ER,JHARKHAND,LPG,294.060
2018,ER,JHARKHAND,PETROL,425.190
2018,ER,JHARKHAND,NAPHTHA,0.000
2018,ER,JHARKHAND,SKO (KEROSENE),137.230
2018,ER,JHARKHAND,ATF/RTF/JET,46.988
2018,ER,JHARKHAND,DIESEL/ HSD,1766.030
2018,ER,JHARKHAND,LDO,15.440
2018,ER,JHARKHAND,FURNACE OIL,142.790
2018,ER,JHARKHAND,LSHS/HHS/RFO,0.000
2018,ER,JHARKHAND,LUBES/GREASES,33.520
2018,ER,JHARKHAND,BITUMEN,223.460
2018,ER,JHARKHAND,PETROLEUM COKE,81.779
2018,ER,JHARKHAND,OTHERS,17.788
2019,ER,JHARKHAND,LPG,340.611
2019,ER,JHARKHAND,PETROL,487.034
2019,ER,JHARKHAND,NAPHTHA,0.555
2019,ER,JHARKHAND,SKO (KEROSENE),117.032
2019,ER,JHARKHAND,ATF/RTF/JET,49.494
2019,ER,JHARKHAND,DIESEL/ HSD,1901.406
2019,ER,JHARKHAND,LDO,19.080
2019,ER,JHARKHAND,FURNACE OIL,141.484
2019,ER,JHARKHAND,LSHS/HHS/RFO,0.000
2019,ER,JHARKHAND,LUBES/GREASES,33.321
2019,ER,JHARKHAND,BITUMEN,212.513
2019,ER,JHARKHAND,PETROLEUM COKE,96.063
2019,ER,JHARKHAND,OTHERS,10.546
2020,ER,JHARKHAND,LPG,378.026
2020,ER,JHARKHAND,PETROL,526.454
2020,ER,JHARKHAND,NAPHTHA,1.474
2020,ER,JHARKHAND,SKO (KEROSENE),83.512
2020,ER,JHARKHAND,ATF/RTF/JET,50.976
2020,ER,JHARKHAND,DIESEL/ HSD,1968.411
2020,ER,JHARKHAND,LDO,18.886
2020,ER,JHARKHAND,FURNACE OIL,112.186
2020,ER,JHARKHAND,LSHS/HHS/RFO,0.000
2020,ER,JHARKHAND,LUBES/GREASES,30.541
2020,ER,JHARKHAND,BITUMEN,170.158
2020,ER,JHARKHAND,PETROLEUM COKE,65.247
2020,ER,JHARKHAND,OTHERS,8.744
2016,ER,JHARKHAND,ATF/RTF/JET,23.000
2016,ER,JHARKHAND,BITUMEN,177.000
2016,ER,JHARKHAND,DIESEL/ HSD,1602.000
2016,ER,JHARKHAND,FUEL OIL,135.000
2016,ER,JHARKHAND,SKO (KEROSENE),203.000
2016,ER,JHARKHAND,LDO,11.000
2016,ER,JHARKHAND,LPG,216.000
2016,ER,JHARKHAND,LSHS/HHS/RFO,0.000
2016,ER,JHARKHAND,LUBES/GREASES,31.000
2016,ER,JHARKHAND,NAPHTHA,0.000
2016,ER,JHARKHAND,OTHERS,21.000
2016,ER,JHARKHAND,PETROL,349.000
2011,ER,BIHAR,ATF/RTF/JET,9.000
2011,ER,BIHAR,BITUMEN,206.000
2011,ER,BIHAR,DIESEL/ HSD,1854.000
2011,ER,BIHAR,FUEL OIL,28.000
2011,ER,BIHAR,SKO (KEROSENE),638.000
2011,ER,BIHAR,LDO,3.000
2011,ER,BIHAR,LPG,370.000
2011,ER,BIHAR,LSHS/HHS/RFO,0.000
2011,ER,BIHAR,LUBES/GREASES,11.000
2011,ER,BIHAR,NAPHTHA,0.000
2011,ER,BIHAR,OTHERS,195.000
2011,ER,BIHAR,PETROL,271.000
2012,ER,BIHAR,ATF/RTF/JET,12.000
2012,ER,BIHAR,BITUMEN,184.000
2012,ER,BIHAR,DIESEL/ HSD,1951.000
2012,ER,BIHAR,FUEL OIL,19.000
2012,ER,BIHAR,SKO (KEROSENE),635.000
2012,ER,BIHAR,LDO,2.000
2012,ER,BIHAR,LPG,441.000
2012,ER,BIHAR,LSHS/HHS/RFO,0.000
2012,ER,BIHAR,LUBES/GREASES,11.000
2012,ER,BIHAR,NAPHTHA,0.000
2012,ER,BIHAR,OTHERS,171.000
2012,ER,BIHAR,PETROL,297.000
2013,ER,BIHAR,ATF/RTF/JET,12.000
2013,ER,BIHAR,BITUMEN,151.000
2013,ER,BIHAR,DIESEL/ HSD,2030.000
2013,ER,BIHAR,FUEL OIL,13.000
2013,ER,BIHAR,SKO (KEROSENE),634.000
2013,ER,BIHAR,LDO,2.000
2013,ER,BIHAR,LPG,474.000
2013,ER,BIHAR,LSHS/HHS/RFO,0.000
2013,ER,BIHAR,LUBES/GREASES,13.000
2013,ER,BIHAR,NAPHTHA,0.000
2013,ER,BIHAR,OTHERS,133.000
2013,ER,BIHAR,PETROL,322.000
2014,ER,BIHAR,ATF/RTF/JET,11.000
2014,ER,BIHAR,BITUMEN,187.000
2014,ER,BIHAR,DIESEL/ HSD,2024.000
2014,ER,BIHAR,FUEL OIL,16.000
2014,ER,BIHAR,SKO (KEROSENE),627.000
2014,ER,BIHAR,LDO,18.000
2014,ER,BIHAR,LPG,553.000
2014,ER,BIHAR,LSHS/HHS/RFO,0.000
2014,ER,BIHAR,LUBES/GREASES,15.000
2014,ER,BIHAR,NAPHTHA,0.000
2014,ER,BIHAR,OTHERS,146.000
2014,ER,BIHAR,PETROL,375.000
2015,ER,BIHAR,ATF/RTF/JET,20.000
2015,ER,BIHAR,BITUMEN,170.000
2015,ER,BIHAR,DIESEL/ HSD,1981.000
2015,ER,BIHAR,FUEL OIL,9.000
2015,ER,BIHAR,SKO (KEROSENE),626.000
2015,ER,BIHAR,LDO,21.000
2015,ER,BIHAR,LPG,666.000
2015,ER,BIHAR,LSHS/HHS/RFO,0.000
2015,ER,BIHAR,LUBES/GREASES,11.000
2015,ER,BIHAR,NAPHTHA,0.000
2015,ER,BIHAR,OTHERS,172.000
2015,ER,BIHAR,PETROL,432.000
2017,ER,BIHAR,LPG,943.930
2017,ER,BIHAR,PETROL,610.140
2017,ER,BIHAR,NAPHTHA,0.000
2017,ER,BIHAR,SKO (KEROSENE),549.040
2017,ER,BIHAR,ATF/RTF/JET,25.730
2017,ER,BIHAR,DIESEL/ HSD,2181.276
2017,ER,BIHAR,LDO,20.670
2017,ER,BIHAR,FURNACE OIL,18.740
2017,ER,BIHAR,LSHS/HHS/RFO,0.000
2017,ER,BIHAR,LUBES/GREASES,13.290
2017,ER,BIHAR,BITUMEN,219.070
2017,ER,BIHAR,PETROLEUM COKE,168.046
2017,ER,BIHAR,OTHERS,8.595
2018,ER,BIHAR,LPG,1127.600
2018,ER,BIHAR,PETROL,697.030
2018,ER,BIHAR,NAPHTHA,0.000
2018,ER,BIHAR,SKO (KEROSENE),381.690
2018,ER,BIHAR,ATF/RTF/JET,34.012
2018,ER,BIHAR,DIESEL/ HSD,2278.640
2018,ER,BIHAR,LDO,30.460
2018,ER,BIHAR,FURNACE OIL,22.940
2018,ER,BIHAR,LSHS/HHS/RFO,0.000
2018,ER,BIHAR,LUBES/GREASES,13.200
2018,ER,BIHAR,BITUMEN,192.270
2018,ER,BIHAR,PETROLEUM COKE,188.600
2018,ER,BIHAR,OTHERS,5.368
2019,ER,BIHAR,LPG,1234.835
2019,ER,BIHAR,PETROL,793.003
2019,ER,BIHAR,NAPHTHA,0.000
2019,ER,BIHAR,SKO (KEROSENE),256.592
2019,ER,BIHAR,ATF/RTF/JET,38.294
2019,ER,BIHAR,DIESEL/ HSD,2441.780
2019,ER,BIHAR,LDO,23.683
2019,ER,BIHAR,FURNACE OIL,27.226
2019,ER,BIHAR,LSHS/HHS/RFO,0.000
2019,ER,BIHAR,LUBES/GREASES,14.487
2019,ER,BIHAR,BITUMEN,217.515
2019,ER,BIHAR,PETROLEUM COKE,188.573
2019,ER,BIHAR,OTHERS,6.354
2020,ER,BIHAR,LPG,1404.387
2020,ER,BIHAR,PETROL,852.052
2020,ER,BIHAR,NAPHTHA,0.000
2020,ER,BIHAR,SKO (KEROSENE),189.935
2020,ER,BIHAR,ATF/RTF/JET,38.463
2020,ER,BIHAR,DIESEL/ HSD,2366.717
2020,ER,BIHAR,LDO,42.831
2020,ER,BIHAR,FURNACE OIL,28.596
2020,ER,BIHAR,LSHS/HHS/RFO,0.000
2020,ER,BIHAR,LUBES/GREASES,13.693
2020,ER,BIHAR,BITUMEN,260.095
2020,ER,BIHAR,PETROLEUM COKE,194.419
2020,ER,BIHAR,OTHERS,5.508
2016,ER,BIHAR,ATF/RTF/JET,23.000
2016,ER,BIHAR,BITUMEN,216.000
2016,ER,BIHAR,DIESEL/ HSD,2255.000
2016,ER,BIHAR,FUEL OIL,16.000
2016,ER,BIHAR,SKO (KEROSENE),619.000
2016,ER,BIHAR,LDO,13.000
2016,ER,BIHAR,LPG,769.000
2016,ER,BIHAR,LSHS/HHS/RFO,0.000
2016,ER,BIHAR,LUBES/GREASES,12.000
2016,ER,BIHAR,NAPHTHA,0.000
2016,ER,BIHAR,OTHERS,165.000
2016,ER,BIHAR,PETROL,545.000
2011,WR,MADHYA PRADESH,ATF/RTF/JET,41.000
2011,WR,MADHYA PRADESH,BITUMEN,238.000
2011,WR,MADHYA PRADESH,DIESEL/ HSD,2513.000
2011,WR,MADHYA PRADESH,FUEL OIL,157.000
2011,WR,MADHYA PRADESH,SKO (KEROSENE),482.000
2011,WR,MADHYA PRADESH,LDO,11.000
2011,WR,MADHYA PRADESH,LPG,557.000
2011,WR,MADHYA PRADESH,LSHS/HHS/RFO,0.000
2011,WR,MADHYA PRADESH,LUBES/GREASES,33.000
2011,WR,MADHYA PRADESH,NAPHTHA,23.000
2011,WR,MADHYA PRADESH,OTHERS,362.000
2011,WR,MADHYA PRADESH,PETROL,620.000
2012,WR,MADHYA PRADESH,ATF/RTF/JET,49.000
2012,WR,MADHYA PRADESH,BITUMEN,199.000
2012,WR,MADHYA PRADESH,DIESEL/ HSD,2639.000
2012,WR,MADHYA PRADESH,FUEL OIL,144.000
2012,WR,MADHYA PRADESH,SKO (KEROSENE),489.000
2012,WR,MADHYA PRADESH,LDO,11.000
2012,WR,MADHYA PRADESH,LPG,606.000
2012,WR,MADHYA PRADESH,LSHS/HHS/RFO,0.000
2012,WR,MADHYA PRADESH,LUBES/GREASES,34.000
2012,WR,MADHYA PRADESH,NAPHTHA,1.000
2012,WR,MADHYA PRADESH,OTHERS,373.000
2012,WR,MADHYA PRADESH,PETROL,652.000
2013,WR,MADHYA PRADESH,ATF/RTF/JET,45.000
2013,WR,MADHYA PRADESH,BITUMEN,259.000
2013,WR,MADHYA PRADESH,DIESEL/ HSD,2838.000
2013,WR,MADHYA PRADESH,FUEL OIL,141.000
2013,WR,MADHYA PRADESH,SKO (KEROSENE),488.000
2013,WR,MADHYA PRADESH,LDO,30.000
2013,WR,MADHYA PRADESH,LPG,613.000
2013,WR,MADHYA PRADESH,LSHS/HHS/RFO,0.000
2013,WR,MADHYA PRADESH,LUBES/GREASES,36.000
2013,WR,MADHYA PRADESH,NAPHTHA,1.000
2013,WR,MADHYA PRADESH,OTHERS,688.000
2013,WR,MADHYA PRADESH,PETROL,703.000
2014,WR,MADHYA PRADESH,ATF/RTF/JET,51.000
2014,WR,MADHYA PRADESH,BITUMEN,252.000
2014,WR,MADHYA PRADESH,DIESEL/ HSD,2914.000
2014,WR,MADHYA PRADESH,FUEL OIL,141.000
2014,WR,MADHYA PRADESH,SKO (KEROSENE),482.000
2014,WR,MADHYA PRADESH,LDO,31.000
2014,WR,MADHYA PRADESH,LPG,643.000
2014,WR,MADHYA PRADESH,LSHS/HHS/RFO,0.000
2014,WR,MADHYA PRADESH,LUBES/GREASES,38.000
2014,WR,MADHYA PRADESH,NAPHTHA,0.000
2014,WR,MADHYA PRADESH,OTHERS,731.000
2014,WR,MADHYA PRADESH,PETROL,783.000
2015,WR,MADHYA PRADESH,ATF/RTF/JET,67.000
2015,WR,MADHYA PRADESH,BITUMEN,270.000
2015,WR,MADHYA PRADESH,DIESEL/ HSD,2966.000
2015,WR,MADHYA PRADESH,FUEL OIL,132.000
2015,WR,MADHYA PRADESH,SKO (KEROSENE),458.000
2015,WR,MADHYA PRADESH,LDO,27.000
2015,WR,MADHYA PRADESH,LPG,709.000
2015,WR,MADHYA PRADESH,LSHS/HHS/RFO,0.000
2015,WR,MADHYA PRADESH,LUBES/GREASES,37.000
2015,WR,MADHYA PRADESH,NAPHTHA,0.000
2015,WR,MADHYA PRADESH,OTHERS,869.000
2015,WR,MADHYA PRADESH,PETROL,898.000
2017,WR,MADHYA PRADESH,LPG,838.760
2017,WR,MADHYA PRADESH,PETROL,1109.490
2017,WR,MADHYA PRADESH,NAPHTHA,0.000
2017,WR,MADHYA PRADESH,SKO (KEROSENE),333.530
2017,WR,MADHYA PRADESH,ATF/RTF/JET,77.970
2017,WR,MADHYA PRADESH,DIESEL/ HSD,3211.900
2017,WR,MADHYA PRADESH,LDO,13.110
2017,WR,MADHYA PRADESH,FURNACE OIL,109.540
2017,WR,MADHYA PRADESH,LSHS/HHS/RFO,0.000
2017,WR,MADHYA PRADESH,LUBES/GREASES,37.640
2017,WR,MADHYA PRADESH,BITUMEN,276.540
2017,WR,MADHYA PRADESH,PETROLEUM COKE,825.203
2017,WR,MADHYA PRADESH,OTHERS,128.737
2018,WR,MADHYA PRADESH,LPG,914.320
2018,WR,MADHYA PRADESH,PETROL,1257.390
2018,WR,MADHYA PRADESH,NAPHTHA,0.000
2018,WR,MADHYA PRADESH,SKO (KEROSENE),262.500
2018,WR,MADHYA PRADESH,ATF/RTF/JET,63.317
2018,WR,MADHYA PRADESH,DIESEL/ HSD,3563.030
2018,WR,MADHYA PRADESH,LDO,23.190
2018,WR,MADHYA PRADESH,FURNACE OIL,111.300
2018,WR,MADHYA PRADESH,LSHS/HHS/RFO,0.000
2018,WR,MADHYA PRADESH,LUBES/GREASES,39.490
2018,WR,MADHYA PRADESH,BITUMEN,262.110
2018,WR,MADHYA PRADESH,PETROLEUM COKE,768.956
2018,WR,MADHYA PRADESH,OTHERS,132.188
2019,WR,MADHYA PRADESH,LPG,995.350
2019,WR,MADHYA PRADESH,PETROL,1372.129
2019,WR,MADHYA PRADESH,NAPHTHA,0.000
2019,WR,MADHYA PRADESH,SKO (KEROSENE),253.985
2019,WR,MADHYA PRADESH,ATF/RTF/JET,65.342
2019,WR,MADHYA PRADESH,DIESEL/ HSD,3797.464
2019,WR,MADHYA PRADESH,LDO,33.997
2019,WR,MADHYA PRADESH,FURNACE OIL,120.943
2019,WR,MADHYA PRADESH,LSHS/HHS/RFO,0.070
2019,WR,MADHYA PRADESH,LUBES/GREASES,44.767
2019,WR,MADHYA PRADESH,BITUMEN,308.795
2019,WR,MADHYA PRADESH,PETROLEUM COKE,869.496
2019,WR,MADHYA PRADESH,OTHERS,143.623
2020,WR,MADHYA PRADESH,LPG,1068.206
2020,WR,MADHYA PRADESH,PETROL,1463.686
2020,WR,MADHYA PRADESH,NAPHTHA,1.195
2020,WR,MADHYA PRADESH,SKO (KEROSENE),185.926
2020,WR,MADHYA PRADESH,ATF/RTF/JET,78.370
2020,WR,MADHYA PRADESH,DIESEL/ HSD,3654.898
2020,WR,MADHYA PRADESH,LDO,55.234
2020,WR,MADHYA PRADESH,FURNACE OIL,93.843
2020,WR,MADHYA PRADESH,LSHS/HHS/RFO,0.000
2020,WR,MADHYA PRADESH,LUBES/GREASES,42.575
2020,WR,MADHYA PRADESH,BITUMEN,227.888
2020,WR,MADHYA PRADESH,PETROLEUM COKE,827.652
2020,WR,MADHYA PRADESH,OTHERS,165.971
2016,WR,MADHYA PRADESH,ATF/RTF/JET,77.000
2016,WR,MADHYA PRADESH,BITUMEN,264.000
