Detail Data For Oil Supply (Products) Export by Oil Type - Quantity & Amount Having Year : ALL
.
DistillateType,OilType,YearValue,Qty_000Tonne,Amount_RsCrore
MIDDLE DISTILLATES,ATF/RTF/JET,2018,7183.000,25348.000
MIDDLE DISTILLATES,ATF/RTF/JET,2019,7389.000,34030.000
MIDDLE DISTILLATES,ATF/RTF/JET,2020,6906.000,28458.000
MIDDLE DISTILLATES,DIESEL/ HSD,2006,8504.000,18654.000
MIDDLE DISTILLATES,DIESEL/ HSD,2007,11369.000,29198.000
MIDDLE DISTILLATES,DIESEL/ HSD,2008,14308.000,40871.000
MIDDLE DISTILLATES,DIESEL/ HSD,2009,14720.000,49670.000
MIDDLE DISTILLATES,DIESEL/ HSD,2010,18451.000,50930.000
MIDDLE DISTILLATES,DIESEL/ HSD,2011,20335.000,69300.000
MIDDLE DISTILLATES,DIESEL/ HSD,2012,20407.000,104572.000
MIDDLE DISTILLATES,DIESEL/ HSD,2013,22464.000,115554.000
MIDDLE DISTILLATES,DIESEL/ HSD,2014,26469.000,148138.000
MIDDLE DISTILLATES,DIESEL/ HSD,2015,25559.000,115149.000
MIDDLE DISTILLATES,DIESEL/ HSD,2016,24035.000,66486.000
MIDDLE DISTILLATES,DIESEL/ HSD,2017,27453.000,80256.000
MIDDLE DISTILLATES,DIESEL/ HSD,2018,29735.000,99492.000
MIDDLE DISTILLATES,DIESEL/ HSD,2019,27931.000,123882.000
MIDDLE DISTILLATES,DIESEL/ HSD,2020,31649.000,123906.000
MIDDLE DISTILLATES,LDO,2009,0.000,1.000
MIDDLE DISTILLATES,LDO,2010,41.000,87.000
MIDDLE DISTILLATES,LDO,2011,98.000,260.000
MIDDLE DISTILLATES,LDO,2012,84.000,331.000
MIDDLE DISTILLATES,LDO,2013,9.000,42.000
MIDDLE DISTILLATES,LDO,2014,30.000,135.000
MIDDLE DISTILLATES,LDO,2015,6.000,28.000
HEAVY ENDS,BITUMEN,2009,45.000,64.000
HEAVY ENDS,BITUMEN,2010,31.000,67.000
HEAVY ENDS,BITUMEN,2011,56.000,124.000
HEAVY ENDS,BITUMEN,2012,5.000,27.000
HEAVY ENDS,BITUMEN,2013,87.000,281.000
HEAVY ENDS,BITUMEN,2014,95.000,321.000
HEAVY ENDS,BITUMEN,2015,94.000,245.000
HEAVY ENDS,BITUMEN,2016,101.000,176.000
HEAVY ENDS,BITUMEN,2017,38.000,37.000
HEAVY ENDS,BITUMEN,2018,64.000,119.000
HEAVY ENDS,BITUMEN,2019,23.000,72.000
HEAVY ENDS,BITUMEN,2020,25.000,89.000
HEAVY ENDS,OTHERS,2006,2657.000,4810.000
HEAVY ENDS,OTHERS,2007,2556.000,4149.000
HEAVY ENDS,OTHERS,2008,3476.000,7680.000
HEAVY ENDS,OTHERS,2009,905.000,2575.000
HEAVY ENDS,OTHERS,2010,2839.000,7441.000
HEAVY ENDS,OTHERS,2011,2927.000,8332.000
HEAVY ENDS,OTHERS,2012,2988.000,11360.000
HEAVY ENDS,OTHERS,2013,4675.000,17880.000
HEAVY ENDS,OTHERS,2014,5535.000,23169.000
HEAVY ENDS,OTHERS,2015,4653.000,18267.000
HEAVY ENDS,OTHERS,2016,3753.000,9054.000
HEAVY ENDS,OTHERS,2017,4017.000,9514.000
HEAVY ENDS,OTHERS,2018,3949.000,9796.000
HEAVY ENDS,OTHERS,2019,3264.000,11684.000
HEAVY ENDS,OTHERS,2020,3412.000,9326.000
HEAVY ENDS,FUEL OIL,2006,1815.000,2268.000
HEAVY ENDS,FUEL OIL,2007,3759.000,4988.000
HEAVY ENDS,FUEL OIL,2008,4718.000,6811.000
HEAVY ENDS,FUEL OIL,2009,6207.000,12297.000
HEAVY ENDS,FUEL OIL,2010,5186.000,10545.000
HEAVY ENDS,FUEL OIL,2011,6734.000,15098.000
HEAVY ENDS,FUEL OIL,2012,7895.000,25576.000
HEAVY ENDS,FUEL OIL,2013,5922.000,20415.000
HEAVY ENDS,FUEL OIL,2014,6159.000,22407.000
HEAVY ENDS,FUEL OIL,2015,4762.000,14251.000
HEAVY ENDS,FUEL OIL,2016,2806.000,4471.000
HEAVY ENDS,FUEL OIL,2017,2248.000,3930.000
HEAVY ENDS,FUEL OIL,2018,2525.000,5291.000
HEAVY ENDS,FUEL OIL,2019,2197.000,6537.000
HEAVY ENDS,FUEL OIL,2020,1434.000,3579.000
HEAVY ENDS,LUBES/GREASES,2009,139.000,687.000
HEAVY ENDS,LUBES/GREASES,2010,28.000,121.000
HEAVY ENDS,LUBES/GREASES,2011,29.000,154.000
HEAVY ENDS,LUBES/GREASES,2012,27.000,181.000
HEAVY ENDS,LUBES/GREASES,2013,59.000,381.000
HEAVY ENDS,LUBES/GREASES,2014,20.000,138.000
HEAVY ENDS,LUBES/GREASES,2015,7.000,83.000
HEAVY ENDS,LUBES/GREASES,2016,17.000,127.000
HEAVY ENDS,LUBES/GREASES,2017,13.000,104.000
HEAVY ENDS,LUBES/GREASES,2018,13.000,118.000
HEAVY ENDS,LUBES/GREASES,2019,8.000,106.000
HEAVY ENDS,LUBES/GREASES,2020,8.000,96.000
