Detail Data For Oil Trade Monthly - Petroleum Products Export  Having Year : ALL
.
YearValue,MonthValue,OilType,Qty_000Tonne
2020,10,LDO,0.000
2020,11,LDO,0.000
2020,12,LDO,0.000
2021,1,LDO,0.000
2021,2,LDO,0.000
2021,3,LDO,0.000
2021,4,LDO,0.000
2021,5,LDO,0.000
2019,4,BITUMEN,3.770
2019,5,BITUMEN,3.500
2020,4,BITUMEN,0.000
2020,5,BITUMEN,0.000
2020,6,BITUMEN,0.000
2020,7,BITUMEN,0.000
2019,6,BITUMEN,0.758
2019,7,BITUMEN,0.933
2019,8,BITUMEN,4.304
2019,9,BITUMEN,1.990
2019,10,BITUMEN,1.942
2019,11,BITUMEN,2.039
2019,12,BITUMEN,0.000
2020,1,BITUMEN,4.077
2020,2,BITUMEN,2.039
2020,3,BITUMEN,0.000
2020,8,BITUMEN,0.000
2020,9,BITUMEN,2.039
2020,10,BITUMEN,2.039
2020,11,BITUMEN,0.056
2020,12,BITUMEN,2.278
2021,1,BITUMEN,0.078
2021,2,BITUMEN,0.023
2021,3,BITUMEN,0.431
2021,4,BITUMEN,0.155
2021,5,BITUMEN,0.000
2019,4,PETROLEUM COKE,50.390
2019,5,PETROLEUM COKE,72.820
2020,4,PETROLEUM COKE,59.400
2020,5,PETROLEUM COKE,207.070
2020,6,PETROLEUM COKE,241.900
2020,7,PETROLEUM COKE,54.060
2020,8,PETROLEUM COKE,6.824
2020,9,PETROLEUM COKE,5.557
2020,10,PETROLEUM COKE,0.134
2020,11,PETROLEUM COKE,0.233
2020,12,PETROLEUM COKE,0.352
2021,1,PETROLEUM COKE,0.768
2021,2,PETROLEUM COKE,0.802
2021,3,PETROLEUM COKE,0.227
2021,4,PETROLEUM COKE,0.753
2021,5,PETROLEUM COKE,0.114
2019,4,OTHERS,70.620
2019,5,OTHERS,295.720
2020,4,OTHERS,304.270
2020,5,OTHERS,421.040
2020,6,OTHERS,224.430
2020,7,OTHERS,158.950
2019,6,OTHERS,281.612
2019,7,OTHERS,222.385
2019,8,OTHERS,608.244
2019,9,OTHERS,218.675
2019,10,OTHERS,163.030
2019,11,OTHERS,220.816
2019,12,OTHERS,285.800
2020,1,OTHERS,307.505
2020,2,OTHERS,254.991
2020,3,OTHERS,359.121
2020,8,OTHERS,196.798
2020,9,OTHERS,198.018
2020,10,OTHERS,87.300
2020,11,OTHERS,138.607
2020,12,OTHERS,67.331
2021,1,OTHERS,151.132
2021,2,OTHERS,49.976
2021,3,OTHERS,256.190
2021,4,OTHERS,234.568
2021,5,OTHERS,259.713
2019,4,FUEL OIL,54.560
2019,5,FUEL OIL,98.790
2020,4,FUEL OIL,178.270
2020,5,FUEL OIL,249.940
2020,6,FUEL OIL,136.510
2020,7,FUEL OIL,77.720
2019,6,FUEL OIL,127.029
2019,7,FUEL OIL,151.834
2019,8,FUEL OIL,171.400
2019,9,FUEL OIL,364.518
2019,10,FUEL OIL,156.979
2019,11,FUEL OIL,151.697
2019,12,FUEL OIL,33.060
2020,1,FUEL OIL,0.113
2020,2,FUEL OIL,72.234
2020,3,FUEL OIL,51.982
2020,8,FUEL OIL,0.000
2020,9,FUEL OIL,21.254
2020,10,FUEL OIL,81.623
2020,11,FUEL OIL,28.282
2020,12,FUEL OIL,48.132
2021,1,FUEL OIL,111.554
2021,2,FUEL OIL,74.669
2021,3,FUEL OIL,200.323
2021,4,FUEL OIL,80.000
2021,5,FUEL OIL,231.916
2019,4,MOTOR SPIRIT (PETROL),1001.860
2019,5,MOTOR SPIRIT (PETROL),1434.250
2020,4,MOTOR SPIRIT (PETROL),932.040
2020,5,MOTOR SPIRIT (PETROL),1108.450
2020,6,MOTOR SPIRIT (PETROL),985.330
2020,7,MOTOR SPIRIT (PETROL),1012.420
2019,6,MOTOR SPIRIT (PETROL),841.002
2019,7,MOTOR SPIRIT (PETROL),1155.976
2019,8,MOTOR SPIRIT (PETROL),904.244
2019,9,MOTOR SPIRIT (PETROL),1133.139
2019,10,MOTOR SPIRIT (PETROL),993.789
2019,11,MOTOR SPIRIT (PETROL),992.848
2019,12,MOTOR SPIRIT (PETROL),1329.460
2020,1,MOTOR SPIRIT (PETROL),812.840
2020,2,MOTOR SPIRIT (PETROL),1027.334
2020,3,MOTOR SPIRIT (PETROL),1141.137
2020,8,MOTOR SPIRIT (PETROL),874.325
2020,9,MOTOR SPIRIT (PETROL),984.341
2020,10,MOTOR SPIRIT (PETROL),797.090
2020,11,MOTOR SPIRIT (PETROL),894.803
2020,12,MOTOR SPIRIT (PETROL),953.539
2021,1,MOTOR SPIRIT (PETROL),889.627
2021,2,MOTOR SPIRIT (PETROL),883.653
2021,3,MOTOR SPIRIT (PETROL),1290.236
2021,4,MOTOR SPIRIT (PETROL),933.655
2021,5,MOTOR SPIRIT (PETROL),1333.915
2019,4,LUBES/GREASES,0.070
2019,5,LUBES/GREASES,0.530
2020,4,LUBES/GREASES,0.000
2020,5,LUBES/GREASES,2.740
2020,6,LUBES/GREASES,4.800
2020,7,LUBES/GREASES,3.290
2019,6,LUBES/GREASES,0.790
2019,7,LUBES/GREASES,0.752
2019,8,LUBES/GREASES,0.683
2019,9,LUBES/GREASES,0.826
2019,10,LUBES/GREASES,0.730
2019,11,LUBES/GREASES,0.843
2019,12,LUBES/GREASES,0.600
2020,1,LUBES/GREASES,0.791
2020,2,LUBES/GREASES,0.787
2020,3,LUBES/GREASES,0.378
2020,8,LUBES/GREASES,0.456
2020,9,LUBES/GREASES,0.564
2020,10,LUBES/GREASES,0.564
2020,11,LUBES/GREASES,0.452
2020,12,LUBES/GREASES,0.390
2021,1,LUBES/GREASES,0.393
2021,2,LUBES/GREASES,0.530
2021,3,LUBES/GREASES,0.688
2021,4,LUBES/GREASES,0.234
2021,5,LUBES/GREASES,0.048
