Detail Data For Oil Supply Monthly - Petroleum Products  Having Year : ALL
.
YearValue,MonthValue,OilType,Qty_000Tonne
2019,7,SKO (KEROSENE),296.162
2019,8,SKO (KEROSENE),267.072
2019,9,SKO (KEROSENE),210.376
2019,10,SKO (KEROSENE),203.898
2019,11,SKO (KEROSENE),231.660
2019,12,SKO (KEROSENE),217.093
2020,1,SKO (KEROSENE),273.922
2020,2,SKO (KEROSENE),275.624
2020,3,SKO (KEROSENE),301.253
2020,8,SKO (KEROSENE),201.936
2020,9,SKO (KEROSENE),183.605
2020,10,SKO (KEROSENE),172.845
2020,11,SKO (KEROSENE),157.785
2020,12,SKO (KEROSENE),180.020
2021,1,SKO (KEROSENE),219.537
2021,2,SKO (KEROSENE),139.039
2021,3,SKO (KEROSENE),196.778
2021,4,SKO (KEROSENE),150.339
2021,5,SKO (KEROSENE),166.198
2021,6,SKO (KEROSENE),108.501
2019,4,ATF/RTF/JET,1243.000
2019,5,ATF/RTF/JET,1266.000
2020,4,ATF/RTF/JET,523.200
2020,5,ATF/RTF/JET,371.670
2020,6,ATF/RTF/JET,358.670
2020,7,ATF/RTF/JET,466.730
2019,6,ATF/RTF/JET,1178.794
2019,7,ATF/RTF/JET,1180.046
2019,8,ATF/RTF/JET,1308.569
2019,9,ATF/RTF/JET,1251.967
2019,10,ATF/RTF/JET,1442.183
2019,11,ATF/RTF/JET,1338.507
2019,12,ATF/RTF/JET,1294.550
2020,1,ATF/RTF/JET,1333.323
2020,2,ATF/RTF/JET,1269.725
2020,3,ATF/RTF/JET,1131.062
2020,8,ATF/RTF/JET,438.674
2020,9,ATF/RTF/JET,500.577
2020,10,ATF/RTF/JET,547.729
2020,11,ATF/RTF/JET,728.980
2020,12,ATF/RTF/JET,728.263
2021,1,ATF/RTF/JET,766.642
2021,2,ATF/RTF/JET,779.576
2021,3,ATF/RTF/JET,874.562
2021,4,ATF/RTF/JET,785.578
2021,5,ATF/RTF/JET,742.467
2021,6,ATF/RTF/JET,672.289
2019,4,DIESEL/ HSD,9060.000
2019,5,DIESEL/ HSD,9357.000
2020,4,DIESEL/ HSD,6389.920
2020,5,DIESEL/ HSD,7381.810
2020,6,DIESEL/ HSD,8007.310
2020,7,DIESEL/ HSD,8529.770
2019,6,DIESEL/ HSD,8908.558
2019,7,DIESEL/ HSD,9990.796
2019,8,DIESEL/ HSD,9354.614
2019,9,DIESEL/ HSD,8198.040
2019,10,DIESEL/ HSD,9608.687
2019,11,DIESEL/ HSD,9436.789
2019,12,DIESEL/ HSD,9165.098
2020,1,DIESEL/ HSD,9417.189
2020,2,DIESEL/ HSD,8952.586
2020,3,DIESEL/ HSD,9753.654
2020,8,DIESEL/ HSD,7516.088
2020,9,DIESEL/ HSD,7593.889
2020,10,DIESEL/ HSD,8007.395
2020,11,DIESEL/ HSD,9512.058
2020,12,DIESEL/ HSD,9468.050
2021,1,DIESEL/ HSD,9738.912
2021,2,DIESEL/ HSD,8388.682
2021,3,DIESEL/ HSD,9554.752
2021,4,DIESEL/ HSD,8766.229
2021,5,DIESEL/ HSD,8339.848
2021,6,DIESEL/ HSD,8304.421
2019,4,LDO,46.000
2019,5,LDO,61.000
2020,4,LDO,47.050
2020,5,LDO,34.620
2020,6,LDO,68.130
2020,7,LDO,82.130
2019,6,LDO,46.702
2019,7,LDO,38.295
2019,8,LDO,57.702
2019,9,LDO,69.059
2019,10,LDO,69.588
2019,11,LDO,74.590
2019,12,LDO,16.750
2020,1,LDO,58.815
2020,2,LDO,51.293
2020,3,LDO,46.494
2020,8,LDO,53.769
2020,9,LDO,59.634
2020,10,LDO,68.040
2020,11,LDO,71.859
2020,12,LDO,85.060
2021,1,LDO,101.249
2021,2,LDO,64.301
2021,3,LDO,82.620
2021,4,LDO,63.790
2021,5,LDO,64.232
2021,6,LDO,78.395
2019,4,FURNACE OIL,651.000
2019,5,FURNACE OIL,753.000
2020,4,FURNACE OIL,576.930
2020,5,FURNACE OIL,641.280
2020,6,FURNACE OIL,620.040
2020,7,FURNACE OIL,527.940
2019,6,FURNACE OIL,569.618
2019,7,FURNACE OIL,836.139
2019,8,FURNACE OIL,974.285
2019,9,FURNACE OIL,749.532
2019,10,FURNACE OIL,667.272
2019,11,FURNACE OIL,626.406
2019,12,FURNACE OIL,473.011
2020,1,FURNACE OIL,609.265
2020,2,FURNACE OIL,719.764
2020,3,FURNACE OIL,660.461
2020,8,FURNACE OIL,522.201
2020,9,FURNACE OIL,491.146
2020,10,FURNACE OIL,496.356
2020,11,FURNACE OIL,483.837
2020,12,FURNACE OIL,524.856
2021,1,FURNACE OIL,575.103
2021,2,FURNACE OIL,511.251
2021,3,FURNACE OIL,616.707
2021,4,FURNACE OIL,441.692
2021,5,FURNACE OIL,633.303
2021,6,FURNACE OIL,684.082
2019,4,LSHS/HHS/RFO,32.000
2019,5,LSHS/HHS/RFO,36.000
2020,4,LSHS/HHS/RFO,66.230
2020,5,LSHS/HHS/RFO,57.190
2020,6,LSHS/HHS/RFO,46.150
2020,7,LSHS/HHS/RFO,61.380
2019,6,LSHS/HHS/RFO,27.969
2019,7,LSHS/HHS/RFO,35.789
2019,8,LSHS/HHS/RFO,30.332
2019,9,LSHS/HHS/RFO,17.630
2019,10,LSHS/HHS/RFO,32.031
2019,11,LSHS/HHS/RFO,87.727
2019,12,LSHS/HHS/RFO,29.927
2020,1,LSHS/HHS/RFO,31.071
2020,2,LSHS/HHS/RFO,35.571
2020,3,LSHS/HHS/RFO,40.033
2020,8,LSHS/HHS/RFO,40.749
2020,9,LSHS/HHS/RFO,44.585
2020,10,LSHS/HHS/RFO,52.561
2020,11,LSHS/HHS/RFO,38.863
2020,12,LSHS/HHS/RFO,57.200
2021,1,LSHS/HHS/RFO,103.087
2021,2,LSHS/HHS/RFO,39.785
2021,3,LSHS/HHS/RFO,22.228
2021,4,LSHS/HHS/RFO,82.295
2021,5,LSHS/HHS/RFO,94.189
2021,6,LSHS/HHS/RFO,50.961
2019,4,BITUMEN,522.000
2019,5,BITUMEN,508.000
2020,4,BITUMEN,77.470
2020,5,BITUMEN,387.530
2020,6,BITUMEN,530.150
2020,7,BITUMEN,311.780
2019,6,BITUMEN,429.853
2019,7,BITUMEN,407.251
2019,8,BITUMEN,266.498
2019,9,BITUMEN,278.591
2019,10,BITUMEN,355.643
2019,11,BITUMEN,429.241
2019,12,BITUMEN,415.639
2020,1,BITUMEN,470.541
2020,2,BITUMEN,557.159
2020,3,BITUMEN,513.080
2020,8,BITUMEN,187.715
2020,9,BITUMEN,308.370
2020,10,BITUMEN,464.758
2020,11,BITUMEN,534.051
2020,12,BITUMEN,606.247
2021,1,BITUMEN,544.498
2021,2,BITUMEN,580.448
2021,3,BITUMEN,712.142
2021,4,BITUMEN,571.487
2021,5,BITUMEN,404.198
2021,6,BITUMEN,370.932
2019,4,PETROLEUM COKE,1199.000
2019,5,PETROLEUM COKE,1147.000
2020,4,PETROLEUM COKE,1078.920
2020,5,PETROLEUM COKE,1043.370
2020,6,PETROLEUM COKE,1024.010
2020,7,PETROLEUM COKE,1057.000
2019,6,PETROLEUM COKE,1151.483
2019,7,PETROLEUM COKE,1119.633
2019,8,PETROLEUM COKE,1273.960
2019,9,PETROLEUM COKE,1149.453
2019,10,PETROLEUM COKE,1397.173
2019,11,PETROLEUM COKE,1363.994
2019,12,PETROLEUM COKE,1446.621
2020,1,PETROLEUM COKE,1437.343
2020,2,PETROLEUM COKE,1284.203
2020,3,PETROLEUM COKE,1399.912
2020,8,PETROLEUM COKE,960.656
2020,9,PETROLEUM COKE,973.645
2020,10,PETROLEUM COKE,909.178
2020,11,PETROLEUM COKE,1134.423
2020,12,PETROLEUM COKE,1136.181
2021,1,PETROLEUM COKE,1175.806
2021,2,PETROLEUM COKE,988.004
2021,3,PETROLEUM COKE,1174.161
2021,4,PETROLEUM COKE,1200.174
2021,5,PETROLEUM COKE,1079.364
2021,6,PETROLEUM COKE,1158.244
2019,4,OTHERS,2454.000
2019,5,OTHERS,2656.000
2020,4,OTHERS,2386.520
2020,5,OTHERS,2358.770
2020,6,OTHERS,2517.960
2020,7,OTHERS,2610.330
2019,6,OTHERS,2140.998
2019,7,OTHERS,2472.373
2019,8,OTHERS,2544.438
2019,9,OTHERS,2330.183
2019,10,OTHERS,2513.331
2019,11,OTHERS,2557.934
2019,12,OTHERS,2800.236
2020,1,OTHERS,2811.455
2020,2,OTHERS,2546.560
2020,3,OTHERS,2545.708
2020,8,OTHERS,2666.030
2020,9,OTHERS,2308.198
2020,10,OTHERS,2340.367
2020,11,OTHERS,2475.272
2020,12,OTHERS,2503.163
2021,1,OTHERS,2467.669
2021,2,OTHERS,2171.466
2021,3,OTHERS,2778.932
2021,4,OTHERS,2813.872
2021,5,OTHERS,2550.320
2021,6,OTHERS,2361.317
2019,4,MOTOR SPIRIT (PETROL),3144.000
2019,5,MOTOR SPIRIT (PETROL),3275.000
2020,4,MOTOR SPIRIT (PETROL),2077.780
2020,5,MOTOR SPIRIT (PETROL),2379.760
2020,6,MOTOR SPIRIT (PETROL),2872.910
2020,7,MOTOR SPIRIT (PETROL),2918.160
2019,6,MOTOR SPIRIT (PETROL),3216.313
2019,7,MOTOR SPIRIT (PETROL),3380.063
2019,8,MOTOR SPIRIT (PETROL),3199.052
2019,9,MOTOR SPIRIT (PETROL),2970.436
2019,10,MOTOR SPIRIT (PETROL),3394.019
2019,11,MOTOR SPIRIT (PETROL),3210.023
2019,12,MOTOR SPIRIT (PETROL),3198.740
2020,1,MOTOR SPIRIT (PETROL),3186.032
2020,2,MOTOR SPIRIT (PETROL),3134.444
2020,3,MOTOR SPIRIT (PETROL),3308.965
2020,8,MOTOR SPIRIT (PETROL),2710.696
2020,9,MOTOR SPIRIT (PETROL),2988.968
2020,10,MOTOR SPIRIT (PETROL),3146.722
2020,11,MOTOR SPIRIT (PETROL),3329.408
2020,12,MOTOR SPIRIT (PETROL),3341.386
2021,1,MOTOR SPIRIT (PETROL),3423.144
2021,2,MOTOR SPIRIT (PETROL),3026.040
2021,3,MOTOR SPIRIT (PETROL),3583.307
2021,4,MOTOR SPIRIT (PETROL),3220.545
2021,5,MOTOR SPIRIT (PETROL),3153.755
2021,6,MOTOR SPIRIT (PETROL),2765.314
2019,4,LUBES/GREASES,58.000
2019,5,LUBES/GREASES,72.000
2020,4,LUBES/GREASES,44.600
2020,5,LUBES/GREASES,60.880
2020,6,LUBES/GREASES,52.920
2020,7,LUBES/GREASES,93.860
2019,6,LUBES/GREASES,70.346
2019,7,LUBES/GREASES,86.659
2019,8,LUBES/GREASES,99.455
2019,9,LUBES/GREASES,85.882
2019,10,LUBES/GREASES,77.776
2019,11,LUBES/GREASES,63.378
2019,12,LUBES/GREASES,71.525
2020,1,LUBES/GREASES,66.804
2020,2,LUBES/GREASES,73.311
2020,3,LUBES/GREASES,106.860
2020,8,LUBES/GREASES,96.606
2020,9,LUBES/GREASES,100.209
2020,10,LUBES/GREASES,102.111
2020,11,LUBES/GREASES,99.469
2020,12,LUBES/GREASES,79.053
2021,1,LUBES/GREASES,108.284
2021,2,LUBES/GREASES,111.558
2021,3,LUBES/GREASES,119.757
2021,4,LUBES/GREASES,79.560
2021,5,LUBES/GREASES,79.518
2021,6,LUBES/GREASES,74.442
2020,4,WAXES,2.870
2020,5,WAXES,5.920
2020,6,WAXES,7.440
2020,7,WAXES,9.220
2019,6,WAXES,7.658
2019,7,WAXES,8.653
2019,8,WAXES,8.617
2019,9,WAXES,8.206
2019,10,WAXES,8.232
2019,11,WAXES,7.040
2019,12,WAXES,4.355
2020,1,WAXES,6.656
2020,2,WAXES,8.759
2020,3,WAXES,10.054
2020,8,WAXES,7.728
2020,9,WAXES,7.397
2020,10,WAXES,9.982
2020,11,WAXES,9.645
2020,12,WAXES,9.981
2021,1,WAXES,10.548
2021,2,WAXES,8.510
2021,3,WAXES,6.864
2021,4,WAXES,9.276
2021,5,WAXES,6.511
2021,6,WAXES,7.495
