Detail Data For Oil Transport Capacity & Throughput for Operational Pipeline Having Year : ALL
.
YearValue,Onshore_Offshore,OilType,OperatingEntity,PipelineStatus,PipelineName,Capacity_MMT,Throughput_TMT
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,GUWAHATI SILIGURI PIPELINE,1400.000,1787.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,HALDIA BARAUNI PIPELINE,1250.000,1205.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,HALDIA MOURIGRAM RAJBANDH PIPELINE,1350.000,1763.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOYALI AHMEDABAD PIPELINE,1100.000,745.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOYALI DAHEJ PIPELINE,2600.000,148.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOYALI RATLAM PIPELINE,2000.000,1317.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOYALI SANGANER PIPELINE,4600.000,3451.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,MATHURA BHARATPUR PIPELINE,0.000,632.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,MATHURA DELHI BIIJWASAN PANIPAT PIPELINE,3700.000,2614.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,MATHURA TUNDLA PIPELINE,1200.000,326.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT AMBALA JALANDHAR PIPELINE,3500.000,2336.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT BHATINDA PIPELINE,1500.000,1345.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT DELHI PIPELINE,3000.000,1228.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT REWARI PIPELINE,2100.000,1514.000
2015,ONSHORE,PETROLEUM PRODUCTS,OIL,OPERATIONAL,NUMALIGARH - SILIGURI PIPELINE,1721.000,1806.000
2015,ONSHORE,PETROLEUM PRODUCTS,PCCK,OPERATIONAL,COCHIN - COIMBATORE - KARUR PIPELINE,3300.000,2458.000
2015,ONSHORE,PETROLEUM PRODUCTS,PHMB,OPERATIONAL,MANGALORE HASSAN BENGALURU PIPELINE,2140.000,3141.000
2016,OFFSHORE,CRUDE OIL,ONGC,OPERATIONAL,"BOMBAY-URAN TRUNK 30"" PIPELINE",18000.000,0.000
2016,OFFSHORE,CRUDE OIL,ONGC,OPERATIONAL,HEERA-URAN TRUNK PIPELINE,11500.000,4238.000
2016,OFFSHORE,CRUDE OIL,ONGC,OPERATIONAL,MUMBAI HIGH - URAN TRUNK PIPELINE,15634.000,8829.000
2016,ONSHORE,CRUDE OIL,BORL,OPERATIONAL,VADINAR - BINA PIPELINE,6000.000,6422.000
2016,ONSHORE,CRUDE OIL,CAIRN,OPERATIONAL,MANGALA- BHOGAT PIPELINE,8714.000,8692.000
2016,ONSHORE,CRUDE OIL,HMEL,OPERATIONAL,MUNDRA - BHATINDA PIPELINE,9000.000,10700.000
2016,ONSHORE,CRUDE OIL,IOCL,OPERATIONAL,MUNDRA PANIPAT PIPELINE,8400.000,8726.000
2016,ONSHORE,CRUDE OIL,IOCL,OPERATIONAL,PARADIP HALDIA BARAUNI PIPELINE,11000.000,16674.000
2016,ONSHORE,CRUDE OIL,IOCL,OPERATIONAL,SALAYA MATHURA PIPELINE,21000.000,25142.000
2016,ONSHORE,CRUDE OIL,OIL,OPERATIONAL,DULIAJAN-DIGBOI-BARAUNI-BON-GAIGAON PIPELINE,8400.000,6426.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"10"" AKHOLJUNI TO LAXMIPURA T POINT",481.000,124.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"12"" BORHOLLA-JORHAT PIPELINE",600.000,146.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"12"" CPF; GANDHAR TO SARASWANI 'T' POINT3",1805.000,589.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"12"" LAKWA-MORAN PIPELINE",1500.000,303.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"14"" GELEKI-JORHAT PIPELINE",1500.000,494.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"14"" KALOL-NAWAGAM-NEW",3140.000,1037.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"14"" MHN-NGM TRUNK PIPELINE",2265.000,2107.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"14"" NAWAGAM-KOYALI PIPELINE",3300.000,1378.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"16"" CTF; ANKL TO KOYALI PIPELINE",2199.000,743.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"18"" NAWAGAM-KOYALI PIPELINE",5400.000,2255.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"4"" GMAA EPT TO S. YAMAM UNLOADING TERMINAL (1ST LINE)5",90.000,0.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"4"" GMAA EPT TO S. YANAM UNLOADING TERMINAL (NEW LINE)",90.000,83.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"4"" KESNAPALLI-WGGS TO TATIPAKA REFINERY4",83.000,21.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"8"" CTF; ANKL TO CPF; GANDHAR2",394.000,0.000
2016,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"8"" NARIMANAM TO CPCL REFINERY PIPELINE-NEW6",740.000,245.000
2016,ONSHORE,LPG,BPCL,OPERATIONAL,MUMBAI URAN,800.000,290.000
2016,ONSHORE,LPG,GAIL,OPERATIONAL,JAMNAGAR-LONI LPG PIPELINE,2500.000,2063.000
2016,ONSHORE,LPG,GAIL,OPERATIONAL,VIZAG-SECUNDERABAD LPG PIPELINE,1330.000,1661.000
2016,ONSHORE,LPG,IOCL,OPERATIONAL,PANIPAT - JALANDHAR LPG PIPELINE,700.000,558.000
2016,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,BINA KOTA (MS/SKO/HSD),4400.000,2880.000
2016,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,KOCHI REFINERY - KOCHI AIRPORT (ATF),600.000,210.000
2016,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,KOTA JOBNER (MS/SKO/HSD)1,1700.000,0.000
2016,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,MUMBAI MANMAD MANGLYA PIYALA BIJWASAN(MS/SKO/HSD),6000.000,6740.000
2016,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,MUMBAI REFINERY - SANTACRUZ AIRPORT (ATF),1440.000,760.000
2016,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,AWA-SALAWAS PIPELINE,2340.000,683.000
2016,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,BAHADURGARH-TIKRIKALAN PIPELINE,750.000,531.000
2016,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,MUMBAI - PUNE - SOLAPUR PIPELINE,4300.000,4445.000
2016,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,MUNDRA - DELHI PIPELINE,5000.000,2909.000
2016,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,RAMANMANDI - BAHADURGARH PIPELINE,4710.000,4456.000
2016,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,RAMANMANDI - BHATINDA PIPELINE,1130.000,839.000
2016,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,REWARI-KANPUR PIPELINE,7980.000,193.000
2016,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,VISAKH - VIJAYAWADA - SECUNDERABAD PIPELINE,5380.000,4425.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,BARAUNI KANPUR PIPELINE,3500.000,2401.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,CHENNAI BANGALORE PIPELINE,2450.000,1229.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,CHENNAI MEENAMBAKKAM ATF PIPELINE,180.000,164.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,CHENNAI TRICHY MADURAI PIPELINE,2300.000,2611.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,DEVANGONTHI DEVANHALLI PIPELINE,660.000,216.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,DIGBOI TINSUKIA PIPELINE,1000.000,440.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,GUWAHATI SILIGURI PIPELINE,1400.000,1877.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,HALDIA BARAUNI PIPELINE,1250.000,1351.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,HALDIA MOURIGRAM RAJBANDH PIPELINE,1350.000,1800.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOYALI AHMEDABAD PIPELINE,1100.000,758.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOYALI DAHEJ PIPELINE,2600.000,577.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOYALI RATLAM PIPELINE,2000.000,1388.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOYALI SANGANER PIPELINE,4600.000,3283.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,MATHURA BHARATPUR PIPELINE,0.000,537.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,MATHURA DELHI BIIJWASAN PANIPAT PIPELINE,3700.000,2333.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,MATHURA TUNDLA PIPELINE,1200.000,384.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT AMBALA JALANDHAR PIPELINE,3500.000,2761.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT BHATINDA PIPELINE,1500.000,1400.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT DELHI PIPELINE,3000.000,1618.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT REWARI PIPELINE,2100.000,1582.000
2016,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PARADIP RAIPUR RANCHI PIPELINE,96.000,14.000
2016,ONSHORE,PETROLEUM PRODUCTS,OIL,OPERATIONAL,NUMALIGARH - SILIGURI PIPELINE,1721.000,1744.000
2016,ONSHORE,PETROLEUM PRODUCTS,PCCK,OPERATIONAL,COCHIN - COIMBATORE - KARUR PIPELINE,3300.000,2715.000
2016,ONSHORE,PETROLEUM PRODUCTS,PHMB,OPERATIONAL,MANGALORE HASSAN BENGALURU PIPELINE,2140.000,3318.000
2016,ONSHORE,LPG,HPCL,UNDER CONSTRUCTION,URAN-CHAKAN-SHIKRAPUR ,1.000,0.000
2016,ONSHORE,LPG,HPCL,UNDER CONSTRUCTION,MANGALORE-HASSAN-MYSORE-SOLLUR ,3.010,0.000
2018,ONSHORE,CRUDE OIL,IOCL,OPERATIONAL,SALAYA MATHURA PIPELINE,25000.000,26203.000
2018,ONSHORE,CRUDE OIL,IOCL,OPERATIONAL,MUNDRA PANIPAT PIPELINE,8400.000,8437.000
2018,ONSHORE,CRUDE OIL,IOCL,OPERATIONAL,PARADIP HALDIA BARAUNI PIPELINE,15200.000,16437.000
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,CTF KALOL TO CTF NAWAGAM - NEW ,3140.000,959.400
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"NAWAGAM-KOYALI (18"" OLD)",5400.000,1790.000
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"NAWAGAM-KOYALI (18"" NEW)",5400.000,376.200
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"NAWAGAM-KOYALI (14"" OLD)",3300.000,1325.000
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,MEHSANA-NAWAGAM TRUNK LINE - NEW,2265.000,2061.100
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,CTF & ANKLESHWAR TO KOYALI PIPELINE,2199.000,919.600
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,CTF & ANKLESHWAR TO CPF & GANDHAR,394.000,0.000
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,CPF & GANDHAR TO SARASWANI 'T' POINT,1805.000,685.800
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,AKHOLJUNI- KOYALI OIL PIPE LINE,481.000,193.100
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,LAKWA-MORAN OIL LINE (NEW),1500.000,106.800
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,LAKWA-MORAN OIL LINE (OLD),1500.000,305.000
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,GELEKI-JORHAT OIL LINE (OLD),1500.000,417.500
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,GELEKI-JORHAT OIL LINE (NEW),0.000,0.000
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,BORHOLLA- JORHAT (OLD),600.000,153.700
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,BORHOLLA- JORHAT (NEW),0.000,0.000
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,NRM (NARIMANAM) TO CPCL,740.000,339.300
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,KSP-WGGS TO TPK REFINERY,83.000,31.300
2018,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,GMAA EPT ,90.000,45.800
2018,ONSHORE,CRUDE OIL,OIL,OPERATIONAL,DULIAJAN-DIGBOI-BARAUNI-BONGAIGAON PIPELINE,8450.000,6645.190
2018,ONSHORE,CRUDE OIL,HMEL,OPERATIONAL,MUNDRA - BHATINDA PIPELINE,11250.000,8876.000
2018,ONSHORE,CRUDE OIL,BORL,OPERATIONAL,VADINAR - BINA PIPELINE,6000.000,6714.000
2018,ONSHORE,CRUDE OIL,CAIRN,OPERATIONAL,MANGALA- BHOGAT PIPELINE,8710.000,7808.000
2018,ONSHORE,CRUDE OIL,CAIRN,OPERATIONAL,BHOGAT- MARINE,2000.000,2125.000
2018,OFFSHORE,CRUDE OIL,ONGC,OPERATIONAL,MUMBAI HIGH - URAN  TRUNK PIPELINE,15634.000,10021.000
2018,OFFSHORE,CRUDE OIL,ONGC,OPERATIONAL,HEERA-URAN TRUNK PIPELINE,11500.000,3064.000
2018,OFFSHORE,CRUDE OIL,ONGC,OPERATIONAL,"BOMBAY-URAN TRUNK 30"" PIPELINE",18000.000,0.000
2018,OFFSHORE,CRUDE OIL,IOCL,OPERATIONAL,SALAYA MATHURA PIPELINE,0.000,0.000
2018,OFFSHORE,CRUDE OIL,IOCL,OPERATIONAL,PARADIP HALDIA BARAUNI PIPELINE,0.000,0.000
2018,ONSHORE,LPG,BPCL,OPERATIONAL,MUMBAI URAN LPG PIPELINE,800.000,337.000
2018,ONSHORE,LPG,IOCL,OPERATIONAL,PANIPAT - JALANDHAR  LPG PIPELINE,700.000,599.000
2018,ONSHORE,LPG,IOCL,OPERATIONAL,PARADIP HALDIA DURGAPUR LPG PIPELINE,503.000,50.000
2018,ONSHORE,LPG,HPCL,OPERATIONAL,MANGALORE-HASSAN-MYSORE-SOLURE,1940.000,783.000
2018,ONSHORE,LPG,GAIL,OPERATIONAL,JAMNAGAR-LONI LPG PIPELINE,2500.000,2673.000
2018,ONSHORE,LPG,GAIL,OPERATIONAL,VIZAG-SECUNDERABAD LPG PIPELINE,1330.000,1040.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOYALI AHMEDABAD PIPELINE,1100.000,153.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOYALI SANGANER  PIPELINE,4600.000,4351.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOYALI RATLAM PIPELINE,2000.000,1452.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOYALI DAHEJ PIPELINE,2600.000,938.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,BARAUNI KANPUR PIPELINE,3500.000,2257.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,HALDIA MOURIGRAM RAJBANDH PIPELINE,1350.000,1824.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,HALDIA BARAUNI PIPELINE,1250.000,1485.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,GUWAHATI SILIGURI PIPELINE,1400.000,1832.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT BHATINDA PIPELINE,1500.000,1546.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT REWARI PIPELINE,2100.000,1690.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT AMBALA JALANDHAR PIPELINE,3500.000,3060.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT DELHI PIPELINE,3000.000,1100.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PANIPAT BIJWASAN ATF PIPELINE,0.000,0.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,MATHURA DELHI PIPELINE,3700.000,2763.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,MATHURA TUNDLA PIPELINE,1200.000,426.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,MATHURA BHARATPUR PIPELINE,0.000,165.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,CHENNAI TRICHY MADURAI PIPELINE,2300.000,2841.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,CHENNAI BANGLORE PIPELINE,2450.000,1715.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,CHENNAI MEENAMBAKKAM ATF PIPELINE,180.000,230.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,DIGBOI TINSUKIA PIPELINE,1000.000,528.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,DEVANGONTHI DEVANHALLI PIPELINE,660.000,424.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,PARADIP RAIPUR RANCHI PIPELINE,5000.000,3169.000
2018,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,KOLKATA ATF PIPELINE,0.000,0.000
2018,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,MUMBAI MANMAD MANGLYA PIYALA BIJWASAN(MS/SKO/HSD),6000.000,7015.000
2018,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,BINA KOTA (MS/SKO/HSD),4400.000,3388.000
2018,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,MUMBAI REFINERY - SANTACRUZ AIRPORT (ATF),1440.000,933.000
2018,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,KOCHI REFINERY - KOCHI AIRPORT (ATF),600.000,380.000
2018,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,KOTA JOBNER (MS/SKO/HSD),1700.000,579.000
2018,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,MUMBAI LOBS,1300.000,262.000
