Detail Data For Oil Supply (Crude) Import by Country - Quantity & Amount Having Year : ALL
.
OilType,Country,YearValue,Qty_000Tonne,Amount_RsLacs
CRUDE OIL,BRUNEI,2009,497.320,138539.160
CRUDE OIL,CONGO P REP,2009,182.680,87617.370
CRUDE OIL,EGYPT,2009,2648.000,501753.450
CRUDE OIL,GABON,2009,99.890,36489.920
CRUDE OIL,GUINEA,2009,273.550,86258.570
CRUDE OIL,IRAN,2009,21589.760,4983349.170
CRUDE OIL,IRAQ,2009,12222.340,3404041.430
CRUDE OIL,COTE D' IVOIRE,2009,138.300,20344.280
CRUDE OIL,KOREA RP,2009,132.000,39222.970
CRUDE OIL,KUWAIT,2009,14080.820,3568500.050
CRUDE OIL,MALAYSIA,2009,3707.820,1249374.320
CRUDE OIL,MEXICO,2009,2261.350,436921.230
CRUDE OIL,NIGERIA,2009,11736.300,3857504.030
CRUDE OIL,OMAN,2009,430.230,111613.520
CRUDE OIL,QATAR,2009,2496.080,639258.660
CRUDE OIL,RUSSIA,2009,227.820,106635.280
CRUDE OIL,SAUDI ARABIA,2009,25915.300,7109618.480
CRUDE OIL,SUDAN,2009,688.580,159332.950
CRUDE OIL,TURKEY,2009,1160.610,361769.080
CRUDE OIL,UAE,2009,14210.280,4110991.330
CRUDE OIL,U S A,2009,546.350,150818.270
CRUDE OIL,VENEZUELA,2009,8161.030,1844725.560
CRUDE OIL,CONGO D. REP.,2009,142.100,41448.750
CRUDE OIL,LIBYA,2009,894.970,307002.360
CRUDE OIL,YEMEN REPUBLC,2009,955.870,257285.320
CRUDE OIL,BAHARAIN IS,2009,0.100,15.060
CRUDE OIL,PANAMA REPUBLIC,2009,150.430,25191.090
CRUDE OIL,SYRIA,2009,370.270,59078.940
CRUDE OIL,HONG KONG,2009,124.430,22060.510
CRUDE OIL,JORDAN,2009,140.980,54517.390
CRUDE OIL,LIBERIA,2009,138.600,41226.180
CRUDE OIL,ST LUCIA,2009,81.600,12411.910
CRUDE OIL,ALGERIA,2010,1569.530,436666.660
CRUDE OIL,ANGOLA,2010,8039.330,1998663.890
CRUDE OIL,AUSTRALIA,2010,401.990,95896.980
CRUDE OIL,AZERBAIJAN,2010,536.430,132528.140
CRUDE OIL,BRAZIL,2010,2328.890,511367.600
CRUDE OIL,BRUNEI,2010,818.010,202548.290
CRUDE OIL,CAMEROON,2010,239.550,56152.320
CRUDE OIL,CANADA,2010,79.960,16774.910
CRUDE OIL,CHINA P R,2010,389.580,96807.310
CRUDE OIL,COLOMBIA,2010,772.130,167488.240
CRUDE OIL,CONGO P REP,2010,846.820,198175.160
CRUDE OIL,ECUADOR,2010,93.200,19979.420
CRUDE OIL,EGYPT,2010,3015.280,575976.430
CRUDE OIL,EQUTL GUINEA,2010,510.580,125753.750
CRUDE OIL,GABON,2010,224.000,48089.900
CRUDE OIL,GUINEA,2010,366.500,93409.560
CRUDE OIL,INDONESIA,2010,145.690,37046.500
CRUDE OIL,IRAN,2010,22085.770,4826321.490
CRUDE OIL,IRAQ,2010,13883.040,3304834.680
CRUDE OIL,COTE D' IVOIRE,2010,98.420,23201.530
CRUDE OIL,KOREA RP,2010,1124.790,292416.980
CRUDE OIL,KUWAIT,2010,14611.680,3455183.350
CRUDE OIL,MALAYSIA,2010,2525.790,629048.200
CRUDE OIL,MEXICO,2010,1474.020,333018.910
CRUDE OIL,NETHERLAND,2010,813.710,176299.450
CRUDE OIL,NIGERIA,2010,13020.220,3380257.410
CRUDE OIL,OMAN,2010,5220.310,1294091.900
CRUDE OIL,QATAR,2010,4614.500,1135251.530
CRUDE OIL,RUSSIA,2010,1039.160,238343.230
CRUDE OIL,SAUDI ARABIA,2010,26882.660,6629262.670
CRUDE OIL,SUDAN,2010,1015.200,206452.000
CRUDE OIL,TURKEY,2010,2070.740,506203.090
CRUDE OIL,UAE,2010,10433.000,2572045.350
CRUDE OIL,VENEZUELA,2010,6237.600,1331746.670
CRUDE OIL,CONGO D. REP.,2010,271.990,62076.790
CRUDE OIL,UNSPECIFIED,2010,0.000,0.090
CRUDE OIL,LIBYA,2010,1130.380,289510.330
CRUDE OIL,PANAMA C Z,2010,79.690,13501.290
CRUDE OIL,YEMEN REPUBLC,2010,2920.190,692409.000
CRUDE OIL,PANAMA REPUBLIC,2010,733.010,146520.750
CRUDE OIL,SYRIA,2010,207.400,51412.710
CRUDE OIL,SINGAPORE,2010,0.350,60.160
CRUDE OIL,DENMARK,2010,402.930,92006.760
CRUDE OIL,GREECE,2010,132.060,38896.170
CRUDE OIL,GUINEA BISSAU,2010,121.360,32468.350
CRUDE OIL,MOROCCO,2010,6.890,1691.570
CRUDE OIL,UK,2010,94.090,22237.260
CRUDE OIL,ALGERIA,2011,2556.850,776748.940
CRUDE OIL,ANGOLA,2011,8417.730,2316852.530
CRUDE OIL,AUSTRALIA,2011,1549.620,408941.470
CRUDE OIL,AZERBAIJAN,2011,266.110,87546.060
CRUDE OIL,BRAZIL,2011,2965.660,779157.940
CRUDE OIL,BRUNEI,2011,364.590,106231.760
CRUDE OIL,CAMEROON,2011,209.930,53629.820
CRUDE OIL,COLOMBIA,2011,1527.750,356612.820
CRUDE OIL,CONGO P REP,2011,853.090,218639.050
CRUDE OIL,ECUADOR,2011,245.000,64420.160
CRUDE OIL,EGYPT,2011,1752.300,447131.390
CRUDE OIL,GABON,2011,394.700,97211.250
CRUDE OIL,GUINEA,2011,138.150,35777.800
CRUDE OIL,IRAN,2011,16083.370,4193762.950
CRUDE OIL,IRAQ,2011,14767.450,4073386.820
CRUDE OIL,KUWAIT,2011,14383.250,3989335.960
CRUDE OIL,MALAYSIA,2011,2243.880,647100.680
CRUDE OIL,MEXICO,2011,1058.110,275328.750
CRUDE OIL,NETHERLAND,2011,283.550,62539.900
CRUDE OIL,NIGERIA,2011,16258.970,4786025.050
CRUDE OIL,OMAN,2011,4781.680,1404781.400
CRUDE OIL,QATAR,2011,4836.190,1400954.190
CRUDE OIL,RUSSIA,2011,492.620,131106.820
CRUDE OIL,SAUDI ARABIA,2011,26299.800,7424343.610
CRUDE OIL,SUDAN,2011,1100.130,257417.880
CRUDE OIL,TURKEY,2011,352.610,100698.710
CRUDE OIL,UAE,2011,12657.440,3581517.390
CRUDE OIL,VENEZUELA,2011,10147.170,2371957.380
CRUDE OIL,UNSPECIFIED,2011,1178.460,333398.000
CRUDE OIL,LIBYA,2011,1415.500,436598.300
CRUDE OIL,YEMEN REPUBLC,2011,2773.250,748452.420
CRUDE OIL,PANAMA REPUBLIC,2011,294.620,70242.160
CRUDE OIL,COCOS IS,2011,74.280,22185.900
CRUDE OIL,NEW ZEALAND,2011,15.290,3978.530
CRUDE OIL,NORWAY,2011,297.670,77626.710
CRUDE OIL,SINGAPORE,2011,0.080,15.760
CRUDE OIL,SWAZILAND,2011,82.560,19968.590
CRUDE OIL,ALGERIA,2012,2022.730,904095.760
CRUDE OIL,ANGOLA,2012,7976.250,3148633.960
CRUDE OIL,AUSTRALIA,2012,650.830,251738.190
CRUDE OIL,AZERBAIJAN,2012,785.790,325765.190
CRUDE OIL,BRAZIL,2012,3788.810,1370186.580
CRUDE OIL,BRUNEI,2012,681.870,282658.150
CRUDE OIL,CAMEROON,2012,580.360,233232.640
CRUDE OIL,CHINA P R,2012,87.620,33987.160
CRUDE OIL,COLOMBIA,2012,746.680,233373.140
CRUDE OIL,CONGO P REP,2012,316.390,104362.080
CRUDE OIL,EGYPT,2012,3034.980,1062412.130
CRUDE OIL,EQUTL GUINEA,2012,232.540,104202.060
CRUDE OIL,GABON,2012,89.800,39938.760
CRUDE OIL,GUINEA,2012,144.790,67724.300
CRUDE OIL,IRAN,2012,14980.150,5623882.140
CRUDE OIL,IRAQ,2012,23769.800,9006751.680
CRUDE OIL,ISRAEL,2012,84.460,35760.050
CRUDE OIL,COTE D' IVOIRE,2012,168.800,71912.640
CRUDE OIL,KUWAIT,2012,17940.000,6871715.630
CRUDE OIL,MALAYSIA,2012,2237.910,939381.510
CRUDE OIL,MEXICO,2012,2364.530,825737.640
CRUDE OIL,NETHERLAND,2012,118.970,42524.140
CRUDE OIL,NIGERIA,2012,15477.010,6539655.920
CRUDE OIL,OMAN,2012,2288.810,852148.140
CRUDE OIL,QATAR,2012,6136.240,2474946.840
CRUDE OIL,SAUDI ARABIA,2012,31868.800,12669066.780
CRUDE OIL,SUDAN,2012,514.980,170925.350
CRUDE OIL,TURKEY,2012,168.400,59780.530
CRUDE OIL,UAE,2012,14974.970,6013787.200
CRUDE OIL,U S A,2012,0.000,0.680
CRUDE OIL,VENEZUELA,2012,9416.300,3198777.640
CRUDE OIL,UNSPECIFIED,2012,172.730,64447.410
CRUDE OIL,ALBANIA,2012,152.200,63197.600
CRUDE OIL,PANAMA C Z,2012,103.740,26531.170
CRUDE OIL,YEMEN REPUBLC,2012,1016.570,424830.890
CRUDE OIL,PANAMA REPUBLIC,2012,200.660,54945.320
CRUDE OIL,SYRIA,2012,166.650,72980.340
CRUDE OIL,GUINEA,2012,130.320,50635.320
CRUDE OIL,NIGER,2012,84.160,37001.660
CRUDE OIL,TUNISIA,2012,34.900,15219.960
CRUDE OIL,ALGERIA,2013,261.860,122210.930
CRUDE OIL,ANGOLA,2013,8775.210,3856954.150
CRUDE OIL,AUSTRALIA,2013,311.050,136913.650
CRUDE OIL,AZERBAIJAN,2013,643.350,282375.820
CRUDE OIL,BRAZIL,2013,3748.140,1464217.280
CRUDE OIL,BRUNEI,2013,908.880,437915.920
CRUDE OIL,CAMEROON,2013,527.660,219468.580
CRUDE OIL,CANADA,2013,140.090,53897.780
CRUDE OIL,CHAD,2013,139.820,57623.530
CRUDE OIL,COLOMBIA,2013,3057.430,1144723.800
CRUDE OIL,CONGO P REP,2013,552.050,224116.640
CRUDE OIL,ECUADOR,2013,1128.660,438392.490
CRUDE OIL,EGYPT,2013,2416.820,942982.740
CRUDE OIL,EQUTL GUINEA,2013,653.030,283459.040
CRUDE OIL,GABON,2013,997.940,403548.170
CRUDE OIL,GUINEA,2013,664.190,270557.310
CRUDE OIL,IRAN,2013,13242.050,5210519.000
CRUDE OIL,IRAQ,2013,24240.100,10402062.370
CRUDE OIL,KUWAIT,2013,18743.840,7852401.730
CRUDE OIL,MALAYSIA,2013,2058.610,971561.160
CRUDE OIL,MEXICO,2013,4596.280,1763553.830
CRUDE OIL,NIGERIA,2013,12951.650,6079200.490
CRUDE OIL,OMAN,2013,463.360,187197.780
CRUDE OIL,QATAR,2013,8072.620,3633967.890
CRUDE OIL,RUSSIA,2013,147.840,65004.780
CRUDE OIL,SAUDI ARABIA,2013,34969.550,15415085.860
CRUDE OIL,SUDAN,2013,83.490,38729.740
CRUDE OIL,TURKEY,2013,1516.000,600403.770
CRUDE OIL,UAE,2013,15591.240,6868335.970
CRUDE OIL,U S A,2013,147.070,61851.130
CRUDE OIL,VENEZUELA,2013,20728.550,7674557.900
CRUDE OIL,UNSPECIFIED,2013,1.300,329.130
CRUDE OIL,ALBANIA,2013,41.690,13901.480
CRUDE OIL,LIBYA,2013,1999.430,917665.190
CRUDE OIL,YEMEN REPUBLC,2013,728.750,351570.030
CRUDE OIL,BAHAMAS,2013,143.220,55340.400
CRUDE OIL,PANAMA REPUBLIC,2013,57.610,23241.020
CRUDE OIL,SYRIA,2013,82.650,34332.990
CRUDE OIL,ALGERIA,2014,395.150,192647.790
CRUDE OIL,ANGOLA,2014,7539.210,3630874.240
CRUDE OIL,AUSTRALIA,2014,293.820,153666.510
CRUDE OIL,AZERBAIJAN,2014,1389.020,676994.870
CRUDE OIL,BRAZIL,2014,2963.840,1220302.650
CRUDE OIL,BRUNEI,2014,815.860,427528.180
CRUDE OIL,CAMEROON,2014,338.880,144579.210
CRUDE OIL,CANADA,2014,274.220,128513.240
CRUDE OIL,COLOMBIA,2014,7101.600,2885677.870
CRUDE OIL,ECUADOR,2014,283.410,121721.730
CRUDE OIL,EGYPT,2014,2731.160,1128362.120
CRUDE OIL,EQUTL GUINEA,2014,351.930,185106.400
CRUDE OIL,GABON,2014,1145.410,461113.730
CRUDE OIL,GUINEA,2014,137.820,58414.350
CRUDE OIL,IRAN,2014,11266.610,5150392.780
CRUDE OIL,IRAQ,2014,24576.150,11062333.800
CRUDE OIL,KAZAKHSTAN,2014,710.300,341876.400
CRUDE OIL,KUWAIT,2014,20063.290,9118425.850
CRUDE OIL,MALAYSIA,2014,2166.090,1099709.060
CRUDE OIL,MEXICO,2014,4407.940,1805430.440
CRUDE OIL,NETHERLAND,2014,47.440,20155.610
CRUDE OIL,NIGERIA,2014,15877.390,8221631.120
CRUDE OIL,OMAN,2014,1704.430,807279.060
CRUDE OIL,QATAR,2014,5116.480,2589389.180
CRUDE OIL,RUSSIA,2014,113.320,47902.240
CRUDE OIL,SAUDI ARABIA,2014,39319.110,18744358.050
CRUDE OIL,SRI LANKA DSR,2014,139.500,62696.560
CRUDE OIL,SUDAN,2014,502.030,230744.360
CRUDE OIL,TURKEY,2014,135.840,69079.180
CRUDE OIL,UAE,2014,13649.190,6674918.450
CRUDE OIL,VENEZUELA,2014,21304.380,8436263.440
CRUDE OIL,ALBANIA,2014,336.920,124031.070
CRUDE OIL,LIBYA,2014,487.090,249627.140
CRUDE OIL,YEMEN REPUBLC,2014,490.590,239021.140
CRUDE OIL,BAHAMAS,2014,682.220,304745.990
CRUDE OIL,BAHARAIN IS,2014,257.560,114834.430
CRUDE OIL,SYRIA,2014,63.060,35395.290
CRUDE OIL,ALGERIA,2015,520.800,213382.050
CRUDE OIL,ANGOLA,2015,6795.940,2690445.980
CRUDE OIL,ARGENTINA,2015,299.820,131608.800
CRUDE OIL,AUSTRALIA,2015,94.690,32312.300
CRUDE OIL,AZERBAIJAN,2015,222.310,111534.960
CRUDE OIL,BRAZIL,2015,4597.960,1535001.220
CRUDE OIL,BRUNEI,2015,1178.930,509812.940
CRUDE OIL,CAMEROON,2015,1199.720,429463.760
CRUDE OIL,CANADA,2015,82.330,32111.800
CRUDE OIL,CHAD,2015,136.290,29304.870
CRUDE OIL,COLOMBIA,2015,3106.840,1067554.990
CRUDE OIL,CONGO P REP,2015,383.020,144563.830
CRUDE OIL,ECUADOR,2015,1463.780,577813.780
CRUDE OIL,EGYPT,2015,2521.120,808941.240
CRUDE OIL,EQUTL GUINEA,2015,1124.770,455732.790
CRUDE OIL,GABON,2015,1053.130,440324.220
CRUDE OIL,GUINEA,2015,308.910,148497.720
CRUDE OIL,INDONESIA,2015,142.310,46791.530
CRUDE OIL,IRAN,2015,11200.310,4285853.630
CRUDE OIL,IRAQ,2015,24017.370,8632801.000
CRUDE OIL,KAZAKHSTAN,2015,672.090,336460.610
CRUDE OIL,KUWAIT,2015,18816.740,6991245.330
CRUDE OIL,MALAYSIA,2015,3468.800,1504390.130
CRUDE OIL,MEXICO,2015,5126.220,1637984.560
CRUDE OIL,NETHERLAND,2015,1273.910,451945.740
CRUDE OIL,NIGERIA,2015,17928.550,7887915.740
CRUDE OIL,OMAN,2015,797.990,337392.010
CRUDE OIL,QATAR,2015,3439.600,1401524.070
CRUDE OIL,RUSSIA,2015,201.840,102523.080
CRUDE OIL,SAUDI ARABIA,2015,34492.350,13275358.340
CRUDE OIL,SUDAN,2015,759.160,290696.070
CRUDE OIL,TURKEY,2015,872.420,355652.020
CRUDE OIL,UAE,2015,16262.450,6738890.890
CRUDE OIL,VENEZUELA,2015,22751.600,7079029.670
CRUDE OIL,CONGO D. REP.,2015,86.690,39751.470
CRUDE OIL,ALBANIA,2015,82.960,29161.620
CRUDE OIL,LIBYA,2015,66.050,34279.170
CRUDE OIL,PANAMA C Z,2015,59.040,24028.450
CRUDE OIL,SOUTH SUDAN,2015,91.370,39285.790
CRUDE OIL,YEMEN REPUBLC,2015,213.390,56567.500
CRUDE OIL,ALGERIA,2016,526.370,134231.980
CRUDE OIL,ANGOLA,2016,7221.690,1727849.890
CRUDE OIL,ARGENTINA,2016,228.000,51496.920
CRUDE OIL,AUSTRALIA,2016,678.420,141939.700
CRUDE OIL,AZERBAIJAN,2016,139.000,39734.590
CRUDE OIL,BRAZIL,2016,4031.340,802329.990
CRUDE OIL,BRUNEI,2016,1331.020,358778.360
CRUDE OIL,CAMEROON,2016,1414.630,316292.080
CRUDE OIL,CANADA,2016,0.000,1.000
CRUDE OIL,CHAD,2016,948.470,200821.710
CRUDE OIL,CHINA P R,2016,145.510,40255.040
CRUDE OIL,COLOMBIA,2016,984.630,189296.700
CRUDE OIL,CONGO P REP,2016,254.190,59989.500
CRUDE OIL,ECUADOR,2016,1326.490,282260.760
CRUDE OIL,EGYPT,2016,2655.800,500101.640
CRUDE OIL,EQUTL GUINEA,2016,933.550,207590.710
CRUDE OIL,GABON,2016,83.100,19524.510
CRUDE OIL,GUINEA,2016,178.120,48809.860
CRUDE OIL,INDONESIA,2016,93.240,16281.000
CRUDE OIL,IRAN,2016,13615.700,2781540.350
CRUDE OIL,IRAQ,2016,35694.710,7004069.630
CRUDE OIL,ISRAEL,2016,0.010,34.150
CRUDE OIL,COTE D' IVOIRE,2016,144.680,37535.380
CRUDE OIL,JAPAN,2016,315.200,67294.300
CRUDE OIL,KAZAKHSTAN,2016,634.940,169370.940
CRUDE OIL,KOREA RP,2016,271.990,70687.330
CRUDE OIL,KUWAIT,2016,11173.150,2334327.720
CRUDE OIL,MALAYSIA,2016,3284.160,841707.530
CRUDE OIL,MEXICO,2016,5757.200,900492.830
CRUDE OIL,NETHERLAND,2016,257.340,21960.920
CRUDE OIL,NETHERLANDANTIL,2016,321.300,30154.600
CRUDE OIL,NIGERIA,2016,22970.980,5888029.980
CRUDE OIL,OMAN,2016,436.850,88490.810
CRUDE OIL,PAKISTAN IR,2016,45.710,13188.310
CRUDE OIL,QATAR,2016,4434.810,969607.680
CRUDE OIL,RUSSIA,2016,144.640,45684.580
CRUDE OIL,SAUDI ARABIA,2016,39592.340,8787712.590
CRUDE OIL,SRI LANKA DSR,2016,118.180,15258.050
CRUDE OIL,SUDAN,2016,115.830,23069.510
CRUDE OIL,TOGO,2016,145.710,42005.620
CRUDE OIL,TURKEY,2016,406.780,96309.660
CRUDE OIL,TURKMENISTAN,2016,135.870,25340.810
CRUDE OIL,UAE,2016,14805.600,3564085.630
CRUDE OIL,U S A,2016,44.320,10039.160
CRUDE OIL,VENEZUELA,2016,22721.000,3699807.640
CRUDE OIL,CONGO D. REP.,2016,124.310,29958.260
CRUDE OIL,UNSPECIFIED,2016,1427.460,244643.450
CRUDE OIL,ALGERIA,2017,1252.960,331416.530
CRUDE OIL,ANGOLA,2017,5934.980,1438414.810
CRUDE OIL,AUSTRALIA,2017,81.930,15814.800
CRUDE OIL,AZERBAIJAN,2017,1050.090,306555.950
CRUDE OIL,BRAZIL,2017,4255.680,898777.830
CRUDE OIL,BRUNEI,2017,1606.190,420679.150
CRUDE OIL,CAMEROON,2017,982.900,210874.980
CRUDE OIL,CHAD,2017,428.500,91963.480
CRUDE OIL,COLOMBIA,2017,264.030,74197.530
CRUDE OIL,CONGO P REP,2017,75.700,14678.750
CRUDE OIL,ECUADOR,2017,704.440,146423.330
CRUDE OIL,EGYPT,2017,2879.580,496327.470
CRUDE OIL,EQUTL GUINEA,2017,1339.950,303020.770
CRUDE OIL,GABON,2017,92.980,20115.960
CRUDE OIL,GERMANY,2017,0.010,32.190
CRUDE OIL,GREECE,2017,28.940,6108.250
CRUDE OIL,GUINEA,2017,144.410,31752.580
CRUDE OIL,INDONESIA,2017,544.760,121152.540
CRUDE OIL,IRAN,2017,27140.500,5976670.310
CRUDE OIL,IRAQ,2017,37759.000,7790327.850
CRUDE OIL,ISRAEL,2017,0.000,3.310
CRUDE OIL,COTE D' IVOIRE,2017,80.790,16967.450
CRUDE OIL,KAZAKHSTAN,2017,818.570,224415.570
CRUDE OIL,KOREA RP,2017,268.670,67467.000
CRUDE OIL,KUWAIT,2017,9153.860,1974278.070
CRUDE OIL,MALAYSIA,2017,5106.520,1325244.890
CRUDE OIL,MEXICO,2017,7002.710,1238255.910
CRUDE OIL,NETHERLAND,2017,286.250,41512.850
CRUDE OIL,NETHERLANDANTIL,2017,286.350,37646.780
CRUDE OIL,NIGERIA,2017,17709.360,4527499.180
CRUDE OIL,OMAN,2017,485.310,104299.390
CRUDE OIL,QATAR,2017,4666.480,1110574.170
CRUDE OIL,RUSSIA,2017,512.780,198788.070
CRUDE OIL,SAUDI ARABIA,2017,39339.410,9172488.780
CRUDE OIL,SINGAPORE,2017,0.000,1.650
CRUDE OIL,SUDAN,2017,178.150,44414.080
CRUDE OIL,TURKEY,2017,984.470,253488.280
CRUDE OIL,UAE,2017,19307.770,4550595.620
CRUDE OIL,VENEZUELA,2017,21439.160,3692267.190
CRUDE OIL,UNSPECIFIED,2017,693.320,146379.990
CRUDE OIL,ALGERIA,2018,1963.350,558481.540
CRUDE OIL,ANGOLA,2018,7368.780,1985352.110
CRUDE OIL,AUSTRALIA,2018,196.960,55900.820
CRUDE OIL,AZERBAIJAN,2018,1274.420,375989.130
CRUDE OIL,BELGIUM,2018,0.000,0.430
CRUDE OIL,BRAZIL,2018,4029.870,989127.730
CRUDE OIL,BRUNEI,2018,989.430,279838.270
CRUDE OIL,CAMEROON,2018,394.320,99369.530
CRUDE OIL,CHAD,2018,326.180,90732.660
CRUDE OIL,COLOMBIA,2018,0.000,0.370
CRUDE OIL,CONGO P REP,2018,124.210,26945.040
CRUDE OIL,ECUADOR,2018,285.600,54720.180
CRUDE OIL,EGYPT,2018,2015.790,442737.720
CRUDE OIL,ESTONIA,2018,0.000,0.110
CRUDE OIL,EQUTL GUINEA,2018,899.340,247015.010
CRUDE OIL,FRANCE,2018,0.000,0.270
CRUDE OIL,GABON,2018,643.280,171413.670
CRUDE OIL,GHANA,2018,137.760,41642.650
CRUDE OIL,GUINEA,2018,0.000,0.250
CRUDE OIL,INDONESIA,2018,0.000,1.560
CRUDE OIL,IRAN,2018,22597.560,5787710.290
CRUDE OIL,IRAQ,2018,45740.460,11299115.170
CRUDE OIL,ISRAEL,2018,71.970,16235.830
CRUDE OIL,ITALY,2018,0.000,0.260
CRUDE OIL,KAZAKHSTAN,2018,1693.210,451936.150
CRUDE OIL,KYRGHYZSTAN,2018,75.000,19295.430
CRUDE OIL,KOREA RP,2018,291.970,86575.500
CRUDE OIL,KUWAIT,2018,12859.680,3408559.680
CRUDE OIL,LIBYA,2018,139.610,44685.370
CRUDE OIL,MALAYSIA,2018,3062.370,893195.640
CRUDE OIL,MEXICO,2018,8021.110,1773324.490
CRUDE OIL,NETHERLAND,2018,143.180,36755.440
CRUDE OIL,NIGERIA,2018,18115.160,5284629.850
CRUDE OIL,NORWAY,2018,0.000,0.170
CRUDE OIL,OMAN,2018,5683.410,1556268.720
CRUDE OIL,QATAR,2018,3026.110,816244.750
CRUDE OIL,RUSSIA,2018,2963.760,753507.230
CRUDE OIL,SAUDI ARABIA,2018,36162.980,9835832.000
CRUDE OIL,SINGAPORE,2018,0.010,2.530
CRUDE OIL,SOUTH AFRICA,2018,134.900,40518.210
CRUDE OIL,SUDAN,2018,848.320,197753.290
CRUDE OIL,SOUTH SUDAN,2018,148.780,38904.640
CRUDE OIL,TURKEY,2018,544.300,165724.950
CRUDE OIL,UAE,2018,14294.380,3942362.690
CRUDE OIL,UK,2018,75.730,20070.300
CRUDE OIL,U S A,2018,1445.750,395079.010
CRUDE OIL,VENEZUELA,2018,18349.070,3775104.530
CRUDE OIL,YEMEN REPUBLC,2018,284.420,88248.150
CRUDE OIL,CONGO D. REP.,2018,86.860,18929.190
CRUDE OIL,UNSPECIFIED,2018,597.400,143932.550
CRUDE OIL,ALGERIA,2019,2078.840,853665.520
CRUDE OIL,ANGOLA,2019,6242.150,2294346.320
CRUDE OIL,ARGENTINA,2019,89.990,32394.400
