Detail Data For Oil Supply Monthly - Crude Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
YearValue,MonthValue,OilType,State,Ownership,Ownership1,CompanyName,Onshore_OffShore,Qty_000Tonne
2021,3,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,4.200
2021,4,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,11.140
2021,4,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.920
2021,5,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,11.090
2021,5,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.980
2021,6,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,11.620
2021,6,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.730
2019,4,CRUDE OIL,ASSAM,ONGC,ONGC,ONGC,ONSHORE,79.250
2019,4,CRUDE OIL,ASSAM,OIL,OIL,OIL,ONSHORE,262.910
2019,4,CRUDE OIL,ASSAM,PSC,PSC,PSC,ONSHORE,2.740
2019,5,CRUDE OIL,ASSAM,ONGC,ONGC,ONGC,ONSHORE,82.000
2019,5,CRUDE OIL,ASSAM,OIL,OIL,OIL,ONSHORE,271.590
2019,5,CRUDE OIL,ASSAM,PSC,PSC,PSC,ONSHORE,2.080
2020,4,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,79.620
2020,4,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,245.220
2020,4,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,1.280
2020,5,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,80.850
2020,5,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,253.680
2020,5,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.700
2020,6,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,77.410
2020,6,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,239.120
2020,6,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.030
2020,7,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,80.720
2020,7,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,248.140
2020,7,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.950
2019,6,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,79.770
2019,6,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,264.990
2019,6,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.600
2019,7,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,82.130
2019,7,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,270.960
2019,7,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.320
2019,8,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,81.594
2019,8,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,271.741
2019,8,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.268
2019,9,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,80.093
2019,9,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,257.192
2019,9,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.088
2019,10,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,84.114
2019,10,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,270.276
2019,10,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.841
2019,11,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,82.894
2019,11,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,257.764
2019,11,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.928
2019,12,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,81.244
2019,12,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,205.049
2019,12,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,1.769
2020,1,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,86.241
2020,1,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,254.511
2020,1,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,1.760
2020,2,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,82.054
2020,2,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,237.372
2020,2,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,1.891
2020,3,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,86.084
2020,3,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,250.918
2020,3,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,1.817
2020,8,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,81.594
2020,8,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,240.284
2020,8,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.168
2020,9,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,78.470
2020,9,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,242.610
2020,9,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.100
2020,10,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,81.240
2020,10,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,253.710
2020,10,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.010
2020,12,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,82.423
2020,12,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,238.501
2020,12,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.895
2020,11,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,78.470
2020,11,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,240.610
2020,11,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.080
2021,1,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,83.160
2021,1,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,239.750
2021,1,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.260
2021,2,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,76.010
2021,2,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,216.210
2021,2,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.340
2021,3,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,84.100
2021,3,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,246.910
2021,3,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.460
2021,4,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,81.180
2021,4,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,240.160
2021,4,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.970
2021,5,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,84.540
2021,5,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,250.480
2021,5,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.220
2021,6,CRUDE OIL,ASSAM,PSUS,PSUS,ONGC,ONSHORE,81.680
2021,6,CRUDE OIL,ASSAM,PSUS,PSUS,OIL,ONSHORE,244.030
2021,6,CRUDE OIL,ASSAM,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.060
2019,4,CRUDE OIL,ARUNACHAL PRADESH,OIL,OIL,OIL,ONSHORE,1.780
2019,4,CRUDE OIL,ARUNACHAL PRADESH,PSC,PSC,PSC,ONSHORE,2.690
2019,5,CRUDE OIL,ARUNACHAL PRADESH,OIL,OIL,OIL,ONSHORE,1.780
2019,5,CRUDE OIL,ARUNACHAL PRADESH,PSC,PSC,PSC,ONSHORE,2.910
2020,4,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,2.240
2020,4,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.560
2020,5,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,2.020
2020,5,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.600
2020,6,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.860
2020,6,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.400
2020,7,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.960
2020,7,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.500
2019,6,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.850
2019,6,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.700
2019,7,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,2.200
2019,7,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.760
2019,8,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.932
2019,8,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.791
2019,9,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.835
2019,9,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.792
2019,10,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.824
2019,10,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.719
2019,11,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.761
2019,11,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.572
2019,12,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.644
2019,12,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.745
2020,1,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,2.160
2020,1,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.693
2020,2,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,2.192
2020,2,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.377
2020,3,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,2.421
2020,3,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.492
2020,8,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,2.060
2020,8,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.387
2020,9,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,2.050
2020,9,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.380
2020,10,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,2.130
2020,10,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.530
2020,12,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,2.049
2020,12,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.600
2020,11,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.790
2020,11,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.450
2021,1,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,2.060
2021,1,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.530
2021,2,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.660
2021,2,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.340
2021,3,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.800
2021,3,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.500
2021,4,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.730
2021,4,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.390
2021,5,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.790
2021,5,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.350
2021,6,CRUDE OIL,ARUNACHAL PRADESH,PSUS,PSUS,OIL,ONSHORE,1.720
2021,6,CRUDE OIL,ARUNACHAL PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.340
2019,4,CRUDE OIL,GUJARAT,ONGC,ONGC,ONGC,ONSHORE,377.940
2019,4,CRUDE OIL,GUJARAT,PSC,PSC,PSC,ONSHORE,10.170
2019,5,CRUDE OIL,GUJARAT,ONGC,ONGC,ONGC,ONSHORE,395.320
2019,5,CRUDE OIL,GUJARAT,PSC,PSC,PSC,ONSHORE,10.420
2020,4,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,362.150
2020,4,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,9.000
2020,5,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,375.980
2020,5,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,10.940
2020,6,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,366.410
2020,6,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,12.320
2020,7,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,384.350
2020,7,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,12.570
2019,6,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,377.890
2019,6,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,11.360
2019,7,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,385.850
2019,7,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,11.210
2019,8,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,382.224
2019,8,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,10.698
2019,9,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,370.312
2019,9,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,11.622
2019,10,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,383.047
2019,10,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,11.209
2019,11,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,369.719
2019,11,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,11.234
2019,12,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,385.281
2019,12,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,11.453
2020,1,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,387.008
2020,1,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,11.869
2020,2,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,367.582
2020,2,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,11.102
2020,3,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,391.418
2020,3,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,10.941
2020,8,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,381.016
2020,8,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,12.824
2020,9,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,371.500
2020,9,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,13.510
2020,10,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,381.180
2020,10,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,14.530
2020,12,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,382.923
2020,12,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,15.167
2020,11,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,366.720
2020,11,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,14.070
2021,1,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,383.260
2021,1,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,14.860
2021,2,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,344.140
2021,2,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,15.510
2021,3,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,384.850
2021,3,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,20.060
2021,4,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,370.150
2021,4,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,18.420
2021,5,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,369.580
2021,5,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,19.130
2021,6,CRUDE OIL,GUJARAT,PSUS,PSUS,ONGC,ONSHORE,362.900
2021,6,CRUDE OIL,GUJARAT,PVT/JVS,PVT/JVS,PSC,ONSHORE,20.540
2019,4,CRUDE OIL,RAJASTHAN,OIL,OIL,OIL,ONSHORE,0.520
2019,4,CRUDE OIL,RAJASTHAN,PSC,PSC,PSC,ONSHORE,607.330
2019,5,CRUDE OIL,RAJASTHAN,OIL,OIL,OIL,ONSHORE,0.590
2019,5,CRUDE OIL,RAJASTHAN,PSC,PSC,PSC,ONSHORE,594.640
2020,4,CRUDE OIL,RAJASTHAN,PSUS,PSUS,OIL,ONSHORE,0.800
2020,4,CRUDE OIL,RAJASTHAN,PVT/JVS,PVT/JVS,PSC,ONSHORE,490.560
2020,5,CRUDE OIL,RAJASTHAN,PSUS,PSUS,OIL,ONSHORE,0.750
2020,5,CRUDE OIL,RAJASTHAN,PVT/JVS,PVT/JVS,PSC,ONSHORE,493.700
2020,6,CRUDE OIL,RAJASTHAN,PSUS,PSUS,OIL,ONSHORE,0.720
2020,6,CRUDE OIL,RAJASTHAN,PVT/JVS,PVT/JVS,PSC,ONSHORE,490.630
2020,7,CRUDE OIL,RAJASTHAN,PSUS,PSUS,OIL,ONSHORE,0.500
2020,7,CRUDE OIL,RAJASTHAN,PVT/JVS,PVT/JVS,PSC,ONSHORE,503.040
