"MeasurementMethods","ScalingFactors","observationPeriods","StatVar","Units","MinDate","NumPlaces"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_Upto14Years","[]","1990","2432"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_60To64Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_15To19Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_30To34Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_65To69Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_15To64Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_50To54Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_25To29Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_15To19Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_5To9Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_50To54Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_35To39Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_45To49Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_80OrMoreYears","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_5To9Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_45To49Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_35To39Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_15To64Years","[]","1990","2432"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_70To74Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_25To54Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_65OrMoreYears","[]","1990","2432"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_65To69Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_70To74Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_Upto14Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_20To24Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_50To54Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_10To14Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_60To64Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_Upto4Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_70To74Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_Male","[]","1990","2496"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_25To29Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_55To59Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_80OrMoreYears_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_Upto14Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_Female","[]","1990","2496"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_55To64Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_Upto4Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_20To24Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_20To64Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_40To44Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_65OrMoreYears_Male","[]","1990","2403"
