key,prop,val,p1,v1,p2,v2,p3,v3
10024,consumerGoodsCategory,MaizeGrain,name,"""Consumer price index of maize grain""",,,,
14025,consumerGoodsCategory,MaizePaste,name,"""Consumer price index of maize paste""",,,,
10028,consumerGoodsCategory,Millet,name,"""Consumer price index of millet""",,,,
15112,consumerGoodsCategory,PlantainFlour,name,"""Consumer price index of plantain flour""",,,,
10123,consumerGoodsCategory,PopCorn,name,"""Consumer price index of pop corn""",,,,
10017,consumerGoodsCategory,RiceAgriculture,name,"""Consumer price index of rice agriculture""",,,,
10018,consumerGoodsCategory,RiceLocal,name,"""Consumer price index of rice local""",,,,
10031,consumerGoodsCategory,SausageBeef,name,"""Consumer price index of sausage beef""",,,,
KN.10122,consumerGoodsCategory,Semovita,name,"""Consumer price index of semovita""",,,,
10027,consumerGoodsCategory,Sorghum,name,"""Consumer price index of sorghum""",,,,
14002,consumerGoodsCategory,YamFlour,name,"""Consumer price index of yam flour""",,,,
112,consumerGoodsCategory,Meat,name,"""Consumer price index of meat""",,,,
113,consumerGoodsCategory,Fish,name,"""Consumer price index of fish""",,,,
114,consumerGoodsCategory,MilkAndCheeseAndEggs,name,"""Consumer price index of milk, cheese, and eggs""",,,,
115,consumerGoodsCategory,OilsAndFats,name,"""Consumer price index of oils and fats""",,,,
116,consumerGoodsCategory,Fruit,name,"""Consumer price index of fruit""",,,,
117,consumerGoodsCategory,Vegetables,name,"""Consumer price index of vegetables""",,,,
118,consumerGoodsCategory,PotatoesAndYamAndOtherTubers,name,"""Consumer price index of potatoes, yam, and other tubers""",,,,
119,consumerGoodsCategory,FoodProductsNotElsewhereClassified,name,"""Consumer price index of food products not elsewhere classified""",,,,
121,consumerGoodsCategory,CoffeeAndTeaAndCocoa,name,"""Consumer price index of coffee, tea, and cocoa""",,,,
122,consumerGoodsCategory,SoftDrinks,name,"""Consumer price index of soft drinks""",,,,
KN.I7,consumerGoodsCategory,AlcoholicBeveragesAndTobaccoAndNarcotics,name,"""Consumer price index of alcoholic beverages, tobacco, and narcotics""",,,,
211,consumerGoodsCategory,Spirits,name,"""Consumer price index of spirits""",,,,
212,consumerGoodsCategory,Wine,name,"""Consumer price index of wine""",,,,
220,consumerGoodsCategory,Tobacco,name,"""Consumer price index of tobacco""",,,,
230,consumerGoodsCategory,Narcotics,name,"""Consumer price index of narcotics""",,,,
KN.I8,consumerGoodsCategory,ClothingAndFootwear,name,"""Consumer price index of clothing and footwear""",,,,
311,consumerGoodsCategory,ClothingMaterialsAndOtherArticlesOfClothingAndClothingAccessories,name,"""Consumer price index of clothing materials, other articles of clothing, and clothing accessories""",,,,
312,consumerGoodsCategory,Garments,name,"""Consumer price index of garments""",,,,
314,consumerGoodsCategory,CleaningAndRepairAndHireOfClothing,name,"""Consumer price index of cleaning, repair, and hire of clothing""",,,,
321,consumerGoodsCategory,ShoesAndOtherFootwear,name,"""Consumer price index of shoes and other footwear""",,,,
322,consumerGoodsCategory,RepairAndHireOfFootwear,name,"""Consumer price index of repair and hire of footwear""",,,,
KN.I9,consumerGoodsCategory,HousingWaterAndElectricityAndGasAndOtherFuel,name,"""Consumer price index of housing, water, electricity, gas, and other fuel""",,,,
411,consumerGoodsCategory,ActualAndImputedRentalsForHousing,name,"""Consumer price index of actual and imputed rentals for housing""",,,,
441,consumerGoodsCategory,WaterSupply,name,"""Consumer price index of water supply""",,,,
442,consumerGoodsCategory,DwellingRelatedServices,name,"""Consumer price index of dwelling related services""",,,,
451,consumerGoodsCategory,Electricity,name,"""Consumer price index of electricity""",,,,
452,consumerGoodsCategory,Gas,name,"""Consumer price index of gas""",,,,
453,consumerGoodsCategory,LiquidFuel,name,"""Consumer price index of liquid fuel""",,,,
454,consumerGoodsCategory,SolidFuels,name,"""Consumer price index of solid fuels""",,,,
KN.I10,consumerGoodsCategory,FurnishingsAndHouseholdEquipmentMaintenance,name,"""Consumer price index of furnishings and household equipment maintenance""",,,,
511,consumerGoodsCategory,FurnitureAndFurnishings,name,"""Consumer price index of furniture and furnishings""",,,,
512,consumerGoodsCategory,CarpetsAndOtherFloorCoverings,name,"""Consumer price index of carpets and other floor coverings""",,,,
513,consumerGoodsCategory,RepairOfFurniture,name,"""Consumer price index of repair of furniture""",,,,
520,consumerGoodsCategory,HouseholdTextiles,name,"""Consumer price index of household textiles""",,,,
531,#ignore,Ignorning value,,,,,,
533,consumerGoodsCategory,RepairOfHouseholdAppliances,name,"""Consumer price index of repair of household appliances""",,,,
540,consumerGoodsCategory,GlasswareAndTablewareAndHouseholdUtensils,name,"""Consumer price index of glassware, tableware, and household utensils""",,,,
561,consumerGoodsCategory,NonDurableHouseholdGoods,name,"""Consumer price index of non durable household goods""",,,,
562,consumerGoodsCategory,DomesticServicesAndHouseholdServices,name,"""Consumer price index of domestic services and household services""",,,,
KN.I11,consumerGoodsCategory,Health,name,"""Consumer price index of health""",,,,
611,consumerGoodsCategory,Pharmaceutical,name,"""Consumer price index of pharmaceutical products""",,,,
621,consumerGoodsCategory,MedicalCareServices,name,"""Consumer price index of medical services""",,,,
622,consumerGoodsCategory,DentalServices,name,"""Consumer price index of dental services""",,,,
623,consumerGoodsCategory,ParamedicalServices,name,"""Consumer price index of paramedical services""",,,,
630,consumerGoodsCategory,HospitalServices,name,"""Consumer price index of hospital services""",,,,
KN.I12,consumerGoodsCategory,TransportSector,name,"""Consumer price index of transport""",,,,
711,consumerGoodsCategory,Motorcars,name,"""Consumer price index of motor cars""",,,,
712,consumerGoodsCategory,Motorcycles,name,"""Consumer price index of motor cycles""",,,,
713,consumerGoodsCategory,Bicycles,name,"""Consumer price index of bicycles""",,,,
721,consumerGoodsCategory,MotorVehiclePartsAndEquipment,name,"""Consumer price index of vehicle spare parts""",,,,
722,consumerGoodsCategory,FuelAndLubricant,compositeConsumerPriceIndex,PersonalTransportEquipment,name,"""Consumer price index of fuels and lubricants for personal transport equipment""",,
723,consumerGoodsCategory,MaintenanceAndRepair,usedFor,PersonalTransportEquipment,name,"""Consumer price index of maintenance and repair of personal transport equipment""",,
724,consumerGoodsCategory,NGA_OtherServices,usedFor,PersonalTransportEquipment,name,"""Consumer price index of other services in respect of personal transport equipment""",,
732,consumerGoodsCategory,PassengerTransport,modeOfTransportation,ByRoad,name,"""Consumer price index of passenger transport by road""",,
733,consumerGoodsCategory,PassengerTransport,modeOfTransportation,ByAir,name,"""Consumer price index of passenger transport by air""",,
734,consumerGoodsCategory,PassengerTransport,modeOfTransportation,BySea__InlandWaterway,name,"""Consumer price index of passenger transport by sea and inland waterway""",,
KN.I13,consumerGoodsCategory,Communication,name,"""Consumer price index of communication""",,,,
810,consumerGoodsCategory,Postage,name,"""Consumer price index of postal services""",,,,
820,consumerGoodsCategory,TelephoneAndTelefaxEquipment,name,"""Consumer price index of telephone and telefax equipment""",,,,
831,consumerGoodsCategory,TelephoneAndTelefaxService,name,"""Consumer price index of telephone and telefax services""",,,,
KN.I14,consumerGoodsCategory,RecreationAndCulture,name,"""Consumer price index of recreation and culture""",,,,
911,consumerGoodsCategory,VideoAndAudioProductsAndPhotographicEquipment,name,"""Consumer price index of audio-visual, photographic and information processing equipment""",,,,
912,consumerGoodsCategory,PhotographicDevelopment,name,"""Consumer price index of photographic development""",,,,
922,consumerGoodsCategory,MusicInstrumentsAndAccessories,name,"""Consumer price index of musical instrument""",,,,
941,consumerGoodsCategory,RecreationalAndSportsProducts,name,"""Consumer price index of recreational and sporting services""",,,,
943,consumerGoodsCategory,GamesOfChances,name,"""Consumer price index of games of chance""",,,,
KN.I15,consumerGoodsCategory,Education,name,"""Consumer price index of education""",,,,
1011,consumerGoodsCategory,BooksAndStationery,name,"""Consumer price index of books & Stationery""",,,,
KN.I16,consumerGoodsCategory,RestaurantAndHotels,name,"""Consumer price index of restaurant & hotels""",,,,
1111,consumerGoodsCategory,CateringServices,name,"""Consumer price index of catering services""",,,,
1112,consumerGoodsCategory,AccommodationServices,name,"""Consumer price index of accommodation services""",,,,
KN.I17,consumerGoodsCategory,MiscellaneousGoodsAndServices,name,"""Consumer price index of miscellaneous goods and services""",,,,
1211,consumerGoodsCategory,HairdressingSalonsAndPersonalGroomingEstablishments,name,"""Consumer price index of hairdressing salons and personal grooming establishments""",,,,
1213,consumerGoodsCategory,AppliancesAndArticlesAndProductsForPersonalCare,name,"""Consumer price index of appliances, articles and products for personal care""",,,,
1231,consumerGoodsCategory,JewelleryAndClocksAndWatches,name,"""Consumer price index of jewellery, clocks and watches""",,,,
1251,consumerGoodsCategory,Insurance,name,"""Consumer price index of insurance""",,,,
1271,consumerGoodsCategory,NGA_OtherServices,name,"""Consumer price index of other services""",,,,
KN.AA1,#ignore,ignore,,,,,,
KN.AA2,#ignore,ignore,,,,,,
KN.N1,measuredProperty,compositeConsumerPriceIndex,,,,,,
KN.N2,measuredProperty,consumerPriceIndex,placeOfResidenceClassification,Urban,,,,
KN.N3,measuredProperty,consumerPriceIndex,placeOfResidenceClassification,Rural,,,,
"F4_MEASURE:Index, May 2003 = 100",unit,IndexPointBasePeriodMay2003Equals100,,,,,,
"F4_MEASURE:Index, Nov 2009 = 100",unit,IndexPointBasePeriodNovember2009Equals100,,,,,,
KN.M8,unit,IndexPointBasePeriodSeptember1985Equals100,,,,,,
KN.M3,comparisonPeriod,MonthOnChange,statType,growthRate,,,,
KN.M4,comparisonPeriod,YearOnChange,statType,growthRate,,,,
KN.M5,#ignore,ignore,,,,,,
KN.M13,#ignore,ignore,,,,,,
KN.M6,#ignore,ignore,,,,,,
