key,prop,val,p1,v1,p2,v2,p3,v3
FOOD TECHNOLOGY,enrollmentLevel,Graduate,bachelorsDegreeMajor,FoodTechnology,,,Name1,"""Number of {Name2} people that graduate in Food Technology"""
FOUNDRY TECHNOLOGY,enrollmentLevel,Graduate,bachelorsDegreeMajor,FoundryTechnology,,,Name1,"""Number of {Name2} people that graduate in Foundry Technology"""
HOME & RURAL ECONOMICS,enrollmentLevel,Graduate,bachelorsDegreeMajor,HomeAndRuralEconomics,,,Name1,"""Number of {Name2} people that graduate in Home & Rural Economics"""
HOSPITALITY MANAGEMENT,enrollmentLevel,Graduate,bachelorsDegreeMajor,HospitalityManagement,,,Name1,"""Number of {Name2} people that graduate in Hospitality Management"""
IND. MAINT ENGR. TECH,enrollmentLevel,Graduate,bachelorsDegreeMajor,IndustrialMaintenanceEngineeringTechnology,,,Name1,"""Number of {Name2} people that graduate in Industrial Maintenance Engineering Technology"""
INSURANCE,enrollmentLevel,Graduate,bachelorsDegreeMajor,Insurance,,,Name1,"""Number of {Name2} people that graduate in Insurance"""
LEISURE & TOURISM MANAGEMENT,enrollmentLevel,Graduate,bachelorsDegreeMajor,LeisureAndTourismManagement,,,Name1,"""Number of {Name2} people that graduate in Leisure & Tourism Management"""
LIBRARY & INFORMATION SCIENCE,enrollmentLevel,Graduate,bachelorsDegreeMajor,LibraryScienceMajor,,,Name1,"""Number of {Name2} people that graduate in Library & Information Science"""
MARKETING,enrollmentLevel,Graduate,bachelorsDegreeMajor,Marketing,,,Name1,"""Number of {Name2} people that graduate in Marketing"""
MASS COMMUNICATION,enrollmentLevel,Graduate,bachelorsDegreeMajor,MassCommunication,,,Name1,"""Number of {Name2} people that graduate in Mass Communication"""
MATHEMATICS/STATISTICS,enrollmentLevel,Graduate,bachelorsDegreeMajor,MathAndStatisticsMajor,,,Name1,"""Number of {Name2} people that graduate in Mathematics/Statistics"""
MECHANICAL ENGR (PLANT ENGR),enrollmentLevel,Graduate,bachelorsDegreeMajor,MechanicalEngineering,courseSpecialization,PlantEngineering,Name1,"""Number of {Name2} people that graduate in Mechanical Engineering in Plant Engineering"""
MECHANICAL ENGR (PRODUCTION ENGR),enrollmentLevel,Graduate,bachelorsDegreeMajor,MechanicalEngineering,courseSpecialization,ProductionEngineering,Name1,"""Number of {Name2} people that graduate in Mechanical Engineering in Production Engineering"""
MECHANICAL ENGR TECHN,enrollmentLevel,Graduate,bachelorsDegreeMajor,MechanicalEngineering,,,Name1,"""Number of {Name2} people that graduate in Mechanical Engineering Technology"""
MECHNICAL ENGINEERING (AUTO),enrollmentLevel,Graduate,bachelorsDegreeMajor,MechanicalEngineering,courseSpecialization,Automotive,Name1,"""Number of {Name2} people that graduate in Mechanical Engineering in Auto"""
METALLURGY,enrollmentLevel,Graduate,bachelorsDegreeMajor,Metallurgy,,,Name1,"""Number of {Name2} people that graduate in Metallurgy"""
MINERAL RESOURCES ENGR TECH,enrollmentLevel,Graduate,bachelorsDegreeMajor,MineralResourcesEngineeringTechnology,,,Name1,"""Number of {Name2} people that graduate in Mineral Resources Engineering Technology"""
NUTRITION AND DIETETICS,enrollmentLevel,Graduate,bachelorsDegreeMajor,NutritionAndDietetics,,,Name1,"""Number of {Name2} people that graduate in Nutrition and Dietetics"""
OFFICE TECHNOLOGY & MANAGEMENT,enrollmentLevel,Graduate,bachelorsDegreeMajor,OfficeTechnologyAndManagement,,,Name1,"""Number of {Name2} people that graduate in Office Technology & Management"""
PRINTING TECH,enrollmentLevel,Graduate,bachelorsDegreeMajor,PrintingTechnology,,,Name1,"""Number of {Name2} people that graduate in Printing Technology"""
PRINTING TECHNOLOGY (BOOK PUBLISHING),enrollmentLevel,Graduate,bachelorsDegreeMajor,PrintingTechnology,courseSpecialization,BookPublishing,Name1,"""Number of {Name2} people that graduate in Printing Technology in Book Publishing"""
PUBLIC ADMIN,enrollmentLevel,Graduate,bachelorsDegreeMajor,PublicAdmin,,,Name1,"""Number of {Name2} people that graduate in Public Admin"""
PURCHASING AND SUPPLY,enrollmentLevel,Graduate,bachelorsDegreeMajor,PurchasingAndSupply,,,Name1,"""Number of {Name2} people that graduate in Purchasing and Supply"""
QUANTITY SURVEY,enrollmentLevel,Graduate,bachelorsDegreeMajor,QuantitySurvey,,,Name1,"""Number of {Name2} people that graduate in Quantity Survey"""
SCIENC LAB TECH (PHYSICS/ELECTRONICS),enrollmentLevel,Graduate,bachelorsDegreeMajor,ScienceLabTechnology,courseSpecialization,Physics__Electronics,Name1,"""Number of {Name2} people that graduate in Science Lab Technology in Physics/Electronics"""
SCIENCE LAB TECH,enrollmentLevel,Graduate,bachelorsDegreeMajor,ScienceLabTechnology,,,Name1,"""Number of {Name2} people that graduate in Science Lab Technology"""
SCIENCE LAB TECH (BIOCHEM/MICROBIOLOGY),enrollmentLevel,Graduate,bachelorsDegreeMajor,ScienceLabTechnology,courseSpecialization,Biochemistry__Microbiology,Name1,"""Number of {Name2} people that graduate in Science Lab Technology in Biochemistry/Microbiology"""
SCIENCE LAB TECH (BIOCHEMISTRY),enrollmentLevel,Graduate,bachelorsDegreeMajor,ScienceLabTechnology,courseSpecialization,Biochemistry,Name1,"""Number of {Name2} people that graduate in Science Lab Technology in Biochemistry"""
SCIENCE LAB TECH (BIOLOGY),enrollmentLevel,Graduate,bachelorsDegreeMajor,ScienceLabTechnology,courseSpecialization,Biology,Name1,"""Number of {Name2} people that graduate in Science Lab Technology in Biology"""
SCIENCE LAB TECH (BIOLOGY/MICROBIOLOGY),enrollmentLevel,Graduate,bachelorsDegreeMajor,ScienceLabTechnology,courseSpecialization,Biology__Microbiology,Name1,"""Number of {Name2} people that graduate in Science Lab Technology in Biology/Microbiology"""
SCIENCE LAB TECH (CHEMISTRY/BIOCHEMISTRY),enrollmentLevel,Graduate,bachelorsDegreeMajor,ScienceLabTechnology,courseSpecialization,Chemistry__Biochemistry,Name1,"""Number of {Name2} people that graduate in Science Lab Technology in Chemistry/Biochemistry"""
SCIENCE LAB TECH (MICROBIOLOGY),enrollmentLevel,Graduate,bachelorsDegreeMajor,ScienceLabTechnology,courseSpecialization,Microbiology,Name1,"""Number of {Name2} people that graduate in Science Lab Technology in Microbiology"""
SCIENCE LAB. TECHNOLOGY (ENVIRONMENTAL BIOLOGY),enrollmentLevel,Graduate,bachelorsDegreeMajor,ScienceLabTechnology,courseSpecialization,EnvironmentalBiology,Name1,"""Number of {Name2} people that graduate in Science Lab Technology in Environmental Biology"""
STATISTICS,enrollmentLevel,Graduate,bachelorsDegreeMajor,Statistics,,,Name1,"""Number of {Name2} people that graduate in Statistics"""
SURVEYING & GEOINFORMATICS,enrollmentLevel,Graduate,bachelorsDegreeMajor,SurveyingAndGeoInformatics,,,Name1,"""Number of {Name2} people that graduate in Surveying & GeoInformatics"""
TELECOMMUNICATION TECHNOLOGY,enrollmentLevel,Graduate,bachelorsDegreeMajor,TelecommunicationTechnology,,,Name1,"""Number of {Name2} people that graduate in Telecommunication Technology"""
TEXTILE TECHNOLGY,enrollmentLevel,Graduate,bachelorsDegreeMajor,TextileTechnology,,,Name1,"""Number of {Name2} people that graduate in Textile Technology"""
URBAN AND REG PLANNING,enrollmentLevel,Graduate,bachelorsDegreeMajor,UrbanAndRegionalPlanning,,,Name1,"""Number of {Name2} people that graduate in Urban And Regional Planning"""
TOTAL,#ignore,Count not proper as per total ,,,,,,
