Emirates_EN,Emirates_AR,Nationality_EN,Nationality_AR,sex_EN,sex_AR ,year ,value 
Ajman,عجمان ,National,مواطنين ,Male,ذكور,1980,6866
Umm Al - Quwain,أم القيوين ,National,مواطنين ,Male,ذكور,1980,2956
Ras Al Khaima,رأس الخيمة ,National,مواطنين ,Male,ذكور,1980,20116
Al Fujairah,الفجيرة ,National,مواطنين ,Male,ذكور,1980,9484
Abu Dhabi,أبوظبي ,National,مواطنين ,female ,إناث,1980,42799
Dubai,دبي ,National,مواطنين ,female ,إناث,1980,30303
Al Sharjah,الشارقة ,National,مواطنين ,female ,إناث,1980,29550
Ajman,عجمان ,National,مواطنين ,female ,إناث,1980,6510
Umm Al - Quwain,أم القيوين ,National,مواطنين ,female ,إناث,1980,2889
Ras Al Khaima,رأس الخيمة ,National,مواطنين ,female ,إناث,1980,19032
Al Fujairah,الفجيرة ,National,مواطنين ,female ,إناث,1980,8888
Abu Dhabi,أبوظبي ,Non-National,غير مواطنين ,Male,ذكور,1980,283695
Dubai,دبي ,Non-National,غير مواطنين ,Male,ذكور,1980,155501
Al Sharjah,الشارقة ,Non-National,غير مواطنين ,Male,ذكور,1980,71840
Ajman,عجمان ,Non-National,غير مواطنين ,Male,ذكور,1980,15378
Umm Al - Quwain,أم القيوين ,Non-National,غير مواطنين ,Male,ذكور,1980,5004
Ras Al Khaima,رأس الخيمة ,Non-National,غير مواطنين ,Male,ذكور,1980,26409
Al Fujairah,الفجيرة ,Non-National,غير مواطنين ,Male,ذكور,1980,11312
Abu Dhabi,أبوظبي ,Non-National,غير مواطنين ,female ,إناث,1980,77361
Dubai,دبي ,Non-National,غير مواطنين ,female ,إناث,1980,58284
Al Sharjah,الشارقة ,Non-National,غير مواطنين ,female ,إناث,1980,26982
Ajman,عجمان ,Non-National,غير مواطنين ,female ,إناث,1980,7346
Umm Al - Quwain,أم القيوين ,Non-National,غير مواطنين ,female ,إناث,1980,1577
Ras Al Khaima,رأس الخيمة ,Non-National,غير مواطنين ,female ,إناث,1980,8361
Al Fujairah,الفجيرة ,Non-National,غير مواطنين ,female ,إناث,1980,2505
Abu Dhabi,أبوظبي ,National,مواطنين ,Male,ذكور,1985,69975
Dubai,دبي ,National,مواطنين ,Male,ذكور,1985,39221
Al Sharjah,الشارقة ,National,مواطنين ,Male,ذكور,1985,40333
Ajman,عجمان ,National,مواطنين ,Male,ذكور,1985,9827
Umm Al - Quwain,أم القيوين ,National,مواطنين ,Male,ذكور,1985,4430
Ras Al Khaima,رأس الخيمة ,National,مواطنين ,Male,ذكور,1985,24835
Al Fujairah,الفجيرة ,National,مواطنين ,Male,ذكور,1985,13536
Abu Dhabi,أبوظبي ,National,مواطنين ,female ,إناث,1985,66007
Dubai,دبي ,National,مواطنين ,female ,إناث,1985,37471
Al Sharjah,الشارقة ,National,مواطنين ,female ,إناث,1985,39070
Ajman,عجمان ,National,مواطنين ,female ,إناث,1985,9426
Umm Al - Quwain,أم القيوين ,National,مواطنين ,female ,إناث,1985,4411
Ras Al Khaima,رأس الخيمة ,National,مواطنين ,female ,إناث,1985,24482
Al Fujairah,الفجيرة ,National,مواطنين ,female ,إناث,1985,13090
Abu Dhabi,أبوظبي ,Non-National,غير مواطنين ,Male,ذكور,1985,310278
Dubai,دبي ,Non-National,غير مواطنين ,Male,ذكور,1985,207958
Al Sharjah,الشارقة ,Non-National,غير مواطنين ,Male,ذكور,1985,101518
Ajman,عجمان ,Non-National,غير مواطنين ,Male,ذكور,1985,23008
Umm Al - Quwain,أم القيوين ,Non-National,غير مواطنين ,Male,ذكور,1985,7229
Ras Al Khaima,رأس الخيمة ,Non-National,غير مواطنين ,Male,ذكور,1985,31578
Al Fujairah,الفجيرة ,Non-National,غير مواطنين ,Male,ذكور,1985,11874
Abu Dhabi,أبوظبي ,Non-National,غير مواطنين ,female ,إناث,1985,119776
Dubai,دبي ,Non-National,غير مواطنين ,female ,إناث,1985,86138
Al Sharjah,الشارقة ,Non-National,غير مواطنين ,female ,إناث,1985,47396
Ajman,عجمان ,Non-National,غير مواطنين ,female ,إناث,1985,12285
Umm Al - Quwain,أم القيوين ,Non-National,غير مواطنين ,female ,إناث,1985,3215
Ras Al Khaima,رأس الخيمة ,Non-National,غير مواطنين ,female ,إناث,1985,15683
Al Fujairah,الفجيرة ,Non-National,غير مواطنين ,female ,إناث,1985,5253
Abu Dhabi,أبوظبي ,National,مواطنين ,Male,ذكور,1995,113365
Dubai,دبي ,National,مواطنين ,Male,ذكور,1995,54330
Al Sharjah,الشارقة ,National,مواطنين ,Male,ذكور,1995,53945
Ajman,عجمان ,National,مواطنين ,Male,ذكور,1995,14855
Umm Al - Quwain,أم القيوين ,National,مواطنين ,Male,ذكور,1995,6464
Ras Al Khaima,رأس الخيمة ,National,مواطنين ,Male,ذكور,1995,33556
Al Fujairah,الفجيرة ,National,مواطنين ,Male,ذكور,1995,20545
Abu Dhabi,أبوظبي ,National,مواطنين ,female ,إناث,1995,109262
Dubai,دبي ,National,مواطنين ,female ,إناث,1995,53411
Al Sharjah,الشارقة ,National,مواطنين ,female ,إناث,1995,52976
Ajman,عجمان ,National,مواطنين ,female ,إناث,1995,13977
Umm Al - Quwain,أم القيوين ,National,مواطنين ,female ,إناث,1995,6568
Ras Al Khaima,رأس الخيمة ,National,مواطنين ,female ,إناث,1995,33820
Al Fujairah,الفجيرة ,National,مواطنين ,female ,إناث,1995,20256
Abu Dhabi,أبوظبي ,Non-National,غير مواطنين ,Male,ذكور,1995,537379
Dubai,دبي ,Non-National,غير مواطنين ,Male,ذكور,1995,423879
Al Sharjah,الشارقة ,Non-National,غير مواطنين ,Male,ذكور,1995,200369
Ajman,عجمان ,Non-National,غير مواطنين ,Male,ذكور,1995,57977
Umm Al - Quwain,أم القيوين ,Non-National,غير مواطنين ,Male,ذكور,1995,14483
Ras Al Khaima,رأس الخيمة ,Non-National,غير مواطنين ,Male,ذكور,1995,50436
Al Fujairah,الفجيرة ,Non-National,غير مواطنين ,Male,ذكور,1995,25221
Abu Dhabi,أبوظبي ,Non-National,غير مواطنين ,female ,إناث,1995,182457
Dubai,دبي ,Non-National,غير مواطنين ,female ,إناث,1995,157800
Al Sharjah,الشارقة ,Non-National,غير مواطنين ,female ,إناث,1995,95502
Ajman,عجمان ,Non-National,غير مواطنين ,female ,إناث,1995,34682
Umm Al - Quwain,أم القيوين ,Non-National,غير مواطنين ,female ,إناث,1995,7846
Ras Al Khaima,رأس الخيمة ,Non-National,غير مواطنين ,female ,إناث,1995,25522
Al Fujairah,الفجيرة ,Non-National,غير مواطنين ,female ,إناث,1995,10158
Abu Dhabi,أبوظبي ,National,مواطنين ,Male,ذكور,2005,176926
Dubai,دبي ,National,مواطنين ,Male,ذكور,2005,68995
Al Sharjah,الشارقة ,National,مواطنين ,Male,ذكور,2005,71307
Ajman,عجمان ,National,مواطنين ,Male,ذكور,2005,20155
Umm Al - Quwain,أم القيوين ,National,مواطنين ,Male,ذكور,2005,7914
Ras Al Khaima,رأس الخيمة ,National,مواطنين ,Male,ذكور,2005,44299
Al Fujairah,الفجيرة ,National,مواطنين ,Male,ذكور,2005,28321
Abu Dhabi,أبوظبي ,National,مواطنين ,female ,إناث,2005,173351
Dubai,دبي ,National,مواطنين ,female ,إناث,2005,68578
Al Sharjah,الشارقة ,National,مواطنين ,female ,إناث,2005,66965
Ajman,عجمان ,National,مواطنين ,female ,إناث,2005,19076
Umm Al - Quwain,أم القيوين ,National,مواطنين ,female ,إناث,2005,7959
Ras Al Khaima,رأس الخيمة ,National,مواطنين ,female ,إناث,2005,43549
Al Fujairah,الفجيرة ,National,مواطنين ,female ,إناث,2005,28100
Abu Dhabi,أبوظبي ,Non-National,غير مواطنين ,Male,ذكور,2005,749893
Dubai,دبي ,Non-National,غير مواطنين ,Male,ذكور,2005,920310
Al Sharjah,الشارقة ,Non-National,غير مواطنين ,Male,ذكور,2005,448927
Ajman,عجمان ,Non-National,غير مواطنين ,Male,ذكور,2005,111529
Umm Al - Quwain,أم القيوين ,Non-National,غير مواطنين ,Male,ذكور,2005,22170
Ras Al Khaima,رأس الخيمة ,Non-National,غير مواطنين ,Male,ذكور,2005,85143
Al Fujairah,الفجيرة ,Non-National,غير مواطنين ,Male,ذكور,2005,50263
Abu Dhabi,أبوظبي ,Non-National,غير مواطنين ,female ,إناث,2005,299314
Dubai,دبي ,Non-National,غير مواطنين ,female ,إناث,2005,263570
Al Sharjah,الشارقة ,Non-National,غير مواطنين ,female ,إناث,2005,206374
Ajman,عجمان ,Non-National,غير مواطنين ,female ,إناث,2005,56237
Umm Al - Quwain,أم القيوين ,Non-National,غير مواطنين ,female ,إناث,2005,11116
Ras Al Khaima,رأس الخيمة ,Non-National,غير مواطنين ,female ,إناث,2005,37072
Al Fujairah,الفجيرة ,Non-National,غير مواطنين ,female ,إناث,2005,19014
