Date,GeoId,CumulativeCount_Vaccine_COVID_19_Administered,IncrementalCount_Vaccine_COVID_19_Administered,CumulativeCount_MedicalConditionIncident_COVID_19_ConfirmedCase,IncrementalCount_MedicalConditionIncident_COVID_19_ConfirmedCase,CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased,IncrementalCount_MedicalConditionIncident_COVID_19_PatientDeceased,Count_MedicalConditionIncident_COVID_19_PatientInICU,Count_MedicalConditionIncident_COVID_19_PatientHospitalized,CumulativeCount_MedicalTest_ConditionCOVID_19,IncrementalCount_MedicalTest_ConditionCOVID_19
2020-04-06,country/AFG,,,368.0,30.0,15.0,3.0,,,,
2020-04-07,country/AFG,,,424.0,56.0,16.0,1.0,,,,
2020-04-08,country/AFG,,,445.0,21.0,16.0,0.0,,,,
2020-04-09,country/AFG,,,485.0,40.0,17.0,1.0,,,,
2020-04-10,country/AFG,,,532.0,47.0,18.0,1.0,,,,
2020-04-11,country/AFG,,,556.0,24.0,18.0,0.0,,,,
2020-04-12,country/AFG,,,608.0,52.0,19.0,1.0,,,,
2020-04-13,country/AFG,,,666.0,58.0,22.0,3.0,,,,
2020-04-14,country/AFG,,,715.0,49.0,23.0,1.0,,,,
2020-04-15,country/AFG,,,785.0,70.0,29.0,6.0,,,,
2020-04-16,country/AFG,,,841.0,56.0,30.0,1.0,,,,
2020-04-17,country/AFG,,,907.0,66.0,30.0,0.0,,,,
2020-04-18,country/AFG,,,934.0,27.0,30.0,0.0,,,,
2020-04-19,country/AFG,,,997.0,63.0,33.0,3.0,,,,
2020-04-20,country/AFG,,,1027.0,30.0,36.0,3.0,,,,
2020-04-21,country/AFG,,,1093.0,66.0,36.0,0.0,,,,
2020-04-22,country/AFG,,,1177.0,84.0,40.0,4.0,,,,
2020-04-23,country/AFG,,,1236.0,59.0,40.0,0.0,,,,
2020-04-24,country/AFG,,,1331.0,95.0,43.0,3.0,,,,
2020-04-25,country/AFG,,,1464.0,133.0,47.0,4.0,,,,
2020-04-26,country/AFG,,,1532.0,68.0,52.0,5.0,,,,
2020-04-27,country/AFG,,,1704.0,172.0,58.0,6.0,,,,
2020-04-28,country/AFG,,,1830.0,126.0,59.0,1.0,,,,
2020-04-29,country/AFG,,,1940.0,110.0,61.0,2.0,,,,
2020-04-30,country/AFG,,,2127.0,187.0,64.0,3.0,,,,
2020-05-01,country/AFG,,,2291.0,164.0,68.0,4.0,,,,
2020-05-02,country/AFG,,,2470.0,179.0,72.0,4.0,,,,
2020-05-03,country/AFG,,,2705.0,235.0,85.0,13.0,,,,
2020-05-04,country/AFG,,,2895.0,190.0,90.0,5.0,,,,
2020-05-05,country/AFG,,,3225.0,330.0,95.0,5.0,,,,
2020-05-06,country/AFG,,,3393.0,168.0,104.0,9.0,,,,
2020-05-07,country/AFG,,,3564.0,171.0,106.0,2.0,,,,
2020-05-08,country/AFG,,,3781.0,217.0,109.0,3.0,,,,
2020-05-09,country/AFG,,,4042.0,261.0,115.0,6.0,,,,
2020-05-10,country/AFG,,,4403.0,361.0,120.0,5.0,,,,
2020-05-11,country/AFG,,,4687.0,284.0,122.0,2.0,,,,
2020-05-12,country/AFG,,,4968.0,281.0,127.0,5.0,,,,
2020-05-13,country/AFG,,,5227.0,259.0,132.0,5.0,,,,
2020-05-14,country/AFG,,,5640.0,413.0,136.0,4.0,,,,
2020-05-15,country/AFG,,,6054.0,414.0,153.0,17.0,,,,
2020-05-16,country/AFG,,,6403.0,349.0,168.0,15.0,,,,
2020-05-17,country/AFG,,,6665.0,262.0,170.0,2.0,,,,
2020-05-18,country/AFG,,,7073.0,408.0,173.0,3.0,,,,
2020-05-19,country/AFG,,,7654.0,581.0,178.0,5.0,,,,
2020-05-20,country/AFG,,,8146.0,492.0,188.0,10.0,,,,
2020-05-21,country/AFG,,,8677.0,531.0,194.0,6.0,,,,
2020-05-22,country/AFG,,,9219.0,542.0,206.0,12.0,,,,
2020-05-23,country/AFG,,,10001.0,782.0,217.0,11.0,,,,
2020-05-24,country/AFG,,,10585.0,584.0,219.0,2.0,,,,
2020-05-25,country/AFG,,,11176.0,591.0,220.0,1.0,,,,
2020-05-26,country/AFG,,,11834.0,658.0,221.0,1.0,,,,
2020-05-27,country/AFG,,,12459.0,625.0,228.0,7.0,,,,
2020-05-28,country/AFG,,,13039.0,580.0,236.0,8.0,,,,
2020-05-29,country/AFG,,,13662.0,623.0,247.0,11.0,,,,
2020-05-30,country/AFG,,,14528.0,866.0,250.0,3.0,,,,
2020-05-31,country/AFG,,,15208.0,680.0,258.0,8.0,,,,
2020-06-01,country/AFG,,,15753.0,545.0,266.0,8.0,,,,
2020-06-02,country/AFG,,,16512.0,759.0,274.0,8.0,,,,
2020-06-03,country/AFG,,,17270.0,758.0,298.0,24.0,,,,
2020-06-04,country/AFG,,,18057.0,787.0,304.0,6.0,,,,
2020-06-05,country/AFG,,,18972.0,915.0,313.0,9.0,,,,
2020-06-06,country/AFG,,,19554.0,582.0,331.0,18.0,,,,
2020-06-07,country/AFG,,,20345.0,791.0,361.0,30.0,,,,
2020-06-08,country/AFG,,,20920.0,575.0,373.0,12.0,,,,
2020-06-09,country/AFG,,,21462.0,542.0,388.0,15.0,,,,
2020-06-10,country/AFG,,,22146.0,684.0,409.0,21.0,,,,
2020-06-11,country/AFG,,,22894.0,748.0,430.0,21.0,,,,
2020-06-12,country/AFG,,,23550.0,656.0,450.0,20.0,,,,
2020-06-13,country/AFG,,,24106.0,556.0,455.0,5.0,,,,
2020-06-14,country/AFG,,,24770.0,664.0,475.0,20.0,,,,
2020-06-15,country/AFG,,,25531.0,761.0,482.0,7.0,,,,
2020-06-16,country/AFG,,,26314.0,783.0,495.0,13.0,,,,
2020-06-17,country/AFG,,,26878.0,564.0,508.0,13.0,,,,
2020-06-18,country/AFG,,,27536.0,658.0,550.0,42.0,,,,
2020-06-19,country/AFG,,,27882.0,346.0,552.0,2.0,,,,
2020-06-20,country/AFG,,,28428.0,546.0,573.0,21.0,,,,
2020-06-21,country/AFG,,,28837.0,409.0,585.0,12.0,,,,
2020-06-22,country/AFG,,,29147.0,310.0,597.0,12.0,,,,
2020-06-23,country/AFG,,,29471.0,324.0,617.0,20.0,,,,
2020-06-24,country/AFG,,,29705.0,234.0,638.0,21.0,,,,
2020-06-25,country/AFG,,,30165.0,460.0,674.0,36.0,,,,
2020-06-26,country/AFG,,,30441.0,276.0,682.0,8.0,,,,
2020-06-27,country/AFG,,,30606.0,165.0,716.0,34.0,,,,
2020-06-28,country/AFG,,,30957.0,351.0,728.0,12.0,,,,
2020-06-29,country/AFG,,,31228.0,271.0,740.0,12.0,,,,
2020-06-30,country/AFG,,,31507.0,279.0,752.0,12.0,,,,
2020-07-01,country/AFG,,,31826.0,319.0,780.0,28.0,,,,
2020-07-02,country/AFG,,,32012.0,186.0,809.0,29.0,,,,
2020-07-03,country/AFG,,,32314.0,302.0,821.0,12.0,,,,
2020-07-04,country/AFG,,,32662.0,348.0,828.0,7.0,,,,
2020-07-05,country/AFG,,,32941.0,279.0,866.0,38.0,,,,
2020-07-06,country/AFG,,,33180.0,239.0,900.0,34.0,,,,
2020-07-07,country/AFG,,,33374.0,194.0,922.0,22.0,,,,
2020-07-08,country/AFG,,,33584.0,210.0,939.0,17.0,,,,
2020-07-09,country/AFG,,,33898.0,314.0,959.0,20.0,,,,
2020-07-10,country/AFG,,,34184.0,286.0,973.0,14.0,,,,
2020-07-11,country/AFG,,,34356.0,172.0,996.0,23.0,,,,
2020-07-12,country/AFG,,,34441.0,85.0,1012.0,16.0,,,,
2020-07-13,country/AFG,,,34595.0,154.0,1040.0,28.0,,,,
2020-07-14,country/AFG,,,34730.0,135.0,1064.0,24.0,,,,
2020-07-15,country/AFG,,,34984.0,254.0,1096.0,32.0,,,,
2020-07-16,country/AFG,,,35060.0,76.0,1117.0,21.0,,,,
2020-07-17,country/AFG,,,35219.0,159.0,1149.0,32.0,,,,
2020-07-18,country/AFG,,,35279.0,60.0,1166.0,17.0,,,,
2020-07-19,country/AFG,,,35453.0,174.0,1183.0,17.0,,,,
2020-07-20,country/AFG,,,35493.0,40.0,1185.0,2.0,,,,
2020-07-21,country/AFG,,,35605.0,112.0,1188.0,3.0,,,,
2020-07-22,country/AFG,,,35717.0,112.0,1192.0,4.0,,,,
2020-07-23,country/AFG,,,35918.0,201.0,1213.0,21.0,,,,
2020-07-24,country/AFG,,,35978.0,60.0,1227.0,14.0,,,,
2020-07-25,country/AFG,,,36026.0,48.0,1249.0,22.0,,,,
2020-07-26,country/AFG,,,36147.0,121.0,1261.0,12.0,,,,
2020-07-27,country/AFG,,,36253.0,106.0,1271.0,10.0,,,,
2020-07-28,country/AFG,,,36358.0,105.0,1272.0,1.0,,,,
2020-07-29,country/AFG,,,36463.0,105.0,1273.0,1.0,,,,
2020-07-30,country/AFG,,,36532.0,69.0,1283.0,10.0,,,,
2020-07-31,country/AFG,,,36665.0,133.0,1284.0,1.0,,,,
2020-08-01,country/AFG,,,36700.0,35.0,1285.0,1.0,,,,
2020-08-02,country/AFG,,,36701.0,1.0,1286.0,1.0,,,,
2020-08-03,country/AFG,,,36737.0,36.0,1290.0,4.0,,,,
2020-08-04,country/AFG,,,36773.0,36.0,1290.0,0.0,,,,
2020-08-05,country/AFG,,,36820.0,47.0,1296.0,6.0,,,,
2020-08-06,country/AFG,,,36928.0,108.0,1301.0,5.0,,,,
2020-08-07,country/AFG,,,37006.0,78.0,1310.0,9.0,,,,
2020-08-08,country/AFG,,,37046.0,40.0,1315.0,5.0,,,,
2020-08-09,country/AFG,,,37083.0,37.0,1321.0,6.0,,,,
2020-08-10,country/AFG,,,37153.0,70.0,1329.0,8.0,,,,
2020-08-11,country/AFG,,,37260.0,107.0,1346.0,17.0,,,,
2020-08-12,country/AFG,,,37336.0,76.0,1356.0,10.0,,,,
2020-08-13,country/AFG,,,37422.0,86.0,1365.0,9.0,,,,
2020-08-14,country/AFG,,,37497.0,75.0,1370.0,5.0,,,,
2020-08-15,country/AFG,,,37542.0,45.0,1371.0,1.0,,,,
2020-08-16,country/AFG,,,37590.0,48.0,1376.0,5.0,,,,
2020-08-17,country/AFG,,,37667.0,77.0,1378.0,2.0,,,,
2020-08-18,country/AFG,,,37710.0,43.0,1382.0,4.0,,,,
2020-08-19,country/AFG,,,37750.0,40.0,1384.0,2.0,,,,
2020-08-20,country/AFG,,,37852.0,102.0,1386.0,2.0,,,,
2020-08-21,country/AFG,,,37885.0,33.0,1386.0,0.0,,,,
2020-08-22,country/AFG,,,37944.0,59.0,1386.0,0.0,,,,
2020-08-23,country/AFG,,,37990.0,46.0,1388.0,2.0,,,,
2020-08-24,country/AFG,,,38045.0,55.0,1390.0,2.0,,,,
2020-08-25,country/AFG,,,38061.0,16.0,1398.0,8.0,,,,
2020-08-26,country/AFG,,,38103.0,42.0,1402.0,4.0,,,,
2020-08-27,country/AFG,,,38119.0,16.0,1402.0,0.0,,,,
2020-08-28,country/AFG,,,38130.0,11.0,1403.0,1.0,,,,
2020-08-29,country/AFG,,,38133.0,3.0,1403.0,0.0,,,,
2020-08-30,country/AFG,,,38155.0,22.0,1403.0,0.0,,,,
2020-08-31,country/AFG,,,38159.0,4.0,1403.0,0.0,,,,
2020-09-01,country/AFG,,,38193.0,34.0,1407.0,4.0,,,,
2020-09-02,country/AFG,,,38243.0,50.0,1410.0,3.0,,,,
2020-09-03,country/AFG,,,38288.0,45.0,1410.0,0.0,,,,
2020-09-04,country/AFG,,,38304.0,16.0,1410.0,0.0,,,,
2020-09-05,country/AFG,,,38324.0,20.0,1410.0,0.0,,,,
2020-09-06,country/AFG,,,38398.0,74.0,1413.0,3.0,,,,
2020-09-07,country/AFG,,,38494.0,96.0,1416.0,3.0,,,,
2020-09-08,country/AFG,,,38520.0,26.0,1419.0,3.0,,,,
2020-09-09,country/AFG,,,38544.0,24.0,1421.0,2.0,,,,
2020-09-10,country/AFG,,,38572.0,28.0,1421.0,0.0,,,,
2020-09-11,country/AFG,,,38606.0,34.0,1421.0,0.0,,,,
2020-09-12,country/AFG,,,38641.0,35.0,1421.0,0.0,,,,
2020-09-13,country/AFG,,,38716.0,75.0,1421.0,0.0,,,,
2020-09-14,country/AFG,,,38772.0,56.0,1427.0,6.0,,,,
2020-09-15,country/AFG,,,38815.0,43.0,1428.0,1.0,,,,
2020-09-16,country/AFG,,,38855.0,40.0,1438.0,10.0,,,,
2020-09-17,country/AFG,,,38872.0,17.0,1438.0,0.0,,,,
2020-09-18,country/AFG,,,38897.0,25.0,1439.0,1.0,,,,
2020-09-19,country/AFG,,,38919.0,22.0,1439.0,0.0,,,,
2020-09-20,country/AFG,,,39044.0,125.0,1443.0,4.0,,,,
2020-09-21,country/AFG,,,39074.0,30.0,1446.0,3.0,,,,
2020-09-22,country/AFG,,,39096.0,22.0,1447.0,1.0,,,,
2020-09-23,country/AFG,,,39145.0,49.0,1448.0,1.0,,,,
2020-09-24,country/AFG,,,39170.0,25.0,1453.0,5.0,,,,
2020-09-25,country/AFG,,,39186.0,16.0,1453.0,0.0,,,,
2020-09-26,country/AFG,,,39192.0,6.0,1455.0,2.0,,,,
2020-09-27,country/AFG,,,39227.0,35.0,1455.0,0.0,,,,
2020-09-28,country/AFG,,,39239.0,12.0,1458.0,3.0,,,,
2020-09-29,country/AFG,,,39254.0,15.0,1460.0,2.0,,,,
2020-09-30,country/AFG,,,39268.0,14.0,1460.0,0.0,,,,
2020-10-01,country/AFG,,,39285.0,17.0,1460.0,0.0,,,,
2020-10-02,country/AFG,,,39290.0,5.0,1460.0,0.0,,,,
2020-10-03,country/AFG,,,39297.0,7.0,1464.0,4.0,,,,
2020-10-04,country/AFG,,,39341.0,44.0,1464.0,0.0,,,,
2020-10-05,country/AFG,,,39422.0,81.0,1468.0,4.0,,,,
2020-10-06,country/AFG,,,39486.0,64.0,1469.0,1.0,,,,
2020-10-07,country/AFG,,,39548.0,62.0,1471.0,2.0,,,,
2020-10-08,country/AFG,,,39616.0,68.0,1472.0,1.0,,,,
2020-10-09,country/AFG,,,39693.0,77.0,1474.0,2.0,,,,
2020-10-10,country/AFG,,,39703.0,10.0,1475.0,1.0,,,,
2020-10-11,country/AFG,,,39799.0,96.0,1479.0,4.0,,,,
2020-10-12,country/AFG,,,39870.0,71.0,1481.0,2.0,,,,
2020-10-13,country/AFG,,,39928.0,58.0,1482.0,1.0,,,,
2020-10-14,country/AFG,,,39994.0,66.0,1483.0,1.0,,,,
2020-10-15,country/AFG,,,40026.0,32.0,1483.0,0.0,,,,
2020-10-16,country/AFG,,,40088.0,62.0,1487.0,4.0,,,,
2020-10-17,country/AFG,,,40141.0,53.0,1490.0,3.0,,,,
2020-10-18,country/AFG,,,40200.0,59.0,1494.0,4.0,,,,
2020-10-19,country/AFG,,,40287.0,87.0,1499.0,5.0,,,,
2020-10-20,country/AFG,,,40369.0,82.0,1501.0,2.0,,,,
2020-10-21,country/AFG,,,40510.0,141.0,1503.0,2.0,,,,
2020-10-22,country/AFG,,,40626.0,116.0,1507.0,4.0,,,,
2020-10-23,country/AFG,,,40687.0,61.0,1509.0,2.0,,,,
2020-10-24,country/AFG,,,40768.0,81.0,1513.0,4.0,,,,
2020-10-25,country/AFG,,,40833.0,65.0,1516.0,3.0,,,,
2020-10-26,country/AFG,,,40937.0,104.0,1520.0,4.0,,,,
2020-10-27,country/AFG,,,41032.0,95.0,1525.0,5.0,,,,
2020-10-28,country/AFG,,,41145.0,113.0,1531.0,6.0,,,,
2020-10-29,country/AFG,,,41268.0,123.0,1534.0,3.0,,,,
2020-10-30,country/AFG,,,41334.0,66.0,1535.0,1.0,,,,
2020-10-31,country/AFG,,,41425.0,91.0,1538.0,3.0,,,,
2020-11-01,country/AFG,,,41501.0,76.0,1538.0,0.0,,,,
2020-11-02,country/AFG,,,41633.0,132.0,1544.0,6.0,,,,
2020-11-03,country/AFG,,,41728.0,95.0,1547.0,3.0,,,,
2020-11-04,country/AFG,,,41814.0,86.0,1551.0,4.0,,,,
2020-11-05,country/AFG,,,41935.0,121.0,1557.0,6.0,,,,
2020-11-06,country/AFG,,,41975.0,40.0,1557.0,0.0,,,,
2020-11-07,country/AFG,,,42033.0,58.0,1559.0,2.0,,,,
2020-11-08,country/AFG,,,42159.0,126.0,1565.0,6.0,,,,
2020-11-09,country/AFG,,,42297.0,138.0,1577.0,12.0,,,,
2020-11-10,country/AFG,,,42463.0,166.0,1580.0,3.0,,,,
2020-11-11,country/AFG,,,42609.0,146.0,1584.0,4.0,,,,
2020-11-12,country/AFG,,,42795.0,186.0,1594.0,10.0,,,,
2020-11-13,country/AFG,,,42969.0,174.0,1598.0,4.0,,,,
2020-11-14,country/AFG,,,43035.0,66.0,1608.0,10.0,,,,
2020-11-15,country/AFG,,,43240.0,205.0,1620.0,12.0,,,,
2020-11-16,country/AFG,,,43468.0,228.0,1635.0,15.0,,,,
2020-11-17,country/AFG,,,43681.0,213.0,1641.0,6.0,,,,
2020-11-18,country/AFG,,,43924.0,243.0,1648.0,7.0,,,,
2020-11-19,country/AFG,,,44177.0,253.0,1653.0,5.0,,,,
2020-11-20,country/AFG,,,44363.0,186.0,1666.0,13.0,,,,
2020-11-21,country/AFG,,,44503.0,140.0,1678.0,12.0,,,,
2020-11-22,country/AFG,,,44706.0,203.0,1690.0,12.0,,,,
2020-11-23,country/AFG,,,44988.0,282.0,1702.0,12.0,,,,
2020-11-24,country/AFG,,,45174.0,186.0,1715.0,13.0,,,,
2020-11-25,country/AFG,,,45384.0,210.0,1728.0,13.0,,,,
2020-11-26,country/AFG,,,45600.0,216.0,1737.0,9.0,,,,
2020-11-27,country/AFG,,,45723.0,123.0,1740.0,3.0,,,,
2020-11-28,country/AFG,,,45844.0,121.0,1752.0,12.0,,,,
2020-11-29,country/AFG,,,46116.0,272.0,1774.0,22.0,,,,
2020-11-30,country/AFG,,,46274.0,158.0,1795.0,21.0,,,,
2020-12-01,country/AFG,,,46516.0,242.0,1822.0,27.0,,,,
2020-12-02,country/AFG,,,46718.0,202.0,1841.0,19.0,,,,
2020-12-03,country/AFG,,,46837.0,119.0,1846.0,5.0,,,,
2020-12-04,country/AFG,,,46837.0,0.0,1846.0,0.0,,,,
2020-12-05,country/AFG,,,47072.0,235.0,1864.0,18.0,,,,
2020-12-06,country/AFG,,,47306.0,234.0,1874.0,10.0,,,,
2020-12-07,country/AFG,,,47516.0,210.0,1900.0,26.0,,,,
2020-12-08,country/AFG,,,47716.0,200.0,1906.0,6.0,,,,
2020-12-09,country/AFG,,,47851.0,135.0,1919.0,13.0,,,,
2020-12-10,country/AFG,,,48053.0,202.0,1935.0,16.0,,,,
2020-12-11,country/AFG,,,48116.0,63.0,1945.0,10.0,,,,
2020-12-12,country/AFG,,,48229.0,113.0,1956.0,11.0,,,,
2020-12-13,country/AFG,,,48527.0,298.0,1965.0,9.0,,,,
2020-12-14,country/AFG,,,48718.0,191.0,1969.0,4.0,,,,
2020-12-15,country/AFG,,,48952.0,234.0,1995.0,26.0,,,,
2020-12-16,country/AFG,,,49161.0,209.0,2011.0,16.0,,,,
2020-12-17,country/AFG,,,49378.0,217.0,2025.0,14.0,,,,
2020-12-18,country/AFG,,,49621.0,243.0,2030.0,5.0,,,,
2020-12-19,country/AFG,,,49681.0,60.0,2047.0,17.0,,,,
2020-12-20,country/AFG,,,49817.0,136.0,2067.0,20.0,,,,
2020-12-21,country/AFG,,,50013.0,196.0,2082.0,15.0,,,,
2020-12-22,country/AFG,,,50190.0,177.0,2096.0,14.0,,,,
2020-12-23,country/AFG,,,50433.0,243.0,2117.0,21.0,,,,
2020-12-24,country/AFG,,,50655.0,222.0,2126.0,9.0,,,,
2020-12-25,country/AFG,,,50810.0,155.0,2139.0,13.0,,,,
2020-12-26,country/AFG,,,50886.0,76.0,2149.0,10.0,,,,
2020-12-27,country/AFG,,,51039.0,153.0,2160.0,11.0,,,,
2020-12-28,country/AFG,,,51280.0,241.0,2174.0,14.0,,,,
2020-12-29,country/AFG,,,51350.0,70.0,2179.0,5.0,,,,
2020-12-30,country/AFG,,,51405.0,55.0,2181.0,2.0,,,,
2020-12-31,country/AFG,,,51526.0,121.0,2191.0,10.0,,,,
2021-01-01,country/AFG,,,51526.0,0.0,2191.0,0.0,,,,
2021-01-02,country/AFG,,,51526.0,0.0,2191.0,0.0,,,,
2021-01-03,country/AFG,,,51526.0,0.0,2191.0,0.0,,,,
2021-01-04,country/AFG,,,53011.0,1485.0,2237.0,46.0,,,,
2021-01-05,country/AFG,,,53105.0,94.0,2244.0,7.0,,,,
2021-01-06,country/AFG,,,53105.0,0.0,2244.0,0.0,,,,
2021-01-07,country/AFG,,,53207.0,102.0,2253.0,9.0,,,,
2021-01-08,country/AFG,,,53332.0,125.0,2257.0,4.0,,,,
2021-01-09,country/AFG,,,53400.0,68.0,2264.0,7.0,,,,
2021-01-10,country/AFG,,,53489.0,89.0,2277.0,13.0,,,,
2021-01-11,country/AFG,,,53538.0,49.0,2288.0,11.0,,,,
2020-03-09,country/ALB,,,2.0,2.0,,,,,,
2020-03-10,country/ALB,,,10.0,8.0,,,,,,
2020-03-11,country/ALB,,,12.0,2.0,1.0,1.0,,,,
2020-03-12,country/ALB,,,23.0,11.0,1.0,0.0,,,,
2020-03-13,country/ALB,,,33.0,10.0,1.0,0.0,,,,
2020-03-14,country/ALB,,,38.0,5.0,1.0,0.0,,,,
2020-03-15,country/ALB,,,42.0,4.0,1.0,0.0,,,,
2020-03-16,country/ALB,,,51.0,9.0,1.0,0.0,,,,
2020-03-17,country/ALB,,,55.0,4.0,1.0,0.0,,,,
2020-03-18,country/ALB,,,59.0,4.0,2.0,1.0,,,,
2020-03-19,country/ALB,,,64.0,5.0,2.0,0.0,,,,
2020-03-20,country/ALB,,,70.0,6.0,2.0,0.0,,,,
2020-03-21,country/ALB,,,76.0,6.0,2.0,0.0,,,,
2020-03-22,country/ALB,,,89.0,13.0,2.0,0.0,,,,
2020-03-23,country/ALB,,,104.0,15.0,4.0,2.0,,,,
2020-03-24,country/ALB,,,123.0,19.0,5.0,1.0,,,,
2020-03-25,country/ALB,,,146.0,23.0,5.0,0.0,,,,
2020-03-26,country/ALB,,,174.0,28.0,6.0,1.0,,,,
2020-03-27,country/ALB,,,186.0,12.0,8.0,2.0,,,,
2020-03-28,country/ALB,,,197.0,11.0,10.0,2.0,,,,
2020-03-29,country/ALB,,,212.0,15.0,10.0,0.0,,,,
2020-03-30,country/ALB,,,223.0,11.0,11.0,1.0,,,,
2020-03-31,country/ALB,,,243.0,20.0,15.0,4.0,,,,
2020-04-01,country/ALB,,,259.0,16.0,15.0,0.0,,,,
2020-04-02,country/ALB,,,277.0,18.0,16.0,1.0,,,,
2020-04-03,country/ALB,,,304.0,27.0,17.0,1.0,,,,
2020-04-04,country/ALB,,,333.0,29.0,20.0,3.0,,,,
2020-04-05,country/ALB,,,361.0,28.0,20.0,0.0,,,,
2020-04-06,country/ALB,,,377.0,16.0,21.0,1.0,,,,
2020-04-07,country/ALB,,,383.0,6.0,22.0,1.0,,,,
2020-04-08,country/ALB,,,400.0,17.0,22.0,0.0,,,,
2020-04-09,country/ALB,,,409.0,9.0,23.0,1.0,,,,
2020-04-10,country/ALB,,,416.0,7.0,23.0,0.0,,,,
2020-04-11,country/ALB,,,433.0,17.0,23.0,0.0,,,,
2020-04-12,country/ALB,,,446.0,13.0,23.0,0.0,,,,
2020-04-13,country/ALB,,,467.0,21.0,23.0,0.0,,,,
2020-04-14,country/ALB,,,475.0,8.0,24.0,1.0,,,,
2020-04-15,country/ALB,,,494.0,19.0,25.0,1.0,,,,
2020-04-16,country/ALB,,,518.0,24.0,26.0,1.0,,,,
2020-04-17,country/ALB,,,539.0,21.0,26.0,0.0,,,,
2020-04-18,country/ALB,,,548.0,9.0,26.0,0.0,,,,
2020-04-19,country/ALB,,,562.0,14.0,26.0,0.0,,,,
2020-04-20,country/ALB,,,584.0,22.0,26.0,0.0,,,,
2020-04-21,country/ALB,,,609.0,25.0,26.0,0.0,,,,
2020-04-22,country/ALB,,,634.0,25.0,27.0,1.0,,,,
2020-04-23,country/ALB,,,663.0,29.0,27.0,0.0,,,,
2020-04-24,country/ALB,,,678.0,15.0,27.0,0.0,,,,
2020-04-25,country/ALB,,,712.0,34.0,27.0,0.0,,,,
2020-04-26,country/ALB,,,726.0,14.0,28.0,1.0,,,,
2020-04-27,country/ALB,,,736.0,10.0,28.0,0.0,,,,
2020-04-28,country/ALB,,,750.0,14.0,30.0,2.0,,,,
2020-04-29,country/ALB,,,766.0,16.0,30.0,0.0,,,,
