Table 6-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Computer and mathematical scientists,331000,536000,572000,813000,840000,955000,1064000
Physical and related scientists,36000,41000,49000,64000,51000,55000,61000
Social and related scientists,24000,29000,41000,51000,38000,44000,57000
Engineers,173000,251000,217000,279000,283000,331000,316000
S&E-related occupations,478000,796000,910000,871000,1042000,1151000,1264000
Non-S&E occupations,1120000,1447000,1766000,1809000,2118000,2368000,2546000
Black or African American,2054000,2747000,3141000,3434000,3805000,3895000,4109000
S&E occupations,200000,251000,275000,308000,382000,379000,399000
"Biological, agricultural, and other life scientists",12000,20000,19000,16000,20000,23000,32000
Computer and mathematical scientists,102000,141000,162000,162000,242000,214000,242000
Physical and related scientists,8000,11000,12000,13000,11000,18000,16000
Social and related scientists,27000,24000,25000,42000,48000,47000,44000
Engineers,50000,54000,57000,74000,62000,77000,65000
S&E-related occupations,285000,401000,462000,515000,610000,613000,756000
Non-S&E occupations,1569000,2095000,2404000,2612000,2813000,2903000,2955000
Native Hawaiian or Other Pacific Islander,90000,119000,133000,182000,137000,129000,136000
S&E occupations,13000,12000,12000,12000,23000,17000,16000
"Biological, agricultural, and other life scientists",1000,S,2000,1000,1000,D,1000
Computer and mathematical scientists,7000,2000,5000,6000,12000,6000,6000
Physical and related scientists,D,*,*,D,S,S,S
Social and related scientists,D,S,1000,S,S,2000,S
Engineers,5000,5000,4000,4000,8000,7000,7000
S&E-related occupations,21000,28000,24000,21000,16000,30000,36000
Non-S&E occupations,56000,79000,97000,149000,97000,82000,83000
White,25973000,30946000,32698000,33495000,34435000,35269000,35373000
S&E occupations,3479000,3789000,4033000,4267000,4397000,4784000,4943000
"Biological, agricultural, and other life scientists",321000,428000,449000,449000,415000,439000,501000
Computer and mathematical scientists,1390000,1575000,1726000,1965000,2070000,2259000,2296000
Physical and related scientists,237000,257000,242000,233000,265000,300000,288000
Social and related scientists,394000,427000,467000,407000,451000,480000,513000
Engineers,1138000,1101000,1149000,1213000,1196000,1305000,1345000
S&E-related occupations,4022000,5208000,5380000,5676000,5726000,6053000,6412000
Non-S&E occupations,18472000,21948000,23285000,23552000,24313000,24432000,24018000
More than one race,394000,585000,673000,926000,946000,1184000,1238000
S&E occupations,60000,69000,84000,103000,109000,158000,169000
"Biological, agricultural, and other life scientists",6000,8000,9000,12000,9000,14000,19000
Computer and mathematical scientists,24000,34000,40000,50000,52000,88000,89000
Physical and related scientists,4000,4000,3000,3000,7000,7000,9000
Social and related scientists,8000,7000,11000,11000,10000,12000,16000
Engineers,18000,17000,20000,27000,31000,37000,36000
S&E-related occupations,64000,78000,128000,128000,147000,198000,189000
Non-S&E occupations,270000,437000,462000,695000,689000,829000,880000
Female,15111000,19978000,22052000,23218000,24900000,26341000,26493000
S&E occupations,1203000,1486000,1681000,1818000,1966000,2193000,2300000
"Biological, agricultural, and other life scientists",164000,292000,311000,302000,292000,337000,367000
Computer and mathematical scientists,552000,602000,673000,833000,919000,975000,1053000
Physical and related scientists,83000,98000,100000,92000,107000,142000,135000
Social and related scientists,251000,295000,363000,341000,379000,428000,433000
Engineers,154000,200000,235000,250000,269000,310000,312000
S&E-related occupations,2814000,3877000,4223000,4558000,4764000,5109000,5494000
Non-S&E occupations,11094000,14615000,16147000,16842000,18170000,19040000,18699000
Hispanic or Latino,862000,1533000,1827000,2045000,2391000,2668000,2907000
S&E occupations,57000,84000,120000,117000,154000,182000,206000
"Biological, agricultural, and other life scientists",10000,15000,25000,18000,24000,33000,36000
Computer and mathematical scientists,18000,33000,39000,39000,49000,49000,75000
Physical and related scientists,4000,6000,7000,6000,10000,11000,11000
Social and related scientists,13000,17000,31000,37000,46000,58000,52000
Engineers,12000,13000,18000,17000,26000,31000,33000
S&E-related occupations,135000,254000,322000,372000,427000,492000,537000
Non-S&E occupations,670000,1195000,1385000,1555000,1809000,1994000,2164000
American Indian or Alaska Native,71000,50000,65000,63000,68000,121000,71000
S&E occupations,4000,3000,3000,1000,5000,4000,3000
"Biological, agricultural, and other life scientists",D,D,S,D,D,*,S
Computer and mathematical scientists,2000,*,1000,*,S,S,D
Physical and related scientists,1000,*,*,D,D,D,D
Social and related scientists,D,*,S,S,1000,*,*
Engineers,1000,S,*,D,D,S,D
S&E-related occupations,12000,13000,22000,18000,16000,15000,17000
Non-S&E occupations,55000,34000,40000,44000,47000,101000,51000
Asian,999000,1359000,1687000,1882000,2142000,2457000,2682000
S&E occupations,166000,260000,293000,417000,409000,488000,511000
"Biological, agricultural, and other life scientists",23000,62000,63000,57000,55000,72000,79000
Computer and mathematical scientists,93000,124000,155000,272000,257000,307000,315000
Physical and related scientists,13000,13000,16000,16000,16000,15000,19000
Social and related scientists,11000,15000,24000,32000,26000,30000,32000
Engineers,27000,46000,36000,40000,54000,64000,66000
S&E-related occupations,260000,382000,437000,467000,537000,625000,656000
Non-S&E occupations,572000,718000,957000,998000,1196000,1343000,1516000
Black or African American,1207000,1616000,1865000,2077000,2292000,2344000,2432000
S&E occupations,80000,108000,110000,104000,168000,135000,144000
"Biological, agricultural, and other life scientists",6000,9000,11000,10000,9000,12000,19000
Computer and mathematical scientists,45000,71000,65000,50000,109000,70000,83000
Physical and related scientists,2000,4000,5000,4000,5000,7000,4000
Social and related scientists,17000,14000,18000,24000,34000,33000,28000
Engineers,10000,9000,11000,16000,11000,12000,10000
S&E-related occupations,199000,257000,291000,301000,362000,355000,488000
Non-S&E occupations,928000,1251000,1465000,1671000,1762000,1854000,1801000
Native Hawaiian or Other Pacific Islander,38000,52000,57000,75000,67000,51000,65000
S&E occupations,3000,4000,2000,2000,5000,3000,5000
"Biological, agricultural, and other life scientists",D,S,*,1000,S,D,D
Computer and mathematical scientists,2000,*,D,S,S,D,S
Physical and related scientists,D,D,D,D,*,D,D
Social and related scientists,D,S,*,S,S,S,S
Engineers,D,D,*,D,D,D,D
S&E-related occupations,12000,11000,12000,14000,9000,9000,S
Non-S&E occupations,23000,37000,43000,59000,52000,40000,42000
White,11734000,15036000,16169000,16582000,17391000,18005000,17710000
S&E occupations,874000,1009000,1130000,1144000,1188000,1322000,1386000
"Biological, agricultural, and other life scientists",122000,200000,207000,209000,196000,212000,223000
Computer and mathematical scientists,386000,365000,407000,461000,486000,519000,564000
Physical and related scientists,61000,72000,71000,64000,72000,105000,98000
Social and related scientists,204000,244000,279000,240000,266000,296000,307000
Engineers,101000,127000,165000,171000,168000,190000,194000
S&E-related occupations,2158000,2911000,3063000,3313000,3314000,3491000,3649000
Non-S&E occupations,8702000,11115000,11976000,12125000,12889000,13192000,12676000
More than one race,201000,333000,381000,494000,550000,695000,626000
S&E occupations,19000,18000,23000,31000,37000,58000,45000
"Biological, agricultural, and other life scientists",3000,3000,3000,7000,4000,6000,9000
Computer and mathematical scientists,7000,7000,5000,9000,15000,28000,14000
Physical and related scientists,S,S,1000,1000,4000,4000,3000
Social and related scientists,4000,3000,9000,8000,6000,9000,12000
Engineers,3000,3000,4000,6000,8000,10000,8000
S&E-related occupations,38000,50000,76000,73000,99000,121000,129000
Non-S&E occupations,144000,265000,282000,390000,414000,516000,452000
Male,17463000,20644000,21787000,22723000,23323000,24183000,25271000
S&E occupations,3385000,3888000,4084000,4590000,4803000,5274000,5594000
"Biological, agricultural, and other life scientists",257000,310000,328000,329000,319000,361000,427000
Computer and mathematical scientists,1378000,1795000,1980000,2323000,2500000,2799000,2979000
Physical and related scientists,215000,229000,224000,239000,259000,267000,273000
Social and related scientists,226000,223000,234000,229000,266000,235000,279000
Engineers,1309000,1331000,1319000,1469000,1459000,1612000,1636000
S&E-related occupations,2341000,3089000,3285000,3309000,3507000,3785000,4028000
Non-S&E occupations,11736000,13667000,14418000,14824000,15013000,15125000,15649000
Hispanic or Latino,847000,1365000,1566000,1741000,1889000,2135000,2401000
S&E occupations,142000,191000,237000,270000,351000,382000,485000
"Biological, agricultural, and other life scientists",9000,13000,17000,18000,14000,30000,37000
Computer and mathematical scientists,54000,73000,107000,120000,151000,189000,254000
Physical and related scientists,8000,7000,11000,10000,19000,17000,21000
Social and related scientists,9000,13000,16000,19000,S,19000,28000
Engineers,63000,85000,86000,103000,118000,128000,145000
S&E-related occupations,130000,179000,249000,257000,275000,328000,307000
Non-S&E occupations,576000,995000,1080000,1214000,1263000,1424000,1608000
American Indian or Alaska Native,61000,68000,65000,55000,53000,62000,55000
S&E occupations,10000,7000,7000,9000,9000,S,7000
"Biological, agricultural, and other life scientists",3000,*,1000,2000,*,S,D
Computer and mathematical scientists,2000,2000,1000,1000,S,S,S
Physical and related scientists,D,S,*,*,S,1000,1000
Social and related scientists,S,D,2000,S,S,S,*
Engineers,3000,4000,3000,4000,3000,3000,2000
S&E-related occupations,8000,9000,10000,9000,12000,14000,5000
Non-S&E occupations,43000,52000,48000,37000,32000,31000,43000
Asian,1223000,1852000,1984000,2118000,2357000,2605000,2793000
S&E occupations,457000,708000,702000,904000,929000,1055000,1154000
"Biological, agricultural, and other life scientists",37000,50000,54000,57000,70000,86000,88000
Computer and mathematical scientists,238000,412000,417000,541000,583000,648000,749000
Physical and related scientists,23000,27000,33000,48000,35000,40000,42000
Social and related scientists,13000,13000,17000,19000,12000,14000,25000
Engineers,146000,205000,181000,239000,228000,268000,250000
S&E-related occupations,218000,414000,472000,404000,505000,525000,608000
Non-S&E occupations,548000,729000,809000,811000,923000,1025000,1031000
Black or African American,847000,1131000,1275000,1358000,1513000,1551000,1677000
S&E occupations,119000,143000,165000,204000,214000,244000,255000
"Biological, agricultural, and other life scientists",7000,11000,8000,7000,10000,11000,12000
Computer and mathematical scientists,57000,70000,96000,112000,132000,144000,159000
Physical and related scientists,6000,7000,7000,9000,6000,11000,12000
Social and related scientists,10000,10000,8000,19000,14000,14000,16000
Engineers,40000,45000,46000,58000,51000,65000,55000
S&E-related occupations,86000,144000,171000,213000,248000,257000,268000
Non-S&E occupations,641000,844000,939000,941000,1051000,1049000,1154000
Native Hawaiian or Other Pacific Islander,52000,67000,75000,107000,70000,78000,70000
S&E occupations,11000,9000,9000,9000,19000,14000,11000
"Biological, agricultural, and other life scientists",D,S,1000,D,*,D,D
Computer and mathematical scientists,6000,2000,4000,5000,9000,S,5000
Physical and related scientists,D,*,D,D,D,D,S
Social and related scientists,D,D,D,*,D,*,*
Engineers,4000,4000,4000,4000,8000,7000,5000
S&E-related occupations,9000,17000,12000,8000,7000,S,18000
Non-S&E occupations,33000,41000,53000,90000,45000,42000,41000
White,14239000,15910000,16529000,16913000,17044000,17264000,17663000
S&E occupations,2605000,2780000,2902000,3123000,3209000,3461000,3557000
"Biological, agricultural, and other life scientists",199000,228000,242000,241000,218000,227000,278000
Computer and mathematical scientists,1004000,1210000,1319000,1504000,1584000,1740000,1732000
Physical and related scientists,176000,184000,170000,169000,194000,196000,191000
Social and related scientists,190000,183000,188000,168000,186000,185000,206000
Engineers,1037000,975000,984000,1041000,1027000,1114000,1151000
S&E-related occupations,1864000,2297000,2317000,2363000,2412000,2562000,2763000
Non-S&E occupations,9770000,10833000,11309000,11427000,11423000,11240000,11343000
More than one race,193000,252000,292000,432000,396000,490000,612000
S&E occupations,41000,51000,61000,72000,73000,100000,124000
"Biological, agricultural, and other life scientists",3000,5000,6000,5000,5000,7000,S
Computer and mathematical scientists,18000,26000,35000,41000,38000,60000,76000
Physical and related scientists,2000,3000,2000,2000,3000,3000,6000
Social and related scientists,3000,4000,3000,3000,4000,3000,3000
Engineers,15000,14000,16000,21000,23000,27000,28000
S&E-related occupations,27000,29000,52000,56000,48000,76000,60000
Non-S&E occupations,126000,172000,180000,305000,276000,313000,429000
