key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9
Architecture and related services,bachelorsDegreeMajor,ArchitectureAndRelatedServicesMajor,,,,,,,,,,,,,,,,
"Area, ethnic, cultural, gender, and group studies",bachelorsDegreeMajor,EthnicCulturalGenderGroupStudiesMajor,,,,,,,,,,,,,,,,
"Area, ethnic, cultural, gender, and group studies ...................................",bachelorsDegreeMajor,EthnicCulturalGenderGroupStudiesMajor,,,,,,,,,,,,,,,,
Biological and biomedical sciences,bachelorsDegreeMajor,BiologicalAndBiomedicalSciencesMajor,,,,,,,,,,,,,,,,
Business\\2\\,bachelorsDegreeMajor,BusinessMajor,,,,,,,,,,,,,,,,
Business ,bachelorsDegreeMajor,BusinessMajor,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs",bachelorsDegreeMajor,CommunicationJournalismAndRelatedMajor,,,,,,,,,,,,,,,,
Communications technologies,bachelorsDegreeMajor,CommunicationsTechnologiesMajor,,,,,,,,,,,,,,,,
Computer and information sciences and support services,bachelorsDegreeMajor,ComputerAndITMajor,,,,,,,,,,,,,,,,
Computer and information sciences ,bachelorsDegreeMajor,ComputerAndITMajor,,,,,,,,,,,,,,,,
Computer and information sciences and support,bachelorsDegreeMajor,ComputerAndITMajor,,,,,,,,,,,,,,,,
Education,bachelorsDegreeMajor,EducationMajor,,,,,,,,,,,,,,,,
Engineering,bachelorsDegreeMajor,EngineeringMajor,,,,,,,,,,,,,,,,
Engineering technologies\\3\\,bachelorsDegreeMajor,EngineeringTechnologiesMajor,,,,,,,,,,,,,,,,
Engineering technologies and engineering-related fields,bachelorsDegreeMajor,EngineeringTechnologiesMajor,,,,,,,,,,,,,,,,
Engineering technologies and engineering-related,bachelorsDegreeMajor,EngineeringTechnologiesMajor,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
English language and literature/letters,bachelorsDegreeMajor,EnglishAndLiteratureMajor,,,,,,,,,,,,,,,,
Family and consumer sciences/human sciences,bachelorsDegreeMajor,FamilyAndConsumerSciencesMajor,,,,,,,,,,,,,,,,
"Foreign languages, literatures, and linguistics",bachelorsDegreeMajor,ForeignLanguagesAndLinguisticsMajor,,,,,,,,,,,,,,,,
Health professions and related programs,bachelorsDegreeMajor,HealthRelatedMajor,,,,,,,,,,,,,,,,
"Homeland security, law enforcement, and firefighting",bachelorsDegreeMajor,HomelandSecurityLawEnforcementFirefightingMajor,,,,,,,,,,,,,,,,
"Homeland security, law enforcement, and",bachelorsDegreeMajor,HomelandSecurityLawEnforcementFirefightingMajor,,,,,,,,,,,,,,,,
Legal professions and studies,bachelorsDegreeMajor,LegalProfessionsAndStudiesMajor,,,,,,,,,,,,,,,,
"Liberal arts and sciences, general studies, humanities",bachelorsDegreeMajor,ArtsHumanitiesAndOtherMajor,,,,,,,,,,,,,,,,
"Liberal arts and sciences, general studies, and",bachelorsDegreeMajor,ArtsHumanitiesAndOtherMajor,,,,,,,,,,,,,,,,
"Liberal arts and sciences, general studies, and 
   humanities ",bachelorsDegreeMajor,ArtsHumanitiesAndOtherMajor,,,,,,,,,,,,,,,,
Library science,bachelorsDegreeMajor,LibraryScienceMajor,,,,,,,,,,,,,,,,
Mathematics and statistics,bachelorsDegreeMajor,MathAndStatisticsMajor,,,,,,,,,,,,,,,,
Military technologies and applied sciences,bachelorsDegreeMajor,MilitaryTechnologiesMajor,,,,,,,,,,,,,,,,
Multi/interdisciplinary studies,bachelorsDegreeMajor,InterdisciplinaryStudiesMajor,,,,,,,,,,,,,,,,
"Parks, recreation, leisure, fitness, and kinesiology",bachelorsDegreeMajor,ParksRecFitnessKinesiologyMajor,,,,,,,,,,,,,,,,
"Parks, recreation, leisure, and fitness studies ",bachelorsDegreeMajor,ParksRecFitnessKinesiologyMajor,,,,,,,,,,,,,,,,
"Parks, recreation, leisure, fitness, and",bachelorsDegreeMajor,ParksRecFitnessKinesiologyMajor,,,,,,,,,,,,,,,,
Philosophy and religious studies,bachelorsDegreeMajor,PhilosophyReligiousStudiesMajor,,,,,,,,,,,,,,,,
Physical sciences and science technologies,bachelorsDegreeMajor,PhysicalSciencesAndTechnologiesMajor,,,,,,,,,,,,,,,,
Precision production,bachelorsDegreeMajor,PrecisionProductionMajor,,,,,,,,,,,,,,,,
Psychology,bachelorsDegreeMajor,PsychologyMajor,,,,,,,,,,,,,,,,
Public administration and social services,bachelorsDegreeMajor,PublicAdminSocialServicesMajor,,,,,,,,,,,,,,,,
Social sciences,bachelorsDegreeMajor,SocialSciencesMajor,,,,,,,,,,,,,,,,
History,bachelorsDegreeMajor,HistoryMajor,,,,,,,,,,,,,,,,
Theology and religious vocations,bachelorsDegreeMajor,TheologyAndReligionMajor,,,,,,,,,,,,,,,,
Transportation and materials moving,bachelorsDegreeMajor,TransportationAndMaterialsMovingMajor,,,,,,,,,,,,,,,,
Visual and performing arts,bachelorsDegreeMajor,VisualAndPerformingArtsMajor,,,,,,,,,,,,,,,,
Other and not classified,bachelorsDegreeMajor,NCES_OtherMajor,,,,,,,,,,,,,,,,
Social sciences and history,#ignore,Broken down into social sciences and history separately,,,,,,,,,,,,,,,,
Social sciences and history,#ignore,Broken down into social sciences and history separately,,,,,,,,,,,,,,,,
Construction trades ,#ignore,Not present across multiple years,,,,,,,,,,,,,,,,
Mechanic and repair technologies/technicians,#ignore,Not present across multiple years,,,,,,,,,,,,,,,,
2010-11,observationDate,2011,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2011-12,observationDate,2012,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2012-13,observationDate,2013,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2013-14,observationDate,2014,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2014-15,observationDate,2015,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2015-16,observationDate,2016,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2016-17,observationDate,2017,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2017-18,observationDate,2018,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2018-19,observationDate,2019,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2019-20,observationDate,2020,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2020-21,observationDate,2021,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2021-22,observationDate,2022,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2022-23,observationDate,2023,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2023-24,observationDate,2024,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2024-25,observationDate,2025,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2025-26,observationDate,2026,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2026-27,observationDate,2027,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2027-28,observationDate,2028,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2028-29,observationDate,2029,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2029-30,observationDate,2030,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2030-31,observationDate,2031,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2031-32,observationDate,2032,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2032-33,observationDate,2033,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,
2033-34,observationDate,2034,observationAbout,country/USA,#header,"observationDate,observationAbout",,,,,,,,,,,,

