geo,time,NUM_EUR,EUR_HAB,NUM_NAC,NUM_PPS_EU27_2020,PPS_HAB_EU27_2020
nuts/RO224,2005,,2900,,,28
nuts/RO224,2006,,3300,,,29
nuts/RO224,2007,,4600,,,33
nuts/RO224,2008,,5100,,,37
nuts/RO224,2009,,4200,,,35
nuts/RO224,2010,,4500,,,38
nuts/RO224,2011,,4700,,,37
nuts/RO225,2002,,1700,,,22
nuts/RO225,2003,,1900,,,24
nuts/RO225,2004,,2200,,,28
nuts/RO225,2005,,2700,,,26
nuts/RO225,2006,,3400,,,29
nuts/RO225,2007,,4000,,,29
nuts/RO225,2008,,4900,,,35
nuts/RO225,2009,,4200,,,35
nuts/RO225,2010,,4700,,,39
nuts/RO225,2011,,5500,,,44
nuts/RO226,2002,,1500,,,20
nuts/RO226,2003,,1500,,,19
nuts/RO226,2004,,1900,,,23
nuts/RO226,2005,,2200,,,21
nuts/RO226,2006,,3000,,,25
nuts/RO226,2007,,3600,,,26
nuts/RO226,2008,,4200,,,30
nuts/RO226,2009,,3600,,,30
nuts/RO226,2010,,3800,,,32
nuts/RO226,2011,,3700,,,29
nuts/RO3,2002,,3000,,,39
nuts/RO3,2003,,3100,,,40
nuts/RO3,2004,,3800,,,47
nuts/RO3,2005,,5300,,,51
nuts/RO3,2006,,6500,,,56
nuts/RO3,2007,,8700,,,63
nuts/RO3,2008,,10700,,,78
nuts/RO3,2009,,9000,,,77
nuts/RO3,2010,,9300,,,77
nuts/RO3,2011,,10600,,,84
nuts/RO31,2002,,1900,,,24
nuts/RO31,2003,,1900,,,25
nuts/RO31,2004,,2400,,,29
nuts/RO31,2005,,3100,,,30
nuts/RO31,2006,,3800,,,33
nuts/RO31,2007,,5000,,,36
nuts/RO31,2008,,5900,,,42
nuts/RO31,2009,,5300,,,45
nuts/RO31,2010,,5200,,,43
nuts/RO31,2011,,6000,,,47
nuts/RO311,2002,,2400,,,31
nuts/RO311,2003,,2500,,,32
nuts/RO311,2004,,3000,,,37
nuts/RO311,2005,,4200,,,41
nuts/RO311,2006,,5300,,,46
nuts/RO311,2007,,6800,,,49
nuts/RO311,2008,,7700,,,55
nuts/RO311,2009,,7400,,,63
nuts/RO311,2010,,6700,,,56
nuts/RO311,2011,,6700,,,53
nuts/RO312,2002,,1300,,,17
nuts/RO312,2003,,1400,,,18
nuts/RO312,2004,,1900,,,24
nuts/RO312,2005,,2000,,,19
nuts/RO312,2006,,2500,,,21
nuts/RO312,2007,,3200,,,23
nuts/RO312,2008,,4500,,,32
nuts/RO312,2009,,3500,,,30
nuts/RO312,2010,,4000,,,34
nuts/RO312,2011,,4100,,,32
nuts/RO313,2002,,1600,,,22
nuts/RO313,2003,,1800,,,23
nuts/RO313,2004,,2100,,,26
nuts/RO313,2005,,2600,,,25
nuts/RO313,2006,,3400,,,29
nuts/RO313,2007,,4700,,,34
nuts/RO313,2008,,5200,,,37
nuts/RO313,2009,,4500,,,38
nuts/RO313,2010,,5300,,,44
nuts/RO313,2011,,5300,,,42
nuts/RO314,2002,,1300,,,17
nuts/RO314,2003,,1300,,,16
nuts/RO314,2004,,1700,,,20
nuts/RO314,2005,,2000,,,20
nuts/RO314,2006,,2500,,,21
nuts/RO314,2007,,3000,,,22
nuts/RO314,2008,,3800,,,28
nuts/RO314,2009,,3600,,,30
nuts/RO314,2010,,3900,,,32
nuts/RO314,2011,,3700,,,29
nuts/RO315,2002,,1600,,,22
nuts/RO315,2003,,1800,,,23
nuts/RO315,2004,,2300,,,29
nuts/RO315,2005,,2700,,,26
nuts/RO315,2006,,3200,,,28
nuts/RO315,2007,,3600,,,26
nuts/RO315,2008,,4800,,,35
nuts/RO315,2009,,4100,,,35
nuts/RO315,2010,,4100,,,34
nuts/RO315,2011,,4600,,,36
nuts/RO316,2002,,2300,,,30
nuts/RO316,2003,,2300,,,30
nuts/RO316,2004,,2700,,,33
nuts/RO316,2005,,3800,,,37
nuts/RO316,2006,,4700,,,40
nuts/RO316,2007,,6200,,,45
nuts/RO316,2008,,7300,,,52
nuts/RO316,2009,,6600,,,56
nuts/RO316,2010,,6000,,,50
nuts/RO316,2011,,8800,,,70
nuts/RO317,2002,,1500,,,19
nuts/RO317,2003,,1400,,,19
nuts/RO317,2004,,1900,,,23
nuts/RO317,2005,,2100,,,21
nuts/RO317,2006,,2600,,,22
nuts/RO317,2007,,3600,,,26
nuts/RO317,2008,,4300,,,31
nuts/RO317,2009,,3700,,,32
nuts/RO317,2010,,3700,,,31
nuts/RO317,2011,,3900,,,31
nuts/RO32,2002,,4700,,,62
nuts/RO32,2003,,5000,,,64
nuts/RO32,2004,,5900,,,73
nuts/RO32,2005,,8700,,,84
nuts/RO32,2006,,10500,,,91
nuts/RO32,2007,,14200,,,103
nuts/RO32,2008,,17900,,,129
nuts/RO32,2009,,14500,,,123
nuts/RO32,2010,,15100,,,126
nuts/RO32,2011,,17200,,,136
nuts/RO321,2002,,4900,,,65
nuts/RO321,2003,,5200,,,67
nuts/RO321,2004,,6100,,,75
nuts/RO321,2005,,9000,,,87
nuts/RO321,2006,,10700,,,93
nuts/RO321,2007,,14800,,,106
nuts/RO321,2008,,18600,,,134
nuts/RO321,2009,,15000,,,128
nuts/RO321,2010,,15900,,,132
nuts/RO321,2011,,18300,,,145
nuts/RO322,2002,,3100,,,41
nuts/RO322,2003,,3600,,,46
nuts/RO322,2004,,4600,,,57
nuts/RO322,2005,,6600,,,64
nuts/RO322,2006,,8700,,,75
nuts/RO322,2007,,10700,,,77
nuts/RO322,2008,,13300,,,96
nuts/RO322,2009,,10800,,,92
nuts/RO322,2010,,10200,,,85
nuts/RO322,2011,,11000,,,88
nuts/RO4,2002,,2000,,,27
nuts/RO4,2003,,2300,,,29
nuts/RO4,2004,,2700,,,33
nuts/RO4,2005,,3400,,,33
nuts/RO4,2006,,4300,,,37
nuts/RO4,2007,,5600,,,40
nuts/RO4,2008,,6500,,,47
nuts/RO4,2009,,5700,,,48
nuts/RO4,2010,,5900,,,49
nuts/RO4,2011,,6200,,,49
nuts/RO41,2002,,1700,,,23
nuts/RO41,2003,,2000,,,25
nuts/RO41,2004,,2300,,,28
nuts/RO41,2005,,2800,,,27
nuts/RO41,2006,,3600,,,31
nuts/RO41,2007,,4600,,,33
nuts/RO41,2008,,5300,,,38
nuts/RO41,2009,,4700,,,40
nuts/RO41,2010,,4800,,,40
nuts/RO41,2011,,5000,,,40
nuts/RO411,2002,,1600,,,21
nuts/RO411,2003,,1800,,,23
nuts/RO411,2004,,2200,,,27
nuts/RO411,2005,,2800,,,27
nuts/RO411,2006,,3500,,,30
nuts/RO411,2007,,4600,,,33
nuts/RO411,2008,,5600,,,40
nuts/RO411,2009,,4900,,,42
nuts/RO411,2010,,5100,,,42
nuts/RO411,2011,,5500,,,43
nuts/RO412,2002,,2600,,,35
nuts/RO412,2003,,2800,,,36
nuts/RO412,2004,,3100,,,38
nuts/RO412,2005,,3800,,,36
nuts/RO412,2006,,4700,,,40
nuts/RO412,2007,,6000,,,43
nuts/RO412,2008,,6200,,,44
nuts/RO412,2009,,6200,,,53
nuts/RO412,2010,,6200,,,52
nuts/RO412,2011,,6400,,,50
nuts/RO413,2002,,1500,,,20
nuts/RO413,2003,,1800,,,24
nuts/RO413,2004,,2100,,,26
nuts/RO413,2005,,2400,,,23
nuts/RO413,2006,,3100,,,27
nuts/RO413,2007,,3900,,,28
nuts/RO413,2008,,4400,,,32
nuts/RO413,2009,,3900,,,33
nuts/RO413,2010,,3700,,,31
nuts/RO413,2011,,3900,,,31
nuts/RO414,2002,,1400,,,18
nuts/RO414,2003,,1500,,,19
nuts/RO414,2004,,1800,,,23
nuts/RO414,2005,,2200,,,21
nuts/RO414,2006,,2700,,,23
nuts/RO414,2007,,3600,,,26
nuts/RO414,2008,,4200,,,30
nuts/RO414,2009,,3400,,,29
nuts/RO414,2010,,3800,,,32
nuts/RO414,2011,,3900,,,31
nuts/RO415,2002,,1800,,,24
nuts/RO415,2003,,2100,,,27
nuts/RO415,2004,,2400,,,30
nuts/RO415,2005,,3200,,,30
nuts/RO415,2006,,4100,,,35
nuts/RO415,2007,,5100,,,37
nuts/RO415,2008,,5800,,,42
nuts/RO415,2009,,4800,,,41
nuts/RO415,2010,,4700,,,39
nuts/RO415,2011,,5100,,,41
nuts/RO42,2002,,2400,,,32
nuts/RO42,2003,,2600,,,34
nuts/RO42,2004,,3100,,,38
nuts/RO42,2005,,4100,,,39
nuts/RO42,2006,,5200,,,45
nuts/RO42,2007,,6800,,,49
nuts/RO42,2008,,7900,,,57
nuts/RO42,2009,,6800,,,58
nuts/RO42,2010,,7200,,,60
nuts/RO42,2011,,7500,,,60
nuts/RO421,2002,,2400,,,32
nuts/RO421,2003,,2500,,,33
nuts/RO421,2004,,3200,,,39
nuts/RO421,2005,,4000,,,38
nuts/RO421,2006,,5200,,,45
nuts/RO421,2007,,6400,,,46
nuts/RO421,2008,,7200,,,52
nuts/RO421,2009,,6200,,,53
nuts/RO421,2010,,6500,,,54
nuts/RO421,2011,,7100,,,56
nuts/RO422,2002,,1900,,,25
nuts/RO422,2003,,2100,,,27
nuts/RO422,2004,,2500,,,31
nuts/RO422,2005,,3100,,,29
nuts/RO422,2006,,3800,,,33
nuts/RO422,2007,,4900,,,35
nuts/RO422,2008,,5500,,,39
nuts/RO422,2009,,5200,,,44
nuts/RO422,2010,,5200,,,43
