,geo,time,MIO_EUR,EUR_HAB,MIO_NAC,MIO_PPS_EU27_2020,PPS_HAB_EU27_2020
20909,~ESZZ~,2005,775.8,:,775.8,825.82,:
20910,~ESZZ~,2006,915.1,:,915.1,988.53,:
20911,~ESZZ~,2007,938.5,:,938.5,1011.93,:
20912,~ESZZ~,2008,994.7,:,994.7,1063.46,:
20913,~ESZZ~,2009,1025.3,:,1025.3,1077.55,:
20914,~ESZZ~,2010,1095.8,:,1095.8,1140.93,:
20915,~ESZZ~,2011,1461.8,:,1461.8,1525.41,:
20916,~ESZZ~,2012,1139,:,1139,1210.28,:
20917,~ESZZ~,2013,1215.5,:,1215.5,1300.18,:
20918,~ESZZ~,2014,1171.1,:,1171.1,1267.28,:
20919,~ESZZ~,2015,1235.1,:,1235.1,1335.97,:
20920,~ESZZ~,2016,1123.7,:,1123.7,1214.67,:
20921,~ESZZ~,2017,1135.8,:,1135.8,1236.7,:
20922,~ESZZ~,2018,1137,:,1137,1220.27,:
20923,~ESZZ~,2019,1172.5,:,1172.5,1262.15,:
20924,~ESZZ~,2020,1193.1,:,1193.1,1257.05,:
20925,~ESZZ~,2021,1236.4,:,1236.4,1340.19,:
20926,~ESZZ~,2022,1327.7,:,1327.7,1461.21,:
20927,~ESZZ~,2023,1411.3,:,1411.3,1572.79,:
20928,~ESZZZ~,2000,571.3,:,571.3,641.56,:
20929,~ESZZZ~,2001,602.8,:,602.8,667.51,:
20930,~ESZZZ~,2002,609.1,:,609.1,672.72,:
20931,~ESZZZ~,2003,573.7,:,573.7,620.49,:
20932,~ESZZZ~,2004,689.7,:,689.7,735.82,:
20933,~ESZZZ~,2005,775.8,:,775.8,825.82,:
20934,~ESZZZ~,2006,915.1,:,915.1,988.53,:
20935,~ESZZZ~,2007,938.5,:,938.5,1011.93,:
20936,~ESZZZ~,2008,994.7,:,994.7,1063.46,:
20937,~ESZZZ~,2009,1025.3,:,1025.3,1077.55,:
20938,~ESZZZ~,2010,1095.8,:,1095.8,1140.93,:
20939,~ESZZZ~,2011,1461.8,:,1461.8,1525.41,:
20940,~ESZZZ~,2012,1139,:,1139,1210.28,:
20941,~ESZZZ~,2013,1215.5,:,1215.5,1300.18,:
20942,~ESZZZ~,2014,1171.1,:,1171.1,1267.28,:
20943,~ESZZZ~,2015,1235.1,:,1235.1,1335.97,:
20944,~ESZZZ~,2016,1123.7,:,1123.7,1214.67,:
20945,~ESZZZ~,2017,1135.8,:,1135.8,1236.7,:
20946,~ESZZZ~,2018,1137,:,1137,1220.27,:
20947,~ESZZZ~,2019,1172.5,:,1172.5,1262.15,:
20948,~ESZZZ~,2020,1193.1,:,1193.1,1257.05,:
20949,~ESZZZ~,2021,1236.4,:,1236.4,1340.19,:
20950,~ESZZZ~,2022,1327.7,:,1327.7,1461.21,:
20951,~ESZZZ~,2023,:,:,:,:,:
21648,~FIZZ~,2000,131.83,:,131.83,111.3,:
21649,~FIZZ~,2001,117.02,:,117.02,96.61,:
21650,~FIZZ~,2002,104.78,:,104.78,86.07,:
21651,~FIZZ~,2003,61.32,:,61.32,50.25,:
21652,~FIZZ~,2004,61.16,:,61.16,51.35,:
21653,~FIZZ~,2005,59.34,:,59.34,49.63,:
21654,~FIZZ~,2006,68.54,:,68.54,57.19,:
21655,~FIZZ~,2007,71.71,:,71.71,60.58,:
21656,~FIZZ~,2008,70.1,:,70.1,59.64,:
21657,~FIZZ~,2009,72.3,:,72.3,60.91,:
21658,~FIZZ~,2010,78.49,:,78.49,65.97,:
21659,~FIZZ~,2011,90.67,:,90.67,75.24,:
21660,~FIZZ~,2012,86.68,:,86.68,70.45,:
21661,~FIZZ~,2013,65.21,:,65.21,51.99,:
21662,~FIZZ~,2014,66.53,:,66.53,52.56,:
21663,~FIZZ~,2015,60.54,:,60.54,47.95,:
21664,~FIZZ~,2016,58.19,:,58.19,45.89,:
21665,~FIZZ~,2017,59.6,:,59.6,47.4,:
21666,~FIZZ~,2018,73.59,:,73.59,58.45,:
21667,~FIZZ~,2019,96.08,:,96.08,75.62,:
21668,~FIZZ~,2020,84.65,:,84.65,67.41,:
21669,~FIZZ~,2021,88.22,:,88.22,71.18,:
21670,~FIZZ~,2022,95.52,:,95.52,76.69,:
21671,~FIZZ~,2023,101.76,:,101.76,83.27,:
21672,~FIZZZ~,2000,131.83,:,131.83,111.3,:
21673,~FIZZZ~,2001,117.02,:,117.02,96.61,:
21674,~FIZZZ~,2002,104.78,:,104.78,86.07,:
21675,~FIZZZ~,2003,61.32,:,61.32,50.25,:
21676,~FIZZZ~,2004,61.16,:,61.16,51.35,:
21677,~FIZZZ~,2005,59.34,:,59.34,49.63,:
21678,~FIZZZ~,2006,68.54,:,68.54,57.19,:
21679,~FIZZZ~,2007,71.71,:,71.71,60.58,:
21680,~FIZZZ~,2008,70.1,:,70.1,59.64,:
21681,~FIZZZ~,2009,72.3,:,72.3,60.91,:
21682,~FIZZZ~,2010,78.49,:,78.49,65.97,:
21683,~FIZZZ~,2011,90.67,:,90.67,75.24,:
21684,~FIZZZ~,2012,86.68,:,86.68,70.45,:
21685,~FIZZZ~,2013,65.21,:,65.21,51.99,:
21686,~FIZZZ~,2014,66.53,:,66.53,52.56,:
21687,~FIZZZ~,2015,60.54,:,60.54,47.95,:
21688,~FIZZZ~,2016,58.19,:,58.19,45.89,:
21689,~FIZZZ~,2017,59.6,:,59.6,47.4,:
21690,~FIZZZ~,2018,73.59,:,73.59,58.45,:
21691,~FIZZZ~,2019,96.08,:,96.08,75.62,:
21692,~FIZZZ~,2020,84.65,:,84.65,67.41,:
21693,~FIZZZ~,2021,88.22,:,88.22,71.18,:
21694,~FIZZZ~,2022,95.52,:,95.52,76.69,:
21695,~FIZZZ~,2023,101.76,:,101.76,83.27,:
25152,~FRZZ~,2000,781.4,:,781.4,697.82,:
25153,~FRZZ~,2001,824.9,:,824.9,748.98,:
25154,~FRZZ~,2002,864.2,:,864.2,786.64,:
25155,~FRZZ~,2003,821.1,:,821.1,725.11,:
25156,~FRZZ~,2004,747.3,:,747.3,652.98,:
25157,~FRZZ~,2005,707.8,:,707.8,632.63,:
25158,~FRZZ~,2006,2092.2,:,2092.2,1859.22,:
25159,~FRZZ~,2007,2051.9,:,2051.9,1823.21,:
25160,~FRZZ~,2008,1001,:,1001,880.88,:
25161,~FRZZ~,2009,984.9,:,984.9,862.03,:
25162,~FRZZ~,2010,955.6,:,955.6,846.28,:
25163,~FRZZ~,2011,950.8,:,950.8,842.13,:
25164,~FRZZ~,2012,952.8,:,952.8,833.37,:
25165,~FRZZ~,2013,946.6,:,946.6,841.83,:
25166,~FRZZ~,2014,915.3,:,915.3,812.38,:
25167,~FRZZ~,2015,951.3,:,951.3,845.82,:
25168,~FRZZ~,2016,952.4,:,952.4,848.16,:
25169,~FRZZ~,2017,965.6,:,965.6,861.24,:
25170,~FRZZ~,2018,957.6,:,957.6,858.7,:
25171,~FRZZ~,2019,958.9,:,958.9,883.33,:
25172,~FRZZ~,2020,959.2,:,959.2,884.08,:
25173,~FRZZ~,2021,999.3,:,999.3,905.5,:
25174,~FRZZ~,2022,1000.2,:,1000.2,902.88,:
25175,~FRZZ~,2023,1000.2,:,1000.2,915.64,:
25176,~FRZZZ~,2000,781.4,:,781.4,697.82,:
25177,~FRZZZ~,2001,824.9,:,824.9,748.98,:
25178,~FRZZZ~,2002,864.2,:,864.2,786.64,:
25179,~FRZZZ~,2003,821.1,:,821.1,725.11,:
25180,~FRZZZ~,2004,747.3,:,747.3,652.98,:
25181,~FRZZZ~,2005,707.8,:,707.8,632.63,:
25182,~FRZZZ~,2006,2092.2,:,2092.2,1859.22,:
25183,~FRZZZ~,2007,2051.9,:,2051.9,1823.21,:
25184,~FRZZZ~,2008,1001,:,1001,880.88,:
25185,~FRZZZ~,2009,984.9,:,984.9,862.03,:
25186,~FRZZZ~,2010,955.6,:,955.6,846.28,:
25187,~FRZZZ~,2011,950.8,:,950.8,842.13,:
25188,~FRZZZ~,2012,952.8,:,952.8,833.37,:
25189,~FRZZZ~,2013,946.6,:,946.6,841.83,:
25190,~FRZZZ~,2014,915.3,:,915.3,812.38,:
25191,~FRZZZ~,2015,951.3,:,951.3,845.82,:
25192,~FRZZZ~,2016,952.4,:,952.4,848.16,:
25193,~FRZZZ~,2017,965.6,:,965.6,861.24,:
25194,~FRZZZ~,2018,957.6,:,957.6,858.7,:
25195,~FRZZZ~,2019,958.9,:,958.9,883.33,:
25196,~FRZZZ~,2020,959.2,:,959.2,884.08,:
25197,~FRZZZ~,2021,999.3,:,999.3,905.5,:
25198,~FRZZZ~,2022,1000.2,:,1000.2,902.88,:
25199,~FRZZZ~,2023,1000.2,:,1000.2,915.64,:
26640,~HUZZ~,2000,0,:,0,0,:
26641,~HUZZ~,2001,0,:,0,0,:
26642,~HUZZ~,2002,0,:,0,0,:
26643,~HUZZ~,2003,0,:,0,0,:
26644,~HUZZ~,2004,0,:,0,0,:
26645,~HUZZ~,2005,0,:,0,0,:
26646,~HUZZ~,2006,0,:,0,0,:
26647,~HUZZ~,2007,0,:,0,0,:
26648,~HUZZ~,2008,0,:,0,0,:
26649,~HUZZ~,2009,0,:,0,0,:
26650,~HUZZ~,2010,0,:,0,0,:
26651,~HUZZ~,2011,0,:,0,0,:
26652,~HUZZ~,2012,0,:,0,0,:
26653,~HUZZ~,2013,0,:,0,0,:
26654,~HUZZ~,2014,0,:,0,0,:
26655,~HUZZ~,2015,0,:,0,0,:
26656,~HUZZ~,2016,0,:,0,0,:
26657,~HUZZ~,2017,0,:,0,0,:
26658,~HUZZ~,2018,0,:,0,0,:
26659,~HUZZ~,2019,0,:,0,0,:
26660,~HUZZ~,2020,0,:,0,0,:
26661,~HUZZ~,2021,0,:,0,0,:
26662,~HUZZ~,2022,0,:,0,0,:
26663,~HUZZ~,2023,0,:,0,0,:
26664,~HUZZZ~,2000,0,:,0,0,:
26665,~HUZZZ~,2001,0,:,0,0,:
26666,~HUZZZ~,2002,0,:,0,0,:
26667,~HUZZZ~,2003,0,:,0,0,:
26668,~HUZZZ~,2004,0,:,0,0,:
26669,~HUZZZ~,2005,0,:,0,0,:
26670,~HUZZZ~,2006,0,:,0,0,:
26671,~HUZZZ~,2007,0,:,0,0,:
26672,~HUZZZ~,2008,0,:,0,0,:
26673,~HUZZZ~,2009,0,:,0,0,:
26674,~HUZZZ~,2010,0,:,0,0,:
26675,~HUZZZ~,2011,0,:,0,0,:
26676,~HUZZZ~,2012,0,:,0,0,:
26677,~HUZZZ~,2013,0,:,0,0,:
26678,~HUZZZ~,2014,0,:,0,0,:
26679,~HUZZZ~,2015,0,:,0,0,:
26680,~HUZZZ~,2016,0,:,0,0,:
26681,~HUZZZ~,2017,0,:,0,0,:
26682,~HUZZZ~,2018,0,:,0,0,:
26683,~HUZZZ~,2019,0,:,0,0,:
26684,~HUZZZ~,2020,0,:,0,0,:
26685,~HUZZZ~,2021,0,:,0,0,:
26686,~HUZZZ~,2022,0,:,0,0,:
26687,~HUZZZ~,2023,0,:,0,0,:
30240,~ITZZ~,2000,942.92,:,942.92,972.77,:
30241,~ITZZ~,2001,755.43,:,755.43,766.06,:
30242,~ITZZ~,2002,722.66,:,722.66,719.47,:
30243,~ITZZ~,2003,762.42,:,762.42,751.19,:
30244,~ITZZ~,2004,1039.34,:,1039.34,996.93,:
30245,~ITZZ~,2005,1017.06,:,1017.06,974.22,:
30246,~ITZZ~,2006,1089.19,:,1089.19,1052.42,:
30247,~ITZZ~,2007,1150.32,:,1150.32,1122.38,:
30248,~ITZZ~,2008,1596.27,:,1596.27,1580.69,:
30249,~ITZZ~,2009,1301.62,:,1301.62,1274.58,:
30250,~ITZZ~,2010,1410.81,:,1410.81,1381.13,:
30251,~ITZZ~,2011,1565.06,:,1565.06,1537.25,:
30252,~ITZZ~,2012,1630.92,:,1630.92,1610.73,:
30253,~ITZZ~,2013,1823.73,:,1823.73,1785.41,:
30254,~ITZZ~,2014,1493.96,:,1493.96,1447.73,:
30255,~ITZZ~,2015,1280.3,:,1280.3,1246.22,:
30256,~ITZZ~,2016,1254.73,:,1254.73,1244.2,:
30257,~ITZZ~,2017,1468.27,:,1468.27,1461.85,:
30258,~ITZZ~,2018,1556.68,:,1556.68,1549.47,:
30259,~ITZZ~,2019,1236.07,:,1236.07,1241.84,:
30260,~ITZZ~,2020,987.77,:,987.77,997.9,:
30261,~ITZZ~,2021,1789.81,:,1789.81,1825.62,:
30262,~ITZZ~,2022,870.98,:,870.98,907.01,:
30263,~ITZZ~,2023,883.48,:,883.48,918.53,:
30264,~ITZZZ~,2000,942.92,:,942.92,972.77,:
30265,~ITZZZ~,2001,755.43,:,755.43,766.06,:
30266,~ITZZZ~,2002,722.66,:,722.66,719.47,:
30267,~ITZZZ~,2003,762.42,:,762.42,751.19,:
30268,~ITZZZ~,2004,1039.34,:,1039.34,996.93,:
30269,~ITZZZ~,2005,1017.06,:,1017.06,974.22,:
30270,~ITZZZ~,2006,1089.19,:,1089.19,1052.42,:
30271,~ITZZZ~,2007,1150.32,:,1150.32,1122.38,:
30272,~ITZZZ~,2008,1596.27,:,1596.27,1580.69,:
30273,~ITZZZ~,2009,1301.62,:,1301.62,1274.58,:
30274,~ITZZZ~,2010,1410.81,:,1410.81,1381.13,:
30275,~ITZZZ~,2011,1565.06,:,1565.06,1537.25,:
30276,~ITZZZ~,2012,1630.92,:,1630.92,1610.73,:
30277,~ITZZZ~,2013,1823.73,:,1823.73,1785.41,:
30278,~ITZZZ~,2014,1493.96,:,1493.96,1447.73,:
30279,~ITZZZ~,2015,1280.3,:,1280.3,1246.22,:
30280,~ITZZZ~,2016,1254.73,:,1254.73,1244.2,:
30281,~ITZZZ~,2017,1468.27,:,1468.27,1461.85,:
30282,~ITZZZ~,2018,1556.68,:,1556.68,1549.47,:
30283,~ITZZZ~,2019,1236.07,:,1236.07,1241.84,:
30284,~ITZZZ~,2020,987.77,:,987.77,997.9,:
30285,~ITZZZ~,2021,1789.81,:,1789.81,1825.62,:
30286,~ITZZZ~,2022,870.98,:,870.98,907.01,:
30287,~ITZZZ~,2023,883.48,:,883.48,918.53,:
30936,~LVZZ~,2000,6.43,:,5.12,11.78,:
30937,~LVZZ~,2001,9.93,:,7.91,18.54,:
30938,~LVZZ~,2002,5.69,:,4.7,10.68,:
30939,~LVZZ~,2003,5.74,:,5.23,11.35,:
30940,~LVZZ~,2004,3.11,:,2.94,6.02,:
30941,~LVZZ~,2005,13.56,:,13.44,25.09,:
30942,~LVZZ~,2006,16.13,:,15.98,25.99,:
30943,~LVZZ~,2007,24.95,:,24.86,34.69,:
30944,~LVZZ~,2008,45.78,:,45.77,61.72,:
30945,~LVZZ~,2009,36.16,:,36.31,52.63,:
30946,~LVZZ~,2010,29.29,:,29.54,45.9,:
30947,~LVZZ~,2011,30.18,:,30.33,45.35,:
30948,~LVZZ~,2012,33.31,:,33.05,48.22,:
30949,~LVZZ~,2013,28.08,:,28.03,40.52,:
30950,~LVZZ~,2014,34.92,:,34.92,50.31,:
30951,~LVZZ~,2015,36.65,:,36.65,52.97,:
30952,~LVZZ~,2016,34.79,:,34.79,49.87,:
30953,~LVZZ~,2017,36.99,:,36.99,52.44,:
30954,~LVZZ~,2018,39.84,:,39.84,55.14,:
30955,~LVZZ~,2019,41.77,:,41.77,56.62,:
30956,~LVZZ~,2020,43.09,:,43.09,58.61,:
30957,~LVZZ~,2021,43.61,:,43.61,59.94,:
30958,~LVZZ~,2022,46.82,:,46.82,61.06,:
30959,~LVZZ~,2023,58.72,:,58.72,75.95,:
30960,~LVZZZ~,2000,6.43,:,5.12,11.78,:
30961,~LVZZZ~,2001,9.93,:,7.91,18.54,:
30962,~LVZZZ~,2002,5.69,:,4.7,10.68,:
30963,~LVZZZ~,2003,5.74,:,5.23,11.35,:
30964,~LVZZZ~,2004,3.11,:,2.94,6.02,:
30965,~LVZZZ~,2005,13.56,:,13.44,25.09,:
30966,~LVZZZ~,2006,16.13,:,15.98,25.99,:
30967,~LVZZZ~,2007,24.95,:,24.86,34.69,:
30968,~LVZZZ~,2008,45.78,:,45.77,61.72,:
30969,~LVZZZ~,2009,36.16,:,36.31,52.63,:
30970,~LVZZZ~,2010,29.29,:,29.54,45.9,:
30971,~LVZZZ~,2011,30.18,:,30.33,45.35,:
30972,~LVZZZ~,2012,33.31,:,33.05,48.22,:
30973,~LVZZZ~,2013,28.08,:,28.03,40.52,:
30974,~LVZZZ~,2014,34.92,:,34.92,50.31,:
30975,~LVZZZ~,2015,36.65,:,36.65,52.97,:
30976,~LVZZZ~,2016,34.79,:,34.79,49.87,:
30977,~LVZZZ~,2017,36.99,:,36.99,52.44,:
30978,~LVZZZ~,2018,39.84,:,39.84,55.14,:
30979,~LVZZZ~,2019,41.77,:,41.77,56.62,:
30980,~LVZZZ~,2020,43.09,:,43.09,58.61,:
30981,~LVZZZ~,2021,43.61,:,43.61,59.94,:
30982,~LVZZZ~,2022,46.82,:,46.82,61.06,:
30983,~LVZZZ~,2023,58.72,:,58.72,75.95,:
31488,~MTZZ~,2000,6.96,:,6.55,9.38,:
31489,~MTZZ~,2001,8.16,:,7.66,10.76,:
31490,~MTZZ~,2002,8.22,:,7.83,11.04,:
31491,~MTZZ~,2003,7.82,:,7.76,11.1,:
31492,~MTZZ~,2004,10.19,:,10.16,14.66,:
31493,~MTZZ~,2005,11.28,:,11.29,16.15,:
31494,~MTZZ~,2006,11.04,:,11.04,15.36,:
31495,~MTZZ~,2007,12.58,:,12.58,17.49,:
31496,~MTZZ~,2008,12.69,:,12.69,17.23,:
31497,~MTZZ~,2009,12.86,:,12.86,17.05,:
31498,~MTZZ~,2010,13.71,:,13.71,18.12,:
31499,~MTZZ~,2011,13.94,:,13.94,18.1,:
31500,~MTZZ~,2012,14.29,:,14.29,18.21,:
31501,~MTZZ~,2013,14.84,:,14.84,18.55,:
31502,~MTZZ~,2014,15.31,:,15.31,18.72,:
31503,~MTZZ~,2015,15.46,:,15.46,18.53,:
31504,~MTZZ~,2016,16.08,:,16.08,19.16,:
31505,~MTZZ~,2017,17.15,:,17.15,20.09,:
31506,~MTZZ~,2018,18.9,:,18.9,21.84,:
31507,~MTZZ~,2019,20.22,:,20.22,23.33,:
31508,~MTZZ~,2020,14.45,:,14.45,16.56,:
31509,~MTZZ~,2021,22.62,:,22.62,25.46,:
31510,~MTZZ~,2022,21.58,:,21.58,23.79,:
