"Units","ScalingFactors","MinDate","MeasurementMethods","observationPeriods","StatVar","NumPlaces"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Photography","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_WindowAndFloorCoveringsAndOtherLinens","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Tomatoes","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_ToolsHardwareAndSupplies","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Nondurables","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Jewelry","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItemsExceptShelter","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_PhotographersAndFilmProcessing","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherIntercityTransportation","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MotorVehicleBodyWork","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanWageEarnerAndClericalWorker_OtherFoodAtHome","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MedicalCareCommodities","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItemsExceptFoodAndShelter","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_HousingAtSchoolExcludingBoard","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Cigarettes","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FoodAndBeverages","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MiscellaneousPersonalGoods","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_BeerAleAndOtherMaltBeveragesAtHome","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_LaundryEquipment","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FreshVegetables","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FreshFruitsAndVegetables","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_NondurablesExceptFoodAndApparel","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_ProcessedFruitsAndVegetables","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_InformationTechnologyCommodities","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FoodAtHome","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MotorVehicleInsurance","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_UtilityPipedGasService","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AutomobileServiceClubs","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherRecreationServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanWageEarnerAndClericalWorker_FoodAwayFromHome","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_VehicleAccessoriesOtherThanTires","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_BoysApparel","1"
"[]","[]","2018-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherUncookedPoultryIncludingTurkey","1"
"[]","[]","2018-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_ComputersPeripheralsAndSmartHomeAssistantDevices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_VideoDiscsAndOtherMedia","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_LimitedServiceMealsAndSnacks","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Electricity","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_DeliveryServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_HealthInsurance","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FrozenFruitsAndVegetables","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_BeefAndVeal","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanWageEarnerAndClericalWorker_AlcoholicBeverages","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FrozenVegetables","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FrozenFishAndSeafood","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherMeats","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MotorVehicleMaintenanceAndServicing","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherBakeryProducts","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_SportsEquipment","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_LandlineTelephoneServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherFoodAtHome","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_InpatientHospitalServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherFreshVegetables","1"
"[]","[]","2018-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_PhotoProcessing","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_InformationTechnologyHardwareAndServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_DomesticallyProducedFarmFood","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanWageEarnerAndClericalWorker_MeatsPoultryFishAndEggs","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_NonalcoholicBeveragesAndBeverageMaterials","1"
"[]","[]","2025-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_LodgingWhileAtSchool","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_CommoditiesExceptFoodAndEnergyCommodities","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_InfantsEquipment","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_RecreationalBooks","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Services","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItemsExceptMedicalCare","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_PropaneKeroseneAndFirewood","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_DistilledSpiritsAwayFromHome","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_IndoorPlantsAndFlowers","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_ParkingFeesAndTolls","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MiscellaneousPersonalServices","1"
"[]","[]","2022-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_BabyFoodAndFormula","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItemsExceptFoodShelterAndEnergy","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_CannedFruits","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_NonelectricCookwareAndTableware","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_CitrusFruits","1"
"[]","[]","2011-02","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_RepairOfHouseholdItems","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Bread","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_BreakfastCereal","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_CommoditiesExceptFoodEnergyAndUsedCarsAndTrucks","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Postage","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_PetsAndPetProducts","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherPorkIncludingRoastsAndPicnics","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_NondurablesExceptFood","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_PostageAndDeliveryServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Bananas","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_LambAndMutton","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_ServicesExceptEnergyServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_WirelessTelephoneServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_NewAndUsedMotorVehicles","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MensShirtsAndSweaters","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_ServicesExceptRentOfShelter","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_SugarAndSweets","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_BaconBreakfastSausageAndRelatedProducts","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_EnergyServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_DairyAndRelatedProducts","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_PreparedSalads","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_NursingHomesAndAdultDayServices","1"
"[]","[]","2019-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_DayCareAndPreschool","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_DriedBeansPeasAndLentils","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FilmAndPhotographicSupplies","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_PersonalCareProducts","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_PrivateTransportation","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_CareOfInvalidsAndElderlyAtHome","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MotorVehiclePartsAndEquipment","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_CheeseAndRelatedProducts","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_CosmeticsPerfumeBathNailPreparationsAndImplements","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_WineAtHome","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanWageEarnerAndClericalWorker_MedicalCareCommodities","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Recreation","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MotorVehicleRepair","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_EducationAndCommunicationCommodities","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_ParkingAndOtherFees","1"
"[]","[]","2018-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MensUnderwearNightwearSwimwearAndAccessories","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OutdoorEquipmentAndSupplies","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanWageEarnerAndClericalWorker_HospitalServices","1"
