key,prop,val,p1,v1,p2,v2,Month,,#End,#value,,
Dec. 2027- Dec. 2028,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan. 2028- Jan. 2029,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Feb. 2028- Feb. 2029,comparisonPeriod,YearOnChange,Month,02,observationPeriod,P1Y,,,,,,
Mar. 2028- Mar. 2029,comparisonPeriod,YearOnChange,Month,03,observationPeriod,P1Y,,,,,,
Apr. 2028- Apr. 2029,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
May. 2028- May. 2029,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2028- Jun. 2029,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2028- Jul. 2029,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2028- Aug. 2029,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2028- Sep. 2029,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2028- Oct. 2029,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2028- Nov. 2029,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2028- Dec. 2029,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan. 2029- Jan. 2030,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Feb. 2029- Feb. 2030,comparisonPeriod,YearOnChange,Month,02,observationPeriod,P1Y,,,,,,
Mar. 2029- Mar. 2030,comparisonPeriod,YearOnChange,Month,03,observationPeriod,P1Y,,,,,,
Apr. 2029- Apr. 2030,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
May. 2029- May. 2030,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2029- Jun. 2030,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2029- Jul. 2030,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2029- Aug. 2030,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2029- Sep. 2030,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2029- Oct. 2030,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2029- Nov. 2030,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2029- Dec. 2030,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan. 2030- Jan. 2031,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Feb. 2030- Feb. 2031,comparisonPeriod,YearOnChange,Month,02,observationPeriod,P1Y,,,,,,
Mar. 2030- Mar. 2031,comparisonPeriod,YearOnChange,Month,03,observationPeriod,P1Y,,,,,,
Apr. 2030- Apr. 2031,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
May. 2030- May. 2031,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2030- Jun. 2031,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2030- Jul. 2031,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2030- Aug. 2031,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2030- Sep. 2031,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2030- Oct. 2031,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2030- Nov. 2031,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2030- Dec. 2031,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,

Jan.,Month,01,,,,,,,,,,
Feb.,Month,02,,,,,,,,,,
Mar.,Month,03,,,,,,,,,,
Apr.,Month,04,,,,,,,,,,
May,Month,05,,,,,,,,,,
Jun.,Month,06,,,,,,,,,,
Jul.,Month,07,,,,,,,,,,
Aug.,Month,08,,,,,,,,,,
Sep.,Month,09,,,,,,,,,,
Oct.,Month,10,,,,,,,,,,
Nov.,Month,11,,,,,,,,,,
Dec.,Month,12,,,,,,,,,,
2011,observationDate,2011-{Month},,,,,,,,,,
2012,observationDate,2012-{Month},,,,,,,,,,
2013,observationDate,2013-{Month},,,,,,,,,,
2014,observationDate,2014-{Month},,,,,,,,,,
2015,observationDate,2015-{Month},,,,,,,,,,
2016,observationDate,2016-{Month},,,,,,,,,,
2017,observationDate,2017-{Month},,,,,,,,,,
2018,observationDate,2018-{Month},,,,,,,,,,
2019,observationDate,2019-{Month},,,,,,,,,,
2020,observationDate,2020-{Month},,,,,,,,,,
2021,observationDate,2021-{Month},,,,,,,,,,
2022,observationDate,2022-{Month},,,,,,,,,,
2023,observationDate,2023-{Month},,,,,,,,,,
2024,observationDate,2024-{Month},,,,,,,,,,
2025,observationDate,2025-{Month},,,,,,,,,,
2026,observationDate,2026-{Month},,,,,,,,,,
2027,observationDate,2027-{Month},,,,,,,,,,
2028,observationDate,2028-{Month},,,,,,,,,,
2029,observationDate,2029-{Month},,,,,,,,,,
2030,observationDate,2030-{Month},,,,,,,,,,
"Admission to movies, theaters, and concerts(4)(5)(6)",consumerGoodsCategory,AdmissionToMoviesTheatersAndConcerts,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Admission to movies, theaters, and concerts(5)(6)(7)",consumerGoodsCategory,AdmissionToMoviesTheatersAndConcerts,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Admission to sporting events(4)(5)(6),consumerGoodsCategory,AdmissionToSportingEvents,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Admission to sporting events(5)(6)(7),consumerGoodsCategory,AdmissionToSportingEvents,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Admissions,consumerGoodsCategory,Admissions,,,,,,,,,,
Admissions(4),consumerGoodsCategory,Admissions,,,,,,,,,,
Airline fare,consumerGoodsCategory,AirlineFares,,,,,,,,,,
Airline fares,consumerGoodsCategory,AirlineFares,,,,,,,,,,
Alcoholic beverages,consumerGoodsCategory,AlcoholicBeverages,,,,,,,,,,
Alcoholic beverages at home,consumerGoodsCategory,AlcoholicBeveragesAtHome,,,,,,,,,,
Alcoholic beverages away from home(4),consumerGoodsCategory,AlcoholicBeveragesAwayFromHome,,,,,,,,,,
Alcoholic beverages away from home(5),consumerGoodsCategory,AlcoholicBeveragesAwayFromHome,,,,,,,,,,
Alcoholic beverages(4),consumerGoodsCategory,AlcoholicBeverages,,,,,,,,,,
All items,consumerGoodsCategory,AllItems,,,,,,,,,,
All items less energy,consumerGoodsCategory,AllItemsLessEnergy,,,,,,,,,,
All items less food,consumerGoodsCategory,AllItemsLessFood,,,,,,,,,,
All items less food and energy,consumerGoodsCategory,AllItemsLessFoodAndEnergy,,,,,,,,,,
All items less food and shelter,consumerGoodsCategory,AllItemsLessFoodAndShelter,,,,,,,,,,
"All items less food, shelter, and energy",consumerGoodsCategory,AllItemsLessFoodShelterAndEnergy,,,,,,,,,,
"All items less food, shelter, energy, and used cars and trucks",consumerGoodsCategory,AllItemsLessFoodShelterEnergyAndUsedCarsAndTrucks,,,,,,,,,,
All items less medical care,consumerGoodsCategory,AllItemsLessMedicalCare,,,,,,,,,,
All items less shelter,consumerGoodsCategory,AllItemsLessShelter,,,,,,,,,,
Apparel,consumerGoodsCategory,Apparel,,,,,,,,,,
Apparel less footwear,consumerGoodsCategory,ApparelLessFootwear,,,,,,,,,,
Apparel services other than laundry and dry cleaning(4)(5),consumerGoodsCategory,ApparelServicesOtherThanLaundryAndDryCleaning,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Apparel services other than laundry and dry cleaning(5)(6),consumerGoodsCategory,ApparelServicesOtherThanLaundryAndDryCleaning,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Apples,consumerGoodsCategory,Apples,,,,,,,,,,
Appliances(5),consumerGoodsCategory,Appliances,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Appliances(6),consumerGoodsCategory,Appliances,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Audio discs, tapes and other media(4)(5)",consumerGoodsCategory,AudioDiscsTapesAndOtherMedia,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Audio equipment,consumerGoodsCategory,AudioEquipment,,,,,,,,,,
Audio equipment(4),consumerGoodsCategory,AudioEquipment,,,,,,,,,,
Audio equipment(5),consumerGoodsCategory,AudioEquipment,,,,,,,,,,
Automobile service clubs(4)(5)(6),consumerGoodsCategory,AutomobileService,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Automobile service clubs(5)(6)(7),consumerGoodsCategory,AutomobileService,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Baby food and formula(4)(5),consumerGoodsCategory,BabyFoodAndFormula,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Baby food(4)(5),consumerGoodsCategory,BabyFood,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Baby food(5)(6),consumerGoodsCategory,BabyFood,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Bacon and related products(6),consumerGoodsCategory,BaconAndRelatedProducts,,,,,,,,,,
Bacon and related products(7),consumerGoodsCategory,BaconAndRelatedProducts,,,,,,,,,,
"Bacon, breakfast sausage, and related products(5)",consumerGoodsCategory,BaconBreakfastSausageAndRelatedProducts,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Bacon, breakfast sausage, and related products(6)",consumerGoodsCategory,BaconBreakfastSausageAndRelatedProducts,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Bakery products,consumerGoodsCategory,BakeryProducts,,,,,,,,,,
Bakery products(4),consumerGoodsCategory,BakeryProducts,,,,,,,,,,
Bakery products(5),consumerGoodsCategory,BakeryProducts,,,,,,,,,,
Bananas,consumerGoodsCategory,Bananas,,,,,,,,,,
Bananas(4),consumerGoodsCategory,Bananas,,,,,,,,,,
Bananas(5),consumerGoodsCategory,Bananas,,,,,,,,,,
Bedroom furniture(4),consumerGoodsCategory,BedroomFurniture,,,,,,,,,,
Bedroom furniture(5),consumerGoodsCategory,BedroomFurniture,,,,,,,,,,
Beef and veal,consumerGoodsCategory,BeefAndVeal,,,,,,,,,,
Beef and veal(4),consumerGoodsCategory,BeefAndVeal,,,,,,,,,,
"Beer, ale, and other malt beverages at home",consumerGoodsCategory,BeerAleAndOtherMaltBeveragesAtHome,,,,,,,,,,
"Beer, ale, and other malt beverages at home(4)",consumerGoodsCategory,BeerAleAndOtherMaltBeveragesAtHome,,,,,,,,,,
"Beer, ale, and other malt beverages away from home(4)(5)(6)",consumerGoodsCategory,BeerAleAndOtherMaltBeveragesAwayFromHome,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Beer, ale, and other malt beverages away from home(5)(6)(7)",consumerGoodsCategory,BeerAleAndOtherMaltBeveragesAwayFromHome,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Beverage materials including coffee and tea(5),consumerGoodsCategory,BeverageMaterialsIncludingCoffeeAndTea,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Beverage materials including coffee and tea(6),consumerGoodsCategory,BeverageMaterialsIncludingCoffeeAndTea,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Boys' and girls' footwear,consumerGoodsCategory,BoysAndGirlsFootwear,,,,,,,,,,
Boys' and girls' footwear(4),consumerGoodsCategory,BoysAndGirlsFootwear,,,,,,,,,,
Boys' apparel,consumerGoodsCategory,BoysApparel,,,,,,,,,,
Bread other than white(4)(6),consumerGoodsCategory,BreadOtherThanWhite,,,,,,,,,,
Bread other than white(5)(7),consumerGoodsCategory,BreadOtherThanWhite,,,,,,,,,,
Bread(4)(5),consumerGoodsCategory,Bread,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Bread(5),consumerGoodsCategory,Bread,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Bread(5)(6),consumerGoodsCategory,Bread,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Breakfast cereal(4),consumerGoodsCategory,BreakfastCereal,,,,,,,,,,
Breakfast cereal(5),consumerGoodsCategory,BreakfastCereal,,,,,,,,,,
Breakfast sausage and related products(4)(5)(6),consumerGoodsCategory,BreakfastSausageAndRelatedProducts,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Breakfast sausage and related products(5)(6),consumerGoodsCategory,BreakfastSausageAndRelatedProducts,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Breakfast sausage and related products(6)(7),consumerGoodsCategory,BreakfastSausageAndRelatedProducts,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Butter and margarine(5),consumerGoodsCategory,ButterAndMargarine,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Butter and margarine(6),consumerGoodsCategory,ButterAndMargarine,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Butter(6),consumerGoodsCategory,Butter,,,,,,,,,,
Butter(7),consumerGoodsCategory,Butter,,,,,,,,,,
Cable and satellite television and radio service(14),consumerGoodsCategory,CableSatelliteTelevisionAndRadioService,unit,IndexPointBasePeriodDecember1983Equals100,,,,,,,,
Cable and satellite television service(13),consumerGoodsCategory,CableSatelliteTelevisionService,unit,IndexPointBasePeriodDecember1983Equals100,,,,,,,,
Cable and satellite television service(14),consumerGoodsCategory,CableSatelliteTelevisionService,unit,IndexPointBasePeriodDecember1983Equals100,,,,,,,,
"Cable, satellite, and live streaming television service(13)",consumerGoodsCategory,CableSatelliteAndLiveStreamingTelevisionService,unit,IndexPointBasePeriodDecember1983Equals100,,,,,,,,
"Cakes, cupcakes, and cookies",consumerGoodsCategory,CakesCupcakesAndCookies,,,,,,,,,,
"Cakes, cupcakes, and cookies(4)",consumerGoodsCategory,CakesCupcakesAndCookies,,,,,,,,,,
Candy and chewing gum(4)(5),consumerGoodsCategory,CandyAndChewingGum,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Candy and chewing gum(5),consumerGoodsCategory,CandyAndChewingGum,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Candy and chewing gum(5)(6),consumerGoodsCategory,CandyAndChewingGum,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Canned fruits and vegetables(5),consumerGoodsCategory,CannedFruitsAndVegetables,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Canned fruits and vegetables(6),consumerGoodsCategory,CannedFruitsAndVegetables,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Canned fruits(5)(6),consumerGoodsCategory,CannedFruits,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Canned fruits(6)(7),consumerGoodsCategory,CannedFruits,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Canned vegetables(5)(6),consumerGoodsCategory,CannedVegetables,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Canned vegetables(6)(7),consumerGoodsCategory,CannedVegetables,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Car and truck rental(5),consumerGoodsCategory,CarAndTruckRental,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Car and truck rental(6),consumerGoodsCategory,CarAndTruckRental,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Carbonated drinks,consumerGoodsCategory,CarbonatedDrinks,,,,,,,,,,
Care of invalids and elderly at home(4)(8),consumerGoodsCategory,CareOfInvalidsAndElderlyAtHome,unit,IndexPointBasePeriodDecember2005Equals100,,,,,,,,
Care of invalids and elderly at home(5)(9),consumerGoodsCategory,CareOfInvalidsAndElderlyAtHome,unit,IndexPointBasePeriodDecember2005Equals100,,,,,,,,
Cereals and bakery products,consumerGoodsCategory,CerealsAndBakeryProducts,,,,,,,,,,
Cereals and cereal products,consumerGoodsCategory,CerealsAndCerealProducts,,,,,,,,,,
Checking account and other bank services(4)(5)(6),consumerGoodsCategory,CheckingAccountAndOtherBankServices,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Checking account and other bank services(5)(6)(7),consumerGoodsCategory,CheckingAccountAndOtherBankServices,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Cheese and related products,consumerGoodsCategory,CheeseAndRelatedProducts,,,,,,,,,,
Cheese and related products(4),consumerGoodsCategory,CheeseAndRelatedProducts,,,,,,,,,,
Cheese and related products(5),consumerGoodsCategory,CheeseAndRelatedProducts,,,,,,,,,,
Chicken(4)(5),consumerGoodsCategory,Chicken,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Chicken(5),consumerGoodsCategory,Chicken,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Chicken(5)(6),consumerGoodsCategory,Chicken,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Child care and nursery school(13),consumerGoodsCategory,ChildCareAndNurserySchool,unit,IndexPointBasePeriodDecember1990Equals100,,,,,,,,
Cigarettes(4)(5),consumerGoodsCategory,Cigarettes,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Cigarettes(5),consumerGoodsCategory,Cigarettes,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Cigarettes(6),consumerGoodsCategory,Cigarettes,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Citrus fruits(5),consumerGoodsCategory,CitrusFruits,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Citrus fruits(6),consumerGoodsCategory,CitrusFruits,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Clocks, lamps, and decorator items(4)",consumerGoodsCategory,ClocksLampsAndDecoratorItems,,,,,,,,,,
"Clocks, lamps, and decorator items(5)",consumerGoodsCategory,ClocksLampsAndDecoratorItems,,,,,,,,,,
Club dues and fees for participant sports and group exercises(4)(5),consumerGoodsCategory,SportsAndGroupExerciseClubFees,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Club dues and fees for participant sports and group exercises(5),consumerGoodsCategory,SportsAndGroupExerciseClubFees,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees(4)(5)",consumerGoodsCategory,ClubMembershipForShoppingClubsFraternalOrOtherOrganizationsOrParticipantSportsFees,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees(5)",consumerGoodsCategory,ClubMembershipForShoppingClubsFraternalOrOtherOrganizationsOrParticipantSportsFees,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees(5)(6)",consumerGoodsCategory,ClubMembershipForShoppingClubsFraternalOrOtherOrganizationsOrParticipantSportsFees,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Coffee,consumerGoodsCategory,Coffee,,,,,,,,,,
College textbooks(4)(14)(6),consumerGoodsCategory,CollegeTextbooks,unit,IndexPointBasePeriodDecember2001Equals100,,,,,,,,
College textbooks(4)(15)(6),consumerGoodsCategory,CollegeTextbooks,unit,IndexPointBasePeriodDecember2001Equals100,,,,,,,,
College textbooks(4)(6)(14),consumerGoodsCategory,CollegeTextbooks,unit,IndexPointBasePeriodDecember2001Equals100,,,,,,,,
College textbooks(5)(15)(7),consumerGoodsCategory,CollegeTextbooks,unit,IndexPointBasePeriodDecember2001Equals100,,,,,,,,
College tuition and fees,consumerGoodsCategory,CollegeTuitionAndFees,,,,,,,,,,
Commodities,consumerGoodsCategory,Commodities,,,,,,,,,,
Commodities less food,consumerGoodsCategory,CommoditiesLessFood,,,,,,,,,,
Commodities less food and beverages,consumerGoodsCategory,CommoditiesLessFoodAndBeverages,,,,,,,,,,
Commodities less food and energy commodities,consumerGoodsCategory,CommoditiesLessFoodAndEnergyCommodities,,,,,,,,,,
"Commodities less food, energy, and used cars and trucks",consumerGoodsCategory,CommoditiesLessFoodEnergyAndUsedCarsAndTrucks,,,,,,,,,,
Communication(5),consumerGoodsCategory,Communication,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
Communication(6),consumerGoodsCategory,Communication,unit,IndexPointBasePeriodDecember1997Equals100,,,,,,,,
