observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,measurementMethod
geoId/04,2021,dcid:Amount_Investment,1545742,USDollar,,
geoId/04,2022,dcid:Amount_Investment,21463945,USDollar,,
geoId/04,2023,dcid:Amount_Investment,1225000,USDollar,,
geoId/04,2024,dcid:Amount_Investment,5231050,USDollar,,
geoId/04,2025,dcid:Amount_Investment,5638731,USDollar,,
geoId/04,2026,dcid:Amount_Investment,5483656,USDollar,,
geoId/04,2012,dcid:Amount_Investment_EconomicAdjustmentAssistance,4135648,USDollar,,
geoId/04,2013,dcid:Amount_Investment_EconomicAdjustmentAssistance,371864,USDollar,,
geoId/04,2014,dcid:Amount_Investment_EconomicAdjustmentAssistance,75000,USDollar,,
geoId/04,2016,dcid:Amount_Investment_EconomicAdjustmentAssistance,300000,USDollar,,
geoId/04,2020,dcid:Amount_Investment_EconomicAdjustmentAssistance,1800000,USDollar,,
geoId/04,2021,dcid:Amount_Investment_EconomicAdjustmentAssistance,1066346,USDollar,,
geoId/04,2022,dcid:Amount_Investment_EconomicAdjustmentAssistance,19708811,USDollar,,
geoId/04,2023,dcid:Amount_Investment_EconomicAdjustmentAssistance,705000,USDollar,,
geoId/04,2024,dcid:Amount_Investment_EconomicAdjustmentAssistance,943437,USDollar,,
geoId/04,2025,dcid:Amount_Investment_EconomicAdjustmentAssistance,5638731,USDollar,,
geoId/04,2012,dcid:Amount_Investment_ProgramPlanning,922000,USDollar,,
geoId/04,2013,dcid:Amount_Investment_ProgramPlanning,350000,USDollar,,
geoId/04,2014,dcid:Amount_Investment_ProgramPlanning,60000,USDollar,,
geoId/04,2015,dcid:Amount_Investment_ProgramPlanning,770900,USDollar,,
geoId/04,2016,dcid:Amount_Investment_ProgramPlanning,94216,USDollar,,
geoId/04,2017,dcid:Amount_Investment_ProgramPlanning,1090289,USDollar,,
geoId/04,2018,dcid:Amount_Investment_ProgramPlanning,310000,USDollar,,
geoId/04,2019,dcid:Amount_Investment_ProgramPlanning,70000,USDollar,,
geoId/04,2020,dcid:Amount_Investment_ProgramPlanning,660000,USDollar,,
geoId/04,2021,dcid:Amount_Investment_ProgramPlanning,180000,USDollar,,
geoId/04,2022,dcid:Amount_Investment_ProgramPlanning,210000,USDollar,,
geoId/04,2023,dcid:Amount_Investment_ProgramPlanning,450000,USDollar,,
geoId/04,2024,dcid:Amount_Investment_ProgramPlanning,225000,USDollar,,
geoId/04,2014,dcid:Amount_Investment_PublicWorks,2906300,USDollar,,
geoId/04,2015,dcid:Amount_Investment_PublicWorks,1600074,USDollar,,
geoId/04,2016,dcid:Amount_Investment_PublicWorks,3000000,USDollar,,
