observationDate,observationAbout,variableMeasured,value,unit,scalingFactor
2013,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,13.04348,dcs:Percent,100
2013,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,19.56522,dcs:Percent,100
2013,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,2.17391,dcs:Percent,100
2014,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,65.11628,dcs:Percent,100
2014,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2014,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,11.62791,dcs:Percent,100
2014,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,23.25581,dcs:Percent,100
2014,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2015,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,63.85542,dcs:Percent,100
2015,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2015,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,16.86747,dcs:Percent,100
2015,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,19.27711,dcs:Percent,100
2015,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2016,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,62.0915,dcs:Percent,100
2016,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,2.61438,dcs:Percent,100
2016,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,13.72549,dcs:Percent,100
2016,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,20.91503,dcs:Percent,100
2016,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0.65359,dcs:Percent,100
2017,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,63.91753,dcs:Percent,100
2017,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,1.03093,dcs:Percent,100
2017,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,12.37113,dcs:Percent,100
2017,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,22.16495,dcs:Percent,100
2017,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0.51546,dcs:Percent,100
2018,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,68.80734,dcs:Percent,100
2018,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,2.75229,dcs:Percent,100
2018,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,10.09174,dcs:Percent,100
2018,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,16.81957,dcs:Percent,100
2018,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,1.52905,dcs:Percent,100
2019,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,71.21212,dcs:Percent,100
2019,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,2.0202,dcs:Percent,100
2019,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,8.58586,dcs:Percent,100
2019,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,14.39394,dcs:Percent,100
2019,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,3.78788,dcs:Percent,100
2020,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,74.28571,dcs:Percent,100
2020,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0.95238,dcs:Percent,100
2020,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,9.84127,dcs:Percent,100
2020,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,13.01587,dcs:Percent,100
2020,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,1.90476,dcs:Percent,100
2021,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,68.44784,dcs:Percent,100
2021,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,2.79898,dcs:Percent,100
2021,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,11.19593,dcs:Percent,100
2021,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,16.79389,dcs:Percent,100
2021,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0.76336,dcs:Percent,100
2022,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,72.31544,dcs:Percent,100
2022,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,2.18121,dcs:Percent,100
2022,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,11.07383,dcs:Percent,100
2022,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,13.42282,dcs:Percent,100
2022,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,1.00671,dcs:Percent,100
2006,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2006,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,100,dcs:Percent,100
2006,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2006,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2006,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2015,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,100,dcs:Percent,100
2015,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2016,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,100,dcs:Percent,100
2016,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2016,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2016,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2016,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2018,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,75,dcs:Percent,100
2018,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2018,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,25,dcs:Percent,100
2018,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2018,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2019,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,50,dcs:Percent,100
2019,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2019,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,50,dcs:Percent,100
2019,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2020,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,50,dcs:Percent,100
2020,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2020,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,50,dcs:Percent,100
2020,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2020,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2021,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,60,dcs:Percent,100
2021,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,20,dcs:Percent,100
2021,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,20,dcs:Percent,100
2022,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,66.66667,dcs:Percent,100
2022,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2022,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,33.33333,dcs:Percent,100
2022,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2022,country/ALB,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2017,country/ASM,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,100,dcs:Percent,100
2017,country/ASM,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2017,country/ASM,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2017,country/ASM,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2017,country/ASM,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
