"CONCEPT","CODE","NAME_EN","PARENT","SORT_ORDER","dcid","typeOf","containedInPlace","name","wikidataId","unDataCode","UnDataCode","alternateName","Parent_dcid","Comment"
"GEOGRAPHY","G00000500","""Cameroon (West)""","","","undata-geo/G00000500","GeoRegion","Earth","""Cameroon (West)""","","""undata-geo:G00000500""","undata-geo:G00000500","","",""
"GEOGRAPHY","G00000510","Canada","G00136000","","country/CAN","Country","northamerica,undata-geo/G00134000,undata-geo/G00136000,undata-geo/G00406000","""Canada""","""Q16""","""undata-geo:G00000510""","undata-geo:G00000510","","",""
"GEOGRAPHY","G00000520","""Canary Islands""","G00133000","","undata-geo/G00000520","GeoRegion","Earth,SouthernEurope,europe","""Canary Islands""","","""undata-geo:G00000520""","undata-geo:G00000520","","",""
"GEOGRAPHY","G00000530","""Canton and Enderbury Islands""","G00405400","","undata-geo/G00000530","GeoRegion","Earth,Micronesia,oceania,undata-geo/G00145000,undata-geo/G00404000,undata-geo/G00404400,undata-geo/G00405000,undata-geo/G00405400","""Canton and Enderbury Islands""","","""undata-geo:G00000530""","undata-geo:G00000530","","",""
"GEOGRAPHY","G00000540","""Caroline Islands""","","","undata-geo/G00000540","GeoRegion","Earth","""Caroline Islands""","","""undata-geo:G00000540""","undata-geo:G00000540","","",""
"GEOGRAPHY","G00000550","""Cayman Islands""","G00139000","","country/CYM","AdministrativeArea1,Country","northamerica","""Cayman Islands""","""Q5785""","""undata-geo:G00000550""","undata-geo:G00000550","","",""
"GEOGRAPHY","G00000560","""Central African Republic""","G00404100","","country/CAF","Country","MiddleAfrica,SubSaharanAfrica,africa,undata-geo/G00403000,undata-geo/G00403100,undata-geo/G00404000,undata-geo/G00404100","""Central African Republic""","""Q929""","""undata-geo:G00000560""","undata-geo:G00000560","","",""
"GEOGRAPHY","G00000570","""Ceuta and Melilla (Spanish North Africa)""","","","undata-geo/G00000570","GeoRegion","Earth","""Ceuta and Melilla (Spanish North Africa)""","","""undata-geo:G00000570""","undata-geo:G00000570","","",""
"GEOGRAPHY","G00000580","Chad","G00404100","","country/TCD","Country","MiddleAfrica,SubSaharanAfrica,africa,undata-geo/G00403000,undata-geo/G00403100,undata-geo/G00404000,undata-geo/G00404100","""Chad""","""Q657""","""undata-geo:G00000580""","undata-geo:G00000580","","",""
"GEOGRAPHY","G00000590","""Channel Islands""","G00131000","","undata-geo/C26800000","GeoRegion","ChannelIslands,Earth,NorthernEurope,europe","""Jersey: All cities or breakdown by cities not available""","","""undata-geo:C26800000""","undata-geo:G00000590","""Channel Islands""","",""
"GEOGRAPHY","G00000600","Chile","G00142000","","country/CHL","Country","LatinAmericaAndCaribbean,southamerica,undata-geo/G00134000,undata-geo/G00406000","""Chile""","""Q298""","""undata-geo:G00000600""","undata-geo:G00000600","","",""
"GEOGRAPHY","G00000610","China","G00123000","","country/CHN","Country","EasternAsia,asia","""China"",""People's Republic of China""","""Q148""","""undata-geo:G00000610""","undata-geo:G00000610","","",""
"GEOGRAPHY","G00000620","China,""Hong Kong Special Administrative Region""","G00123000","","country/HKG","AdministrativeArea1,City,Country","asia,country/CHN","""Hong Kong""","""Q8646""","""undata-geo:G00000620""","undata-geo:G00000620","""China,""Hong Kong Special Administrative Region""","",""
"GEOGRAPHY","G00000630","China,""Macao Special Administrative Region""","G00123000","","country/MAC","AdministrativeArea1,City,Country","asia,country/CHN","""Macau""","""Q14773""","""undata-geo:G00000630""","undata-geo:G00000630","""China,""Macao Special Administrative Region""","",""
"GEOGRAPHY","G00000640","""Christmas Island""","G00144000","","wikidataId/Q1089780","Place","","""Christmas Island""","","","undata-geo:G00000640","","",""
"GEOGRAPHY","G00000650","""Cocos (Keeling) Islands""","G00144000","","wikidataId/Q15214110","Place","country/CCK","""Direction Island""","""Q15214110""","","undata-geo:G00000650","""Cocos (Keeling) Islands""","",""
"GEOGRAPHY","G00000660","Colombia","G00142000","","country/COL","Country","LatinAmericaAndCaribbean,southamerica,undata-geo/G00134000,undata-geo/G00406000","""Colombia""","""Q739""","""undata-geo:G00000660""","undata-geo:G00000660","","",""
"GEOGRAPHY","G00000670","Comoros","G00405100","","country/COM","Country","EasternAfrica,SubSaharanAfrica,africa,undata-geo/G00404000,undata-geo/G00404100,undata-geo/G00405000,undata-geo/G00405100","""Comoros""","""Q970""","""undata-geo:G00000670""","undata-geo:G00000670","","",""
"GEOGRAPHY","G00000680","Congo","G00105000","","country/COG","Country","SubSaharanAfrica,WesternAfrica,africa","""Congo [Republic]"",""Republic of the Congo""","""Q971""","""undata-geo:G00000680""","undata-geo:G00000680","","",""
"GEOGRAPHY","G00000690","""Cook Islands""","G00405400","","country/COK","Country","Polynesia,oceania,undata-geo/G00145000,undata-geo/G00405000,undata-geo/G00405400","""Cook Islands""","""Q26988""","""undata-geo:G00000690""","undata-geo:G00000690","","",""
"GEOGRAPHY","G00000700","""Costa Rica""","G00141000","","country/CRI","Country","CentralAmerica,LatinAmericaAndCaribbean,northamerica,undata-geo/G00134000,undata-geo/G00406000","""Costa Rica""","""Q800""","""undata-geo:G00000700""","undata-geo:G00000700","","",""
"GEOGRAPHY","G00000710","""Côte d’Ivoire""","G00105000","","country/CIV","Country","SubSaharanAfrica,WesternAfrica,africa","""Côte d'Ivoire"",""Ivory Coast""","""Q1008""","""undata-geo:G00000710""","undata-geo:G00000710","""Côte d’Ivoire""","",""
"GEOGRAPHY","G00000720","Croatia","G00133000","","country/HRV","Country","EuropeanUnion,SouthernEurope,europe","""Croatia""","""Q224""","""undata-geo:G00000720""","undata-geo:G00000720","","",""
"GEOGRAPHY","G00000730","Cuba","G00405200","","country/CUB","Country","Caribbean,LatinAmericaAndCaribbean,northamerica,undata-geo/G00134000,undata-geo/G00405000,undata-geo/G00405200","""Cuba""","""Q241""","""undata-geo:G00000730""","undata-geo:G00000730","","",""
"GEOGRAPHY","G00000740","Curaçao","G00405200","","country/CUW","Country","Caribbean,LatinAmericaAndCaribbean,southamerica,undata-geo/G00134000,undata-geo/G00405000,undata-geo/G00405200","""Curaçao""","""Q25279""","""undata-geo:G00000740""","undata-geo:G00000740","","",""
"GEOGRAPHY","G00000750","Cyprus","G00120000","","country/CYP","Country","EuropeanUnion,WesternAsia,asia,europe","""Cyprus"",""Republic of Cyprus""","""Q229""","""undata-geo:G00000750""","undata-geo:G00000750","","",""
"GEOGRAPHY","G00000760","Czechia","G00129000","","country/CZE","Country","EasternEurope,EuropeanUnion,europe,undata-geo/G00406000","""Czech Republic""","""Q213""","""undata-geo:G00000760""","undata-geo:G00000760","""Czechia""","",""
"GEOGRAPHY","G00000770","""Czechoslovakia [former]""","","","undata-geo/G00000770","GeoRegion","Earth","""Czechoslovakia [former]""","","""undata-geo:G00000770""","undata-geo:G00000770","","",""
"GEOGRAPHY","G00000780","""Democratic People's Republic of Korea""","G00123000","","country/PRK","Country","EasternAsia,asia","""North Korea""","""Q423""","""undata-geo:G00000780""","undata-geo:G00000780","""Democratic People's Republic of Korea""","",""
"GEOGRAPHY","G00000790","""Democratic Republic of the Congo""","G00404100","","country/COD","Country","MiddleAfrica,SubSaharanAfrica,africa,undata-geo/G00404000,undata-geo/G00404100","""Congo [DRC]"",""Democratic Republic of the Congo""","""Q974""","""undata-geo:G00000790""","undata-geo:G00000790","","",""
"GEOGRAPHY","G00000800","""Democratic Yemen [former]""","","","undata-geo/G00000800","GeoRegion","Earth","""Democratic Yemen""","","""undata-geo:G00000800""","undata-geo:G00000800","""Democratic Yemen [former]""","",""
"GEOGRAPHY","G00000810","Denmark","G00131000","","country/DNK","Country","EuropeanUnion,europe,undata-geo/G00406000,wikidataId/Q756617","""Denmark""","""Q35""","""undata-geo:G00000810""","undata-geo:G00000810","","",""
"GEOGRAPHY","G00000820","Djibouti","G00404100","","country/DJI","Country","EasternAfrica,SubSaharanAfrica,africa,undata-geo/G00404000,undata-geo/G00404100","""Djibouti""","""Q977""","""undata-geo:G00000820""","undata-geo:G00000820","","",""
"GEOGRAPHY","G00000830","Dominica","G00405200","","country/DMA","Country","Caribbean,LatinAmericaAndCaribbean,northamerica,undata-geo/G00134000,undata-geo/G00405000,undata-geo/G00405200","""Dominica""","""Q784""","""undata-geo:G00000830""","undata-geo:G00000830","","",""
"GEOGRAPHY","G00000840","""Dominican Republic""","G00405200","","country/DOM","Country","Caribbean,LatinAmericaAndCaribbean,northamerica,undata-geo/G00134000,undata-geo/G00405000,undata-geo/G00405200","""Dominican Republic""","""Q786""","""undata-geo:G00000840""","undata-geo:G00000840","","",""
"GEOGRAPHY","G00000850","""Dronning Maud Land [former]""","","","undata-geo/G00000850","GeoRegion","Earth","""Dronning Maud Land [former]""","","""undata-geo:G00000850""","undata-geo:G00000850","","",""
"GEOGRAPHY","G00000860","Dubai","G00120000","","undata-geo/G00000860","GeoRegion","Earth,WesternAsia,asia","""Dubai""","","""undata-geo:G00000860""","undata-geo:G00000860","","",""
"GEOGRAPHY","G00000870","""East and West Pakistan [former]""","","","undata-geo/G00000870","GeoRegion","Earth","""East and West Pakistan [former]""","","""undata-geo:G00000870""","undata-geo:G00000870","","",""
"GEOGRAPHY","G00000880","""Easter Island""","G00142000","","undata-geo/G00000880","GeoRegion","Earth,LatinAmericaAndCaribbean,southamerica,undata-geo/G00134000","""Easter Island""","","""undata-geo:G00000880""","undata-geo:G00000880","","",""
"GEOGRAPHY","G00000890","Ecuador","G00142000","","country/ECU","Country","LatinAmericaAndCaribbean,southamerica,undata-geo/G00134000","""Ecuador""","""Q736""","""undata-geo:G00000890""","undata-geo:G00000890","","",""
"GEOGRAPHY","G00000900","Egypt","G00102000","","country/EGY","Country","NorthernAfrica,africa,asia","""Egypt""","""Q79""","""undata-geo:G00000900""","undata-geo:G00000900","","",""
"GEOGRAPHY","G00000910","""El Salvador""","G00141000","","country/SLV","Country","CentralAmerica,LatinAmericaAndCaribbean,northamerica,undata-geo/G00134000","""El Salvador""","""Q792""","""undata-geo:G00000910""","undata-geo:G00000910","","",""
"GEOGRAPHY","G00000920","England","G00131000","","undata-geo/G00000920","GeoRegion","Earth,NorthernEurope,europe,undata-geo/G00000930","""England""","","""undata-geo:G00000920""","undata-geo:G00000920","","",""
"GEOGRAPHY","G00000930","""England and Wales""","G00131000","","undata-geo/G00000930","GeoRegion","Earth,NorthernEurope,europe","""England and Wales""","","""undata-geo:G00000930""","undata-geo:G00000930","","",""
"GEOGRAPHY","G00000940","""Equatorial Guinea""","G00112000","","country/GNQ","Country","MiddleAfrica,SubSaharanAfrica,africa","""Equatorial Guinea""","""Q983""","""undata-geo:G00000940""","undata-geo:G00000940","","",""
"GEOGRAPHY","G00000950","Eritrea","G00404100","","country/ERI","Country","EasternAfrica,SubSaharanAfrica,africa,undata-geo/G00404000,undata-geo/G00404100","""Eritrea""","""Q986""","""undata-geo:G00000950""","undata-geo:G00000950","","",""
"GEOGRAPHY","G00000960","Estonia","G00131000","","country/EST","Country","EuropeanUnion,NorthernEurope,europe,undata-geo/G00406000","""Estonia""","""Q191""","""undata-geo:G00000960""","undata-geo:G00000960","","",""
"GEOGRAPHY","G00000970","Eswatini","G00403100","","country/SWZ","Country","SouthernAfrica,SubSaharanAfrica,africa,undata-geo/G00403000,undata-geo/G00403100","""Eswatini"",""Swaziland""","""Q1050""","""undata-geo:G00000970""","undata-geo:G00000970","","",""
"GEOGRAPHY","G00000980","Ethiopia","G00404100","","country/ETH","Country","EasternAfrica,SubSaharanAfrica,africa,undata-geo/G00403000,undata-geo/G00403100,undata-geo/G00404000,undata-geo/G00404100","""Ethiopia""","""Q115""","""undata-geo:G00000980""","undata-geo:G00000980","","",""
"GEOGRAPHY","G00000990","""Ethiopia (former)""","","","undata-geo/G00000990","GeoRegion","Earth","""Ethiopia (former)""","","""undata-geo:G00000990""","undata-geo:G00000990","","",""
"GEOGRAPHY","G00001000","""Falkland Islands (Malvinas)""","G00142000","","country/FLK","AdministrativeArea1,Country","southamerica","""Falkland Islands"",""Falkland Islands [Islas Malvinas]""","""Q9648""","""undata-geo:G00001000""","undata-geo:G00001000","""Falkland Islands (Malvinas)""","",""
"GEOGRAPHY","G00001010","""Faroe Islands""","G00131000","","country/FRO","AdministrativeArea1,Country","europe,wikidataId/Q756617","""Faroe Islands""","""Q4628""","""undata-geo:G00001010""","undata-geo:G00001010","","",""
"GEOGRAPHY","G00001020","""Federal Republic of Germany""","","","undata-geo/G00001020","GeoRegion","Earth","""Federal Republic of Germany""","","""undata-geo:G00001020""","undata-geo:G00001020","","",""
"GEOGRAPHY","G00001030","""Federation of Malaya"",Sabah,""Sarawak and Singapore [former]""","","","undata-geo/G00001030","GeoRegion","Earth","""Federation of Malaya, Sabah, Sarawak and Singapore [former]""","","""undata-geo:G00001030""","undata-geo:G00001030","""Federation of Malaya"",Sabah,""Sarawak and Singapore [former]""","",""
"GEOGRAPHY","G00001040","Fiji","G00405400","","country/FJI","Country","Melanesia,oceania,undata-geo/G00145000,undata-geo/G00405000,undata-geo/G00405400","""Fiji""","""Q712""","""undata-geo:G00001040""","undata-geo:G00001040","","",""
"GEOGRAPHY","G00001050","Finland","G00131000","","country/FIN","Country","EuropeanUnion,NorthernEurope,europe,undata-geo/G00406000","""Finland""","""Q33""","""undata-geo:G00001050""","undata-geo:G00001050","","",""
"GEOGRAPHY","G00001060","France","G00132000","","country/FRA","Country","EuropeanUnion,WesternEurope,europe,undata-geo/G00406000","""France""","""Q142""","""undata-geo:G00001060""","undata-geo:G00001060","","",""
"GEOGRAPHY","G00001070","""French Equatorial Africa [former]""","","","undata-geo/G00001070","GeoRegion","Earth","""French Equatorial Africa [former]""","","""undata-geo:G00001070""","undata-geo:G00001070","","",""
"GEOGRAPHY","G00001080","""French Guiana""","G00142000","","country/GUF","AdministrativeArea1,AdministrativeArea2,Country","country/FRA,southamerica","""French Guiana""","""Q3769""","""undata-geo:G00001080""","undata-geo:G00001080","","",""
"GEOGRAPHY","G00001090","""French Indo-China [former]""","","","undata-geo/G00001090","GeoRegion","Earth","""French Indo-China [former]""","","""undata-geo:G00001090""","undata-geo:G00001090","","",""
"GEOGRAPHY","G00001100","""French Polynesia""","G00405400","","country/PYF","AdministrativeArea,Country","Polynesia,country/FRA,oceania,undata-geo/G00145000,undata-geo/G00405000,undata-geo/G00405400","""French Polynesia""","""Q30971""","""undata-geo:G00001100""","undata-geo:G00001100","","",""
"GEOGRAPHY","G00001110","""French Southern Territories""","G00108000","","country/ATF","Country","EasternAfrica,SubSaharanAfrica,africa,antarctica","""French Southern Territories""","""Q129003""","""undata-geo:G00001110""","undata-geo:G00001110","","",""
"GEOGRAPHY","G00001120","""French West Africa [former]""","","","undata-geo/G00001120","GeoRegion","Earth","""French West Africa [former]""","","""undata-geo:G00001120""","undata-geo:G00001120","","",""
"GEOGRAPHY","G00001130","Fujairah","G00120000","","undata-geo/G00001130","GeoRegion","Earth,WesternAsia,asia","""Fujairah""","","""undata-geo:G00001130""","undata-geo:G00001130","","",""
"GEOGRAPHY","G00001140","Gabon","G00112000","","country/GAB","Country","MiddleAfrica,SubSaharanAfrica,africa","""Gabon""","""Q1000""","""undata-geo:G00001140""","undata-geo:G00001140","","",""
"GEOGRAPHY","G00001150","Gambia","G00404100","","country/GMB","Country","SubSaharanAfrica,WesternAfrica,africa,undata-geo/G00404000,undata-geo/G00404100","""Gambia"",""The Gambia""","""Q1005""","""undata-geo:G00001150""","undata-geo:G00001150","","",""
