Detail Data For Coal Import Quantity by Coal Type & Country Having Year : ALL
.
CoalType,Country,YearValue,QtyInMillionTonnes_Imports,AmountInRsMillion
COKING,INDONESIA,2008,0.245,986.000
COKING,MALAYSIA,2008,0.025,150.000
COKING,NEW ZEALAND,2008,0.763,4456.000
COKING,OTHERS,2008,0.000,2.000
COKING,SINGAPORE,2008,0.015,77.000
COKING,SOUTH AFRICA,2008,0.593,2602.000
COKING,ST LUCIA,2008,0.036,152.000
COKING,USA,2008,0.537,3393.000
NON-COKING,AUSTRALIA,2008,1.068,3805.000
NON-COKING,CHINA P R,2008,0.370,1888.000
NON-COKING,INDONESIA,2008,19.271,51859.000
NON-COKING,OTHERS,2008,0.000,2.000
NON-COKING,PHILIPPINES,2008,0.323,900.000
NON-COKING,RUSSIA,2008,0.102,484.000
NON-COKING,SINGAPORE,2008,0.049,97.000
NON-COKING,SOUTH AFRICA,2008,6.380,26087.000
NON-COKING,USA,2008,0.000,4.000
NON-COKING,VIETNAM SOC REP,2008,0.202,1231.000
COKE,AUSTRALIA,2009,0.144,3154.000
COKE,CHINA P R,2009,1.603,40498.000
COKE,JAPAN,2009,0.070,1008.000
COKE,OTHERS,2009,0.000,2.000
COKE,RUSSIA,2009,0.063,1377.000
COKE,UK,2009,0.001,10.000
COKE,USA,2009,0.000,3.000
COKING,AUSTRALIA,2009,17.938,189722.000
COKING,CHINA P R,2009,0.334,2543.000
COKING,INDONESIA,2009,0.366,3629.000
COKING,NEW ZEALAND,2009,0.840,8863.000
COKING,RUSSIA,2009,0.242,4141.000
COKING,SOUTH AFRICA,2009,0.144,803.000
COKING,UAE,2009,0.010,152.000
COKING,USA,2009,1.207,16286.000
NON-COKING,AUSTRALIA,2009,1.653,11927.000
NON-COKING,CHINA P R,2009,0.189,1462.000
NON-COKING,INDONESIA,2009,28.402,122810.000
NON-COKING,JORDAN,2009,0.023,46.000
NON-COKING,OTHERS,2009,0.001,7.000
NON-COKING,PHILIPPINES,2009,0.194,715.000
NON-COKING,RUSSIA,2009,0.194,2226.000
NON-COKING,SOUTH AFRICA,2009,6.950,44178.000
NON-COKING,THAILAND,2009,0.045,418.000
NON-COKING,UK,2009,0.000,2.000
NON-COKING,UNSPECIFIED,2009,0.006,21.000
NON-COKING,USA,2009,0.008,36.000
NON-COKING,VIETNAM SOC REP,2009,0.258,3419.000
COKE,AUSTRALIA,2010,0.305,4305.000
COKE,OTHERS,2010,1.319,18405.000
COKE,RUSSIA,2010,0.587,8517.000
COKE,UKRAINE,2010,0.031,521.000
COKE,USA,2010,0.094,1255.000
COKE,VIETNAM SOC REP,2010,0.019,308.000
COKING,AUSTRALIA,2010,20.962,171841.000
COKING,INDONESIA,2010,0.206,1415.000
COKING,NEW ZEALAND,2010,1.059,9977.000
COKING,OTHERS,2010,0.138,836.000
COKING,SOUTH AFRICA,2010,0.958,4118.000
COKING,USA,2010,1.367,13124.000
NON-COKING,AUSTRALIA,2010,1.874,11962.000
NON-COKING,INDONESIA,2010,31.959,114058.000
NON-COKING,MOZAMBIQUE,2010,0.083,315.000
NON-COKING,OTHERS,2010,-0.018,-100.000
NON-COKING,PHILIPPINES,2010,0.671,2235.000
NON-COKING,RUSSIA,2010,0.146,1382.000
NON-COKING,SOUTH AFRICA,2010,13.534,58151.000
NON-COKING,UKRAINE,2010,0.095,611.000
NON-COKING,USA,2010,0.034,179.000
NON-COKING,VIETNAM SOC REP,2010,0.188,1694.000
COKE,CHINA P R,2011,0.701,16212.000
COKE,COLOMBIA,2011,0.037,827.000
COKE,INDONESIA,2011,0.222,3911.000
COKE,OTHERS,2011,0.195,3850.141
COKE,RUSSIA,2011,0.090,1748.000
COKE,UK,2011,0.029,644.000
COKE,USA,2011,0.176,3070.000
COKE,VIETNAM SOC REP,2011,0.041,942.000
COKING,AUSTRALIA,2011,15.948,171192.000
COKING,CANADA,2011,0.000,1.000
COKING,CHINA P R,2011,0.112,1350.000
COKING,INDONESIA,2011,0.581,4740.000
COKING,IRAN,2011,0.014,107.000
COKING,KENYA,2011,0.050,676.000
COKING,MALAYSIA,2011,0.011,147.000
COKING,MEXICO,2011,0.022,239.000
COKING,NEW ZEALAND,2011,0.795,7704.000
COKING,OTHERS,2011,0.000,0.350
COKING,RUSSIA,2011,0.244,2588.000
COKING,SOUTH AFRICA,2011,0.224,1341.000
COKING,UK,2011,0.002,30.000
COKING,USA,2011,1.481,18504.000
NON-COKING,AUSTRALIA,2011,0.001,2.000
NON-COKING,CANADA,2011,0.000,1.000
NON-COKING,CHINA P R,2011,0.131,402.000
NON-COKING,COLOMBIA,2011,0.100,443.000
NON-COKING,INDONESIA,2011,35.363,130048.000
NON-COKING,OTHERS,2011,1.804,13293.000
NON-COKING,PHILIPPINES,2011,0.262,802.000
NON-COKING,RUSSIA,2011,0.180,1628.000
NON-COKING,SOUTH AFRICA,2011,10.990,55931.000
NON-COKING,UK,2011,0.074,418.000
NON-COKING,USA,2011,0.290,1325.000
NON-COKING,VIETNAM SOC REP,2011,0.241,2581.000
COKE,CHINA P R,2012,0.717,16895.000
COKE,INDONESIA,2012,0.208,3564.000
COKE,OTHERS,2012,0.728,14075.000
COKE,RUSSIA,2012,0.300,4645.000
COKE,SINGAPORE,2012,0.022,472.000
COKE,UAE,2012,0.005,53.000
COKE,UK,2012,0.035,659.000
COKE,UKRAINE,2012,0.300,6506.000
COKE,USA,2012,0.034,395.000
COKE,VIETNAM SOC REP,2012,0.016,320.000
COKING,AUSTRALIA,2012,25.508,346343.000
COKING,AUSTRIA,2012,0.110,1041.000
COKING,CANADA,2012,0.230,3157.000
COKING,CHINA P R,2012,0.265,3650.000
COKING,GERMANY,2012,0.034,523.000
COKING,INDONESIA,2012,0.501,4822.000
COKING,NEW ZEALAND,2012,0.943,12854.000
COKING,OTHERS,2012,0.316,4223.000
COKING,RUSSIA,2012,0.152,1930.000
COKING,SINGAPORE,2012,0.003,44.000
COKING,SOUTH AFRICA,2012,1.029,7369.000
COKING,UAE,2012,0.025,315.000
COKING,UK,2012,0.002,36.000
COKING,USA,2012,2.684,38385.000
NON-COKING,AUSTRALIA,2012,2.285,19913.000
NON-COKING,AUSTRIA,2012,0.066,364.000
NON-COKING,CHINA P R,2012,0.217,1290.000
NON-COKING,GERMANY,2012,0.015,172.000
NON-COKING,INDONESIA,2012,54.759,253596.000
NON-COKING,IRAN,2012,0.066,442.000
NON-COKING,NEW ZEALAND,2012,0.017,132.000
NON-COKING,OTHERS,2012,0.631,3529.000
NON-COKING,RUSSIA,2012,1.042,7956.000
NON-COKING,SOUTH AFRICA,2012,11.189,69738.000
NON-COKING,UAE,2012,0.045,501.000
NON-COKING,UKRAINE,2012,0.367,3579.000
NON-COKING,USA,2012,0.290,1360.000
NON-COKING,VIETNAM SOC REP,2012,0.063,1111.000
COKE,AUSTRALIA,2013,0.040,655.000
COKE,BANGLADESH PR,2013,0.000,4.000
COKE,BOSNIA-HRZGOVIN,2013,0.042,763.000
COKE,CHINA P R,2013,0.104,2418.000
COKE,COLOMBIA,2013,0.335,5539.000
COKE,IRELAND,2013,0.000,1.000
COKE,ITALY,2013,0.015,236.000
COKE,JAPAN,2013,0.754,14544.000
COKE,KOREA RP,2013,0.015,261.000
COKE,LATVIA,2013,0.004,47.000
COKE,POLAND,2013,0.409,7761.000
COKE,RUSSIA,2013,0.371,6802.000
COKE,SOUTH AFRICA,2013,0.002,26.000
COKE,SPAIN,2013,0.000,6.000
COKE,UK,2013,0.000,5.000
COKE,UKRAINE,2013,0.910,16368.000
COKE,VIETNAM SOC REP,2013,0.078,1484.000
COKING,AUSTRALIA,2013,27.484,295040.000
COKING,AUSTRIA,2013,0.017,181.000
COKING,CANADA,2013,0.873,10153.000
COKING,COLOMBIA,2013,0.070,678.000
COKING,INDONESIA,2013,0.224,2361.000
COKING,MONGOLIA,2013,0.033,417.000
COKING,MOZAMBIQUE,2013,0.904,9759.000
COKING,NEW ZEALAND,2013,1.047,11356.000
COKING,RUSSIA,2013,0.063,607.000
COKING,SOUTH AFRICA,2013,1.459,9147.000
COKING,UK,2013,0.002,49.000
COKING,UNSPECIFIED,2013,0.075,1153.000
COKING,USA,2013,3.307,37497.000
NON-COKING,AUSTRALIA,2013,2.967,20929.000
NON-COKING,CANADA,2013,0.126,691.000
NON-COKING,CHINA P R,2013,0.015,342.000
NON-COKING,COLOMBIA,2013,0.185,1354.000
NON-COKING,GERMANY,2013,0.000,14.000
NON-COKING,INDONESIA,2013,82.169,327345.000
NON-COKING,ITALY,2013,0.020,130.000
NON-COKING,LATVIA,2013,0.052,403.000
NON-COKING,MOZAMBIQUE,2013,0.074,428.000
NON-COKING,NETHERLAND,2013,0.000,1.000
NON-COKING,PAKISTAN IR,2013,0.004,24.000
NON-COKING,PHILIPPINES,2013,0.165,562.000
NON-COKING,RUSSIA,2013,0.308,2957.000
NON-COKING,SINGAPORE,2013,0.060,351.000
NON-COKING,SOUTH AFRICA,2013,18.834,104418.000
NON-COKING,SPAIN,2013,0.000,3.000
NON-COKING,UAE,2013,0.000,1.000
NON-COKING,UK,2013,0.000,2.000
NON-COKING,UKRAINE,2013,0.257,2515.000
NON-COKING,UNSPECIFIED,2013,1.846,9086.000
NON-COKING,USA,2013,3.083,17535.000
NON-COKING,VENEZUELA,2013,0.000,1.000
NON-COKING,VIETNAM SOC REP,2013,0.063,966.000
COKE,AUSTRALIA,2014,0.267,4344.000
COKE,CHINA P R,2014,2.028,33079.000
COKE,COLOMBIA,2014,0.256,4000.000
COKE,INDONESIA,2014,0.022,375.000
COKE,ITALY,2014,0.070,1064.000
COKE,JAPAN,2014,0.578,9672.000
COKE,KOREA RP,2014,0.032,528.000
COKE,LATVIA,2014,0.004,55.000
COKE,PAKISTAN IR,2014,0.023,201.000
COKE,POLAND,2014,0.170,3097.000
COKE,RUSSIA,2014,0.138,2202.000
COKE,SOUTH AFRICA,2014,0.002,30.000
COKE,SPAIN,2014,0.001,13.000
COKE,UK,2014,0.000,6.000
COKE,UKRAINE,2014,0.581,9320.000
COKE,UNSPECIFIED,2014,0.000,7.000
COKE,USA,2014,0.000,1.000
COKING,AUSTRALIA,2014,29.804,283214.000
COKING,CANADA,2014,1.247,12248.000
COKING,COLOMBIA,2014,0.044,431.000
COKING,INDONESIA,2014,0.085,730.000
COKING,MOZAMBIQUE,2014,0.970,8985.000
COKING,NEW ZEALAND,2014,1.132,10729.000
COKING,RUSSIA,2014,0.242,1886.000
COKING,SOUTH AFRICA,2014,0.696,4518.000
COKING,UK,2014,0.001,40.000
COKING,USA,2014,2.651,25539.000
NON-COKING,AUSTRALIA,2014,4.676,32898.000
NON-COKING,CHILE,2014,0.927,3309.000
NON-COKING,CHINA P R,2014,0.207,2014.000
NON-COKING,COLOMBIA,2014,0.003,35.000
NON-COKING,EGYPT,2014,0.012,92.000
NON-COKING,INDONESIA,2014,101.792,412184.000
NON-COKING,MALAYSIA,2014,0.055,201.000
NON-COKING,MOZAMBIQUE,2014,0.528,2878.000
NON-COKING,PAKISTAN IR,2014,0.000,2.000
NON-COKING,RUSSIA,2014,0.500,4230.000
NON-COKING,SOUTH AFRICA,2014,19.918,106734.000
NON-COKING,UK,2014,0.001,16.000
NON-COKING,UKRAINE,2014,0.315,3093.000
NON-COKING,UNSPECIFIED,2014,0.001,10.000
NON-COKING,USA,2014,1.000,6531.000
NON-COKING,VIETNAM SOC REP,2014,0.050,747.000
COKE,AUSTRALIA,2015,0.215,2767.000
COKE,CANADA,2015,0.000,2.000
COKE,CHINA P R,2015,2.027,25469.000
COKE,COLOMBIA,2015,0.103,1909.000
COKE,GERMANY,2015,0.000,1.000
COKE,IRELAND,2015,0.000,1.000
COKE,ITALY,2015,0.039,590.000
COKE,JAPAN,2015,0.341,5090.000
COKE,LATVIA,2015,0.004,55.000
COKE,LITHUANIA,2015,0.000,1.000
COKE,POLAND,2015,0.098,1337.000
COKE,RUSSIA,2015,0.132,1944.000
COKE,UK,2015,0.000,5.000
COKE,UKRAINE,2015,0.306,4375.000
COKE,VENEZUELA,2015,0.029,261.000
COKING,AUSTRALIA,2015,37.504,288739.000
COKING,CANADA,2015,1.856,14563.000
COKING,MALAYSIA,2015,0.003,25.000
COKING,MOZAMBIQUE,2015,1.409,10635.000
COKING,NEW ZEALAND,2015,1.025,7897.000
COKING,RUSSIA,2015,0.133,882.000
COKING,SOUTH AFRICA,2015,0.160,962.000
COKING,UK,2015,0.002,64.000
COKING,UNSPECIFIED,2015,0.021,164.000
COKING,USA,2015,1.602,13725.000
NON-COKING,ANDORRA,2015,0.079,328.000
NON-COKING,AUSTRALIA,2015,10.116,55821.000
NON-COKING,CANADA,2015,0.101,636.000
NON-COKING,CHAD,2015,0.020,62.000
NON-COKING,CHILE,2015,1.728,5549.000
NON-COKING,CHINA P R,2015,0.019,334.000
NON-COKING,COLOMBIA,2015,0.001,15.000
NON-COKING,GERMANY,2015,0.000,1.000
NON-COKING,INDONESIA,2015,123.734,451075.000
NON-COKING,LATVIA,2015,0.001,11.000
NON-COKING,MALAYSIA,2015,0.009,36.000
NON-COKING,MOZAMBIQUE,2015,0.570,2724.000
NON-COKING,PANAMA C Z,2015,0.032,224.000
NON-COKING,RUSSIA,2015,1.200,7604.000
NON-COKING,SOUTH AFRICA,2015,30.571,151675.000
NON-COKING,SWITZERLAND,2015,0.026,111.000
NON-COKING,UAE,2015,0.013,167.000
NON-COKING,UK,2015,0.001,19.000
NON-COKING,UKRAINE,2015,0.201,1838.000
NON-COKING,UNSPECIFIED,2015,2.946,12374.000
NON-COKING,US MINOR OUTLYING ISLANDS,2015,0.000,1.000
NON-COKING,USA,2015,2.668,16276.000
NON-COKING,VIETNAM SOC REP,2015,0.033,529.000
COKE,AUSTRALIA,2016,0.193,2100.000
COKE,CHINA P R,2016,2.155,21977.000
COKE,COLOMBIA,2016,0.062,796.000
COKE,IRELAND,2016,0.000,1.000
COKE,JAPAN,2016,0.176,1904.000
COKE,LATVIA,2016,0.006,68.000
COKE,LITHUANIA,2016,0.000,9.000
COKE,POLAND,2016,0.353,4234.000
COKE,RUSSIA,2016,0.072,857.000
COKE,UK,2016,0.000,7.000
COKE,UKRAINE,2016,0.001,11.000
COKE,DENMARK,2016,0.000,2.000
COKE,OMAN,2016,0.046,654.000
COKE,SAUDI ARABIA,2016,0.002,11.000
COKING,AUSTRALIA,2016,37.974,241186.000
COKING,CANADA,2016,1.355,8396.000
COKING,INDONESIA,2016,0.149,848.000
COKING,MOZAMBIQUE,2016,1.855,11010.000
COKING,NEW ZEALAND,2016,0.620,4118.000
COKING,RUSSIA,2016,0.004,31.000
COKING,SOUTH AFRICA,2016,0.264,1719.000
COKING,SPAIN,2016,0.109,703.000
COKING,UAE,2016,0.012,94.000
COKING,UK,2016,0.002,37.000
COKING,USA,2016,1.161,8488.000
NON-COKING,AUSTRALIA,2016,9.583,46640.000
NON-COKING,CANADA,2016,0.197,934.000
NON-COKING,CHILE,2016,0.773,2174.000
NON-COKING,CHINA P R,2016,0.480,1775.000
NON-COKING,COLOMBIA,2016,0.000,9.000
NON-COKING,GERMANY,2016,0.000,1.000
NON-COKING,INDONESIA,2016,96.041,315364.000
NON-COKING,LATVIA,2016,0.002,22.000
NON-COKING,MOZAMBIQUE,2016,0.809,2759.000
NON-COKING,NETHERLAND,2016,0.000,3.000
NON-COKING,NEW ZEALAND,2016,0.061,258.000
NON-COKING,RUSSIA,2016,3.818,20169.000
NON-COKING,SINGAPORE,2016,0.020,48.000
NON-COKING,SOUTH AFRICA,2016,35.817,137618.000
NON-COKING,THAILAND,2016,0.000,2.000
NON-COKING,UK,2016,0.006,55.000
NON-COKING,UKRAINE,2016,0.054,334.000
NON-COKING,UNSPECIFIED,2016,3.851,14800.000
NON-COKING,USA,2016,4.582,23912.000
NON-COKING,VIETNAM SOC REP,2016,0.034,463.000
NON-COKING,BAHARAIN IS,2016,0.017,69.000
NON-COKING,BHUTAN,2016,0.005,18.000
NON-COKING,ICELAND,2016,0.039,152.000
NON-COKING,MOLDOVA,2016,0.070,240.000
NON-COKING,OMAN,2016,0.110,562.000
NON-COKING,SAUDI ARABIA,2016,0.008,24.000
COKE,AUSTRALIA,2017,0.623,8579.254
COKE,BELARUS,2017,0.000,0.302
COKE,CANADA,2017,0.000,2.606
COKE,CHINA P R,2017,2.215,26169.431
COKE,COLOMBIA,2017,0.226,3421.909
COKE,ESTONIA,2017,0.000,1.544
COKE,GERMANY,2017,0.000,0.868
COKE,IRELAND,2017,0.000,2.067
COKE,ITALY,2017,0.000,7.859
COKE,JAPAN,2017,0.375,4460.920
COKE,LATVIA,2017,0.006,72.232
COKE,LITHUANIA,2017,0.001,9.404
COKE,NETHERLAND,2017,0.000,0.292
COKE,POLAND,2017,0.740,8803.765
COKE,RUSSIA,2017,0.114,1580.167
COKE,UK,2017,0.000,3.576
COKE,UKRAINE,2017,0.047,903.151
COKING,AUSTRALIA,2017,36.503,359402.394
COKING,CANADA,2017,2.300,23780.237
COKING,COLOMBIA,2017,0.000,0.441
COKING,IRAN,2017,0.001,12.369
COKING,MOZAMBIQUE,2017,0.857,9500.861
COKING,NEW ZEALAND,2017,0.475,4429.422
COKING,RUSSIA,2017,0.287,2302.374
COKING,SOUTH AFRICA,2017,0.044,494.042
COKING,UK,2017,0.002,44.915
COKING,U S A,2017,1.148,12006.429
COKING,UNSPECIFIED,2017,0.006,40.246
COKING,VIRGIN IS US,2017,0.020,286.882
LIGNITE,CHINA P R,2017,0.019,432.682
LIGNITE,U S A,2017,0.000,0.606
NON-COKING,AUSTRALIA,2017,10.151,66737.303
NON-COKING,CANADA,2017,0.077,486.797
NON-COKING,CHILE,2017,0.737,2179.171
NON-COKING,CHINA P R,2017,0.023,399.248
NON-COKING,COLOMBIA,2017,2.001,7428.483
NON-COKING,GERMANY,2017,0.000,1.444
NON-COKING,INDONESIA,2017,91.261,319131.578
NON-COKING,IRAN,2017,0.026,117.804
NON-COKING,JAPAN,2017,0.000,0.837
NON-COKING,MACAO,2017,0.004,13.414
NON-COKING,MALAYSIA,2017,0.035,165.725
NON-COKING,MOZAMBIQUE,2017,2.850,11248.295
NON-COKING,NETHERLAND,2017,0.000,1.737
NON-COKING,PHILIPPINES,2017,0.190,828.992
NON-COKING,RUSSIA,2017,3.913,19999.620
NON-COKING,SAUDI ARABIA,2017,0.048,127.405
NON-COKING,SOUTH AFRICA,2017,33.936,140688.489
NON-COKING,UAE,2017,0.000,0.520
NON-COKING,UK,2017,0.001,21.826
NON-COKING,U S A,2017,3.949,19459.349
NON-COKING,UKRAINE,2017,0.054,337.737
NON-COKING,VIETNAM SOC REP,2017,0.054,637.554
COKE,AUSTRALIA,2018,0.491,9527.740
COKE,CANADA,2018,0.000,0.098
COKE,CHILE,2018,0.027,320.798
COKE,CHINA P R,2018,1.828,37484.686
COKE,COLOMBIA,2018,0.581,9416.431
COKE,EGYPT,2018,0.103,2187.430
COKE,ESTONIA,2018,0.000,0.425
COKE,FINLAND,2018,0.000,1.179
COKE,GERMANY,2018,0.000,3.190
COKE,IRAN,2018,0.002,37.676
COKE,IRELAND,2018,0.000,1.256
COKE,ITALY,2018,0.000,0.025
COKE,JAPAN,2018,0.604,12506.609
COKE,KOREA RP,2018,0.016,400.066
COKE,LATVIA,2018,0.004,53.498
COKE,LITHUANIA,2018,0.001,14.018
COKE,MALAYSIA,2018,0.000,1.810
COKE,MEXICO,2018,0.049,918.642
COKE,NETHERLAND,2018,0.000,0.213
COKE,POLAND,2018,0.730,15543.107
COKE,RUSSIA,2018,0.137,2996.060
COKE,SAUDI ARABIA,2018,0.001,10.190
COKE,SPAIN,2018,0.000,7.625
COKE,UK,2018,0.000,7.063
COKE,U S A,2018,0.011,84.608
COKE,VIETNAM SOC REP,2018,0.000,0.303
COKING,AUSTRALIA,2018,35.761,449536.094
COKING,AUSTRIA,2018,0.016,301.845
COKING,CANADA,2018,3.301,40391.054
COKING,CHINA P R,2018,0.172,2981.868
COKING,INDONESIA,2018,1.086,13482.148
COKING,IRAN,2018,0.000,0.219
COKING,MOZAMBIQUE,2018,2.382,28465.594
COKING,NEW ZEALAND,2018,0.602,7543.390
COKING,RUSSIA,2018,0.389,3522.098
COKING,SOUTH AFRICA,2018,0.004,71.221
COKING,UK,2018,0.002,46.115
COKING,U S A,2018,3.285,48848.602
COKING,UNSPECIFIED,2018,0.004,36.114
LIGNITE,CHINA P R,2018,0.000,4.723
LIGNITE,EGYPT,2018,0.010,111.216
LIGNITE,U S A,2018,0.000,0.564
NON-COKING,AUSTRALIA,2018,10.361,88708.382
NON-COKING,CANADA,2018,0.261,2299.477
NON-COKING,CHILE,2018,0.273,1004.898
NON-COKING,CHINA P R,2018,0.059,952.620
NON-COKING,COLOMBIA,2018,0.331,1946.764
NON-COKING,DENMARK,2018,0.000,0.022
NON-COKING,FINLAND,2018,0.023,197.577
NON-COKING,GERMANY,2018,0.000,0.722
NON-COKING,INDONESIA,2018,94.728,387509.709
NON-COKING,KUWAIT,2018,0.000,1.653
NON-COKING,LATVIA,2018,0.164,1482.565
NON-COKING,MOZAMBIQUE,2018,3.532,20219.562
NON-COKING,NETHERLAND,2018,0.000,5.798
NON-COKING,PHILIPPINES,2018,0.094,414.186
NON-COKING,RUSSIA,2018,3.909,30468.981
NON-COKING,SOUTH AFRICA,2018,38.489,196970.746
NON-COKING,SPAIN,2018,0.000,4.232
NON-COKING,THAILAND,2018,0.005,32.271
NON-COKING,UK,2018,0.001,17.632
NON-COKING,U S A,2018,8.746,54701.581
NON-COKING,UNSPECIFIED,2018,0.060,225.290
NON-COKING,VIETNAM SOC REP,2018,0.210,2378.742
COKE,AUSTRALIA,2019,0.437,11635.826
COKE,CANADA,2019,0.000,0.476
COKE,CHINA P R,2019,1.905,47100.746
COKE,COLOMBIA,2019,0.473,10248.959
COKE,CYPRUS,2019,0.007,137.510
COKE,DENMARK,2019,0.005,74.810
COKE,EGYPT,2019,0.138,3292.807
COKE,ESTONIA,2019,0.000,1.671
COKE,GERMANY,2019,0.000,3.359
COKE,HONG KONG,2019,0.027,409.840
COKE,INDONESIA,2019,0.025,370.926
COKE,IRAN,2019,0.038,752.850
COKE,IRELAND,2019,0.000,1.541
COKE,ITALY,2019,0.036,923.872
COKE,JAPAN,2019,0.315,8048.397
COKE,KENYA,2019,0.000,0.024
COKE,KOREA RP,2019,0.015,426.702
COKE,LATVIA,2019,0.001,12.507
COKE,LITHUANIA,2019,0.001,22.935
COKE,MALAYSIA,2019,0.010,111.907
COKE,MEXICO,2019,0.031,610.188
COKE,MOZAMBIQUE,2019,0.000,0.550
COKE,NETHERLAND,2019,0.037,1007.158
COKE,NEW ZEALAND,2019,0.000,0.004
COKE,OMAN,2019,0.015,258.210
COKE,POLAND,2019,0.801,21481.610
COKE,QATAR,2019,0.000,0.125
COKE,RUSSIA,2019,0.251,6116.657
COKE,SINGAPORE,2019,0.158,3575.825
COKE,SOUTH AFRICA,2019,0.000,0.010
COKE,SPAIN,2019,0.000,2.349
COKE,SRI LANKA DSR,2019,0.000,6.108
COKE,SWITZERLAND,2019,0.116,2351.713
COKE,TURKEY,2019,0.030,620.806
COKE,UAE,2019,0.050,971.608
COKE,UK,2019,0.000,6.666
COKE,U S A,2019,0.007,51.761
COKE,VENEZUELA,2019,0.000,5.830
COKING,AUSTRALIA,2019,36.931,516773.787
COKING,AUSTRIA,2019,0.082,920.349
COKING,BANGLADESH PR,2019,0.000,0.009
COKING,BHUTAN,2019,0.000,0.725
COKING,CANADA,2019,4.294,62142.891
COKING,COLOMBIA,2019,0.012,148.751
COKING,INDONESIA,2019,1.167,14051.938
COKING,IRAN,2019,0.000,0.241
COKING,MOZAMBIQUE,2019,2.239,28217.572
COKING,NEW ZEALAND,2019,0.447,5617.671
COKING,RUSSIA,2019,0.545,6043.212
COKING,SINGAPORE,2019,1.507,20819.046
COKING,SWITZERLAND,2019,0.042,441.773
COKING,UAE,2019,0.438,6347.223
COKING,UK,2019,0.001,35.335
COKING,U S A,2019,4.134,58937.113
LIGNITE,CHINA P R,2019,0.006,94.082
LIGNITE,HONG KONG,2019,0.002,35.055
LIGNITE,ITALY,2019,0.011,272.922
LIGNITE,U S A,2019,0.000,1.373
NON-COKING,AUSTRALIA,2019,11.236,98650.715
NON-COKING,BANGLADESH PR,2019,0.029,237.852
NON-COKING,BELGIUM,2019,0.003,46.649
NON-COKING,BHUTAN,2019,0.008,57.322
NON-COKING,CANADA,2019,0.164,2067.982
NON-COKING,CHILE,2019,0.254,910.615
NON-COKING,CHINA P R,2019,0.051,1705.404
NON-COKING,COLOMBIA,2019,0.497,3190.342
NON-COKING,CYPRUS,2019,0.000,3.534
NON-COKING,FINLAND,2019,0.190,1926.370
NON-COKING,GERMANY,2019,0.000,1.485
NON-COKING,HONG KONG,2019,0.181,811.518
NON-COKING,INDONESIA,2019,111.714,490276.246
NON-COKING,IRAN,2019,0.000,0.759
NON-COKING,KAZAKHSTAN,2019,0.000,0.121
NON-COKING,KOREA RP,2019,0.077,276.183
