Detail Data For Coal Price by Coal Type, Consuming Sector & Grade Having Year : ALL
.
ConsumingSector,CoalType,CoalGrade,DateOfApplication,YearValue,CoalPrice_Min,CoalPrice_Max
POWER,COKING,SII,16/10/2009 00:00:00,2010,3140.000,3140.000
POWER,COKING,WI,16/10/2009 00:00:00,2010,1710.000,2740.000
POWER,COKING,WII,16/10/2009 00:00:00,2010,1410.000,1990.000
POWER,COKING,WIII,16/10/2009 00:00:00,2010,1200.000,1480.000
POWER,COKING,WIV,16/10/2009 00:00:00,2010,1120.000,1370.000
POWER,COKING,SCI,16/10/2009 00:00:00,2010,1740.000,2150.000
POWER,COKING,SCII,16/10/2009 00:00:00,2010,1450.000,1790.000
NON-POWER,NON-COKING,A,16/10/2009 00:00:00,2010,1190.000,1970.000
NON-POWER,NON-COKING,B,16/10/2009 00:00:00,2010,1110.000,2120.000
NON-POWER,NON-COKING,C,16/10/2009 00:00:00,2010,950.000,1860.000
NON-POWER,NON-COKING,D,16/10/2009 00:00:00,2010,800.000,1610.000
NON-POWER,NON-COKING,E,16/10/2009 00:00:00,2010,660.000,1090.000
NON-POWER,NON-COKING,F,16/10/2009 00:00:00,2010,520.000,870.000
NON-POWER,NON-COKING,G,16/10/2009 00:00:00,2010,390.000,700.000
POWER,NON-COKING,A,16/10/2009 00:00:00,2010,1190.000,2510.000
POWER,NON-COKING,B,16/10/2009 00:00:00,2010,1110.000,2000.000
POWER,NON-COKING,C,16/10/2009 00:00:00,2010,950.000,1410.000
POWER,NON-COKING,D,16/10/2009 00:00:00,2010,800.000,1330.000
POWER,NON-COKING,E,16/10/2009 00:00:00,2010,660.000,1090.000
POWER,NON-COKING,F,16/10/2009 00:00:00,2010,520.000,860.000
POWER,NON-COKING,G,16/10/2009 00:00:00,2010,390.000,650.000
NON-POWER,COKING,SI,27/02/2011 00:00:00,2011,4880.000,4880.000
NON-POWER,COKING,SII,27/02/2011 00:00:00,2011,4080.000,4080.000
NON-POWER,COKING,WI,27/02/2011 00:00:00,2011,2550.000,3560.000
NON-POWER,COKING,WII,27/02/2011 00:00:00,2011,2110.000,2590.000
NON-POWER,COKING,WIII,27/02/2011 00:00:00,2011,1560.000,1920.000
NON-POWER,COKING,WIV,27/02/2011 00:00:00,2011,1460.000,1780.000
NON-POWER,COKING,SCI,27/02/2011 00:00:00,2011,2260.000,2800.000
NON-POWER,COKING,SCII,27/02/2011 00:00:00,2011,1890.000,2330.000
NON-POWER,NON-COKING,A,27/02/2011 00:00:00,2011,2510.000,4100.000
NON-POWER,NON-COKING,B,27/02/2011 00:00:00,2011,2000.000,3990.000
NON-POWER,NON-COKING,C,27/02/2011 00:00:00,2011,1370.000,2420.000
NON-POWER,NON-COKING,D,27/02/2011 00:00:00,2011,1140.000,2090.000
NON-POWER,NON-COKING,E,27/02/2011 00:00:00,2011,950.000,1420.000
NON-POWER,NON-COKING,F,27/02/2011 00:00:00,2011,690.000,1130.000
NON-POWER,NON-COKING,G,27/02/2011 00:00:00,2011,510.000,910.000
POWER,NON-COKING,A,27/02/2011 00:00:00,2011,2610.000,4100.000
POWER,NON-COKING,B,27/02/2011 00:00:00,2011,2220.000,3990.000
POWER,NON-COKING,C,27/02/2011 00:00:00,2011,1050.000,1840.000
POWER,NON-COKING,D,27/02/2011 00:00:00,2011,880.000,1500.000
POWER,NON-COKING,E,27/02/2011 00:00:00,2011,730.000,1130.000
POWER,NON-COKING,F,27/02/2011 00:00:00,2011,570.000,860.000
POWER,NON-COKING,G,27/02/2011 00:00:00,2011,430.000,650.000
NON-POWER,NON-COKING,G1,01/01/2012 00:00:00,2012,3542.000,5020.000
NON-POWER,NON-COKING,G2,01/01/2012 00:00:00,2012,3393.000,4870.000
NON-POWER,NON-COKING,G3,01/01/2012 00:00:00,2012,3244.000,4420.000
NON-POWER,NON-COKING,G4,01/01/2012 00:00:00,2012,3032.000,3970.000
NON-POWER,NON-COKING,G5,01/01/2012 00:00:00,2012,2800.000,2886.000
NON-POWER,NON-COKING,G6,01/01/2012 00:00:00,2012,1960.000,2360.000
NON-POWER,NON-COKING,G7,01/01/2012 00:00:00,2012,1720.000,1840.000
NON-POWER,NON-COKING,G8,01/01/2012 00:00:00,2012,1540.000,1700.000
NON-POWER,NON-COKING,G9,01/01/2012 00:00:00,2012,1180.000,1500.000
NON-POWER,NON-COKING,G10,01/01/2012 00:00:00,2012,1050.000,1400.000
NON-POWER,NON-COKING,G11,01/01/2012 00:00:00,2012,870.000,1130.000
NON-POWER,NON-COKING,G12,01/01/2012 00:00:00,2012,810.000,910.000
NON-POWER,NON-COKING,G13,01/01/2012 00:00:00,2012,690.000,740.000
NON-POWER,NON-COKING,G14,01/01/2012 00:00:00,2012,610.000,680.000
NON-POWER,NON-COKING,G15,01/01/2012 00:00:00,2012,510.000,620.000
NON-POWER,NON-COKING,G16,01/01/2012 00:00:00,2012,474.000,550.000
NON-POWER,NON-COKING,G17,01/01/2012 00:00:00,2012,420.000,490.000
POWER,NON-COKING,G1,01/01/2012 00:00:00,2012,3542.000,5020.000
POWER,NON-COKING,G2,01/01/2012 00:00:00,2012,3393.000,4870.000
POWER,NON-COKING,G3,01/01/2012 00:00:00,2012,3244.000,4420.000
POWER,NON-COKING,G4,01/01/2012 00:00:00,2012,3032.000,3970.000
POWER,NON-COKING,G5,01/01/2012 00:00:00,2012,2800.000,2886.000
POWER,NON-COKING,G6,01/01/2012 00:00:00,2012,1450.000,2360.000
POWER,NON-COKING,G7,01/01/2012 00:00:00,2012,1270.000,1840.000
POWER,NON-COKING,G8,01/01/2012 00:00:00,2012,1140.000,1700.000
POWER,NON-COKING,G9,01/01/2012 00:00:00,2012,880.000,1500.000
POWER,NON-COKING,G10,01/01/2012 00:00:00,2012,780.000,1400.000
POWER,NON-COKING,G11,01/01/2012 00:00:00,2012,640.000,1130.000
POWER,NON-COKING,G12,01/01/2012 00:00:00,2012,600.000,910.000
POWER,NON-COKING,G13,01/01/2012 00:00:00,2012,550.000,690.000
POWER,NON-COKING,G14,01/01/2012 00:00:00,2012,500.000,610.000
POWER,NON-COKING,G15,01/01/2012 00:00:00,2012,460.000,510.000
POWER,NON-COKING,G16,01/01/2012 00:00:00,2012,410.000,474.000
POWER,NON-COKING,G17,01/01/2012 00:00:00,2012,360.000,420.000
NON-POWER,NON-COKING,G1,21/06/2012 00:00:00,2013,3896.000,5020.000
NON-POWER,NON-COKING,G2,21/06/2012 00:00:00,2013,3733.000,4870.000
NON-POWER,NON-COKING,G3,21/06/2012 00:00:00,2013,3569.000,4420.000
NON-POWER,NON-COKING,G4,21/06/2012 00:00:00,2013,3336.000,3970.000
NON-POWER,NON-COKING,G5,21/06/2012 00:00:00,2013,2800.000,3319.000
NON-POWER,NON-COKING,G6,21/06/2012 00:00:00,2013,2350.000,2360.000
NON-POWER,NON-COKING,G7,21/06/2012 00:00:00,2013,1840.000,2050.000
NON-POWER,NON-COKING,G8,21/06/2012 00:00:00,2013,1700.000,1850.000
NON-POWER,NON-COKING,G9,21/06/2012 00:00:00,2013,1430.000,1500.000
NON-POWER,NON-COKING,G10,21/06/2012 00:00:00,2013,1270.000,1400.000
NON-POWER,NON-COKING,G11,21/06/2012 00:00:00,2013,1040.000,1130.000
NON-POWER,NON-COKING,G12,21/06/2012 00:00:00,2013,910.000,970.000
NON-POWER,NON-COKING,G13,21/06/2012 00:00:00,2013,690.000,890.000
NON-POWER,NON-COKING,G14,21/06/2012 00:00:00,2013,610.000,810.000
NON-POWER,NON-COKING,G15,21/06/2012 00:00:00,2013,510.000,740.000
NON-POWER,NON-COKING,G16,21/06/2012 00:00:00,2013,474.000,660.000
NON-POWER,NON-COKING,G17,21/06/2012 00:00:00,2013,420.000,580.000
POWER,NON-COKING,G1,21/06/2012 00:00:00,2013,3896.000,5020.000
POWER,NON-COKING,G2,21/06/2012 00:00:00,2013,3733.000,4870.000
POWER,NON-COKING,G3,21/06/2012 00:00:00,2013,3569.000,4420.000
POWER,NON-COKING,G4,21/06/2012 00:00:00,2013,3336.000,3970.000
POWER,NON-COKING,G5,21/06/2012 00:00:00,2013,2800.000,3319.000
POWER,NON-COKING,G6,21/06/2012 00:00:00,2013,1740.000,2360.000
POWER,NON-COKING,G7,21/06/2012 00:00:00,2013,1520.000,1840.000
POWER,NON-COKING,G8,21/06/2012 00:00:00,2013,1370.000,1700.000
POWER,NON-COKING,G9,21/06/2012 00:00:00,2013,1060.000,1500.000
POWER,NON-COKING,G10,21/06/2012 00:00:00,2013,940.000,1400.000
POWER,NON-COKING,G11,21/06/2012 00:00:00,2013,770.000,1130.000
POWER,NON-COKING,G12,21/06/2012 00:00:00,2013,720.000,910.000
POWER,NON-COKING,G13,21/06/2012 00:00:00,2013,660.000,690.000
POWER,NON-COKING,G14,21/06/2012 00:00:00,2013,600.000,610.000
POWER,NON-COKING,G15,21/06/2012 00:00:00,2013,510.000,550.000
POWER,NON-COKING,G16,21/06/2012 00:00:00,2013,474.000,490.000
POWER,NON-COKING,G17,21/06/2012 00:00:00,2013,420.000,430.000
NON-POWER,COKING,SI,28/05/2013 00:00:00,2014,4880.000,4880.000
NON-POWER,COKING,SII,28/05/2013 00:00:00,2014,4080.000,4080.000
NON-POWER,COKING,WI,28/05/2013 00:00:00,2014,2890.000,2890.000
NON-POWER,COKING,WII,28/05/2013 00:00:00,2014,2400.000,2400.000
NON-POWER,COKING,WIII,28/05/2013 00:00:00,2014,1770.000,1770.000
NON-POWER,COKING,WIV,28/05/2013 00:00:00,2014,1650.000,1650.000
POWER,COKING,SI,28/05/2013 00:00:00,2014,3750.000,3750.000
POWER,COKING,SII,28/05/2013 00:00:00,2014,3140.000,3140.000
POWER,COKING,WI,28/05/2013 00:00:00,2014,2220.000,2220.000
POWER,COKING,WII,28/05/2013 00:00:00,2014,1850.000,1850.000
POWER,COKING,WIII,28/05/2013 00:00:00,2014,1360.000,1360.000
POWER,COKING,WIV,28/05/2013 00:00:00,2014,1270.000,1270.000
NON-POWER,NON-COKING,G1,28/05/2013 00:00:00,2014,4680.000,5020.000
NON-POWER,NON-COKING,G1,17/12/2013 00:00:00,2014,4680.000,5020.000
NON-POWER,NON-COKING,G2,28/05/2013 00:00:00,2014,4480.000,4870.000
NON-POWER,NON-COKING,G2,17/12/2013 00:00:00,2014,4480.000,4870.000
NON-POWER,NON-COKING,G3,28/05/2013 00:00:00,2014,3890.000,4290.000
NON-POWER,NON-COKING,G3,17/12/2013 00:00:00,2014,3890.000,4390.000
NON-POWER,NON-COKING,G4,28/05/2013 00:00:00,2014,3490.000,4340.000
NON-POWER,NON-COKING,G4,17/12/2013 00:00:00,2014,3490.000,4340.000
NON-POWER,NON-COKING,G5,28/05/2013 00:00:00,2014,2800.000,4320.000
NON-POWER,NON-COKING,G5,17/12/2013 00:00:00,2014,2800.000,4320.000
NON-POWER,NON-COKING,G6,28/05/2013 00:00:00,2014,2150.000,2370.000
NON-POWER,NON-COKING,G6,17/12/2013 00:00:00,2014,2150.000,3310.000
NON-POWER,NON-COKING,G7,28/05/2013 00:00:00,2014,1840.000,2080.000
NON-POWER,NON-COKING,G7,17/12/2013 00:00:00,2014,1890.000,2580.000
NON-POWER,NON-COKING,G8,28/05/2013 00:00:00,2014,1690.000,1860.000
NON-POWER,NON-COKING,G8,17/12/2013 00:00:00,2014,1690.000,2550.000
NON-POWER,NON-COKING,G9,28/05/2013 00:00:00,2014,1310.000,1500.000
NON-POWER,NON-COKING,G9,17/12/2013 00:00:00,2014,1310.000,2250.000
NON-POWER,NON-COKING,G10,28/05/2013 00:00:00,2014,1160.000,1400.000
NON-POWER,NON-COKING,G10,17/12/2013 00:00:00,2014,1160.000,2100.000
NON-POWER,NON-COKING,G11,28/05/2013 00:00:00,2014,950.000,1130.000
NON-POWER,NON-COKING,G11,17/12/2013 00:00:00,2014,950.000,1700.000
NON-POWER,NON-COKING,G12,28/05/2013 00:00:00,2014,890.000,980.000
NON-POWER,NON-COKING,G12,17/12/2013 00:00:00,2014,890.000,1370.000
NON-POWER,NON-COKING,G13,28/05/2013 00:00:00,2014,690.000,900.000
NON-POWER,NON-COKING,G13,17/12/2013 00:00:00,2014,820.000,1040.000
NON-POWER,NON-COKING,G14,28/05/2013 00:00:00,2014,610.000,820.000
NON-POWER,NON-COKING,G14,17/12/2013 00:00:00,2014,740.000,920.000
NON-POWER,NON-COKING,G15,28/05/2013 00:00:00,2014,510.000,750.000
NON-POWER,NON-COKING,G15,17/12/2013 00:00:00,2014,680.000,820.000
NON-POWER,NON-COKING,G16,28/05/2013 00:00:00,2014,474.000,670.000
NON-POWER,NON-COKING,G16,17/12/2013 00:00:00,2014,610.000,730.000
NON-POWER,NON-COKING,G17,28/05/2013 00:00:00,2014,420.000,590.000
NON-POWER,NON-COKING,G17,17/12/2013 00:00:00,2014,540.000,640.000
POWER,NON-COKING,G1,28/05/2013 00:00:00,2014,4680.000,5020.000
POWER,NON-COKING,G1,17/12/2013 00:00:00,2014,4680.000,5020.000
POWER,NON-COKING,G2,28/05/2013 00:00:00,2014,4480.000,4870.000
POWER,NON-COKING,G2,17/12/2013 00:00:00,2014,4480.000,4870.000
POWER,NON-COKING,G3,28/05/2013 00:00:00,2014,3890.000,4290.000
POWER,NON-COKING,G3,17/12/2013 00:00:00,2014,3890.000,4390.000
POWER,NON-COKING,G4,28/05/2013 00:00:00,2014,3490.000,4340.000
POWER,NON-COKING,G4,17/12/2013 00:00:00,2014,3490.000,4340.000
POWER,NON-COKING,G5,28/05/2013 00:00:00,2014,2800.000,4320.000
POWER,NON-COKING,G5,17/12/2013 00:00:00,2014,2800.000,4320.000
POWER,NON-COKING,G6,28/05/2013 00:00:00,2014,1600.000,2360.000
POWER,NON-COKING,G6,17/12/2013 00:00:00,2014,1600.000,2720.000
POWER,NON-COKING,G7,28/05/2013 00:00:00,2014,1400.000,1840.000
POWER,NON-COKING,G7,17/12/2013 00:00:00,2014,1400.000,2120.000
POWER,NON-COKING,G8,28/05/2013 00:00:00,2014,1250.000,1700.000
POWER,NON-COKING,G8,17/12/2013 00:00:00,2014,1250.000,1960.000
POWER,NON-COKING,G9,28/05/2013 00:00:00,2014,970.000,1500.000
POWER,NON-COKING,G9,17/12/2013 00:00:00,2014,970.000,1730.000
POWER,NON-COKING,G10,28/05/2013 00:00:00,2014,860.000,1400.000
POWER,NON-COKING,G10,17/12/2013 00:00:00,2014,860.000,1610.000
POWER,NON-COKING,G11,28/05/2013 00:00:00,2014,700.000,1130.000
POWER,NON-COKING,G11,17/12/2013 00:00:00,2014,700.000,1300.000
POWER,NON-COKING,G12,28/05/2013 00:00:00,2014,660.000,910.000
POWER,NON-COKING,G12,17/12/2013 00:00:00,2014,660.000,1050.000
POWER,NON-COKING,G13,28/05/2013 00:00:00,2014,610.000,690.000
POWER,NON-COKING,G13,17/12/2013 00:00:00,2014,610.000,800.000
POWER,NON-COKING,G14,28/05/2013 00:00:00,2014,550.000,610.000
POWER,NON-COKING,G14,17/12/2013 00:00:00,2014,550.000,710.000
POWER,NON-COKING,G15,28/05/2013 00:00:00,2014,510.000,560.000
POWER,NON-COKING,G15,17/12/2013 00:00:00,2014,510.000,610.000
POWER,NON-COKING,G16,28/05/2013 00:00:00,2014,450.000,500.000
POWER,NON-COKING,G16,17/12/2013 00:00:00,2014,450.000,550.000
POWER,NON-COKING,G17,28/05/2013 00:00:00,2014,400.000,440.000
POWER,NON-COKING,G17,17/12/2013 00:00:00,2014,400.000,490.000
NON-POWER,COKING,SI,01/04/2014 00:00:00,2015,4880.000,4880.000
NON-POWER,COKING,SII,01/04/2014 00:00:00,2015,4080.000,4080.000
NON-POWER,COKING,WI,01/04/2014 00:00:00,2015,2630.000,3110.000
NON-POWER,COKING,WI,31/03/2015 00:00:00,2015,2550.000,2550.000
NON-POWER,COKING,WII,01/04/2014 00:00:00,2015,2180.000,2590.000
NON-POWER,COKING,WII,31/03/2015 00:00:00,2015,2110.000,2110.000
NON-POWER,COKING,WIII,01/04/2014 00:00:00,2015,1610.000,1910.000
NON-POWER,COKING,WIII,31/03/2015 00:00:00,2015,1560.000,1560.000
NON-POWER,COKING,WIV,01/04/2014 00:00:00,2015,1500.000,1780.000
NON-POWER,COKING,WIV,31/03/2015 00:00:00,2015,1460.000,1460.000
NON-POWER,COKING,SCI,01/04/2014 00:00:00,2015,2260.000,2800.000
NON-POWER,COKING,SCII,01/04/2014 00:00:00,2015,1890.000,2330.000
POWER,COKING,SI,01/04/2014 00:00:00,2015,3750.000,3750.000
POWER,COKING,SII,01/04/2014 00:00:00,2015,3140.000,3140.000
POWER,COKING,WI,01/04/2014 00:00:00,2015,1710.000,2390.000
POWER,COKING,WI,31/03/2015 00:00:00,2015,3750.000,3750.000
POWER,COKING,WII,01/04/2014 00:00:00,2015,1410.000,1990.000
POWER,COKING,WII,31/03/2015 00:00:00,2015,1960.000,1960.000
POWER,COKING,WIII,01/04/2014 00:00:00,2015,1240.000,1470.000
POWER,COKING,WIII,31/03/2015 00:00:00,2015,1620.000,1620.000
POWER,COKING,WIV,01/04/2014 00:00:00,2015,1150.000,1370.000
POWER,COKING,WIV,31/03/2015 00:00:00,2015,1200.000,1200.000
POWER,COKING,SCI,01/04/2014 00:00:00,2015,1740.000,2150.000
POWER,COKING,SCI,31/03/2015 00:00:00,2015,1120.000,1120.000
POWER,COKING,SCII,01/04/2014 00:00:00,2015,1450.000,1790.000
NON-POWER,NON-COKING,G1,01/04/2014 00:00:00,2015,4680.000,5020.000
NON-POWER,NON-COKING,G1,27/03/2015 00:00:00,2015,4680.000,4680.000
NON-POWER,NON-COKING,G2,01/04/2014 00:00:00,2015,4480.000,4870.000
NON-POWER,NON-COKING,G2,27/03/2015 00:00:00,2015,4480.000,4480.000
NON-POWER,NON-COKING,G3,01/04/2014 00:00:00,2015,3890.000,4390.000
NON-POWER,NON-COKING,G3,27/03/2015 00:00:00,2015,4390.000,4390.000
NON-POWER,NON-COKING,G4,01/04/2014 00:00:00,2015,3490.000,4340.000
NON-POWER,NON-COKING,G4,27/03/2015 00:00:00,2015,4340.000,4340.000
NON-POWER,NON-COKING,G5,01/04/2014 00:00:00,2015,2800.000,4320.000
NON-POWER,NON-COKING,G5,27/03/2015 00:00:00,2015,4320.000,4320.000
NON-POWER,NON-COKING,G6,01/04/2014 00:00:00,2015,2150.000,3310.000
NON-POWER,NON-COKING,G6,27/03/2015 00:00:00,2015,3310.000,3310.000
NON-POWER,NON-COKING,G7,01/04/2014 00:00:00,2015,1890.000,2580.000
NON-POWER,NON-COKING,G7,27/03/2015 00:00:00,2015,2580.000,2580.000
NON-POWER,NON-COKING,G8,01/04/2014 00:00:00,2015,1690.000,2550.000
NON-POWER,NON-COKING,G8,27/03/2015 00:00:00,2015,2550.000,2550.000
NON-POWER,NON-COKING,G9,01/04/2014 00:00:00,2015,1310.000,2250.000
NON-POWER,NON-COKING,G9,27/03/2015 00:00:00,2015,2250.000,2250.000
NON-POWER,NON-COKING,G10,01/04/2014 00:00:00,2015,1160.000,2100.000
NON-POWER,NON-COKING,G10,27/03/2015 00:00:00,2015,2100.000,2100.000
NON-POWER,NON-COKING,G11,01/04/2014 00:00:00,2015,950.000,1700.000
NON-POWER,NON-COKING,G11,27/03/2015 00:00:00,2015,1700.000,1700.000
NON-POWER,NON-COKING,G12,01/04/2014 00:00:00,2015,890.000,1370.000
NON-POWER,NON-COKING,G12,27/03/2015 00:00:00,2015,1370.000,1370.000
NON-POWER,NON-COKING,G13,01/04/2014 00:00:00,2015,820.000,1040.000
NON-POWER,NON-COKING,G13,27/03/2015 00:00:00,2015,1040.000,1040.000
NON-POWER,NON-COKING,G14,01/04/2014 00:00:00,2015,740.000,920.000
NON-POWER,NON-COKING,G14,27/03/2015 00:00:00,2015,920.000,920.000
NON-POWER,NON-COKING,G15,01/04/2014 00:00:00,2015,680.000,820.000
NON-POWER,NON-COKING,G15,27/03/2015 00:00:00,2015,770.000,770.000
NON-POWER,NON-COKING,G16,01/04/2014 00:00:00,2015,610.000,730.000
NON-POWER,NON-COKING,G16,27/03/2015 00:00:00,2015,620.000,620.000
NON-POWER,NON-COKING,G17,01/04/2014 00:00:00,2015,540.000,640.000
NON-POWER,NON-COKING,G17,27/03/2015 00:00:00,2015,550.000,550.000
POWER,NON-COKING,G1,01/04/2014 00:00:00,2015,4680.000,5020.000
POWER,NON-COKING,G1,27/03/2015 00:00:00,2015,4680.000,4680.000
POWER,NON-COKING,G2,01/04/2014 00:00:00,2015,4480.000,4870.000
POWER,NON-COKING,G2,27/03/2015 00:00:00,2015,4480.000,4480.000
POWER,NON-COKING,G3,01/04/2014 00:00:00,2015,3890.000,4390.000
POWER,NON-COKING,G3,27/03/2015 00:00:00,2015,4390.000,4390.000
POWER,NON-COKING,G4,01/04/2014 00:00:00,2015,3490.000,4340.000
POWER,NON-COKING,G4,27/03/2015 00:00:00,2015,4340.000,4340.000
POWER,NON-COKING,G5,01/04/2014 00:00:00,2015,2800.000,4320.000
POWER,NON-COKING,G5,27/03/2015 00:00:00,2015,4320.000,4320.000
POWER,NON-COKING,G6,01/04/2014 00:00:00,2015,1600.000,2720.000
POWER,NON-COKING,G6,27/03/2015 00:00:00,2015,3328.000,3328.000
POWER,NON-COKING,G7,01/04/2014 00:00:00,2015,1400.000,2120.000
POWER,NON-COKING,G7,27/03/2015 00:00:00,2015,2600.000,2600.000
POWER,NON-COKING,G8,01/04/2014 00:00:00,2015,1250.000,1960.000
POWER,NON-COKING,G8,27/03/2015 00:00:00,2015,2580.000,2580.000
POWER,NON-COKING,G9,01/04/2014 00:00:00,2015,970.000,1730.000
POWER,NON-COKING,G9,27/03/2015 00:00:00,2015,1730.000,1730.000
POWER,NON-COKING,G10,01/04/2014 00:00:00,2015,860.000,1610.000
POWER,NON-COKING,G10,27/03/2015 00:00:00,2015,1610.000,1610.000
POWER,NON-COKING,G11,01/04/2014 00:00:00,2015,700.000,1300.000
POWER,NON-COKING,G11,27/03/2015 00:00:00,2015,1300.000,1300.000
POWER,NON-COKING,G12,01/04/2014 00:00:00,2015,660.000,1050.000
POWER,NON-COKING,G12,27/03/2015 00:00:00,2015,1050.000,1050.000
