Detail Data For Coal Consumption - Domestic by Broad Category & Consuming Sector Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
State,CoalType,ConsumingSector,YearValue,QtyInMillionTonnes_Consumption
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2008,1.261
WEST BENGAL,MIDDLINGS,POWER (UTILITY),2009,0.678
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2009,0.163
WEST BENGAL,MIDDLINGS,STEEL (BOILERS),2009,0.389
WEST BENGAL,MIDDLINGS,COLLIERY OWN - CONSUMPTION,2009,0.004
WEST BENGAL,RAW COAL,POWER (UTILITY),2009,34.892
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2009,0.449
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2009,0.049
WEST BENGAL,RAW COAL,METALLURGICAL USE- COKERIES,2009,0.009
WEST BENGAL,RAW COAL,STEEL (BOILERS),2009,0.433
WEST BENGAL,RAW COAL,CEMENT,2009,0.006
WEST BENGAL,RAW COAL,SPONGE IRON,2009,1.331
WEST BENGAL,RAW COAL,CHEMICAL,2009,0.037
WEST BENGAL,RAW COAL,PULP & PAPER,2009,0.060
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2009,0.028
WEST BENGAL,RAW COAL,OTHER,2009,1.637
WEST BENGAL,RAW COAL,COLLIERY OWN - CONSUMPTION,2009,0.152
WEST BENGAL,WASHED COAL,POWER (CAPTIVE),2009,0.089
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2009,1.753
WEST BENGAL,MIDDLINGS,POWER (UTILITY),2010,0.534
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2010,0.163
WEST BENGAL,MIDDLINGS,STEEL (BOILERS),2010,0.439
WEST BENGAL,RAW COAL,POWER (UTILITY),2010,33.862
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2010,0.324
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2010,0.068
WEST BENGAL,RAW COAL,METALLURGICAL USE- COKERIES,2010,0.018
WEST BENGAL,RAW COAL,STEEL (BOILERS),2010,0.529
WEST BENGAL,RAW COAL,CEMENT,2010,0.007
WEST BENGAL,RAW COAL,SPONGE IRON,2010,1.051
WEST BENGAL,RAW COAL,CHEMICAL,2010,0.040
WEST BENGAL,RAW COAL,PULP & PAPER,2010,0.063
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2010,0.025
WEST BENGAL,RAW COAL,OTHER,2010,2.241
WEST BENGAL,RAW COAL,COLLIERY OWN - CONSUMPTION,2010,0.139
WEST BENGAL,WASHED COAL,POWER (CAPTIVE),2010,0.077
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2010,1.891
WEST BENGAL,MIDDLINGS,POWER (UTILITY),2011,0.385
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2011,0.462
WEST BENGAL,MIDDLINGS,METALLURGICAL USE- COKERIES,2011,0.214
WEST BENGAL,RAW COAL,POWER (UTILITY),2011,36.853
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2011,0.394
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2011,0.079
WEST BENGAL,RAW COAL,METALLURGICAL USE- COKERIES,2011,0.024
WEST BENGAL,RAW COAL,STEEL (BOILERS),2011,0.437
WEST BENGAL,RAW COAL,CEMENT,2011,0.006
WEST BENGAL,RAW COAL,SPONGE IRON,2011,1.089
WEST BENGAL,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),2011,0.002
WEST BENGAL,RAW COAL,CHEMICAL,2011,0.037
WEST BENGAL,RAW COAL,PULP & PAPER,2011,0.072
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2011,0.017
WEST BENGAL,RAW COAL,OTHER,2011,1.816
WEST BENGAL,RAW COAL,COLLIERY OWN - CONSUMPTION,2011,0.125
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2011,1.986
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2012,0.222
WEST BENGAL,MIDDLINGS,STEEL (BOILERS),2012,0.176
WEST BENGAL,RAW COAL,POWER (UTILITY),2012,39.942
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2012,0.362
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2012,0.126
WEST BENGAL,RAW COAL,METALLURGICAL USE- COKERIES,2012,0.089
WEST BENGAL,RAW COAL,CEMENT,2012,0.018
WEST BENGAL,RAW COAL,SPONGE IRON,2012,0.480
WEST BENGAL,RAW COAL,CHEMICAL,2012,0.011
WEST BENGAL,RAW COAL,PULP & PAPER,2012,0.040
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2012,0.003
WEST BENGAL,RAW COAL,OTHER,2012,4.261
WEST BENGAL,RAW COAL,COLLIERY OWN - CONSUMPTION,2012,0.108
WEST BENGAL,WASHED COAL,POWER (UTILITY),2012,1.966
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2012,0.514
WEST BENGAL,MIDDLINGS,POWER (UTILITY),2013,0.345
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2013,0.651
WEST BENGAL,RAW COAL,POWER (UTILITY),2013,42.663
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2013,5.503
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2013,0.014
WEST BENGAL,RAW COAL,METALLURGICAL USE- COKERIES,2013,0.328
WEST BENGAL,RAW COAL,STEEL (BOILERS),2013,0.412
WEST BENGAL,RAW COAL,CEMENT,2013,0.006
WEST BENGAL,RAW COAL,SPONGE IRON,2013,1.318
WEST BENGAL,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),2013,0.077
WEST BENGAL,RAW COAL,CHEMICAL,2013,0.014
WEST BENGAL,RAW COAL,PULP & PAPER,2013,0.085
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2013,0.005
WEST BENGAL,RAW COAL,BRICKS,2013,0.042
WEST BENGAL,RAW COAL,OTHER,2013,3.427
WEST BENGAL,RAW COAL,COLLIERY OWN - CONSUMPTION,2013,0.001
WEST BENGAL,WASHED COAL,POWER (UTILITY),2013,0.287
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2013,0.513
WEST BENGAL,MIDDLINGS,POWER (UTILITY),2014,0.135
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2014,0.629
WEST BENGAL,MIDDLINGS,METALLURGICAL USE- COKERIES,2014,0.001
WEST BENGAL,MIDDLINGS,SPONGE IRON,2014,0.026
WEST BENGAL,RAW COAL,POWER (UTILITY),2014,36.508
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2014,4.446
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2014,0.045
WEST BENGAL,RAW COAL,METALLURGICAL USE- COKERIES,2014,0.020
WEST BENGAL,RAW COAL,STEEL (BOILERS),2014,0.347
WEST BENGAL,RAW COAL,CEMENT,2014,0.024
WEST BENGAL,RAW COAL,SPONGE IRON,2014,1.186
WEST BENGAL,RAW COAL,CHEMICAL,2014,0.020
WEST BENGAL,RAW COAL,PULP & PAPER,2014,0.071
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2014,0.003
WEST BENGAL,RAW COAL,BRICKS,2014,0.017
WEST BENGAL,RAW COAL,OTHER,2014,3.036
WEST BENGAL,WASHED COAL,POWER (UTILITY),2014,0.004
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2014,0.751
WEST BENGAL,RAW COAL,POWER (UTILITY),2015,40.789
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2015,7.270
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2015,0.108
WEST BENGAL,RAW COAL,METALLURGICAL USE- COKERIES,2015,0.020
WEST BENGAL,RAW COAL,STEEL (BOILERS),2015,0.368
WEST BENGAL,RAW COAL,CEMENT,2015,0.018
WEST BENGAL,RAW COAL,SPONGE IRON,2015,1.350
WEST BENGAL,RAW COAL,CHEMICAL,2015,0.015
WEST BENGAL,RAW COAL,PULP & PAPER,2015,0.057
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2015,0.003
WEST BENGAL,RAW COAL,BRICKS,2015,0.029
WEST BENGAL,RAW COAL,OTHER,2015,2.049
WEST BENGAL,WASHED COAL,POWER (UTILITY),2015,0.098
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2015,0.410
WEST BENGAL,MIDDLINGS,POWER (UTILITY),2015,0.305
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2015,0.552
WEST BENGAL,MIDDLINGS,SPONGE IRON,2015,0.064
WEST BENGAL,RAW COAL,POWER (UTILITY),2016,43.593
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2016,0.228
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2016,0.039
WEST BENGAL,RAW COAL,METALLURGICAL USE- COKERIES,2016,0.023
WEST BENGAL,RAW COAL,STEEL (BOILERS),2016,0.249
WEST BENGAL,RAW COAL,CEMENT,2016,0.007
WEST BENGAL,RAW COAL,SPONGE IRON,2016,0.630
WEST BENGAL,RAW COAL,PULP & PAPER,2016,0.073
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2016,0.003
WEST BENGAL,RAW COAL,BRICKS,2016,0.010
WEST BENGAL,RAW COAL,OTHER,2016,1.963
WEST BENGAL,RAW COAL,COLLIERY OWN - CONSUMPTION,2016,0.219
WEST BENGAL,WASHED COAL,POWER (UTILITY),2016,0.495
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2016,1.231
WEST BENGAL,MIDDLINGS,POWER (UTILITY),2016,0.628
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2016,0.253
WEST BENGAL,MIDDLINGS,STEEL (BOILERS),2016,0.324
WEST BENGAL,MIDDLINGS,OTHER,2016,0.008
WEST BENGAL,TOTAL COAL,POWER (UTILITY),2006,30.322
WEST BENGAL,TOTAL COAL,POWER (CAPTIVE),2006,0.031
WEST BENGAL,TOTAL COAL,METALLURGICAL USE- DIRECT FEED,2006,0.186
WEST BENGAL,TOTAL COAL,METALLURGICAL USE- COKERIES,2006,1.435
WEST BENGAL,TOTAL COAL,STEEL (BOILERS),2006,1.233
WEST BENGAL,TOTAL COAL,CEMENT,2006,0.008
WEST BENGAL,TOTAL COAL,SPONGE IRON,2006,1.255
WEST BENGAL,TOTAL COAL,OTHER BASIC-METAL (ALUMINIUM ETC),2006,0.029
WEST BENGAL,TOTAL COAL,CHEMICAL,2006,0.024
WEST BENGAL,TOTAL COAL,PULP & PAPER,2006,0.074
WEST BENGAL,TOTAL COAL,TEXTILES & RAYONS,2006,0.018
WEST BENGAL,TOTAL COAL,BRICKS,2006,0.010
WEST BENGAL,TOTAL COAL,OTHER,2006,1.024
WEST BENGAL,TOTAL COAL,COLLIERY OWN - CONSUMPTION,2006,0.452
WEST BENGAL,TOTAL COAL,COLLIERY STAFF,2006,0.010
WEST BENGAL,MIDDLINGS,POWER (UTILITY),2019,0.014
WEST BENGAL,MIDDLINGS,OTHER,2019,0.141
WEST BENGAL,MIDDLINGS,STEEL (BOILERS),2019,0.170
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2019,0.197
WEST BENGAL,RAW COAL,CHEMICAL,2019,0.002
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2019,0.002
WEST BENGAL,RAW COAL,CEMENT,2019,0.003
WEST BENGAL,RAW COAL,BRICKS,2019,0.012
WEST BENGAL,RAW COAL,PULP & PAPER,2019,0.033
WEST BENGAL,RAW COAL,COLLIERY OWN - CONSUMPTION,2019,0.184
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2019,0.299
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2019,0.446
WEST BENGAL,RAW COAL,SPONGE IRON,2019,0.773
WEST BENGAL,RAW COAL,OTHER,2019,2.023
WEST BENGAL,RAW COAL,POWER (UTILITY),2019,49.133
WEST BENGAL,WASHED COAL,OTHER,2019,0.084
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2019,0.614
WEST BENGAL,WASHED COAL,POWER (UTILITY),2019,0.896
WEST BENGAL,MIDDLINGS,POWER (UTILITY),2017,0.382
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2017,0.672
WEST BENGAL,RAW COAL,CEMENT,2017,0.002
WEST BENGAL,RAW COAL,CHEMICAL,2017,0.004
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2017,0.004
WEST BENGAL,RAW COAL,BRICKS,2017,0.012
WEST BENGAL,RAW COAL,PULP & PAPER,2017,0.014
WEST BENGAL,RAW COAL,METALLURGICAL USE- COKERIES,2017,0.020
WEST BENGAL,RAW COAL,STEEL (BOILERS),2017,0.056
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2017,0.091
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2017,0.117
WEST BENGAL,RAW COAL,COLLIERY OWN - CONSUMPTION,2017,0.204
WEST BENGAL,RAW COAL,SPONGE IRON,2017,0.469
WEST BENGAL,RAW COAL,OTHER,2017,2.176
WEST BENGAL,RAW COAL,POWER (UTILITY),2017,47.445
WEST BENGAL,WASHED COAL,METALLURGICAL USE- DIRECT FEED,2017,0.118
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2017,0.741
WEST BENGAL,WASHED COAL,POWER (UTILITY),2017,0.744
WEST BENGAL,MIDDLINGS,POWER (UTILITY),2018,0.108
WEST BENGAL,MIDDLINGS,STEEL (BOILERS),2018,0.235
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2018,0.266
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2018,0.002
WEST BENGAL,RAW COAL,CEMENT,2018,0.003
WEST BENGAL,RAW COAL,CHEMICAL,2018,0.003
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2018,0.003
WEST BENGAL,RAW COAL,BRICKS,2018,0.010
WEST BENGAL,RAW COAL,PULP & PAPER,2018,0.038
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2018,0.189
WEST BENGAL,RAW COAL,COLLIERY OWN - CONSUMPTION,2018,0.191
WEST BENGAL,RAW COAL,SPONGE IRON,2018,0.485
WEST BENGAL,RAW COAL,OTHER,2018,2.574
WEST BENGAL,RAW COAL,POWER (UTILITY),2018,44.478
WEST BENGAL,WASHED COAL,METALLURGICAL USE- DIRECT FEED,2018,0.102
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2018,0.647
WEST BENGAL,WASHED COAL,POWER (UTILITY),2018,0.889
WEST BENGAL,RAW COAL,PULP & PAPER,2020,0.014
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2020,0.069
WEST BENGAL,WASHED COAL,METALLURGICAL USE- DIRECT FEED,2020,0.169
WEST BENGAL,RAW COAL,COLLIERY OWN - CONSUMPTION,2020,0.180
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2020,0.221
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2020,0.535
WEST BENGAL,WASHED COAL,COKERIES,2020,0.547
WEST BENGAL,RAW COAL,SPONGE IRON,2020,0.640
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2020,0.735
WEST BENGAL,WASHED COAL,POWER (CAPTIVE),2020,1.029
WEST BENGAL,RAW COAL,OTHER,2020,1.750
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2020,48.309
JHARKHAND,MIDDLINGS,POWER (UTILITY),2007,0.628
JHARKHAND,MIDDLINGS,POWER (CAPTIVE),2007,2.127
JHARKHAND,MIDDLINGS,STEEL (BOILERS),2007,0.746
JHARKHAND,MIDDLINGS,SPONGE IRON,2007,0.072
JHARKHAND,MIDDLINGS,OTHER,2007,0.115
JHARKHAND,RAW COAL,POWER (UTILITY),2007,5.344
JHARKHAND,RAW COAL,POWER (CAPTIVE),2007,0.129
JHARKHAND,RAW COAL,METALLURGICAL USE- DIRECT FEED,2007,0.013
JHARKHAND,RAW COAL,METALLURGICAL USE- COKERIES,2007,0.927
JHARKHAND,RAW COAL,STEEL (BOILERS),2007,0.023
JHARKHAND,RAW COAL,CEMENT,2007,0.115
JHARKHAND,RAW COAL,SPONGE IRON,2007,0.766
JHARKHAND,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),2007,0.049
JHARKHAND,RAW COAL,CHEMICAL,2007,0.009
JHARKHAND,RAW COAL,BRICKS,2007,0.369
JHARKHAND,RAW COAL,OTHER,2007,3.697
JHARKHAND,RAW COAL,COLLIERY OWN - CONSUMPTION,2007,0.242
JHARKHAND,WASHED COAL,POWER (UTILITY),2007,0.876
JHARKHAND,WASHED COAL,METALLURGICAL USE- COKERIES,2007,3.454
JHARKHAND,MIDDLINGS,POWER (UTILITY),2008,0.160
JHARKHAND,MIDDLINGS,POWER (CAPTIVE),2008,3.774
JHARKHAND,MIDDLINGS,OTHER,2008,0.151
JHARKHAND,RAW COAL,POWER (UTILITY),2008,6.216
JHARKHAND,RAW COAL,POWER (CAPTIVE),2008,1.059
JHARKHAND,RAW COAL,METALLURGICAL USE- COKERIES,2008,0.215
JHARKHAND,RAW COAL,CEMENT,2008,0.106
JHARKHAND,RAW COAL,SPONGE IRON,2008,1.326
JHARKHAND,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),2008,0.027
JHARKHAND,RAW COAL,CHEMICAL,2008,0.002
JHARKHAND,RAW COAL,OTHER,2008,3.975
JHARKHAND,RAW COAL,COLLIERY OWN - CONSUMPTION,2008,0.221
JHARKHAND,WASHED COAL,POWER (UTILITY),2008,0.824
JHARKHAND,WASHED COAL,METALLURGICAL USE- COKERIES,2008,3.821
JHARKHAND,MIDDLINGS,POWER (CAPTIVE),2009,2.576
JHARKHAND,MIDDLINGS,STEEL (BOILERS),2009,0.851
JHARKHAND,MIDDLINGS,OTHER BASIC-METAL (ALUMINIUM ETC),2009,0.058
JHARKHAND,RAW COAL,POWER (UTILITY),2009,6.537
JHARKHAND,RAW COAL,POWER (CAPTIVE),2009,1.167
JHARKHAND,RAW COAL,METALLURGICAL USE- DIRECT FEED,2009,0.583
JHARKHAND,RAW COAL,METALLURGICAL USE- COKERIES,2009,0.183
JHARKHAND,RAW COAL,CEMENT,2009,0.056
JHARKHAND,RAW COAL,SPONGE IRON,2009,0.892
JHARKHAND,RAW COAL,OTHER,2009,5.478
JHARKHAND,RAW COAL,COLLIERY OWN - CONSUMPTION,2009,0.196
JHARKHAND,WASHED COAL,POWER (UTILITY),2009,0.542
JHARKHAND,WASHED COAL,POWER (CAPTIVE),2009,0.143
JHARKHAND,WASHED COAL,METALLURGICAL USE- COKERIES,2009,3.155
JHARKHAND,MIDDLINGS,POWER (UTILITY),2010,1.912
JHARKHAND,MIDDLINGS,POWER (CAPTIVE),2010,0.138
JHARKHAND,MIDDLINGS,STEEL (BOILERS),2010,0.742
JHARKHAND,MIDDLINGS,OTHER,2010,0.189
JHARKHAND,RAW COAL,POWER (UTILITY),2010,7.319
JHARKHAND,RAW COAL,POWER (CAPTIVE),2010,1.282
JHARKHAND,RAW COAL,METALLURGICAL USE- DIRECT FEED,2010,0.577
JHARKHAND,RAW COAL,METALLURGICAL USE- COKERIES,2010,0.188
JHARKHAND,RAW COAL,STEEL (BOILERS),2010,0.058
JHARKHAND,RAW COAL,CEMENT,2010,0.055
JHARKHAND,RAW COAL,SPONGE IRON,2010,1.536
JHARKHAND,RAW COAL,CHEMICAL,2010,0.011
JHARKHAND,RAW COAL,BRICKS,2010,0.167
JHARKHAND,RAW COAL,OTHER,2010,5.603
JHARKHAND,RAW COAL,COLLIERY OWN - CONSUMPTION,2010,0.163
JHARKHAND,WASHED COAL,POWER (UTILITY),2010,0.942
JHARKHAND,WASHED COAL,POWER (CAPTIVE),2010,0.071
JHARKHAND,WASHED COAL,METALLURGICAL USE- COKERIES,2010,2.891
JHARKHAND,MIDDLINGS,POWER (UTILITY),2011,2.057
JHARKHAND,MIDDLINGS,POWER (CAPTIVE),2011,0.110
JHARKHAND,MIDDLINGS,METALLURGICAL USE- COKERIES,2011,0.543
JHARKHAND,MIDDLINGS,OTHER,2011,0.118
JHARKHAND,RAW COAL,POWER (UTILITY),2011,14.456
JHARKHAND,RAW COAL,POWER (CAPTIVE),2011,1.495
JHARKHAND,RAW COAL,METALLURGICAL USE- DIRECT FEED,2011,0.445
JHARKHAND,RAW COAL,METALLURGICAL USE- COKERIES,2011,1.200
JHARKHAND,RAW COAL,CEMENT,2011,0.075
JHARKHAND,RAW COAL,FERTILISERS,2011,0.160
JHARKHAND,RAW COAL,SPONGE IRON,2011,1.697
JHARKHAND,RAW COAL,CHEMICAL,2011,0.024
JHARKHAND,RAW COAL,BRICKS,2011,0.159
JHARKHAND,RAW COAL,OTHER,2011,4.384
JHARKHAND,RAW COAL,COLLIERY OWN - CONSUMPTION,2011,0.044
JHARKHAND,WASHED COAL,POWER (UTILITY),2011,0.837
JHARKHAND,WASHED COAL,POWER (CAPTIVE),2011,0.030
JHARKHAND,WASHED COAL,METALLURGICAL USE- COKERIES,2011,3.041
JHARKHAND,MIDDLINGS,POWER (CAPTIVE),2012,3.043
JHARKHAND,MIDDLINGS,STEEL (BOILERS),2012,0.011
JHARKHAND,RAW COAL,POWER (UTILITY),2012,8.569
JHARKHAND,RAW COAL,POWER (CAPTIVE),2012,1.271
JHARKHAND,RAW COAL,METALLURGICAL USE- DIRECT FEED,2012,0.221
JHARKHAND,RAW COAL,METALLURGICAL USE- COKERIES,2012,0.023
JHARKHAND,RAW COAL,CEMENT,2012,0.108
JHARKHAND,RAW COAL,FERTILISERS,2012,0.035
JHARKHAND,RAW COAL,SPONGE IRON,2012,1.312
JHARKHAND,RAW COAL,CHEMICAL,2012,0.005
JHARKHAND,RAW COAL,BRICKS,2012,0.059
JHARKHAND,RAW COAL,OTHER,2012,6.400
JHARKHAND,RAW COAL,COLLIERY OWN - CONSUMPTION,2012,0.020
JHARKHAND,WASHED COAL,POWER (UTILITY),2012,1.658
JHARKHAND,WASHED COAL,POWER (CAPTIVE),2012,1.134
JHARKHAND,WASHED COAL,METALLURGICAL USE- COKERIES,2012,2.556
JHARKHAND,MIDDLINGS,POWER (UTILITY),2013,2.490
JHARKHAND,MIDDLINGS,POWER (CAPTIVE),2013,1.244
JHARKHAND,RAW COAL,POWER (UTILITY),2013,13.219
JHARKHAND,RAW COAL,POWER (CAPTIVE),2013,1.737
JHARKHAND,RAW COAL,METALLURGICAL USE- DIRECT FEED,2013,0.004
JHARKHAND,RAW COAL,METALLURGICAL USE- COKERIES,2013,0.473
JHARKHAND,RAW COAL,CEMENT,2013,0.106
JHARKHAND,RAW COAL,SPONGE IRON,2013,1.474
JHARKHAND,RAW COAL,CHEMICAL,2013,0.005
JHARKHAND,RAW COAL,BRICKS,2013,0.008
JHARKHAND,RAW COAL,OTHER,2013,6.996
JHARKHAND,RAW COAL,COLLIERY OWN - CONSUMPTION,2013,0.013
JHARKHAND,WASHED COAL,POWER (UTILITY),2013,0.983
JHARKHAND,WASHED COAL,POWER (CAPTIVE),2013,0.310
JHARKHAND,WASHED COAL,METALLURGICAL USE- COKERIES,2013,3.691
JHARKHAND,MIDDLINGS,POWER (UTILITY),2014,1.900
JHARKHAND,MIDDLINGS,POWER (CAPTIVE),2014,1.222
JHARKHAND,MIDDLINGS,OTHER,2014,0.001
JHARKHAND,RAW COAL,POWER (UTILITY),2014,28.113
