Date,GeoId,CumulativeCount_MedicalTest_COVID_19,CumulativeCount_MedicalTest_COVID_19_Positive,CumulativeCount_MedicalTest_COVID_19_Negative,Count_MedicalTest_COVID_19_Pending,CumulativeCount_MedicalConditionIncident_COVID_19_PatientRecovered,CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased,Count_MedicalConditionIncident_COVID_19_PatientHospitalized,CumulativeCount_MedicalConditionIncident_COVID_19_PatientHospitalized,Count_MedicalConditionIncident_COVID_19_PatientInICU,CumulativeCount_MedicalConditionIncident_COVID_19_PatientInICU,Count_MedicalConditionIncident_COVID_19_PatientOnVentilator,CumulativeCount_MedicalConditionIncident_COVID_19_PatientOnVentilator
2020-06-24,dcid:geoId/19,269959,26705,243254,,16858,692,140,,43,,25,
2020-06-24,dcid:geoId/16,77835,4402,73433,,3484,89,,298,,105,,
2020-06-24,dcid:geoId/17,1429841,139540,1290301,,,6974,1614,,389,,219,
2020-06-24,dcid:geoId/18,431883,43140,388743,,32152,2578,701,6883,263,1446,89,
2020-06-24,dcid:geoId/20,161705,12970,148735,,747,261,,1082,,348,,150
2020-06-24,dcid:geoId/21,335702,14363,321339,,3706,538,335,2574,79,992,,
2020-06-24,dcid:geoId/22,648505,52477,596028,,39792,3152,631,,,,77,
2020-06-24,dcid:geoId/25,795072,107611,687461,,,7938,939,11219,181,,98,
2020-06-24,dcid:geoId/24,490457,65337,425120,,4810,3108,544,10648,213,,,
2020-06-24,dcid:geoId/23,85190,3017,82173,,2490,103,26,339,12,,6,
2020-06-24,dcid:geoId/26,944805,68555,876250,,49290,6114,557,,209,,124,
2020-06-24,dcid:geoId/27,529643,33763,495880,,29707,1432,340,3897,160,1203,,
2020-06-24,dcid:geoId/29,327024,18868,308156,,,975,546,,,,66,
2020-06-24,dcid:geoId/69,8217,30,8187,,19,2,,,,,,
2020-06-24,dcid:geoId/28,261661,23424,238237,,17242,1011,767,2946,157,,91,
2020-06-24,dcid:geoId/30,75066,766,74300,,571,21,17,93,,,,
2020-06-24,dcid:geoId/37,791285,56174,735111,,36921,1266,906,,,,,
2020-06-24,dcid:geoId/38,98689,3362,95327,,3044,86,27,219,,,,
2020-06-24,dcid:geoId/31,161301,18092,143209,,12099,256,125,1257,,,,
2020-06-24,dcid:geoId/33,110053,5571,104482,,4316,343,51,558,,160,,
2020-06-24,dcid:geoId/34,1299645,169892,1129753,,29627,12995,1196,19598,275,,214,
2020-06-24,dcid:geoId/35,302083,10838,291245,,4874,476,141,1776,,,,
2020-06-24,dcid:geoId/32,252387,14362,238025,,666,494,439,,96,,53,
2020-06-24,dcid:geoId/36,3551952,389666,3162286,,69710,24782,1071,89995,290,,228,
2020-06-24,dcid:geoId/39,680687,46759,633928,,,2755,592,7447,202,1886,119,
2020-06-24,dcid:geoId/40,298278,11510,286768,,8144,372,268,1319,90,,,
2020-06-24,dcid:geoId/41,214008,7444,206564,,2604,195,185,1006,59,,29,
2020-06-24,dcid:geoId/42,691408,83191,608217,,64502,6518,707,,,,136,
2020-06-24,dcid:geoId/72,6820,6820,,,,149,80,,9,,2,
2020-06-24,dcid:geoId/44,224993,16606,208387,,1573,912,104,1967,20,,16,
2020-06-24,dcid:geoId/45,318208,27897,290311,,12317,683,832,2377,,,,
2020-06-24,dcid:geoId/46,75077,6419,68658,,5554,84,81,629,,,,
2020-06-24,dcid:geoId/47,718304,37235,681069,,24693,556,470,2386,,,,
2020-06-24,dcid:geoId/48,1630258,125921,1504337,,72898,2249,4389,,,,,
2020-06-24,dcid:geoId/49,304738,18784,285954,,10334,163,245,1256,77,355,,154
2020-06-24,dcid:geoId/51,576571,59514,517057,319,7765,1661,886,8651,235,,107,
2020-06-24,dcid:geoId/78,2671,78,2593,35,64,6,,,,,,
2020-06-24,dcid:geoId/50,59860,1184,58676,,930,56,13,,,,,
2020-06-24,dcid:geoId/53,487059,29386,457673,,,1284,234,4067,,,44,
2020-06-24,dcid:geoId/55,516444,28641,487803,160,20121,757,239,3299,89,723,,
2020-06-24,dcid:geoId/54,157048,2629,154419,,1855,92,24,,5,,2,
2020-06-24,dcid:geoId/56,30148,1279,28869,,966,20,7,109,,,,
2020-06-23,dcid:geoId/02,92947,778,92169,,502,12,14,,,,1,
2020-06-23,dcid:geoId/01,354038,31097,322941,,15974,864,680,2521,,737,,430
2020-06-23,dcid:geoId/05,264492,16678,247814,,11220,237,248,1188,,,57,186
2020-06-23,dcid:geoId/60,174,0,174,,,0,,,,,,
2020-06-23,dcid:geoId/04,440518,58179,382339,,7746,1384,2136,4255,614,,386,
2020-06-23,dcid:geoId/06,3496929,183073,3313856,,,5580,5065,,1421,,,
2020-06-23,dcid:geoId/08,287876,30705,257171,,4342,1651,249,5343,,,,
2020-06-23,dcid:geoId/09,403944,45899,358045,,7842,4277,138,10099,,,,
2020-06-23,dcid:geoId/11,83302,10094,73208,,1182,537,171,,61,,40,
2020-06-23,dcid:geoId/10,97536,10847,86689,,6554,504,91,,,,,
2020-06-23,dcid:geoId/12,1640752,103503,1537249,1425,,3333,,13614,,,,
2020-06-23,dcid:geoId/13,731261,67678,663583,,,2688,1056,10123,,2174,,
2020-06-23,dcid:geoId/66,10651,225,10426,,174,5,0,,0,,0,
2020-06-23,dcid:geoId/15,69340,816,68524,,669,17,,99,,,,
2020-06-23,dcid:geoId/19,264703,26373,238330,,16579,688,163,,47,,26,
2020-06-23,dcid:geoId/16,76164,4254,71910,,3405,89,,293,,102,,
2020-06-23,dcid:geoId/17,1400510,138825,1261685,,,6911,1648,,424,,236,
2020-06-23,dcid:geoId/18,426376,42871,383505,,32152,2569,736,6853,297,1447,110,
2020-06-23,dcid:geoId/20,155013,12465,142548,,722,259,,1056,,342,,149
2020-06-23,dcid:geoId/21,331294,14141,317153,,3591,537,376,2556,70,988,,
2020-06-23,dcid:geoId/22,635939,51595,584344,,39792,3134,646,,,,83,
2020-06-23,dcid:geoId/25,787642,107439,680203,,,7890,953,11157,181,,112,
2020-06-23,dcid:geoId/24,483535,65007,418528,,4797,3092,561,10611,212,,,
2020-06-23,dcid:geoId/23,81707,2994,78713,,2443,102,24,339,12,,6,
2020-06-23,dcid:geoId/26,928668,68197,860471,,49290,6109,557,,209,,99,
2020-06-23,dcid:geoId/27,520045,33469,486576,,29399,1425,339,3860,158,1191,,
2020-06-23,dcid:geoId/29,317374,18143,299231,,,961,595,,,,66,
2020-06-23,dcid:geoId/69,8217,30,8187,,19,2,,,,,,
2020-06-23,dcid:geoId/28,253860,22898,230962,,17242,989,664,2915,151,,88,
2020-06-23,dcid:geoId/30,73923,743,73180,,566,21,15,91,,,,
2020-06-23,dcid:geoId/37,773828,54453,719375,,36921,1251,915,,,,,
2020-06-23,dcid:geoId/38,97553,3320,94233,,3008,84,28,218,,,,
2020-06-23,dcid:geoId/31,158642,17957,140685,,11980,249,135,1234,,,,
2020-06-23,dcid:geoId/33,108876,5558,103318,,4290,339,54,558,,160,,
2020-06-23,dcid:geoId/34,1283451,169734,1113717,,29517,12949,1092,19512,307,,216,
2020-06-23,dcid:geoId/35,298076,10694,287382,,4742,469,139,1754,,,,
2020-06-23,dcid:geoId/32,248526,13997,234529,,658,492,389,,100,,50,
2020-06-23,dcid:geoId/36,3500808,389085,3111723,,69710,24766,1104,89995,330,,228,
2020-06-23,dcid:geoId/39,670437,46127,624310,,,2735,570,7379,205,1876,126,
2020-06-23,dcid:geoId/40,295057,11028,284029,,7888,371,265,1288,111,,,
2020-06-23,dcid:geoId/41,210712,7274,203438,,2604,192,184,983,58,,28,
2020-06-23,dcid:geoId/42,679103,82696,596407,,64502,6464,738,,,,151,
2020-06-23,dcid:geoId/72,6685,6685,,,,149,77,,9,,2,
2020-06-23,dcid:geoId/44,222163,16533,205630,,1562,906,105,1958,19,,17,
2020-06-23,dcid:geoId/45,309251,26613,282638,,12317,673,824,2377,,,,
2020-06-23,dcid:geoId/46,73986,6353,67633,,5497,83,85,624,,,,
2020-06-23,dcid:geoId/47,705419,36303,669116,,24068,542,446,2336,,,,
2020-06-23,dcid:geoId/48,1597290,120370,1476920,,70714,2220,4092,,,,,
2020-06-23,dcid:geoId/49,302276,18300,283976,,10057,163,214,1226,77,344,,153
2020-06-23,dcid:geoId/51,568377,58994,509383,291,7725,1645,847,8572,245,,126,
2020-06-23,dcid:geoId/78,2620,76,2544,33,64,6,,,,,,
2020-06-23,dcid:geoId/50,59328,1164,58164,,927,56,19,,,,,
2020-06-23,dcid:geoId/53,477204,28870,448334,,,1276,204,4062,,,37,
2020-06-23,dcid:geoId/55,506340,28175,478165,142,19852,750,240,3268,93,716,,
2020-06-23,dcid:geoId/54,154328,2582,151746,,1790,92,21,,5,,2,
2020-06-23,dcid:geoId/56,28739,1254,27485,,953,20,8,109,,,,
2020-06-22,dcid:geoId/02,90824,761,90063,,491,12,13,,,,1,
2020-06-22,dcid:geoId/01,349110,30454,318656,,15974,841,658,2471,,725,,424
2020-06-22,dcid:geoId/05,256339,16083,240256,,10793,227,237,1164,,,61,186
2020-06-22,dcid:geoId/60,174,0,174,,,0,,,,,,
2020-06-22,dcid:geoId/04,429790,54586,375204,,7581,1342,1992,4255,583,,379,
2020-06-22,dcid:geoId/06,3411686,178054,3233632,,,5515,4804,,1412,,,
2020-06-22,dcid:geoId/08,282772,30539,252233,,4328,1647,256,5327,,,,
2020-06-22,dcid:geoId/09,397552,45782,351770,,7842,4263,140,10099,,,,
2020-06-22,dcid:geoId/11,82004,10058,71946,,1182,535,155,,50,,34,
2020-06-22,dcid:geoId/10,96723,10820,85903,,6459,504,89,,,,,
2020-06-22,dcid:geoId/12,1617487,100217,1517270,1546,,3266,,13407,,,,
2020-06-22,dcid:geoId/13,708026,65928,642098,,,2648,1000,9953,,2155,,
2020-06-22,dcid:geoId/66,10404,224,10180,,173,5,0,,0,,0,
2020-06-22,dcid:geoId/15,68711,814,67897,,651,17,,97,,,,
2020-06-22,dcid:geoId/19,258632,26051,232581,,16240,686,169,,51,,28,
2020-06-22,dcid:geoId/16,72968,4006,68962,,3305,89,,283,,101,,
2020-06-22,dcid:geoId/17,1380003,138224,1241779,,,6875,1628,,419,,250,
2020-06-22,dcid:geoId/18,418916,42633,376283,,31739,2553,756,6819,283,1452,108,
2020-06-22,dcid:geoId/20,155013,12465,142548,,722,259,,1056,,342,,149
2020-06-22,dcid:geoId/21,322032,13839,308193,,3534,526,349,2532,67,987,,
2020-06-22,dcid:geoId/22,618064,50239,567825,,39792,3117,630,,,,77,
2020-06-22,dcid:geoId/25,780063,107210,672853,,,7874,920,11094,180,,107,
2020-06-22,dcid:geoId/24,474725,64603,410122,,4776,3074,602,10572,232,,,
2020-06-22,dcid:geoId/23,81004,2971,78033,,2409,102,27,336,13,,6,
2020-06-22,dcid:geoId/26,918017,67957,850060,,49290,6097,557,,209,,99,
2020-06-22,dcid:geoId/27,513137,33227,479910,,29065,1416,332,3830,156,1180,,
2020-06-22,dcid:geoId/29,317374,18143,299231,,,961,415,,,,66,
2020-06-22,dcid:geoId/69,8169,30,8139,,19,2,,,,,,
2020-06-22,dcid:geoId/28,253249,22287,230962,,17242,978,710,2881,148,,95,
2020-06-22,dcid:geoId/30,71305,740,70565,,548,21,15,90,,,,
2020-06-22,dcid:geoId/37,757345,53605,703740,,36921,1223,870,,,,,
2020-06-22,dcid:geoId/38,97453,3313,94140,,2952,83,31,218,,,,
2020-06-22,dcid:geoId/31,156508,17810,138698,,11776,244,141,1212,,,,
2020-06-22,dcid:geoId/33,108862,5544,103318,,4275,339,55,553,,159,,
2020-06-22,dcid:geoId/34,1267399,169415,1097984,,29522,12895,1033,19401,287,,213,
2020-06-22,dcid:geoId/35,293431,10565,282866,,4684,469,134,1746,,,,
2020-06-22,dcid:geoId/32,244065,13535,230530,,653,492,373,,100,,46,
2020-06-22,dcid:geoId/36,3452099,388488,3063611,,69710,24739,1122,89995,330,,228,
2020-06-22,dcid:geoId/39,659601,45537,614064,,,2704,549,7292,217,1852,124,
2020-06-22,dcid:geoId/40,282658,10733,271925,,7648,369,197,1268,93,,,
2020-06-22,dcid:geoId/41,206628,7083,199545,,2588,192,145,969,48,,27,
2020-06-22,dcid:geoId/42,667848,82186,585662,,64105,6426,745,,,,156,
2020-06-22,dcid:geoId/72,6564,6564,,,,149,70,,10,,3,
2020-06-22,dcid:geoId/44,218668,16459,202209,,1554,903,106,1950,18,,15,
2020-06-22,dcid:geoId/45,303880,25701,278179,,10790,659,731,2294,,,,
2020-06-22,dcid:geoId/46,73329,6326,67003,,5437,81,88,616,,,,
2020-06-22,dcid:geoId/47,700105,35553,664552,,23567,531,401,2301,,,,
2020-06-22,dcid:geoId/48,1549009,114881,1434128,,69190,2192,3711,,,,,
2020-06-22,dcid:geoId/49,299312,17906,281406,,9863,158,198,1192,67,338,,150
2020-06-22,dcid:geoId/51,558123,58465,499658,298,7663,1620,848,8511,240,,132,
2020-06-22,dcid:geoId/78,2578,76,2502,15,64,6,,,,,,
2020-06-22,dcid:geoId/50,58607,1163,57444,,926,56,8,,,,,
2020-06-22,dcid:geoId/53,474938,28680,446258,,,1270,205,4049,,,42,
2020-06-22,dcid:geoId/55,494512,27878,466634,169,19543,745,246,3231,93,711,,
2020-06-22,dcid:geoId/54,151204,2552,148652,,1681,89,21,,5,,2,
2020-06-22,dcid:geoId/56,27392,1230,26162,,931,20,8,105,,,,
2020-06-21,dcid:geoId/02,88051,755,87296,,475,12,15,,,,1,
2020-06-21,dcid:geoId/01,344678,30021,314657,,15974,839,593,2460,,721,,424
2020-06-21,dcid:geoId/05,242234,15142,227092,,10082,224,240,1152,,,59,184
2020-06-21,dcid:geoId/60,174,0,174,,,0,,,,,,
2020-06-21,dcid:geoId/04,419744,52390,367354,,7387,1339,1942,4255,556,,361,
2020-06-21,dcid:geoId/06,3319256,173824,3145432,,,5495,4679,,1366,,,
2020-06-21,dcid:geoId/08,278386,30349,248037,,4309,1647,255,5323,,,,
2020-06-21,dcid:geoId/09,395428,45755,349673,,7842,4260,149,10099,,,,
2020-06-21,dcid:geoId/11,79522,10020,69502,,1172,533,168,,61,,37,
2020-06-21,dcid:geoId/10,94974,10775,84199,,6459,504,79,,,,,
2020-06-21,dcid:geoId/12,1599296,97291,1502005,1625,,3254,,13325,,,,
2020-06-21,dcid:geoId/13,698307,64701,633606,,,2643,944,9837,,2140,,
2020-06-21,dcid:geoId/66,10010,222,9788,,173,5,0,,0,,0,
2020-06-21,dcid:geoId/15,67860,803,67057,,644,17,,96,,,,
2020-06-21,dcid:geoId/19,257152,25963,231189,,16068,685,170,,53,,27,
2020-06-21,dcid:geoId/16,72968,4006,68962,,3305,89,,283,,101,,
2020-06-21,dcid:geoId/17,1361784,137762,1224022,,,6851,1631,,422,,256,
2020-06-21,dcid:geoId/18,411920,42423,369497,,31302,2540,744,6788,226,1450,124,
2020-06-21,dcid:geoId/20,147649,12059,135590,,715,254,,1035,,338,,146
2020-06-21,dcid:geoId/21,317281,13750,303531,,3530,526,354,2522,62,980,,
2020-06-21,dcid:geoId/22,610812,49778,561034,,37017,3105,589,,,,69,
2020-06-21,dcid:geoId/25,773320,107061,666259,,,7858,927,11085,194,,111,
2020-06-21,dcid:geoId/24,469031,64306,404725,,4773,3066,608,10544,230,,,
2020-06-21,dcid:geoId/23,80990,2957,78033,,2391,102,26,336,11,,5,
2020-06-21,dcid:geoId/26,907426,67711,839715,,49290,6090,324,,181,,99,
2020-06-21,dcid:geoId/27,504363,32920,471443,,28663,1412,322,3797,160,1163,,
2020-06-21,dcid:geoId/29,315157,18003,297154,,,956,415,,,,66,
2020-06-21,dcid:geoId/69,8169,30,8139,,19,2,,,,,,
2020-06-21,dcid:geoId/28,238715,20641,218074,,15323,938,689,2767,156,,98,
2020-06-21,dcid:geoId/30,70357,717,69640,,548,20,15,89,,,,
2020-06-21,dcid:geoId/37,745775,52801,692974,,29219,1220,845,,,,,
2020-06-21,dcid:geoId/38,96173,3288,92885,,2910,83,31,216,,,,
2020-06-21,dcid:geoId/31,154241,17707,136534,,11565,244,140,1212,,,,
2020-06-21,dcid:geoId/33,105885,5518,100367,,4244,339,55,551,,159,,
2020-06-21,dcid:geoId/34,1244967,169142,1075825,,29450,12870,1105,19267,278,,219,
2020-06-21,dcid:geoId/35,293431,10565,282866,,4684,469,134,1746,,,,
2020-06-21,dcid:geoId/32,241691,13205,228486,,652,492,370,,87,,49,
2020-06-21,dcid:geoId/36,3395319,387936,3007383,,69506,24725,1142,89995,332,,237,
2020-06-21,dcid:geoId/39,643221,44808,598413,,,2700,496,7242,194,1844,119,
2020-06-21,dcid:geoId/40,282440,10515,271925,,7531,369,197,1243,93,,,
2020-06-21,dcid:geoId/41,202611,6937,195674,,2533,190,154,946,50,,29,
2020-06-21,dcid:geoId/42,657745,81730,576015,,62932,6423,735,,,,157,
2020-06-21,dcid:geoId/72,6525,6525,,,,149,71,,13,,5,
2020-06-21,dcid:geoId/44,214589,16337,198252,,1515,894,123,1922,23,,12,
2020-06-21,dcid:geoId/45,302667,24693,277974,,10790,653,692,2294,,,,
2020-06-21,dcid:geoId/46,73026,6297,66729,,5389,81,89,608,,,,
2020-06-21,dcid:geoId/47,685629,35102,650527,,23067,526,416,2291,,,,
2020-06-21,dcid:geoId/48,1526180,111601,1414579,,68499,2182,3409,,,,,
2020-06-21,dcid:geoId/49,296395,17462,278933,,9659,158,222,1184,67,338,,150
2020-06-21,dcid:geoId/51,545676,57994,487682,297,7646,1611,863,8509,243,,125,
2020-06-21,dcid:geoId/78,2578,76,2502,9,64,6,,,,,,
2020-06-21,dcid:geoId/50,57845,1159,56686,,922,56,11,,,,,
2020-06-21,dcid:geoId/53,466099,28255,437844,,,1265,267,4030,,,54,
2020-06-21,dcid:geoId/55,487949,27615,460334,153,19310,744,242,3220,94,710,,
2020-06-21,dcid:geoId/54,150589,2543,148046,,1676,89,23,,3,,2,
2020-06-21,dcid:geoId/56,27359,1197,26162,,909,20,8,100,,,,
2020-06-20,dcid:geoId/02,86918,743,86175,,464,12,16,,,,1,
2020-06-20,dcid:geoId/01,339523,29549,309974,,15974,838,628,2443,,717,,418
2020-06-20,dcid:geoId/05,242234,15142,227092,,10082,224,224,1100,,,53,175
2020-06-20,dcid:geoId/60,174,0,174,,,0,,,,,,
2020-06-20,dcid:geoId/04,405280,49798,355482,,7196,1338,1938,4252,546,,368,
2020-06-20,dcid:geoId/06,3234412,169309,3065103,,,5424,4582,,1332,,,
2020-06-20,dcid:geoId/08,273069,30187,242882,,4296,1643,250,5318,,,,
2020-06-20,dcid:geoId/09,391655,45715,345940,,7842,4251,150,10099,,,,
2020-06-20,dcid:geoId/11,77953,9984,67969,,1166,531,177,,58,,40,
2020-06-20,dcid:geoId/10,92416,10681,81735,,6395,504,75,,,,,
2020-06-20,dcid:geoId/12,1561272,93797,1467475,1630,,3237,,13227,,,,
2020-06-20,dcid:geoId/13,694384,63809,630575,,,2642,944,9837,,2140,,
2020-06-20,dcid:geoId/66,10010,222,9788,,173,5,0,,0,,0,
2020-06-20,dcid:geoId/15,66734,789,65945,,642,17,,96,,,,
2020-06-20,dcid:geoId/19,250207,25496,224711,,15963,681,182,,58,,30,
2020-06-20,dcid:geoId/16,71196,3871,67325,,3183,89,,279,,101,,
2020-06-20,dcid:geoId/17,1337968,137104,1200864,,,6829,1696,,454,,274,
2020-06-20,dcid:geoId/18,401802,42061,359741,,31110,2536,768,6755,231,1444,113,
2020-06-20,dcid:geoId/20,147649,12059,135590,,715,254,,1035,,338,,146
2020-06-20,dcid:geoId/21,317161,13630,303531,,3530,524,354,2522,62,980,,
2020-06-20,dcid:geoId/22,604816,49385,555431,,37017,3104,574,,,,73,
2020-06-20,dcid:geoId/25,764937,106936,658001,,,7828,964,11076,200,,118,
2020-06-20,dcid:geoId/24,462280,63956,398324,,4745,3052,644,10497,238,,,
2020-06-20,dcid:geoId/23,79576,2938,76638,,2380,102,29,333,13,,5,
2020-06-20,dcid:geoId/26,894634,67545,827089,,49290,6087,557,,209,,99,
2020-06-20,dcid:geoId/27,492043,32467,459576,,28205,1404,324,3767,161,1155,,
2020-06-20,dcid:geoId/29,311115,17590,293525,,,955,415,,,,66,
2020-06-20,dcid:geoId/69,8169,30,8139,,19,2,,,,,,
2020-06-20,dcid:geoId/28,238715,20641,218074,,15323,938,465,2767,159,,108,
2020-06-20,dcid:geoId/30,69530,698,68832,,548,20,10,85,,,,
2020-06-20,dcid:geoId/37,731341,51389,679952,,29219,1212,883,,,,,
2020-06-20,dcid:geoId/38,94231,3251,90980,,2882,82,28,213,,,,
2020-06-20,dcid:geoId/31,151854,17591,134263,,11312,244,141,1200,,,,
2020-06-20,dcid:geoId/33,105567,5486,100081,,4209,337,61,549,,159,,
2020-06-20,dcid:geoId/34,1218873,168834,1050039,,29318,12857,1125,19267,286,,238,
2020-06-20,dcid:geoId/35,284602,10260,274342,,4512,464,147,1735,,,,
2020-06-20,dcid:geoId/32,238963,12931,226032,,652,491,370,,87,,49,
2020-06-20,dcid:geoId/36,3327793,387272,2940521,,69506,24710,1220,89995,335,,237,
2020-06-20,dcid:geoId/39,629965,44262,585703,,,2697,482,7201,186,1833,118,
2020-06-20,dcid:geoId/40,281962,10037,271925,,7414,368,197,1229,93,,,
2020-06-20,dcid:geoId/41,194095,6750,187345,,2533,189,154,946,50,,29,
