year,territory,count_person_rural,percentage_person_rural,poverty_line_rural,count_person_urban,percentage_person_urban,poverty_line_urban,count_person_combined,percentage_person_combined
2005-03,dcid:wikidataId/Q1499,2310000.0,35.1,486.24,660000.0,26.2,602.39,2970000.0,32.7
2005-03,dcid:wikidataId/Q1356,22750000.0,38.2,445.38,6080000.0,24.4,572.51,28830000.0,34.2
2005-03,dcid:wikidataId/Q40888,10000.0,4.1,,,0.8,,10000.0,3.0
2005-03,dcid:wikidataId/Q43433,20000.0,34.7,,90000.0,10.1,,110000.0,11.6
2005-03,dcid:wikidataId/Q46107,110000.0,63.6,,10000.0,17.8,,130000.0,49.3
2005-03,dcid:wikidataId/Q66710,,2.6,,10000.0,14.4,,20000.0,8.8
2005-03,dcid:wikidataId/Q1353,110000.0,15.6,541.39,1830000.0,12.9,642.47,1930000.0,13.0
2005-03,dcid:wikidataId/Q26927,,0.4,,,10.5,,,6.4
2005-03,dcid:wikidataId/Q639421,80000.0,22.9,385.45,70000.0,9.9,506.17,150000.0,14.2
2005-03,dcid:country/IND,325810000.0,42.0,446.68,81410000.0,25.5,578.8,407220000.0,37.2
2010-03,dcid:wikidataId/Q1159,12790000.0,22.8,693.8,4870000.0,17.7,926.4,17660000.0,21.1
2010-03,dcid:wikidataId/Q1162,270000.0,26.2,773.7,80000.0,24.9,925.2,350000.0,25.9
2010-03,dcid:wikidataId/Q1164,10530000.0,39.9,691.7,1120000.0,26.1,871.0,11640000.0,37.9
2010-03,dcid:wikidataId/Q1165,49870000.0,55.3,655.6,4480000.0,39.4,775.3,54350000.0,53.5
2010-03,dcid:wikidataId/Q1168,10830000.0,56.1,617.3,1360000.0,23.8,806.7,12190000.0,48.7
2010-03,dcid:wikidataId/Q1171,60000.0,11.5,931.0,60000.0,6.9,1025.4,130000.0,8.7
2010-03,dcid:wikidataId/Q1061,9160000.0,26.7,725.9,4460000.0,17.9,951.4,13620000.0,23.0
2010-03,dcid:wikidataId/Q1174,3040000.0,18.6,791.6,1960000.0,23.0,975.4,5000000.0,20.1
2010-03,dcid:wikidataId/Q1177,560000.0,9.1,708.0,90000.0,12.6,888.3,640000.0,9.5
2010-03,dcid:wikidataId/Q66278313,730000.0,8.1,722.9,420000.0,12.8,845.4,1150000.0,9.4
2010-03,dcid:wikidataId/Q1184,10220000.0,41.6,616.3,2400000.0,31.1,831.2,12620000.0,39.1
2010-03,dcid:wikidataId/Q1185,9740000.0,26.1,629.4,4490000.0,19.6,908.0,14230000.0,23.6
2010-03,dcid:wikidataId/Q1186,2160000.0,12.0,775.3,1800000.0,12.1,830.7,3960000.0,12.0
2010-03,dcid:wikidataId/Q1188,21690000.0,42.0,631.9,4490000.0,22.9,771.7,26180000.0,36.7
2010-03,dcid:wikidataId/Q1191,17980000.0,29.5,743.7,9090000.0,18.3,961.1,27080000.0,24.5
2010-03,dcid:wikidataId/Q1193,880000.0,47.4,871.0,370000.0,46.4,955.0,1250000.0,47.1
2010-03,dcid:wikidataId/Q1195,350000.0,15.3,686.9,140000.0,24.1,989.8,490000.0,17.1
2010-03,dcid:wikidataId/Q1502,160000.0,31.1,850.0,60000.0,11.5,939.3,230000.0,21.1
2010-03,dcid:wikidataId/Q1599,280000.0,19.3,1016.8,140000.0,25.0,1147.6,410000.0,20.9
2010-03,dcid:wikidataId/Q22048,13550000.0,39.2,567.1,1770000.0,25.9,736.0,15320000.0,37.0
2010-03,dcid:wikidataId/Q22424,2510000.0,14.6,830.0,1840000.0,18.1,960.8,4350000.0,15.9
2010-03,dcid:wikidataId/Q1437,13380000.0,26.4,755.0,3320000.0,19.9,846.0,16700000.0,24.8
2010-03,dcid:wikidataId/Q1505,70000.0,15.5,728.9,10000.0,5.0,1035.2,80000.0,13.1
2010-03,dcid:wikidataId/Q1445,7830000.0,21.2,639.0,4350000.0,12.8,800.8,12180000.0,17.1
2010-03,dcid:wikidataId/Q1363,540000.0,19.8,663.4,90000.0,10.0,782.7,630000.0,17.4
2010-03,dcid:wikidataId/Q1498,60060000.0,39.4,663.7,13730000.0,31.7,799.9,73790000.0,37.7
2010-03,dcid:wikidataId/Q1499,1030000.0,14.9,719.5,750000.0,25.2,898.6,1790000.0,18.0
2010-03,dcid:wikidataId/Q1356,17780000.0,28.8,643.2,6250000.0,22.0,830.6,24030000.0,26.7
2010-03,dcid:wikidataId/Q40888,,0.4,,,0.3,,,0.4
2010-03,dcid:wikidataId/Q43433,,10.3,,90000.0,9.2,,100000.0,9.2
2010-03,dcid:wikidataId/Q46107,100000.0,55.9,,30000.0,17.7,,130000.0,39.1
2010-03,dcid:wikidataId/Q66710,20000.0,34.2,,50000.0,33.0,,80000.0,33.3
2010-03,dcid:wikidataId/Q1353,30000.0,7.7,747.8,2290000.0,14.4,1040.3,2330000.0,14.2
2010-03,dcid:wikidataId/Q26927,,22.2,,,1.7,,,6.8
2010-03,dcid:wikidataId/Q639421,,0.2,641.0,10000.0,1.6,777.7,10000.0,1.2
2010-03,dcid:country/IND,278210000.0,33.8,672.8,76470000.0,20.9,859.6,354680000.0,29.8
2012-03,dcid:wikidataId/Q1159,6180000.0,10.96,860.0,1698000.0,5.81,1009.0,7878000.0,9.2
2012-03,dcid:wikidataId/Q1162,425000.0,38.93,930.0,66000.0,20.33,1060.0,491000.0,34.67
2012-03,dcid:wikidataId/Q1164,9206000.0,33.89,828.0,921000.0,20.49,1008.0,10127000.0,31.98
2012-03,dcid:wikidataId/Q1165,32040000.0,34.06,778.0,3775000.0,31.23,923.0,35815000.0,33.74
2012-03,dcid:wikidataId/Q1168,8890000.0,44.61,738.0,1522000.0,24.75,849.0,10411000.0,39.93
2012-03,dcid:wikidataId/Q1171,37000.0,6.81,1090.0,38000.0,4.09,1134.0,75000.0,5.09
2012-03,dcid:wikidataId/Q1061,7535000.0,21.54,932.0,2688000.0,10.14,1152.0,10223000.0,16.63
2012-03,dcid:wikidataId/Q1174,1942000.0,11.64,1015.0,941000.0,10.28,1169.0,2883000.0,11.16
2012-03,dcid:wikidataId/Q1177,529000.0,8.48,913.0,30000.0,4.33,1064.0,559000.0,8.06
2012-03,dcid:wikidataId/Q66278313,1073000.0,11.54,891.0,253000.0,7.2,988.0,1327000.0,10.35
2012-03,dcid:wikidataId/Q1184,10409000.0,40.84,748.0,2024000.0,24.83,974.0,12433000.0,36.96
2012-03,dcid:wikidataId/Q1185,9280000.0,24.53,902.0,3696000.0,15.25,1089.0,12976000.0,20.91
2012-03,dcid:wikidataId/Q1186,1548000.0,9.14,1018.0,846000.0,4.97,987.0,2395000.0,7.05
2012-03,dcid:wikidataId/Q1188,19095000.0,35.74,771.0,4310000.0,21.0,897.0,23406000.0,31.65
2012-03,dcid:wikidataId/Q1191,15056000.0,24.22,967.0,4736000.0,9.12,1126.0,19792000.0,17.35
2012-03,dcid:wikidataId/Q1193,745000.0,38.8,1118.0,278000.0,32.59,1170.0,1022000.0,36.89
2012-03,dcid:wikidataId/Q1195,304000.0,12.53,888.0,57000.0,9.26,1154.0,361000.0,11.87
2012-03,dcid:wikidataId/Q1502,191000.0,35.43,1066.0,37000.0,6.36,1155.0,227000.0,20.4
2012-03,dcid:wikidataId/Q1599,276000.0,19.93,1270.0,100000.0,16.48,1302.0,376000.0,18.88
2012-03,dcid:wikidataId/Q22048,12614000.0,35.69,695.0,1239000.0,17.29,861.0,13853000.0,32.59
2012-03,dcid:wikidataId/Q22424,1335000.0,7.66,1054.0,982000.0,9.24,1155.0,2318000.0,8.26
2012-03,dcid:wikidataId/Q1437,8419000.0,16.05,905.0,1873000.0,10.69,1002.0,10292000.0,14.71
2012-03,dcid:wikidataId/Q1505,45000.0,9.85,930.0,6000.0,3.66,1226.0,51000.0,8.19
2012-03,dcid:wikidataId/Q1445,5923000.0,15.83,880.0,2340000.0,6.54,937.0,8263000.0,11.28
2012-03,dcid:wikidataId/Q1363,449000.0,16.53,798.0,75000.0,7.42,920.0,524000.0,14.05
2012-03,dcid:wikidataId/Q1498,47935000.0,30.4,768.0,11884000.0,26.06,941.0,59819000.0,29.43
2012-03,dcid:wikidataId/Q1499,825000.0,11.62,880.0,335000.0,10.48,1082.0,1160000.0,11.26
2012-03,dcid:wikidataId/Q1356,14114000.0,22.52,783.0,4383000.0,14.66,981.0,18498000.0,19.98
2012-03,dcid:wikidataId/Q40888,4000.0,1.57,,,,,4000.0,1.0
2012-03,dcid:wikidataId/Q43433,,1.64,,234000.0,22.31,,235000.0,21.81
2012-03,dcid:wikidataId/Q46107,115000.0,62.59,,28000.0,15.38,,143000.0,39.31
2012-03,dcid:wikidataId/Q66710,0.0,0.0,,26000.0,12.62,,26000.0,9.86
2012-03,dcid:wikidataId/Q1353,50000.0,12.92,1145.0,1646000.0,9.84,1134.0,1696000.0,9.91
2012-03,dcid:wikidataId/Q26927,0.0,0.0,,2000.0,3.44,,2000.0,2.77
2012-03,dcid:wikidataId/Q639421,69000.0,17.06,1301.0,55000.0,6.3,1309.0,124000.0,9.69
2012-03,dcid:country/IND,216658000.0,25.7,816.0,53125000.0,13.7,1000.0,269783000.0,21.92
