Count_ChildDeliveryEvent,Count_ChildDeliveryEvent_AtHome,Count_ChildDeliveryEvent_AtHome_WithStandbyAssist,Count_ChildDeliveryEvent_InAnInstitution,Count_ChildDeliveryEvent_InPublicInstitution,Count_DeliveryEvent_Safe_AsFractionOf_Count_DeliveryEvent,Count_PregnancyEvent,Count_PregnantWomen_RegisteredForAntenatalCare,Count_PregnantWomen_RegisteredForAntenatalCareWithinFirstTrimester,Date,State,isoCode
11268,651,0,10617,10617,98.9,30000,24151,8582,2011-03,Arunachal Pradesh,IN-AR
535752,119856,0,415896,391151,80.4,800000,772510,357440,2011-03,Assam,IN-AS
1449078,208491,0,1240587,1232668,92,3090000,2270420,1194248,2011-03,Bihar,IN-BR
22509,2477,0,20032,20032,89.3,25000,34998,11050,2011-03,Chandigarh,IN-CH
614378,278032,0,336346,279581,75.1,693000,651442,343288,2011-03,Chhattisgarh,IN-CT
6216,2835,0,3381,3381,68.5,10000,11532,2047,2011-03,Dadra & Nagar Haveli,IN-DN
2981,364,0,2617,1168,99.1,6000,4537,1723,2011-03,Daman & Diu,IN-DD
176575,8358,0,168217,142700,96,369000,768916,193234,2011-03,Delhi,IN-DL
20208,101,0,20107,10250,99.6,26000,30985,16595,2011-03,Goa,IN-GA
1190895,97387,0,1093508,320210,94.2,1460000,1380710,912458,2011-03,Gujarat,IN-GJ
498084,98008,0,400076,224033,89.3,639000,608720,285429,2011-03,Haryana,IN-HR
103027,37655,0,65372,52956,68.5,132000,156424,65068,2011-03,Himachal Pradesh,IN-HP
184535,43257,0,141278,138566,85.6,241000,449864,175846,2011-03,Jammu & Kashmir,IN-JK
587334,242198,0,345136,289268,70.3,888000,762847,201620,2011-03,Jharkhand,IN-JH
768788,48430,0,720358,651902,98,1289000,1606448,944747,2011-03,Karnataka,IN-KA
484142,1163,0,482979,135713,99.8,553000,546531,398297,2011-03,Kerala,IN-KL
237,63,0,174,174,85.2,1000,1091,599,2011-03,Lakshadweep,IN-LD
1604417,258559,0,1345858,1215859,88.8,2209000,2036019,996058,2011-03,Madhya Pradesh,IN-MP
1833574,158795,0,1674779,796263,94.8,2207000,2174182,1293711,2011-03,Maharashtra,IN-MH
33830,8276,0,25554,18845,90.3,43000,98692,47210,2011-03,Manipur,IN-MN
70483,38919,0,31564,24042,49.9,73000,110804,29947,2011-03,Meghalaya,IN-ML
22302,4151,0,18151,15420,89.6,20000,29126,13310,2011-03,Mizoram,IN-MZ
17142,5689,0,11453,11453,91.3,43000,34544,9177,2011-03,Nagaland,IN-NL
668232,119220,0,549012,521558,86.3,956000,854464,306355,2011-03,Odisha,IN-OR
43089,31,0,43058,34937,100,24000,49555,9870,2011-03,Puducherry,IN-PY
398751,125513,0,273238,115865,80.9,525000,511866,305461,2011-03,Punjab,IN-PB
1371119,158065,0,1213054,942409,93.7,2039000,1871172,856515,2011-03,Rajasthan,IN-RJ
8131,1483,0,6648,5410,87.7,12000,9925,5923,2011-03,Sikkim,IN-SK
1081965,2008,0,1079957,784163,99.9,1184000,1212758,956002,2011-03,Tamil Nadu,IN-TN
47766,7951,0,39815,38035,84,61000,67891,35967,2011-03,Tripura,IN-TR
4269945,1775451,0,2494494,2438220,84.2,6381000,5406172,3143576,2011-03,Uttar Pradesh,IN-UP
139183,53478,0,85705,76624,81.9,219000,203131,109829,2011-03,Uttarakhand,IN-UT
1426597,454811,0,971786,792233,68.6,1716000,1906787,994412,2011-03,West Bengal,IN-WB
20710361,1994053,0,18716308,13374872,92.3,30034000,28945614,18579788,2017-03,All India,IN
4027,102,0,3925,3925,98.6,7000,5672,4355,2017-03,A & N Islands,IN-AN
737741,10772,0,726969,321047,99.3,968000,834340,647624,2017-03,Andhra Pradesh,IN-AP
16843,1200,0,15643,13761,95.6,31000,29975,11201,2017-03,Arunachal Pradesh,IN-AR
623258,83821,0,539437,453717,90.2,822000,725046,603268,2017-03,Assam,IN-AS
2087913,474811,0,1613102,1548891,81.7,3175000,2935167,1814885,2017-03,Bihar,IN-BR
