rowid,S.No.,StateCode,StateName(InEnglish),DistrictCode,DistrictVersion,DistrictName(InEnglish),DistrictName(InLocal),Census2001Code,Census2011Code,wikidataId
81,81,10,BIHAR,193,2,BHOJPUR,भोजपुर,29,231,Q49153
82,82,10,BIHAR,194,1,BUXAR,बक्सर,30,232,Q49161
83,83,10,BIHAR,195,4,DARBHANGA,दरभंगा,13,215,Q49160
84,84,10,BIHAR,196,1,GAYA,गया,35,236,Q49173
85,85,10,BIHAR,197,1,GOPALGANJ,गोपालगंज,15,217,Q49171
86,86,10,BIHAR,198,1,JAMUI,जमुई,37,238,Q49168
87,87,10,BIHAR,199,1,JEHANABAD,जहानाबाद,33,239,Q49176
88,88,10,BIHAR,200,1,KAIMUR (BHABUA),कैमूर ( भभुआ ),31,233,Q77367
89,89,10,BIHAR,201,2,KATIHAR,कटिहार,10,212,Q77568
90,90,10,BIHAR,202,1,KHAGARIA,खगड़िया,21,223,Q49175
91,91,10,BIHAR,203,1,KISHANGANJ,किशनगंज,08,210,Q77375
92,92,10,BIHAR,204,1,LAKHISARAI,लखीसराय,25,227,Q77505
93,93,10,BIHAR,205,1,MADHEPURA,मधेपुरा,11,213,Q77746
94,94,10,BIHAR,206,1,MADHUBANI,मधुबनी,05,207,Q77474
95,95,10,BIHAR,207,1,MUNGER,मुंगेर,24,226,Q77452
96,96,10,BIHAR,208,1,MUZAFFARPUR,मुजफ्फरपुर,14,216,Q77731
97,97,10,BIHAR,209,1,NALANDA,नालंदा,27,229,Q77633
98,98,10,BIHAR,210,1,NAWADA,नवादा,36,237,Q100067
99,99,10,BIHAR,211,1,PASHCHIM CHAMPARAN,पश्चिम चम्पारण,01,203,Q100124
100,100,10,BIHAR,212,1,PATNA,पटना,28,230,Q100077
101,101,10,BIHAR,213,1,PURBI CHAMPARAN,पूर्वी चंपारण,02,204,Q49159
102,102,10,BIHAR,214,1,PURNIA,पूर्णिया,09,211,Q100082
103,103,10,BIHAR,215,1,ROHTAS,रोहतास,32,234,Q100085
104,104,10,BIHAR,216,1,SAHARSA,सहरसा,12,214,Q100120
105,105,10,BIHAR,217,1,SAMASTIPUR,समस्तीपुर,19,221,Q100117
106,106,10,BIHAR,218,1,SARAN,सारण,17,219,Q100146
107,107,10,BIHAR,219,1,SHEIKHPURA,शेखपुरा,26,228,Q100093
108,108,10,BIHAR,220,1,SHEOHAR,शिवहर,03,205,Q100095
109,109,10,BIHAR,221,1,SITAMARHI,सीतामढी,04,206,Q100144
110,110,10,BIHAR,222,1,SIWAN,सिवान,16,218,Q100131
111,111,10,BIHAR,223,1,SUPAUL,सुपौल,06,208,Q100139
112,112,10,BIHAR,224,2,VAISHALI,वैशाली,18,220,Q100130
113,113,4,CHANDIGARH,44,1,CHANDIGARH,CHANDIGARH,01,055,Q5071071
114,114,22,CHHATTISGARH,646,1,BALOD,बालोद,,000,Q16056266
115,115,22,CHHATTISGARH,644,1,BALODA BAZAR,बलोदा बाज़ार,,000,Q15663455
116,116,22,CHHATTISGARH,649,1,BALRAMPUR,बलरामपुर,,000,Q16056268
117,117,22,CHHATTISGARH,374,1,BASTAR,बस्तर,15,414,Q100152
118,118,22,CHHATTISGARH,650,1,BEMETARA,बेमेतरा,,000,Q16254159
119,119,22,CHHATTISGARH,636,1,BIJAPUR,बीजापुर,16,417,Q100164
120,120,22,CHHATTISGARH,375,2,BILASPUR,बिलासपुर,07,406,Q100157
121,121,22,CHHATTISGARH,376,1,DANTEWADA,दंतेवाड़ा,16,416,Q100211
122,122,22,CHHATTISGARH,377,1,DHAMTARI,धमतरी,13,412,Q100190
123,123,22,CHHATTISGARH,378,1,DURG,दुर्ग,10,409,Q100182
124,124,22,CHHATTISGARH,645,1,GARIYABAND,गरियाबंद,,645,Q16961365
125,125,22,CHHATTISGARH,734,1,Gaurella Pendra Marwahi,गौरेला पेंड्रा मरवाही,,000,Q96584972
126,126,22,CHHATTISGARH,379,1,JANJGIR-CHAMPA,जांजगीर - चाम्पा,06,405,Q2575633
127,127,22,CHHATTISGARH,380,1,JASHPUR,जशपुर,03,402,Q2577551
128,128,22,CHHATTISGARH,382,1,KABIRDHAM,कबीरधाम,08,407,Q2450255
129,129,22,CHHATTISGARH,381,1,KANKER,कांकेर,14,413,Q2310530
130,130,22,CHHATTISGARH,643,1,KONDAGAON,कोंडागांव,,000,Q12420995
131,131,22,CHHATTISGARH,383,1,KORBA,कोरबा,05,404,Q2299121
132,132,22,CHHATTISGARH,384,1,KOREA,कोरिया,01,400,Q2295896
133,133,22,CHHATTISGARH,385,1,MAHASAMUND,महासमुंद,12,411,Q2450240
134,134,22,CHHATTISGARH,647,1,MUNGELI,मुंगेली,,000,Q13476249
135,135,22,CHHATTISGARH,637,1,NARAYANPUR,नारायणपुर,,415,Q2322000
136,136,22,CHHATTISGARH,386,1,RAIGARH,रायगढ़,04,403,Q2286310
137,137,22,CHHATTISGARH,387,1,RAIPUR,रायपुर,11,410,Q2295914
138,138,22,CHHATTISGARH,388,1,RAJNANDGAON,राजनंदगांव,09,408,Q2341800
139,139,22,CHHATTISGARH,642,1,SUKMA,सुकमा,,000,Q16933590
140,140,22,CHHATTISGARH,648,1,SURAJPUR,सूरजपुर,,000,Q16938031
141,141,22,CHHATTISGARH,389,1,SURGUJA,सरगुजा,02,401,Q1805075
142,142,7,DELHI,77,1,CENTRAL,CENTRAL,06,095,Q107941
143,143,7,DELHI,78,2,EAST,EAST,04,093,Q107960
144,144,7,DELHI,79,1,NEW DELHI,NEW DELHI,05,094,Q987
145,145,7,DELHI,80,1,NORTH,NORTH,02,091,Q693367
146,146,7,DELHI,81,2,NORTH EAST,NORTH EAST,03,092,Q429329
147,147,7,DELHI,82,1,NORTH WEST,NORTH WEST,01,090,Q766125
148,148,7,DELHI,671,1,SHAHDARA,SHAHDARA,,000,Q83486
149,149,7,DELHI,83,2,SOUTH,SOUTH,09,098,Q2061938
150,150,7,DELHI,670,1,South East,SOUTH EAST,,000,Q25553535
151,151,7,DELHI,84,1,SOUTH WEST,SOUTH WEST,08,097,Q2379189
152,152,7,DELHI,85,1,WEST,WEST,07,096,Q549807
153,153,30,GOA,551,1,NORTH GOA,NORTH GOA,01,585,Q108234
154,154,30,GOA,552,1,SOUTH GOA,SOUTH GOA,02,586,Q108244
155,155,24,GUJARAT,438,2,AHMADABAD,AHMADABAD,07,474,Q401686
156,156,24,GUJARAT,439,1,AMRELI,AMRELI,13,480,Q257946
157,157,24,GUJARAT,440,1,ANAND,ANAND,15,482,Q485683
158,158,24,GUJARAT,672,1,ARVALLI,,,000,Q12175285
159,159,24,GUJARAT,441,1,BANAS KANTHA,BANAS KANTHA,02,469,Q806125
160,160,24,GUJARAT,442,1,BHARUCH,BHARUCH,21,488,Q854900
161,161,24,GUJARAT,443,2,BHAVNAGAR,BHAVNAGAR,14,481,Q854963
162,162,24,GUJARAT,676,1,BOTAD,BOTAD,,000,Q14505072
163,163,24,GUJARAT,668,1,CHHOTAUDEPUR,CHHOTAUDEPUR,,000,Q5979243
164,164,24,GUJARAT,444,1,DANG,DANG,23,489,Q1135616
165,165,24,GUJARAT,674,1,DEVBHUMI DWARKA,DEVBHUMI DWARKA,,000,Q14594717
166,166,24,GUJARAT,445,1,DOHAD,DOHAD,18,485,Q186518
167,167,24,GUJARAT,446,1,GANDHINAGAR,GANDHINAGAR,06,473,Q1772860
168,168,24,GUJARAT,675,1,GIR SOMNATH,GIR SOMNATH,,000,Q15244465
169,169,24,GUJARAT,447,2,JAMNAGAR,JAMNAGAR,10,477,Q2982118
170,170,24,GUJARAT,448,2,JUNAGADH,JUNAGADH,12,479,Q1797344
171,171,24,GUJARAT,449,1,KACHCHH,KACHCHH,01,468,Q1063417
172,172,24,GUJARAT,450,2,KHEDA,KHEDA,16,483,Q1755463
173,173,24,GUJARAT,451,1,MAHESANA,MAHESANA,04,471,Q2019694
174,174,24,GUJARAT,669,1,Mahisagar,મહિસાગર,,000,Q5706885
175,175,24,GUJARAT,673,1,MORBI,MORBI,,000,Q5979727
176,176,24,GUJARAT,452,1,NARMADA,NARMADA,20,487,Q1797230
177,177,24,GUJARAT,453,1,NAVSARI,NAVSARI,24,490,Q1797349
178,178,24,GUJARAT,454,2,PANCH MAHALS,PANCH MAHALS,17,484,Q1781463
179,179,24,GUJARAT,455,1,PATAN,PATAN,03,470,Q1815269
180,180,24,GUJARAT,456,1,PORBANDAR,PORBANDAR,11,478,Q1772815
181,181,24,GUJARAT,457,2,RAJKOT,RAJKOT,09,476,Q1815245
182,182,24,GUJARAT,458,2,SABAR KANTHA,SABAR KANTHA,05,472,Q1772856
183,183,24,GUJARAT,459,1,SURAT,SURAT,22,492,Q1797317
184,184,24,GUJARAT,460,2,SURENDRANAGAR,SURENDRANAGAR,08,475,Q237535
185,185,24,GUJARAT,641,1,TAPI,,,493,Q670165
186,186,24,GUJARAT,461,2,VADODARA,VADODARA,19,486,Q578285
187,187,24,GUJARAT,462,1,VALSAD,VALSAD,25,491,Q1946743
188,188,6,HARYANA,58,1,AMBALA,AMBALA,02,070,Q2086226
189,189,6,HARYANA,59,2,BHIWANI,BHIWANI,13,081,Q1852857
190,190,6,HARYANA,701,1,CHARKI DADRI,CHARKI DADRI,,000,Q28172110
191,191,6,HARYANA,60,1,FARIDABAD,FARIDABAD,19,088,Q2086173
192,192,6,HARYANA,61,1,FATEHABAD,FATEHABAD,10,078,Q2301753
193,193,6,HARYANA,62,2,GURUGRAM,GURUGRAM,18,086,Q1815766
194,194,6,HARYANA,63,1,HISAR,HISAR,12,080,Q1815773
195,195,6,HARYANA,64,1,JHAJJAR,JHAJJAR,15,083,Q1948260
196,196,6,HARYANA,65,1,JIND,JIND,09,077,Q268605
197,197,6,HARYANA,66,1,KAITHAL,KAITHAL,05,073,Q614037
198,198,6,HARYANA,67,1,KARNAL,KARNAL,06,074,Q607915
199,199,6,HARYANA,68,1,KURUKSHETRA,KURUKSHETRA,04,072,Q980118
200,200,6,HARYANA,69,1,MAHENDRAGARH,MAHENDRAGARH,16,084,Q684019
201,201,6,HARYANA,604,2,NUH,नूँह,,087,Q2216696
202,202,6,HARYANA,619,1,PALWAL,,,089,Q2724926
203,203,6,HARYANA,70,1,PANCHKULA,PANCHKULA,01,069,Q1898143
204,204,6,HARYANA,71,1,PANIPAT,PANIPAT,07,075,Q2086163
205,205,6,HARYANA,72,1,REWARI,REWARI,17,085,Q2301759
206,206,6,HARYANA,73,1,ROHTAK,ROHTAK,14,082,Q967388
207,207,6,HARYANA,74,1,SIRSA,SIRSA,11,079,Q526101
208,208,6,HARYANA,75,1,SONIPAT,SONIPAT,08,076,Q2241746
209,209,6,HARYANA,76,1,YAMUNANAGAR,YAMUNANAGAR,03,071,Q1873644
210,210,2,HIMACHAL PRADESH,15,3,BILASPUR,BILASPUR,08,030,Q1478939
211,211,2,HIMACHAL PRADESH,16,1,CHAMBA,CHAMBA,01,023,Q1060614
212,212,2,HIMACHAL PRADESH,17,1,HAMIRPUR,HAMIRPUR,06,028,Q2086180
213,213,2,HIMACHAL PRADESH,18,1,KANGRA,KANGRA,02,024,Q727232
214,214,2,HIMACHAL PRADESH,19,1,KINNAUR,KINNAUR,12,034,Q1862950
215,215,2,HIMACHAL PRADESH,20,1,KULLU,KULLU,04,026,Q2980880
216,216,2,HIMACHAL PRADESH,21,1,LAHUL AND SPITI,LAHUL AND SPITI,03,025,Q837595
217,217,2,HIMACHAL PRADESH,22,1,MANDI,MANDI,05,027,Q1892161
218,218,2,HIMACHAL PRADESH,23,1,SHIMLA,SHIMLA,11,033,Q1921404
219,219,2,HIMACHAL PRADESH,24,1,SIRMAUR,SIRMAUR,10,032,Q654331
220,220,2,HIMACHAL PRADESH,25,1,SOLAN,SOLAN,09,031,Q2980937
221,221,2,HIMACHAL PRADESH,26,3,UNA,UNA,07,029,Q2301741
222,222,1,JAMMU AND KASHMIR,1,1,ANANTNAG,ANANTNAG,06,014,Q2982349
223,223,1,JAMMU AND KASHMIR,623,1,BANDIPORA,BANDIPORA,,009,Q2983553
224,224,1,JAMMU AND KASHMIR,3,1,BARAMULLA,BARAMULLA,02,008,Q1912057
225,225,1,JAMMU AND KASHMIR,2,2,Budgam,,04,002,Q2594218
226,226,1,JAMMU AND KASHMIR,4,1,DODA,DODA,09,016,Q2298979
227,227,1,JAMMU AND KASHMIR,626,1,GANDERBAL,GANDERBAL,,011,Q2556028
228,228,1,JAMMU AND KASHMIR,5,1,JAMMU,JAMMU,13,021,Q1947371
229,229,1,JAMMU AND KASHMIR,7,1,KATHUA,KATHUA,14,007,Q2375700
230,230,1,JAMMU AND KASHMIR,620,1,KISHTWAR,,09,018,Q2321899
231,231,1,JAMMU AND KASHMIR,622,1,KULGAM,KULGAM,,015,Q2321867
232,232,1,JAMMU AND KASHMIR,8,1,KUPWARA,KUPWARA,01,001,Q2297306
233,233,1,JAMMU AND KASHMIR,10,1,POONCH,POONCH,11,005,Q2983134
234,234,1,JAMMU AND KASHMIR,11,1,PULWAMA,PULWAMA,05,012,Q2085364
235,235,1,JAMMU AND KASHMIR,12,2,RAJOURI,RAJOURI,12,006,Q544279
236,236,1,JAMMU AND KASHMIR,621,1,RAMBAN,RAMBAN,09,017,Q2321939
237,237,1,JAMMU AND KASHMIR,627,1,REASI,REASI,,020,Q2321956
238,238,1,JAMMU AND KASHMIR,624,1,SAMBA,SAMBA,,022,Q1117086
239,239,1,JAMMU AND KASHMIR,625,1,SHOPIAN,SHOPIAN,,013,Q2073646
240,240,1,JAMMU AND KASHMIR,13,1,SRINAGAR,SRINAGAR,03,010,Q1506029
241,241,1,JAMMU AND KASHMIR,14,1,UDHAMPUR,UDHAMPUR,10,019,Q1947311
242,242,20,JHARKHAND,322,1,BOKARO,बोकारो,13,355,Q2295925
243,243,20,JHARKHAND,323,1,CHATRA,चतरा,03,347,Q1979499
244,244,20,JHARKHAND,324,1,DEOGHAR,देवघर,07,350,Q2030017
245,245,20,JHARKHAND,325,1,DHANBAD,धनबाद,12,354,Q2240791
246,246,20,JHARKHAND,326,1,DUMKA,दुमका,11,362,Q2577657
247,247,20,JHARKHAND,327,1,EAST SINGHBUM,पूर्वी सिंघभूम,18,357,Q2452921
248,248,20,JHARKHAND,328,1,GARHWA,गढ़वा,01,346,Q2302076
249,249,20,JHARKHAND,329,1,GIRIDIH,गिरिडीह,06,349,Q2302065
250,250,20,JHARKHAND,330,1,GODDA,गोड्डा,08,351,Q638980
251,251,20,JHARKHAND,331,1,GUMLA,गुमला,16,366,Q2295865
252,252,20,JHARKHAND,332,1,HAZARIBAGH,हज़ारीबाग,04,360,Q1945416
253,253,20,JHARKHAND,333,1,JAMTARA,जामताड़ा,20,363,Q2980986
254,254,20,JHARKHAND,606,1,KHUNTI,खूंटी,14,365,Q367344
255,255,20,JHARKHAND,334,1,KODERMA,कोडरमा,05,348,Q2085480
256,256,20,JHARKHAND,335,1,LATEHAR,लातेहार,02,359,Q2244762
257,257,20,JHARKHAND,336,1,LOHARDAGA,लोहरदगा,15,356,Q1948301
258,258,20,JHARKHAND,337,1,PAKUR,पाकुर,10,353,Q2295930
259,259,20,JHARKHAND,338,1,PALAMU,पलामू,02,358,Q1797254
260,260,20,JHARKHAND,607,1,RAMGARH,रामगढ़,04,361,Q2663612
261,261,20,JHARKHAND,339,1,RANCHI,रांची,14,364,Q1947380
262,262,20,JHARKHAND,340,1,SAHEBGANJ,साहेबगंज,09,352,Q767878
263,263,20,JHARKHAND,341,1,SARAIKELA KHARSAWAN,सरायकेला खरसावां,17,369,Q2362658
264,264,20,JHARKHAND,342,1,SIMDEGA,सिमडेगा,21,367,Q2597889
265,265,20,JHARKHAND,343,1,WEST SINGHBHUM,पश्चिमी सिंघभूम,17,368,Q1950527
266,266,29,KARNATAKA,524,2,BAGALKOTE,ಬಾಗಲಕೋಟೆ,02,556,Q1910231
267,267,29,KARNATAKA,528,2,BALLARI,ಬಳ್ಳಾರಿ,12,565,Q1791926
268,268,29,KARNATAKA,527,2,BELAGAVI,ಬೆಳಗಾವಿ,01,555,Q815464
269,269,29,KARNATAKA,526,2,BENGALURU RURAL,ಬೆಂಗಳೂರು ಗ್ರಾಮಾಂತರ,21,583,Q806464
270,270,29,KARNATAKA,525,1,BENGALURU URBAN,ಬೆಂಗಳೂರು,20,572,Q806463
271,271,29,KARNATAKA,529,1,BIDAR,ಬೀದರ್‌,05,558,Q1790568
272,272,29,KARNATAKA,531,2,CHAMARAJANAGARA,ಚಾಮರಾಜನಗರ,27,578,Q862912
273,273,29,KARNATAKA,630,2,CHIKKABALLAPURA,ಚಿಕ್ಕಬಳ್ಳಾಪುರ,19,582,Q1072629
274,274,29,KARNATAKA,532,2,CHIKKAMAGALURU,ಚಿಕ್ಕಮಗಳೂರು,17,570,Q743077
275,275,29,KARNATAKA,533,1,CHITRADURGA,ಚಿತ್ರದುರ್ಗ,13,566,Q165264
276,276,29,KARNATAKA,534,2,DAKSHINA KANNADA,ದಕ್ಷಿಣ ಕನ್ನಡ,24,575,Q950571
277,277,29,KARNATAKA,535,1,DAVANGERE,ದಾವಣಗೆರೆ,14,567,Q1863214
278,278,29,KARNATAKA,536,1,DHARWAD,ಧಾರವಾಡ,09,562,Q1790904
279,279,29,KARNATAKA,537,1,GADAG,ಗದಗ,08,561,Q2353931
280,280,29,KARNATAKA,539,1,HASSAN,ಹಾಸನ,23,574,Q956732
281,281,29,KARNATAKA,540,1,HAVERI,ಹಾವೇರಿ,11,564,Q765481
282,282,29,KARNATAKA,538,2,KALABURAGI,ಕಲಬುರಗಿ,04,579,Q2641873
283,283,29,KARNATAKA,541,1,KODAGU,ಕೊಡಗು,25,576,Q1553185
284,284,29,KARNATAKA,542,1,KOLAR,ಕೋಲಾರ,19,581,Q2509866
285,285,29,KARNATAKA,543,1,KOPPAL,ಕೊಪ್ಪಳ,07,560,Q956387
286,286,29,KARNATAKA,544,1,MANDYA,ಮಂಡ್ಯ,22,573,Q2768290
287,287,29,KARNATAKA,545,2,MYSURU,ಮೈಸೂರು,26,577,Q591781
288,288,29,KARNATAKA,546,1,RAICHUR,ರಾಯಚೂರು,06,559,Q1430830
289,289,29,KARNATAKA,631,1,RAMANAGARA,ರಾಮನಗರ,21,584,Q427679
290,290,29,KARNATAKA,547,2,SHIVAMOGGA,ಶಿವಮೊಗ್ಗ,15,568,Q2981389
291,291,29,KARNATAKA,548,2,TUMAKURU,ತುಮಕೂರು,18,571,Q1301635
292,292,29,KARNATAKA,549,1,UDUPI,ಉಡುಪಿ,16,569,Q1483337
293,293,29,KARNATAKA,550,2,UTTARA KANNADA,ಉತ್ತರ ಕನ್ನಡ,10,563,Q579205
294,294,29,KARNATAKA,530,2,VIJAYAPURA,ವಿಜಯಾಪುರ,03,557,Q83108
295,295,29,KARNATAKA,635,1,YADGIR,ಯಾದಗಿರಿ,04,580,Q1786949
296,296,32,KERALA,554,1,ALAPPUZHA,ആലപ്പുഴ,11,598,Q928959
297,297,32,KERALA,555,1,ERNAKULAM,എറണാകുളം,08,595,Q1356097
298,298,32,KERALA,556,1,IDUKKI,ഇടുക്കി,09,596,Q301821
299,299,32,KERALA,557,1,KANNUR,കണ്ണൂര്‍,02,589,Q2980652
300,300,32,KERALA,558,1,KASARAGOD,കാസര്‍കോഡ്,01,588,Q1419703
301,301,32,KERALA,559,1,KOLLAM,കൊല്ലം,13,600,Q1356124
302,302,32,KERALA,560,1,KOTTAYAM,കോട്ടയം,10,597,Q1353354
303,303,32,KERALA,561,1,KOZHIKODE,കോഴിക്കോട്,04,591,Q1142979
304,304,32,KERALA,562,1,MALAPPURAM,മലപ്പുറം,05,592,Q1030918
305,305,32,KERALA,563,1,PALAKKAD,പാലക്കാട്,06,593,Q1535742
306,306,32,KERALA,564,1,PATHANAMTHITTA,പത്തനംതിട്ട,12,599,Q634935
307,307,32,KERALA,565,1,THIRUVANANTHAPURAM,തിരുവനന്തപുരം,14,601,Q162612
308,308,32,KERALA,566,1,THRISSUR,തൃശ്ശൂര്‍,07,594,Q2429655
309,309,32,KERALA,567,1,WAYANAD,വയനാട്,03,590,Q1364427
310,310,37,LADAKH,6,2,KARGIL,KARGIL,08,004,Q1650798
311,311,37,LADAKH,9,2,LEH LADAKH,LEH LADAKH,07,003,Q1921210
312,312,31,LAKSHADWEEP,553,1,LAKSHADWEEP DISTRICT,LAKSHADWEEP DISTRICT,01,587,Q10784153
