observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
dcid:wikidataId/Q376241,2016,1.77916,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q842939,2016,954,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q842939,2016,873,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q842939,2016,103,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q842939,2016,0,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q842939,2016,1930,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q842939,2016,1.5343,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q682691,2016,321,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q682691,2016,214,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q682691,2016,37,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q682691,2016,74,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q682691,2016,646,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q682691,2016,0.51355,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q878284,2016,338,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q878284,2016,502,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q878284,2016,129,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q878284,2016,37,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q878284,2016,1006,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q878284,2016,0.79975,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q682571,2016,1981,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q682571,2016,2375,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q682571,2016,318,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q682571,2016,243,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q682571,2016,4917,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q682571,2016,3.9089,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q657821,2016,51,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q657821,2016,65,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q657821,2016,4,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q657821,2016,0,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q657821,2016,120,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q657821,2016,0.0954,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q748523,2016,656,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q748523,2016,370,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q748523,2016,21,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q748523,2016,108,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q748523,2016,1155,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q748523,2016,0.9182,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q387745,2016,294,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q387745,2016,480,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q387745,2016,17,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q387745,2016,7,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q387745,2016,798,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q387745,2016,0.63439,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q464953,2016,327,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q464953,2016,614,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q464953,2016,21,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q464953,2016,22,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
