observationDate,observationAbout,value,variableMeasured
2010,wikidataId/Q108025,3270,dcid:Count_Person_10To19Years_Female
2011,wikidataId/Q108025,3308,dcid:Count_Person_10To19Years_Female
2012,wikidataId/Q108025,3357,dcid:Count_Person_10To19Years_Female
2013,wikidataId/Q108025,3326,dcid:Count_Person_10To19Years_Female
2014,wikidataId/Q108025,3387,dcid:Count_Person_10To19Years_Female
2015,wikidataId/Q108025,3389,dcid:Count_Person_10To19Years_Female
2016,wikidataId/Q108025,3379,dcid:Count_Person_10To19Years_Female
2017,wikidataId/Q108025,3364,dcid:Count_Person_10To19Years_Female
2018,wikidataId/Q108025,3358,dcid:Count_Person_10To19Years_Female
2019,wikidataId/Q108025,3354,dcid:Count_Person_10To19Years_Female
2020,wikidataId/Q108025,3404,dcid:Count_Person_10To19Years_Female
2021,wikidataId/Q108025,3446,dcid:Count_Person_10To19Years_Female
2022,wikidataId/Q108025,3468,dcid:Count_Person_10To19Years_Female
2023,wikidataId/Q108025,3542,dcid:Count_Person_10To19Years_Female
2024,wikidataId/Q108025,3558,dcid:Count_Person_10To19Years_Female
2025,wikidataId/Q108025,3561,dcid:Count_Person_10To19Years_Female
1986,wikidataId/Q108025,3286,dcid:Count_Person_20To29Years_Female
1987,wikidataId/Q108025,3359,dcid:Count_Person_20To29Years_Female
1988,wikidataId/Q108025,3354,dcid:Count_Person_20To29Years_Female
1989,wikidataId/Q108025,3411,dcid:Count_Person_20To29Years_Female
1990,wikidataId/Q108025,3358,dcid:Count_Person_20To29Years_Female
1991,wikidataId/Q108025,3309,dcid:Count_Person_20To29Years_Female
1992,wikidataId/Q108025,3294,dcid:Count_Person_20To29Years_Female
1993,wikidataId/Q108025,3248,dcid:Count_Person_20To29Years_Female
1994,wikidataId/Q108025,3220,dcid:Count_Person_20To29Years_Female
1995,wikidataId/Q108025,3243,dcid:Count_Person_20To29Years_Female
1996,wikidataId/Q108025,3197,dcid:Count_Person_20To29Years_Female
1997,wikidataId/Q108025,3157,dcid:Count_Person_20To29Years_Female
1998,wikidataId/Q108025,3109,dcid:Count_Person_20To29Years_Female
1999,wikidataId/Q108025,3114,dcid:Count_Person_20To29Years_Female
2000,wikidataId/Q108025,3058,dcid:Count_Person_20To29Years_Female
2001,wikidataId/Q108025,3043,dcid:Count_Person_20To29Years_Female
2002,wikidataId/Q108025,2968,dcid:Count_Person_20To29Years_Female
2003,wikidataId/Q108025,2930,dcid:Count_Person_20To29Years_Female
2004,wikidataId/Q108025,2900,dcid:Count_Person_20To29Years_Female
2005,wikidataId/Q108025,2880,dcid:Count_Person_20To29Years_Female
2006,wikidataId/Q108025,2852,dcid:Count_Person_20To29Years_Female
2007,wikidataId/Q108025,2834,dcid:Count_Person_20To29Years_Female
2008,wikidataId/Q108025,2870,dcid:Count_Person_20To29Years_Female
2009,wikidataId/Q108025,2910,dcid:Count_Person_20To29Years_Female
2010,wikidataId/Q108025,2948,dcid:Count_Person_20To29Years_Female
2011,wikidataId/Q108025,2988,dcid:Count_Person_20To29Years_Female
2012,wikidataId/Q108025,3016,dcid:Count_Person_20To29Years_Female
2013,wikidataId/Q108025,3104,dcid:Count_Person_20To29Years_Female
2014,wikidataId/Q108025,3140,dcid:Count_Person_20To29Years_Female
2015,wikidataId/Q108025,3149,dcid:Count_Person_20To29Years_Female
2016,wikidataId/Q108025,3155,dcid:Count_Person_20To29Years_Female
2017,wikidataId/Q108025,3188,dcid:Count_Person_20To29Years_Female
2018,wikidataId/Q108025,3261,dcid:Count_Person_20To29Years_Female
2019,wikidataId/Q108025,3261,dcid:Count_Person_20To29Years_Female
2020,wikidataId/Q108025,3345,dcid:Count_Person_20To29Years_Female
2021,wikidataId/Q108025,3352,dcid:Count_Person_20To29Years_Female
2022,wikidataId/Q108025,3356,dcid:Count_Person_20To29Years_Female
2023,wikidataId/Q108025,3386,dcid:Count_Person_20To29Years_Female
2024,wikidataId/Q108025,3378,dcid:Count_Person_20To29Years_Female
2025,wikidataId/Q108025,3358,dcid:Count_Person_20To29Years_Female
1986,wikidataId/Q108025,3312,dcid:Count_Person_30To39Years_Female
1987,wikidataId/Q108025,3258,dcid:Count_Person_30To39Years_Female
1988,wikidataId/Q108025,3282,dcid:Count_Person_30To39Years_Female
1989,wikidataId/Q108025,3280,dcid:Count_Person_30To39Years_Female
1990,wikidataId/Q108025,3268,dcid:Count_Person_30To39Years_Female
1991,wikidataId/Q108025,3289,dcid:Count_Person_30To39Years_Female
1992,wikidataId/Q108025,3300,dcid:Count_Person_30To39Years_Female
1993,wikidataId/Q108025,3295,dcid:Count_Person_30To39Years_Female
1994,wikidataId/Q108025,3247,dcid:Count_Person_30To39Years_Female
1995,wikidataId/Q108025,3272,dcid:Count_Person_30To39Years_Female
1996,wikidataId/Q108025,3309,dcid:Count_Person_30To39Years_Female
1997,wikidataId/Q108025,3263,dcid:Count_Person_30To39Years_Female
1998,wikidataId/Q108025,3221,dcid:Count_Person_30To39Years_Female
1999,wikidataId/Q108025,3280,dcid:Count_Person_30To39Years_Female
2000,wikidataId/Q108025,3291,dcid:Count_Person_30To39Years_Female
2001,wikidataId/Q108025,3385,dcid:Count_Person_30To39Years_Female
2002,wikidataId/Q108025,3454,dcid:Count_Person_30To39Years_Female
2003,wikidataId/Q108025,3486,dcid:Count_Person_30To39Years_Female
2004,wikidataId/Q108025,3527,dcid:Count_Person_30To39Years_Female
2005,wikidataId/Q108025,3552,dcid:Count_Person_30To39Years_Female
2006,wikidataId/Q108025,3564,dcid:Count_Person_30To39Years_Female
2007,wikidataId/Q108025,3562,dcid:Count_Person_30To39Years_Female
2008,wikidataId/Q108025,3517,dcid:Count_Person_30To39Years_Female
2009,wikidataId/Q108025,3522,dcid:Count_Person_30To39Years_Female
2010,wikidataId/Q108025,3446,dcid:Count_Person_30To39Years_Female
2011,wikidataId/Q108025,3467,dcid:Count_Person_30To39Years_Female
2012,wikidataId/Q108025,3453,dcid:Count_Person_30To39Years_Female
2013,wikidataId/Q108025,3372,dcid:Count_Person_30To39Years_Female
2014,wikidataId/Q108025,3356,dcid:Count_Person_30To39Years_Female
2015,wikidataId/Q108025,3290,dcid:Count_Person_30To39Years_Female
2016,wikidataId/Q108025,3324,dcid:Count_Person_30To39Years_Female
2017,wikidataId/Q108025,3342,dcid:Count_Person_30To39Years_Female
2018,wikidataId/Q108025,3392,dcid:Count_Person_30To39Years_Female
2019,wikidataId/Q108025,3433,dcid:Count_Person_30To39Years_Female
2020,wikidataId/Q108025,3500,dcid:Count_Person_30To39Years_Female
2021,wikidataId/Q108025,3576,dcid:Count_Person_30To39Years_Female
