observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
dcid:wikidataId/Q182591,1891,18,dcid:Count_Person_Judaism,,
dcid:wikidataId/Q182591,1891,199,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:wikidataId/Q182591,1891,0,dcid:Count_Person_Irreligion,,
dcid:wikidataId/Q182591,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
dcid:wikidataId/Q181862,1891,122047,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q181862,1891,2246,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q181862,1891,106,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q181862,1891,53,dcid:Count_Person_WesleyanMethodist,,
dcid:wikidataId/Q181862,1891,1,dcid:Count_Person_Judaism,,
dcid:wikidataId/Q181862,1891,30,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:wikidataId/Q181862,1891,0,dcid:Count_Person_Irreligion,,
dcid:wikidataId/Q181862,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
dcid:wikidataId/Q162475,1891,396174,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q162475,1891,35407,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q162475,1891,2130,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q162475,1891,3293,dcid:Count_Person_WesleyanMethodist,,
dcid:wikidataId/Q162475,1891,217,dcid:Count_Person_Judaism,,
dcid:wikidataId/Q162475,1891,1211,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:wikidataId/Q162475,1891,0,dcid:Count_Person_Irreligion,,
dcid:wikidataId/Q162475,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
dcid:wikidataId/Q184469,1891,173195,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q184469,1891,5077,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q184469,1891,210,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q184469,1891,399,dcid:Count_Person_WesleyanMethodist,,
dcid:wikidataId/Q184469,1891,13,dcid:Count_Person_Judaism,,
dcid:wikidataId/Q184469,1891,242,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:wikidataId/Q184469,1891,0,dcid:Count_Person_Irreligion,,
dcid:wikidataId/Q184469,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
dcid:wikidataId/Q178283,1891,150789,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q178283,1891,6673,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q178283,1891,426,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q178283,1891,629,dcid:Count_Person_WesleyanMethodist,,
dcid:wikidataId/Q178283,1891,93,dcid:Count_Person_Judaism,,
