district,districtLabel,districtDescription,state,stateLabel,stateDescription,census2011Code
http://www.wikidata.org/entity/Q172363,Kapurthala district,"district of Punjab, India",http://www.wikidata.org/entity/Q22424,Punjab,Indian state,036
http://www.wikidata.org/entity/Q569181,Jharsuguda district,"district of Odisha, India",http://www.wikidata.org/entity/Q22048,Odisha,state of India,371
http://www.wikidata.org/entity/Q100131,Siwan district,"district of Bihar, India",http://www.wikidata.org/entity/Q1165,Bihar,Indian state,218
http://www.wikidata.org/entity/Q584644,Ballia district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,193
http://www.wikidata.org/entity/Q620105,Sheopur district,"district of Madhya Pradesh, India",http://www.wikidata.org/entity/Q1188,Madhya Pradesh,Indian state,418
http://www.wikidata.org/entity/Q100211,Dantewada district,"district of Chhattisgarh, India",http://www.wikidata.org/entity/Q1168,Chhattisgarh,Indian state,416
http://www.wikidata.org/entity/Q742938,Indore district,"district of Madhya Pradesh, India",http://www.wikidata.org/entity/Q1188,Madhya Pradesh,Indian state,439
http://www.wikidata.org/entity/Q172387,Mansa district,"district of Punjab, India",http://www.wikidata.org/entity/Q22424,Punjab,Indian state,047
http://www.wikidata.org/entity/Q338425,North 24 Parganas district,"district in West Bengal, India",http://www.wikidata.org/entity/Q1356,West Bengal,Indian state,337
http://www.wikidata.org/entity/Q100139,Supaul district,"district of Bihar, India",http://www.wikidata.org/entity/Q1165,Bihar,Indian state,208
http://www.wikidata.org/entity/Q915880,Tonk district,"district of Rajasthan, India",http://www.wikidata.org/entity/Q1437,Rajasthan,A state in India,120
http://www.wikidata.org/entity/Q237535,Surendranagar district,"District of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,475
http://www.wikidata.org/entity/Q641904,Balaghat district,"district of Madhya Pradesh, India",http://www.wikidata.org/entity/Q1188,Madhya Pradesh,Indian state,457
http://www.wikidata.org/entity/Q107960,East Delhi district,"district of Delhi, India",http://www.wikidata.org/entity/Q1353,Delhi,Indian metropolis and union territory that includes New Delhi,093
http://www.wikidata.org/entity/Q100152,Bastar district,"district of Chhattisgarh, India",http://www.wikidata.org/entity/Q1168,Chhattisgarh,Indian state,414
http://www.wikidata.org/entity/Q288278,Champawat district,"district of Uttarakhand, India",http://www.wikidata.org/entity/Q1499,Uttarakhand,Indian state,065
http://www.wikidata.org/entity/Q321998,Udalguri district,"district of Assam, India",http://www.wikidata.org/entity/Q1164,Assam,Indian state,326
http://www.wikidata.org/entity/Q950571,Dakshina Kannada district,"district of Karnataka, India",http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,575
http://www.wikidata.org/entity/Q165264,Chitradurga district,"district of Karnataka, India",http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,566
http://www.wikidata.org/entity/Q449690,Alwar district,"district of Rajasthan, India",http://www.wikidata.org/entity/Q1437,Rajasthan,A state in India,104
http://www.wikidata.org/entity/Q172269,Pathankot district,"district in Punjab, India",http://www.wikidata.org/entity/Q22424,Punjab,Indian state,
http://www.wikidata.org/entity/Q544279,Rajouri district,"district of Jammu and Kashmir, India",http://www.wikidata.org/entity/Q66278313,Jammu and Kashmir,union territory administered by India,006
http://www.wikidata.org/entity/Q632093,Jabalpur district,"district of Madhya Pradesh, India",http://www.wikidata.org/entity/Q1188,Madhya Pradesh,Indian state,451
http://www.wikidata.org/entity/Q202710,Shahid Bhagat Singh Nagar District,"district in Punjab, India",http://www.wikidata.org/entity/Q22424,Punjab,Indian state,039
http://www.wikidata.org/entity/Q77633,Nalanda district,"district of Bihar, India",http://www.wikidata.org/entity/Q1165,Bihar,Indian state,229
http://www.wikidata.org/entity/Q77452,Munger district,"district of Bihar, India",http://www.wikidata.org/entity/Q1165,Bihar,Indian state,226
http://www.wikidata.org/entity/Q862912,Chamarajanagar district,"district of Karnataka, India",http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,578
http://www.wikidata.org/entity/Q938190,Bishnupur district,"district of Manipur, India",http://www.wikidata.org/entity/Q1193,Manipur,Indian state,275
http://www.wikidata.org/entity/Q304800,Hoshiarpur District,"district of Punjab, India",http://www.wikidata.org/entity/Q22424,Punjab,Indian state,038
http://www.wikidata.org/entity/Q1785950,Gautam Buddh Nagar district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,141
http://www.wikidata.org/entity/Q1805082,Udham Singh Nagar district,"district of Uttarakhand, India",http://www.wikidata.org/entity/Q1499,Uttarakhand,Indian state,067
http://www.wikidata.org/entity/Q1812533,Auraiya district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,162
http://www.wikidata.org/entity/Q1797372,Chamoli district,"district of Uttarakhand, India",http://www.wikidata.org/entity/Q1499,Uttarakhand,Indian state,057
http://www.wikidata.org/entity/Q1810550,Nuapada district,"district of Odisha, India",http://www.wikidata.org/entity/Q22048,Odisha,state of India,394
http://www.wikidata.org/entity/Q1773429,Etah district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,201
http://www.wikidata.org/entity/Q1797263,Solapur district,district in Maharashtra state of India,http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,526
http://www.wikidata.org/entity/Q1772860,Gandhinagar district,"district of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,473
http://www.wikidata.org/entity/Q1752328,Bulandshahr district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,142
http://www.wikidata.org/entity/Q1797383,Dhule district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,498
http://www.wikidata.org/entity/Q1771768,Ratnagiri district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,528
http://www.wikidata.org/entity/Q1797306,Nainital district,"district of Uttarakhand, India",http://www.wikidata.org/entity/Q1499,Uttarakhand,Indian state,066
http://www.wikidata.org/entity/Q1797378,Bareilly district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,150
http://www.wikidata.org/entity/Q1772815,Porbandar district,"district of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,478
http://www.wikidata.org/entity/Q1773444,Ghaziabad district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,140
http://www.wikidata.org/entity/Q1797245,Bhopal district,"district of Madhya Pradesh, India",http://www.wikidata.org/entity/Q1188,Madhya Pradesh,Indian state,444
http://www.wikidata.org/entity/Q1790904,Dharwad district,"district of Karnataka, India",http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,562
http://www.wikidata.org/entity/Q1786949,Yadgir district,"district of Karnataka, India",http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,580
http://www.wikidata.org/entity/Q1804863,Jalna district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,514
http://www.wikidata.org/entity/Q1773416,Lucknow district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,157
http://www.wikidata.org/entity/Q1791926,Ballari District,"district of Karnataka, India",http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,565
http://www.wikidata.org/entity/Q1805051,South Sikkim district,"district of Sikkim, India",http://www.wikidata.org/entity/Q1505,Sikkim,Indian state,243
http://www.wikidata.org/entity/Q1772856,Sabarkantha district,"district of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,472
http://www.wikidata.org/entity/Q1797363,Bagpat district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,139
http://www.wikidata.org/entity/Q1804858,Washim District,"district in Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,502
http://www.wikidata.org/entity/Q1804852,Yavatmal district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,510
http://www.wikidata.org/entity/Q1790568,Bidar district,"district of Karnataka, India",http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,558
http://www.wikidata.org/entity/Q1772832,East Sikkim district,"district of Sikkim, India",http://www.wikidata.org/entity/Q1505,Sikkim,Indian state,244
http://www.wikidata.org/entity/Q1805075,Surguja district,district of Chhattisgarh,http://www.wikidata.org/entity/Q1168,Chhattisgarh,Indian state,401
http://www.wikidata.org/entity/Q1805066,Almora district,"district of Uttarakhand, India",http://www.wikidata.org/entity/Q1499,Uttarakhand,Indian state,064
http://www.wikidata.org/entity/Q1773422,Mathura district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,145
http://www.wikidata.org/entity/Q1797336,Pune district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,521
http://www.wikidata.org/entity/Q1797230,Narmada district,"district of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,487
http://www.wikidata.org/entity/Q1797312,Kolhapur district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,530
http://www.wikidata.org/entity/Q1797274,Chandrapur district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,509
http://www.wikidata.org/entity/Q1797344,Junagadh district,"district of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,479
http://www.wikidata.org/entity/Q1797349,Navsari district,"district of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,490
http://www.wikidata.org/entity/Q1805059,Rudraprayag district,"district of Uttarakhand, India",http://www.wikidata.org/entity/Q1499,Uttarakhand,Indian state,058
http://www.wikidata.org/entity/Q1773426,Allahabad district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,175
http://www.wikidata.org/entity/Q1804847,Gadchiroli district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,508
http://www.wikidata.org/entity/Q1797291,Jalgaon district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,499
http://www.wikidata.org/entity/Q1797317,Surat district,"district of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,492
http://www.wikidata.org/entity/Q1797326,Saharanpur district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,132
http://www.wikidata.org/entity/Q1771774,Amravati district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,503
http://www.wikidata.org/entity/Q1797367,Nagpur district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,505
http://www.wikidata.org/entity/Q1812548,Bahraich district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,180
http://www.wikidata.org/entity/Q1781463,Panchmahal district,"district of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,484
http://www.wikidata.org/entity/Q1797254,Palamu district,"district of Jharkhand, India",http://www.wikidata.org/entity/Q1184,Jharkhand,Indian state,358
http://www.wikidata.org/entity/Q1772807,Angul district,"district of Odisha, India",http://www.wikidata.org/entity/Q22048,Odisha,state of India,384
http://www.wikidata.org/entity/Q1772822,Hardoi district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,155
http://www.wikidata.org/entity/Q1755463,Kheda district,"district of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,483
http://www.wikidata.org/entity/Q1773437,Uttarkashi district,"district of Uttarakhand, India",http://www.wikidata.org/entity/Q1499,Uttarakhand,Indian state,056
http://www.wikidata.org/entity/Q1764627,Meerut district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,138
http://www.wikidata.org/entity/Q1784149,North Sikkim district,"district of Sikkim, India",http://www.wikidata.org/entity/Q1505,Sikkim,Indian state,241
http://www.wikidata.org/entity/Q1797269,Nashik district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,516
http://www.wikidata.org/entity/Q1755447,Lakhimpur Kheri district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,153
http://www.wikidata.org/entity/Q1812539,Sitapur district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,154
http://www.wikidata.org/entity/Q1797389,Parbhani district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,513
http://www.wikidata.org/entity/Q1812557,Shahjahanpur district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,152
http://www.wikidata.org/entity/Q1345006,Moradabad district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,135
