"REF_DATE","GEO","DGUID","Index","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-07","Alberta","2016A000248","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792903","12.2","12.2","","","","1"
"1981-07","Alberta","2016A000248","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792904","12.3","25.4","","","","1"
"1981-07","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792906","13.2","29.0","","","","1"
"1981-07","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-08","Canada","2016A000011124","Electric power selling price indexes, national total","Index, 2014=100","351","units ","0","v107792869","1.1","31.4","","","","1"
"1981-08","Canada","2016A000011124","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792870","1.2","31.4","","","","1"
"1981-08","Canada","2016A000011124","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792871","1.3","31.4","","","","1"
"1981-08","Atlantic Region","2016A00011","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792873","2.2","40.8","","","","1"
"1981-08","Atlantic Region","2016A00011","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792874","2.3","49.4","","","","1"
"1981-08","Newfoundland and Labrador","2016A000210","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792876","3.2","46.2","","","","1"
"1981-08","Newfoundland and Labrador","2016A000210","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792877","3.3","46.7","","","","1"
"1981-08","Prince Edward Island","2016A000211","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792880","4.3","54.2","","","","1"
"1981-08","Nova Scotia","2016A000212","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792882","5.2","37.1","","","","1"
"1981-08","Nova Scotia","2016A000212","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792883","5.3","48.1","","","","1"
"1981-08","New Brunswick","2016A000213","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792885","6.2","44.9","","","","1"
"1981-08","New Brunswick","2016A000213","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792886","6.3","55.3","","","","1"
"1981-08","Quebec","2016A000224","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792888","7.2","37.0","","","","1"
"1981-08","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","42.5","","","","1"
"1981-08","Ontario","2016A000235","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792891","8.2","30.6","","","","1"
"1981-08","Ontario","2016A000235","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792892","8.3","27.4","","","","1"
