,PubChem ID,ChEMBL ID
714,19150,CHEMBL1200971
715,30699,CHEMBL1599
716,,
717,446156,CHEMBL1477
718,,
719,,
720,5282054,CHEMBL45627
721,168399,
722,2678,CHEMBL1000
723,16129715,
724,,
725,83898,
726,,
727,,
728,,
729,10133,CHEMBL240597
730,2795,CHEMBL1201313
731,2707,CHEMBL455917
732,2708,CHEMBL515
733,298,CHEMBL414400
734,2712,
735,9552079,CHEMBL790
736,,
737,25210,
738,2717,CHEMBL1200714
739,1732,CHEMBL1230222
740,,
741,8612,CHEMBL1179047
742,,
743,2719,CHEMBL76
744,2720,CHEMBL842
745,11289,CHEMBL1200761
746,2722,CHEMBL1200596
747,7697,CHEMBL388751
748,2725,CHEMBL505
749,9571037,CHEMBL1213553
750,2726,CHEMBL71
751,2727,CHEMBL498
752,2729,
753,2732,CHEMBL1055
754,2733,CHEMBL1371
755,6221,
756,,
757,,
758,221493,CHEMBL205596
759,305,CHEMBL920
760,,
761,,
762,56842157,
763,,
764,,
765,,
766,,
767,444033,
768,2749,CHEMBL1413
769,60613,CHEMBL152
770,6435415,CHEMBL766
771,56329,
772,,
773,151170,CHEMBL32854
774,2754,CHEMBL799
775,2756,CHEMBL30
776,156419,CHEMBL1201284
777,6436135,CHEMBL283754
778,,
779,2761,
780,3033621,CHEMBL2104926
781,2762,CHEMBL1208
782,2764,CHEMBL8
783,2769,CHEMBL1729
784,62886,CHEMBL1200641
785,441203,
786,2771,CHEMBL549
787,311,CHEMBL1261
788,20279,CHEMBL1619
789,84029,CHEMBL1741
790,5280980,CHEMBL777
791,,
792,26987,CHEMBL1626
793,2783,CHEMBL49080
794,73115,CHEMBL458875
795,2784,CHEMBL620
796,29029,CHEMBL376185
797,2789,CHEMBL70418
798,32798,CHEMBL1159650
799,5282493,CHEMBL1200975
800,25419,CHEMBL12318
801,119182,CHEMBL1750
802,2794,CHEMBL1369407
803,2796,CHEMBL565
804,1548955,CHEMBL167779
805,2801,CHEMBL415
806,5464321,
807,2802,CHEMBL452
808,2803,CHEMBL134
809,60606,CHEMBL1771
810,2809,CHEMBL1213252
811,2811,CHEMBL1697737
812,2812,CHEMBL104
813,6098,CHEMBL891
814,2818,
815,,
816,,
817,,
818,25151504,CHEMBL2095208
819,16222096,CHEMBL2146883
820,5760,CHEMBL19151
821,5284371,CHEMBL485
822,,
823,6167,CHEMBL107
824,,
825,160051,
826,62816,
827,216258,
828,5311054,CHEMBL499783
829,,
830,,
831,,
832,,
833,,
834,,
835,,
836,,
837,,
838,,
839,,
840,,
841,,
842,,
843,,
844,151171,CHEMBL1755
845,23667301,CHEMBL2106240
846,,
847,,
848,,
849,,
850,,
851,72322,CHEMBL362071
852,,
853,,
854,,
855,,
856,,
857,,
858,,
859,,
860,,
861,,
862,,
863,,
864,,
865,,
866,,
867,,
868,,
869,,
870,,
871,,
872,,
873,,
874,,
875,,
876,,
877,,
878,,
879,,
880,,
881,,
882,5745,CHEMBL1650
883,,
884,16129617,
885,,
886,,
887,,
888,,
889,,
890,,
891,586,CHEMBL283800
892,,
893,,
894,11626560,CHEMBL601719
895,27686,CHEMBL4088679
896,688020,CHEMBL1200709
897,,
898,,
899,,
900,44176380,
901,19003,CHEMBL1200356
902,2893,CHEMBL1480987
903,,
904,6726,CHEMBL648
905,2895,CHEMBL669
906,9049,CHEMBL747
907,2905,CHEMBL1201338
908,2907,CHEMBL88
909,401,
910,6435893,
911,2910,CHEMBL61593
912,2911,CHEMBL1201227
913,2913,CHEMBL516
914,5284537,CHEMBL142130
915,6058,CHEMBL602
916,6253,CHEMBL803
917,,
918,,
919,6445226,CHEMBL539697
920,,
921,5351166,
922,25154714,CHEMBL2023898
923,,
924,,
925,2019,CHEMBL427947
926,11977753,CHEMBL1879463
927,23724878,
928,6918540,CHEMBL313006
929,21943991,
930,,
931,28417,CHEMBL1479
932,71750,CHEMBL114283
933,2952,CHEMBL1741132
934,,
935,56841156,
936,3033538,CHEMBL1201216
937,71353,CHEMBL2110900
938,2955,CHEMBL1043
939,16129629,
940,9939609,CHEMBL204021
941,,
942,444031,CHEMBL1346
943,213039,CHEMBL1323
944,42636391,
945,,
946,56640146,CHEMBL3137312
947,86291595,
948,3062316,CHEMBL1421
949,30323,CHEMBL178
950,16727405,CHEMBL2107359
951,2966,CHEMBL169901
952,2968,CHEMBL1190
953,451668,CHEMBL1201129
954,,
955,,
956,5493381,
957,2972,CHEMBL70927
958,2973,CHEMBL556
959,,
960,44151801,
961,5625,CHEMBL593
962,56948249,CHEMBL2403318
963,5965,CHEMBL1200514
964,5311063,
965,,
966,,
967,,
968,8550,CHEMBL1200515
969,42113,CHEMBL1200733
970,2995,CHEMBL72
971,443932,
972,124087,CHEMBL1172
973,155805,CHEMBL60796
974,,
975,27991,CHEMBL264448
976,40973,CHEMBL1533
977,5311066,CHEMBL1201109
978,5311067,CHEMBL1766
979,13126,CHEMBL1401691
980,125017,CHEMBL1118
981,,
982,73442840,
983,5743,CHEMBL384467
984,16960,CHEMBL1201287
985,3337,CHEMBL87493
986,39912,CHEMBL175
987,667550,CHEMBL75435
988,9578005,CHEMBL1201863
989,68602,CHEMBL77921
990,4158,CHEMBL796
991,71384,CHEMBL1738
992,,
993,5826,CHEMBL612
994,5360696,CHEMBL52440
995,71300601,
996,441275,
997,853,CHEMBL42115
998,40841,
999,,
1000,,
1001,,
1002,2140,CHEMBL1201220
1003,3016,CHEMBL12
1004,,
1005,3019,CHEMBL181
1006,,
1007,3025,CHEMBL1086
1008,,
1009,,
1010,3038,CHEMBL17
1011,3033,CHEMBL139
1012,18381,CHEMBL893
1013,653,
1014,3042,CHEMBL1123
1015,50599,
1016,3049,CHEMBL3188448
1017,,
1018,3052,CHEMBL684
1019,7029,CHEMBL1194666
1020,448537,CHEMBL411
1021,,
1022,71414,CHEMBL1200545
1023,3059,CHEMBL898
1024,443936,CHEMBL1201749
1025,,
1026,,
1027,441207,CHEMBL254219
1028,30322,
1029,,
1030,5284543,CHEMBL1595
1031,10531,CHEMBL1732
1032,6420006,CHEMBL1396675
1033,,
1034,5281010,
1035,18502861,
1036,,
1037,,
1038,39186,CHEMBL23
1039,441281,
1040,3080,CHEMBL1597
1041,,
1042,637568,CHEMBL2107333
1043,679,CHEMBL504
1044,5282415,CHEMBL1200896
1045,,
1046,,
1047,6126,CHEMBL1200880
1048,3100,CHEMBL657
1049,3055,CHEMBL936
1050,13505,CHEMBL1201294
1051,,
1052,,
1053,,
1054,3103,CHEMBL1492
1055,,
1056,3105,CHEMBL1201262
1057,3108,CHEMBL932
1058,522325,CHEMBL487894
1059,,
1060,,
1061,5464388,
1062,3114,CHEMBL517
1063,3117,CHEMBL964
1064,,
1065,,
1066,53519,
1067,91606,
1068,36811,CHEMBL926
1069,148124,CHEMBL92
1070,12620,CHEMBL1200453
1071,8153,CHEMBL1180004
1072,71329,CHEMBL473
1073,60654,
1074,54726191,CHEMBL1229211
1075,,
1076,3151,CHEMBL219916
1077,3152,CHEMBL502
1078,,
1079,681,CHEMBL59
1080,,
1081,,
1082,,
1083,3154,
1084,9886808,
1085,60169,CHEMBL1237123
1086,3156,CHEMBL1754
1087,3157,CHEMBL707
1088,667477,CHEMBL860
1089,31703,CHEMBL53463
1090,5281011,
1091,3162,CHEMBL1004
1092,1329,CHEMBL183
1093,224004,CHEMBL1201048
1094,16078,CHEMBL465
1095,,
1096,3168,CHEMBL1108
1097,68873,CHEMBL1509
1098,,
1099,1712095,CHEMBL551978
1100,,
1101,65679,CHEMBL1213420
1102,443940,
1103,,
1104,,
1105,,
1106,,
1107,,
1108,,
1109,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1118,,
1119,,
1120,,
1121,,
1122,,
1123,,
1124,,
1125,5780,CHEMBL1682
1126,60835,CHEMBL1175
1127,,
1128,152945,
1129,50905713,CHEMBL3039502
1130,6912,CHEMBL1865120
1131,3180,CHEMBL1201217
1132,9051,CHEMBL1200853
1133,3182,CHEMBL1752
1134,,
1135,,
1136,65781,CHEMBL2104585
1137,,
1138,10547,CHEMBL1200367
1139,3198,CHEMBL808
1140,,
1141,,
1142,,
1143,6049,CHEMBL858
1144,10280735,CHEMBL1269025
1145,3202,CHEMBL1104
1146,,
1147,64139,CHEMBL223228
1148,9833525,
1149,,
1150,145996610,
1151,,
1152,,
1153,11250647,CHEMBL1208155
1154,71661251,CHEMBL3039514
1155,91669168,
1156,,
1157,,
1158,,
1159,77993,CHEMBL1510
1160,134587348,CHEMBL4298128
1161,,
1162,23652731,CHEMBL2110588
1163,,
1164,9915926,
1165,5277135,CHEMBL204656
1166,44232548,
1167,,
1168,3219,CHEMBL594
1169,,
1170,11949646,CHEMBL2107830
1171,60877,CHEMBL885
1172,5362032,
1173,89683805,CHEMBL3989908
1174,48033,
1175,,
1176,50922675,CHEMBL3301612
1177,,
1178,10090750,CHEMBL1093458
1179,,
1180,3226,CHEMBL1257
1181,,
1182,16130199,
1183,3229,CHEMBL826
1184,772,
1185,53708,CHEMBL249856
1186,1676,CHEMBL279898
1187,5281081,CHEMBL953
1188,153941,
1189,25141092,CHEMBL1983268
1190,,
1191,,
1192,,
1193,,
1194,,
1195,,
1196,9294,CHEMBL211456
1197,3241,CHEMBL1106
1198,5816,CHEMBL679
1199,,
1200,41867,CHEMBL417
1201,150310,
1202,,
1203,,
1204,60879,
1205,123610,
1206,67462786,CHEMBL3545376
1207,5280793,CHEMBL1536
1208,592735,
1209,443884,CHEMBL119443
1210,,
1211,,
1212,8223,CHEMBL442
1213,17755248,CHEMBL1683544
1214,176870,CHEMBL553
1215,150610,CHEMBL1359
1216,,
1217,23723,CHEMBL453636
1218,12560,CHEMBL532
1219,56841553,
1220,146570,CHEMBL1508
1221,,
1222,59768,CHEMBL768
1223,4594,CHEMBL1503
1224,,
1225,3261,CHEMBL285674
1226,,
1227,,
1228,5757,CHEMBL135
1229,,
1230,18140,CHEMBL290686
1231,,
1232,5756,CHEMBL193482
1233,,
1234,,
1235,5870,CHEMBL1405
1236,5284555,CHEMBL1200980
1237,969472,CHEMBL1522
1238,,
1239,,
1240,3278,CHEMBL456
1241,3279,CHEMBL25539
1242,702,CHEMBL545
1243,5282489,CHEMBL3989529
1244,3281,
1245,,
1246,,
1247,,
1248,,
1249,,
1250,3284,CHEMBL1576
1251,5991,CHEMBL691
1252,,
1253,,
1254,2761171,CHEMBL1441
1255,3290,CHEMBL1206
1256,3291,CHEMBL696
1257,3292,CHEMBL1095
1258,3295,CHEMBL18
1259,,
1260,5359271,CHEMBL1712170
1261,9270,CHEMBL1200624
1262,3305,CHEMBL871
1263,3308,CHEMBL622
1264,36339,CHEMBL23731
1265,40976,CHEMBL430483
1266,36462,CHEMBL44657
1267,123619,CHEMBL416146
1268,193962,CHEMBL308954
1269,3312,
1270,49836058,
1271,6442177,CHEMBL1908360
1272,,
1273,,
1274,60198,CHEMBL1200374
1275,,
1276,,
1277,,
1278,150311,CHEMBL1138
1279,,
1280,9832423,
1281,42601552,CHEMBL1241348
1282,3324,CHEMBL880
1283,3325,CHEMBL902
1284,1727,CHEMBL284348
1285,,
1286,,
1287,,
1288,,
1289,,
1290,,
1291,492405,CHEMBL221722
1292,,
1293,44182395,
1294,3331,CHEMBL1094
1295,3332,CHEMBL413965
1296,3333,CHEMBL1480
1297,5956,
1298,,
1299,3335,CHEMBL277522
1300,14584,CHEMBL7010
1301,3337,CHEMBL87493
1302,3339,CHEMBL672
1303,3341,CHEMBL588
1304,3342,CHEMBL1297
1305,3343,CHEMBL32800
1306,3345,CHEMBL596
1307,,
1308,6918558,CHEMBL1201764
1309,23582412,CHEMBL3137332
1310,3348,CHEMBL914
1311,,
1312,,
1313,,
1314,57363,CHEMBL710
1315,208910,CHEMBL69998
1316,,
1317,5287969,CHEMBL428690
1318,3354,CHEMBL1493
1319,3356,CHEMBL652
1320,,
1321,6918248,CHEMBL231068
1322,21319,CHEMBL222645
1323,3365,CHEMBL106
1324,3366,CHEMBL1463
1325,30751,CHEMBL1096882
1326,3369,CHEMBL13291
1327,31378,CHEMBL1201388
1328,3371,CHEMBL23588
1329,,
1330,3373,CHEMBL407
1331,443980,CHEMBL1200877
1332,941361,CHEMBL30008
1333,82153,CHEMBL1512
1334,3380,CHEMBL13280
1335,68869,CHEMBL1614641
1336,6215,CHEMBL989
1337,9642,CHEMBL1501
1338,16850,CHEMBL1057
1339,,
1340,9878,CHEMBL1200600
1341,,
1342,3385,CHEMBL185
1343,,
1344,3386,CHEMBL41
1345,24848071,
1346,6446,CHEMBL1445
1347,17012,
1348,3372,CHEMBL726
1349,53276,CHEMBL255044
1350,15209,CHEMBL1201012
1351,3393,CHEMBL968
1352,3394,CHEMBL563
