DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,CZ,2016,29.0,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,CZ,2017,29.1,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,CZ,2018,29.2,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,CZ,2019,29.4,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,CZ,2020,29.7,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,CZ,2021,29.9,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,CZ,2022,30.2,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,CZ,2023,30.4,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,CZ,2024,30.4,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,1991,25.9,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,1992,26.1,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,1993,26.4,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,1994,26.6,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,1995,26.7,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,1996,26.9,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,1997,27.0,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,1998,27.2,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,1999,27.5,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2000,27.7,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2001,28.0,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2003,28.4,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2004,28.8,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2005,29.1,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2006,29.1,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2007,29.3,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2008,29.6,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2009,29.8,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2011,30.2,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2013,30.5,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2014,30.7,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2015,30.9,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2016,31.1,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE,2017,31.2,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,1990,25.5,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,1991,25.9,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,1992,26.1,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,1993,26.4,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,1994,26.6,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,1995,26.7,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,1996,26.9,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,1997,27.0,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,1998,27.2,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,1999,27.5,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2000,27.7,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2001,28.0,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2003,28.4,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2004,28.8,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2005,29.1,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2006,29.1,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2007,29.3,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2008,29.6,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2009,29.8,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2011,30.2,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2013,30.5,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2014,30.7,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2015,30.9,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2016,31.1,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DE_TOT,2017,31.2,,
ESTAT:DEMO_NIND(1.0),30/04/26 23:00:00,A,FAGEMAR1,DK,1990,27.8,,
