key,prop,value,p1,v1,,,,,,
TIME_PERIOD:2014-Q1,observationDate,2014-03,observationPeriod,P3M,,,,,,
TIME_PERIOD:2014-Q2,observationDate,2014-06,observationPeriod,P3M,,,,,,
TIME_PERIOD:2014-Q3,observationDate,2014-09,observationPeriod,P3M,,,,,,
TIME_PERIOD:2014-Q4,observationDate,2014-12,observationPeriod,P3M,,,,,,
TIME_PERIOD:2015-Q1,observationDate,2015-03,observationPeriod,P3M,,,,,,
TIME_PERIOD:2015-Q2,observationDate,2015-06,observationPeriod,P3M,,,,,,
TIME_PERIOD:2015-Q3,observationDate,2015-09,observationPeriod,P3M,,,,,,
TIME_PERIOD:2015-Q4,observationDate,2015-12,observationPeriod,P3M,,,,,,
TIME_PERIOD:2016-Q1,observationDate,2016-03,observationPeriod,P3M,,,,,,
TIME_PERIOD:2016-Q2,observationDate,2016-06,observationPeriod,P3M,,,,,,
TIME_PERIOD:2016-Q3,observationDate,2016-09,observationPeriod,P3M,,,,,,
TIME_PERIOD:2016-Q4,observationDate,2016-12,observationPeriod,P3M,,,,,,
TIME_PERIOD:2017-Q1,observationDate,2017-03,observationPeriod,P3M,,,,,,
TIME_PERIOD:2017-Q2,observationDate,2017-06,observationPeriod,P3M,,,,,,
TIME_PERIOD:2017-Q3,observationDate,2017-09,observationPeriod,P3M,,,,,,
TIME_PERIOD:2017-Q4,observationDate,2017-12,observationPeriod,P3M,,,,,,
TIME_PERIOD:2018-Q1,observationDate,2018-03,observationPeriod,P3M,,,,,,
TIME_PERIOD:2018-Q2,observationDate,2018-06,observationPeriod,P3M,,,,,,
TIME_PERIOD:2018-Q3,observationDate,2018-09,observationPeriod,P3M,,,,,,
TIME_PERIOD:2008-Q1,observationDate,2008-03,observationPeriod,P3M,,,,,,
TIME_PERIOD:2008-Q2,observationDate,2008-06,observationPeriod,P3M,,,,,,
TIME_PERIOD:2008-Q3,observationDate,2008-09,observationPeriod,P3M,,,,,,
TIME_PERIOD:2008-Q4,observationDate,2008-12,observationPeriod,P3M,,,,,,
TIME_PERIOD:2009-Q1,observationDate,2009-03,observationPeriod,P3M,,,,,,
TIME_PERIOD:2009-Q2,observationDate,2009-06,observationPeriod,P3M,,,,,,
TIME_PERIOD:2009-Q3,observationDate,2009-09,observationPeriod,P3M,,,,,,
TIME_PERIOD:2009-Q4,observationDate,2009-12,observationPeriod,P3M,,,,,,
TIME_PERIOD:2010-Q1,observationDate,2010-03,observationPeriod,P3M,,,,,,
TIME_PERIOD:2010-Q2,observationDate,2010-06,observationPeriod,P3M,,,,,,
TIME_PERIOD:2010-Q3,observationDate,2010-09,observationPeriod,P3M,,,,,,
TIME_PERIOD:2010-Q4,observationDate,2010-12,observationPeriod,P3M,,,,,,
TIME_PERIOD:2011-Q1,observationDate,2011-03,observationPeriod,P3M,,,,,,
TIME_PERIOD:2011-Q2,observationDate,2011-06,observationPeriod,P3M,,,,,,
TIME_PERIOD:2011-Q3,observationDate,2011-09,observationPeriod,P3M,,,,,,
OBS_VALUE,value,{Number},,,,,,,,
ID_LOCATION:KN.L1,observationAbout,country/ZAF,,,,,,,,
ID_LOCATION:KN.L6,observationAbout,wikidataId/Q134907,,,,,,,,
ID_LOCATION:KN.L7,observationAbout,wikidataId/Q132410,,,,,,,,
ID_LOCATION:KN.L9,observationAbout,wikidataId/Q165956,,,,,,,,
ID_LOCATION:KN.L8,observationAbout,wikidataId/Q132418,,,,,,,,
ID_LOCATION:KN.L10,observationAbout,wikidataId/Q127167,,,,,,,,
ID_LOCATION:KN.L11,#ignore,skip,,,,,,,,
ID_LOCATION:KN.L12,observationAbout,wikidataId/Q1185115,,,,,,,,
ID_LOCATION:KN.L2,observationAbout,wikidataId/Q130840,,,,,,,,
ID_LOCATION:KN.L13,#ignore,skip,,,,,,,,
ID_LOCATION:KN.L14,#ignore,skip,,,,,,,,
ID_LOCATION:KN.L15,observationAbout,wikidataId/Q1856565,,,,,,,,
ID_LOCATION:KN.L3,observationAbout,wikidataId/Q160284,,,,,,,,
ID_LOCATION:KN.L16,#ignore,skip,,,,,,,,
ID_LOCATION:KN.L17,observationAbout,wikidataId/Q37701,,,,,,,,
ID_LOCATION:KN.L5,observationAbout,wikidataId/Q81725,,,,,,,,
ID_LOCATION:KN.L18,#ignore,skip,,,,,,,,
ID_LOCATION:KN.L19,observationAbout,wikidataId/Q311544,,,,,,,,
ID_LOCATION:KN.L4,observationAbout,wikidataId/Q133083,,,,,,,,
ID_LOCATION:KN.L20,#ignore,skip,,,,,,,,
ID_LOCATION:KN.L21,observationAbout,wikidataId/Q326891,,,,,,,,
ID_LOCATION:KN.L22,observationAbout,wikidataId/Q2346838,,,,,,,,
ID_LOCATION:KN.L23,observationAbout,wikidataId/Q1094207,,,,,,,,
