"observationPeriods","ScalingFactors","MinDate","MeasurementMethods","StatVar","Units"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NHTSAOtherJurisdiction","[]"
"[P1D, P1Y, P1M]","[]","2023","[DataCommonsAggregate]","Count_VehicleCrashIncident_OffInterstateBusinessMarker","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_PedestrianRefugeIslandOrTrafficIsland","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_Dark","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NHTSAOtherLocation","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_CollisionCrash_RearToSideCollision","[]"
"[P1D, P1Y, P1M]","[]","2023","[DataCommonsAggregate]","Count_VehicleCrashIncident_ParkwayMarkerOrForestRouteMarker","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NHTSAUnknownLocationType","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NotAWorkZone","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NationalParkService","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_InvolvedInCrash_SchoolBus","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_IndianReservation","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NHTSANotReportedIntersectionType","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_Snow","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NHTSANotReportedLocationType","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NHTSAWeatherNotReported","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_InvolvedInCrash_NotASchoolBus","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NHTSAOtherLightLevel","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NHTSAOtherWeatherCondition","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_TIntersection","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_BlowingSnow","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_Person_InvolvedInCrash_NotMotorVehicleOccupant","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_WorkZone_NHTSAUnknownWorkZone","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_WorkZone_Maintenance","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_LIntersection","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_BlowingSandOrSoilOrDirt","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_LocalStreetMunicipality","[]"
"[P1D, P1Y, P1M]","[]","2023","[DataCommonsAggregate]","Count_VehicleCrashIncident_NHTSANoRouteSigning","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_CollisionCrash_SideswipeOppositeDirectionCollision","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NHTSAUnknownLightLevel","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_CollegeOrUniversityCampus","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_MilitaryJurisdiction","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NHTSAUnknownLocation","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_Person_InvolvedInCrash_MotorVehicleOccupant","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_Roundabout","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_WorkZone_Utility","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_CollisionCrash_AngleCollision","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NHTSAUnknownWeather","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_SleetOrHail","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_RoadSeparator","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_CollisionCrash_RearToRearCollision","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_NotOnNationalHighway","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_CountyRoad","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_ParkingLane","[]"
"[P1D, P1Y, P1M]","[]","2021","[DataCommonsAggregate]","Count_VehicleCrashIncident_FourWayIntersection","[]"
