key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,,
KN.B245,populationType,Person,measuredProperty,count,educationalAttainment,SecondaryEducation,employmentStatus,Employed,measurementDenominator,-employmentStatus,,
KN.B246,populationType,Person,measuredProperty,count,educationalAttainment,SecondaryEducation,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,,
KN.B262,populationType,Person,measuredProperty,count,occupation,Clerk,measurementDenominator,-occupation,,,,
KN.B263,populationType,Person,measuredProperty,count,occupation,SalesAndService,measurementDenominator,-occupation,,,,
KN.B264,populationType,Person,measuredProperty,count,occupation,SkilledManualLabor,measurementDenominator,-occupation,,,,
KN.B265,populationType,Person,measuredProperty,count,occupation,UnskilledManualLabor,measurementDenominator,-occupation,,,,
KN.B266,populationType,Person,measuredProperty,count,occupation,Farmer,measurementDenominator,-occupation,,,,
KN.B319,populationType,Person,measuredProperty,count,maritalStatus,NeverMarried,occupation,Clerk,measurementDenominator,-occupation,,
KN.B320,populationType,Person,measuredProperty,count,maritalStatus,NeverMarried,occupation,SalesAndService,measurementDenominator,-occupation,,
KN.B321,populationType,Person,measuredProperty,count,maritalStatus,NeverMarried,occupation,SkilledManualLabor,measurementDenominator,-occupation,,
KN.B322,populationType,Person,measuredProperty,count,maritalStatus,NeverMarried,occupation,UnskilledManualLabor,measurementDenominator,-occupation,,
KN.B323,populationType,Person,measuredProperty,count,maritalStatus,NeverMarried,occupation,Farmer,measurementDenominator,-occupation,,
KN.B330,populationType,Person,measuredProperty,count,maritalStatus,Married__LivingTogether,occupation,Clerk,measurementDenominator,-occupation,,
KN.B331,populationType,Person,measuredProperty,count,maritalStatus,Married__LivingTogether,occupation,SalesAndService,measurementDenominator,-occupation,,
KN.B332,populationType,Person,measuredProperty,count,maritalStatus,Married__LivingTogether,occupation,SkilledManualLabor,measurementDenominator,-occupation,,
KN.B333,populationType,Person,measuredProperty,count,maritalStatus,Married__LivingTogether,occupation,UnskilledManualLabor,measurementDenominator,-occupation,,
KN.B334,populationType,Person,measuredProperty,count,maritalStatus,Married__LivingTogether,occupation,Farmer,measurementDenominator,-occupation,,
KN.B341,populationType,Person,measuredProperty,count,maritalStatus,DivorcedOrSeparated__Widowed,occupation,Clerk,measurementDenominator,-occupation,,
KN.B342,populationType,Person,measuredProperty,count,maritalStatus,DivorcedOrSeparated__Widowed,occupation,SalesAndService,measurementDenominator,-occupation,,
KN.B343,populationType,Person,measuredProperty,count,maritalStatus,DivorcedOrSeparated__Widowed,occupation,SkilledManualLabor,measurementDenominator,-occupation,,
KN.B344,populationType,Person,measuredProperty,count,maritalStatus,DivorcedOrSeparated__Widowed,occupation,UnskilledManualLabor,measurementDenominator,-occupation,,
KN.B345,populationType,Person,measuredProperty,count,maritalStatus,DivorcedOrSeparated__Widowed,occupation,Farmer,measurementDenominator,-occupation,,
KN.B353,populationType,Person,measuredProperty,count,educationalAttainment,NoEducation,occupation,Clerk,measurementDenominator,-occupation,,
KN.B354,populationType,Person,measuredProperty,count,educationalAttainment,NoEducation,occupation,SalesAndService,measurementDenominator,-occupation,,
KN.B355,populationType,Person,measuredProperty,count,educationalAttainment,NoEducation,occupation,SkilledManualLabor,measurementDenominator,-occupation,,
KN.B356,populationType,Person,measuredProperty,count,educationalAttainment,NoEducation,occupation,UnskilledManualLabor,measurementDenominator,-occupation,,
KN.B357,populationType,Person,measuredProperty,count,educationalAttainment,NoEducation,occupation,Farmer,measurementDenominator,-occupation,,
KN.B364,populationType,Person,measuredProperty,count,educationalAttainment,Primary,occupation,Clerk,measurementDenominator,-occupation,,
KN.B365,populationType,Person,measuredProperty,count,educationalAttainment,Primary,occupation,SalesAndService,measurementDenominator,-occupation,,
KN.B366,populationType,Person,measuredProperty,count,educationalAttainment,Primary,occupation,SkilledManualLabor,measurementDenominator,-occupation,,
KN.B367,populationType,Person,measuredProperty,count,educationalAttainment,Primary,occupation,UnskilledManualLabor,measurementDenominator,-occupation,,
KN.B368,populationType,Person,measuredProperty,count,educationalAttainment,Primary,occupation,Farmer,measurementDenominator,-occupation,,
KN.B375,populationType,Person,measuredProperty,count,educationalAttainment,Secondary,occupation,Clerk,measurementDenominator,-occupation,,
KN.B376,populationType,Person,measuredProperty,count,educationalAttainment,Secondary,occupation,SalesAndService,measurementDenominator,-occupation,,
KN.B377,populationType,Person,measuredProperty,count,educationalAttainment,Secondary,occupation,Skilled manual,measurementDenominator,-occupation,,
KN.B378,populationType,Person,measuredProperty,count,educationalAttainment,Secondary,occupation,UnSkilled manual,measurementDenominator,-occupation,,
KN.B379,populationType,Person,measuredProperty,count,educationalAttainment,Secondary,occupation,Agriculture,measurementDenominator,-occupation,,
KN.B386,populationType,Person,measuredProperty,count,educationalAttainment,HigherSecondaryEducation,occupation,Clerk,measurementDenominator,-occupation,,
KN.B387,populationType,Person,measuredProperty,count,educationalAttainment,HigherSecondaryEducation,occupation,SalesAndService,measurementDenominator,-occupation,,
KN.B388,populationType,Person,measuredProperty,count,educationalAttainment,HigherSecondaryEducation,occupation,Skilled manual,measurementDenominator,-occupation,,
KN.B389,populationType,Person,measuredProperty,count,educationalAttainment,HigherSecondaryEducation,occupation,UnSkilled manual,measurementDenominator,-occupation,,
KN.B390,populationType,Person,measuredProperty,count,educationalAttainment,HigherSecondaryEducation,occupation,Agriculture,measurementDenominator,-occupation,,
KN.B391,populationType,Person,measuredProperty,count,educationalAttainment,HigherSecondaryEducation,occupation,Missing,measurementDenominator,-occupation,,
KN.B575,populationType,BirthEvent,measuredProperty,count,statType,measuredValue,healthEstablishmentType,PublicHealthFacility,measurementDenominator,-healthEstablishmentType,,
KN.B576,populationType,BirthEvent,measuredProperty,count,statType,measuredValue,healthEstablishmentType,PrivateHealthFacility,measurementDenominator,-healthEstablishmentType,,
KN.B855,populationType,Person,measuredProperty,count,vaccineType,BCG,vaccineStatus,VaccineAdministered,measurementDenominator,"-vaccineStatus,-vaccineType",,
KN.B856,populationType,Person,measuredProperty,count,vaccineType,DPT3,vaccineStatus,VaccineAdministered,measurementDenominator,"-vaccineStatus,-vaccineType",,
KN.B857,populationType,Person,measuredProperty,count,vaccineType,DPT3,vaccineStatus,VaccineAdministered,measurementDenominator,"-vaccineStatus,-vaccineType",,
KN.B858,populationType,Person,measuredProperty,count,vaccineType,DPT3,vaccineStatus,VaccineAdministered,measurementDenominator,"-vaccineStatus,-vaccineType",,
KN.B859,populationType,Person,measuredProperty,count,vaccineType,DPT3,vaccineStatus,VaccineAdministered,measurementDenominator,"-vaccineStatus,-vaccineType",,
KN.B860,populationType,Person,measuredProperty,count,vaccineType,Polio,vaccineStatus,VaccineAdministered,measurementDenominator,"-vaccineStatus,-vaccineType",,
KN.B861,populationType,Person,measuredProperty,count,vaccineType,Polio0Vaccine,vaccineStatus,VaccineAdministered,measurementDenominator,"-vaccineStatus,-vaccineType",,
KN.B862,populationType,Person,measuredProperty,count,vaccineType,Polio1Vaccine,vaccineStatus,VaccineAdministered,measurementDenominator,"-vaccineStatus,-vaccineType",,
KN.B863,populationType,Person,measuredProperty,count,vaccineType,Polio2Vaccine,vaccineStatus,VaccineAdministered,measurementDenominator,"-vaccineStatus,-vaccineType",,
KN.B864,populationType,Person,measuredProperty,count,vaccineType,Polio3Vaccine,vaccineStatus,VaccineAdministered,measurementDenominator,"-vaccineStatus,-vaccineType",,
KN.B865,populationType,Person,measuredProperty,count,vaccineType,MeaslesVaccine,vaccineStatus,VaccineAdministered,measurementDenominator,"-vaccineStatus,-vaccineType",,
2011,observationDate,2011,,,,,,,,,,
2014,observationDate,2014,,,,,,,,,,
%,unit,Percent,scalingFactor,100,,,,,,,,
KN.C1,age,[0 1 Years],,,,,,,,,,
KN.C2,age,Years2To4,,,,,,,,,,
KN.C3,age,[0 4 Years],,,,,,,,,,
KN.C4,age,[5 9 Years],,,,,,,,,,
KN.C5,age,[5 11 Years],,,,,,,,,,
KN.C6,age,[5 14 Years],,,,,,,,,,
KN.C7,age,[10 14 Years],,,,,,,,,,
KN.C8,age,[12 14 Years],,,,,,,,,,
KN.C9,age,[15 17 Years],,,,,,,,,,
KN.C10,age,[15 19 Years],,,,,,,,,,
KN.C11,age,[15 24 Years],,,,,,,,,,
KN.C12,mothersAge,[- 20 Years],,,,,,,,,,
KN.C13,age,[20 24 Years],,,,,,,,,,
KN.C14,mothersAge,[20 34 Years],,,,,,,,,,
KN.C15,age,[25 29 Years],,,,,,,,,,
KN.C16,age,[30 34 Years],,,,,,,,,,
KN.C17,age,[35 39 Years],,,,,,,,,,
KN.C18,mothersAge,[35 49 Years],,,,,,,,,,
KN.C19,age,[40 44 Years],,,,,,,,,,
KN.C20,age,[45 49 Years],,,,,,,,,,
KN.C21,age,[50 59 Years],,,,,,,,,,
KN.C22,#ignore,ignore,,,,,,,,,,
KN.C23,age,[0 15 Years],,,,,,,,,,
KN.C24,age,[0 18 Years],,,,,,,,,,
KN.C25,age,[15 49 Years],,,,,,,,,,
KN.C26,age,[15 59 Years],,,,,,,,,,
KN.D1,gender,Male,,,,,,,,,,
KN.D2,gender,Female,,,,,,,,,,
KN.E2,wealthIndex,LowestWealthIndex,,,,,,,,,,
KN.E3,wealthIndex,SecondWealthIndex,,,,,,,,,,
KN.E4,wealthIndex,MiddleWealthIndex,,,,,,,,,,
KN.E5,wealthIndex,FourthWealthIndex,,,,,,,,,,
KN.E6,wealthIndex,HighestWealthIndex,,,,,,,,,,
KN.B544,#ignore,ignore,,,,,,,,,,
KN.B545,#ignore,ignore,,,,,,,,,,
KN.B546,#ignore,ignore,,,,,,,,,,
KN.B547,#ignore,ignore,,,,,,,,,,
KN.B548,#ignore,ignore,,,,,,,,,,
KN.B551,#ignore,ignore,,,,,,,,,,
KN.B552,#ignore,ignore,,,,,,,,,,
KN.B553,#ignore,ignore,,,,,,,,,,
KN.B554,#ignore,ignore,,,,,,,,,,
KN.B555,#ignore,ignore,,,,,,,,,,
KN.B557,#ignore,ignore,,,,,,,,,,
KN.B558,#ignore,ignore,,,,,,,,,,
KN.B559,#ignore,ignore,,,,,,,,,,
KN.B560,#ignore,ignore,,,,,,,,,,
KN.B561,#ignore,ignore,,,,,,,,,,
KN.B563,#ignore,ignore,,,,,,,,,,
KN.B564,#ignore,ignore,,,,,,,,,,
KN.B565,#ignore,ignore,,,,,,,,,,
KN.B567,#ignore,ignore,,,,,,,,,,
KN.B569,#ignore,ignore,,,,,,,,,,
KN.B570,#ignore,ignore,,,,,,,,,,
KN.B571,#ignore,ignore,,,,,,,,,,
KN.B572,#ignore,ignore,,,,,,,,,,
KN.B573,#ignore,ignore,,,,,,,,,,
KN.B15,#ignore,ignore,,,,,,,,,,
KN.B16,#ignore,ignore,,,,,,,,,,
KN.B88,#ignore,ignore,,,,,,,,,,
KN.B89,#ignore,ignore,,,,,,,,,,
KN.B90,#ignore,ignore,,,,,,,,,,
KN.B91,#ignore,ignore,,,,,,,,,,
KN.B92,#ignore,ignore,,,,,,,,,,
KN.B93,#ignore,ignore,,,,,,,,,,
KN.B94,#ignore,ignore,,,,,,,,,,
KN.B95,#ignore,ignore,,,,,,,,,,
KN.B96,#ignore,ignore,,,,,,,,,,
KN.B97,#ignore,ignore,,,,,,,,,,
KN.B98,#ignore,ignore,,,,,,,,,,
KN.B99,#ignore,ignore,,,,,,,,,,
KN.B110,#ignore,ignore,,,,,,,,,,
KN.B111,#ignore,ignore,,,,,,,,,,
KN.B123,#ignore,ignore,,,,,,,,,,
KN.B124,#ignore,ignore,,,,,,,,,,
KN.B151,#ignore,ignore,,,,,,,,,,
KN.B152,#ignore,ignore,,,,,,,,,,
KN.B153,#ignore,ignore,,,,,,,,,,
KN.B154,#ignore,ignore,,,,,,,,,,
KN.B155,#ignore,ignore,,,,,,,,,,
KN.B156,#ignore,ignore,,,,,,,,,,
KN.B157,#ignore,ignore,,,,,,,,,,
KN.B158,#ignore,ignore,,,,,,,,,,
KN.B159,#ignore,ignore,,,,,,,,,,
KN.B160,#ignore,ignore,,,,,,,,,,
KN.B167,#ignore,ignore,,,,,,,,,,
KN.B168,#ignore,ignore,,,,,,,,,,
KN.B176,#ignore,ignore,,,,,,,,,,
KN.B177,#ignore,ignore,,,,,,,,,,
KN.B184,#ignore,ignore,,,,,,,,,,
KN.B185,#ignore,ignore,,,,,,,,,,
KN.B192,#ignore,ignore,,,,,,,,,,
KN.B193,#ignore,ignore,,,,,,,,,,
KN.B200,#ignore,ignore,,,,,,,,,,
KN.B201,#ignore,ignore,,,,,,,,,,
KN.B209,#ignore,ignore,,,,,,,,,,
KN.B210,#ignore,ignore,,,,,,,,,,
KN.B217,#ignore,ignore,,,,,,,,,,
KN.B218,#ignore,ignore,,,,,,,,,,
KN.B225,#ignore,ignore,,,,,,,,,,
KN.B226,#ignore,ignore,,,,,,,,,,
KN.B234,#ignore,ignore,,,,,,,,,,
KN.B235,#ignore,ignore,,,,,,,,,,
KN.B242,#ignore,ignore,,,,,,,,,,
KN.B243,#ignore,ignore,,,,,,,,,,
KN.B250,#ignore,ignore,,,,,,,,,,
KN.B251,#ignore,ignore,,,,,,,,,,
KN.B258,#ignore,ignore,,,,,,,,,,
KN.B259,#ignore,ignore,,,,,,,,,,
KN.B269,#ignore,ignore,,,,,,,,,,
KN.B270,#ignore,ignore,,,,,,,,,,
KN.B281,#ignore,ignore,,,,,,,,,,
KN.B282,#ignore,ignore,,,,,,,,,,
KN.B292,#ignore,ignore,,,,,,,,,,
KN.B293,#ignore,ignore,,,,,,,,,,
KN.B303,#ignore,ignore,,,,,,,,,,
KN.B304,#ignore,ignore,,,,,,,,,,
KN.B314,#ignore,ignore,,,,,,,,,,
KN.B315,#ignore,ignore,,,,,,,,,,
KN.B326,#ignore,ignore,,,,,,,,,,
KN.B327,#ignore,ignore,,,,,,,,,,
KN.B337,#ignore,ignore,,,,,,,,,,
KN.B338,#ignore,ignore,,,,,,,,,,
KN.B348,#ignore,ignore,,,,,,,,,,
KN.B349,#ignore,ignore,,,,,,,,,,
KN.B360,#ignore,ignore,,,,,,,,,,
KN.B361,#ignore,ignore,,,,,,,,,,
KN.B371,#ignore,ignore,,,,,,,,,,
KN.B372,#ignore,ignore,,,,,,,,,,
KN.B382,#ignore,ignore,,,,,,,,,,
KN.B383,#ignore,ignore,,,,,,,,,,
KN.B393,#ignore,ignore,,,,,,,,,,
KN.B394,#ignore,ignore,,,,,,,,,,
KN.B399,#ignore,ignore,,,,,,,,,,
KN.B400,#ignore,ignore,,,,,,,,,,
KN.B408,#ignore,ignore,,,,,,,,,,
KN.B409,#ignore,ignore,,,,,,,,,,
KN.B415,#ignore,ignore,,,,,,,,,,
KN.B416,#ignore,ignore,,,,,,,,,,
KN.B424,#ignore,ignore,,,,,,,,,,
KN.B425,#ignore,ignore,,,,,,,,,,
KN.B430,#ignore,ignore,,,,,,,,,,
KN.B431,#ignore,ignore,,,,,,,,,,
KN.B439,#ignore,ignore,,,,,,,,,,
KN.B440,#ignore,ignore,,,,,,,,,,
KN.B445,#ignore,ignore,,,,,,,,,,
KN.B446,#ignore,ignore,,,,,,,,,,
KN.B454,#ignore,ignore,,,,,,,,,,
KN.B455,#ignore,ignore,,,,,,,,,,
KN.B460,#ignore,ignore,,,,,,,,,,
KN.B461,#ignore,ignore,,,,,,,,,,
KN.B469,#ignore,ignore,,,,,,,,,,
KN.B470,#ignore,ignore,,,,,,,,,,
KN.B473,#ignore,ignore,,,,,,,,,,
KN.B474,#ignore,ignore,,,,,,,,,,
KN.B479,#ignore,ignore,,,,,,,,,,
KN.B480,#ignore,ignore,,,,,,,,,,
KN.B484,#ignore,ignore,,,,,,,,,,
KN.B485,#ignore,ignore,,,,,,,,,,
KN.B490,#ignore,ignore,,,,,,,,,,
KN.B491,#ignore,ignore,,,,,,,,,,
KN.B494,#ignore,ignore,,,,,,,,,,
KN.B495,#ignore,ignore,,,,,,,,,,
KN.B500,#ignore,ignore,,,,,,,,,,
KN.B501,#ignore,ignore,,,,,,,,,,
KN.B504,#ignore,ignore,,,,,,,,,,
KN.B505,#ignore,ignore,,,,,,,,,,
KN.B510,#ignore,ignore,,,,,,,,,,
KN.B511,#ignore,ignore,,,,,,,,,,
KN.B514,#ignore,ignore,,,,,,,,,,
KN.B515,#ignore,ignore,,,,,,,,,,
KN.B520,#ignore,ignore,,,,,,,,,,
KN.B521,#ignore,ignore,,,,,,,,,,
KN.B525,#ignore,ignore,,,,,,,,,,
KN.B530,#ignore,ignore,,,,,,,,,,
KN.B534,#ignore,ignore,,,,,,,,,,
KN.B538,#ignore,ignore,,,,,,,,,,
KN.B542,#ignore,ignore,,,,,,,,,,
KN.B582,#ignore,ignore,,,,,,,,,,
KN.B583,#ignore,ignore,,,,,,,,,,
KN.B593,#ignore,ignore,,,,,,,,,,
KN.B594,#ignore,ignore,,,,,,,,,,
KN.B603,#ignore,ignore,,,,,,,,,,
KN.B604,#ignore,ignore,,,,,,,,,,
KN.B613,#ignore,ignore,,,,,,,,,,
KN.B614,#ignore,ignore,,,,,,,,,,
KN.B623,#ignore,ignore,,,,,,,,,,
KN.B624,#ignore,ignore,,,,,,,,,,
KN.B634,#ignore,ignore,,,,,,,,,,
KN.B635,#ignore,ignore,,,,,,,,,,
KN.B644,#ignore,ignore,,,,,,,,,,
KN.B645,#ignore,ignore,,,,,,,,,,
KN.B654,#ignore,ignore,,,,,,,,,,
KN.B655,#ignore,ignore,,,,,,,,,,
KN.B665,#ignore,ignore,,,,,,,,,,
KN.B666,#ignore,ignore,,,,,,,,,,
KN.B675,#ignore,ignore,,,,,,,,,,
KN.B676,#ignore,ignore,,,,,,,,,,
KN.B685,#ignore,ignore,,,,,,,,,,
KN.B686,#ignore,ignore,,,,,,,,,,
KN.B695,#ignore,ignore,,,,,,,,,,
KN.B696,#ignore,ignore,,,,,,,,,,
KN.B709,#ignore,ignore,,,,,,,,,,
KN.B710,#ignore,ignore,,,,,,,,,,
KN.B724,#ignore,ignore,,,,,,,,,,
KN.B725,#ignore,ignore,,,,,,,,,,
KN.B738,#ignore,ignore,,,,,,,,,,
KN.B739,#ignore,ignore,,,,,,,,,,
KN.B752,#ignore,ignore,,,,,,,,,,
KN.B753,#ignore,ignore,,,,,,,,,,
KN.B766,#ignore,ignore,,,,,,,,,,
KN.B767,#ignore,ignore,,,,,,,,,,
KN.B781,#ignore,ignore,,,,,,,,,,
KN.B782,#ignore,ignore,,,,,,,,,,
KN.B795,#ignore,ignore,,,,,,,,,,
KN.B796,#ignore,ignore,,,,,,,,,,
KN.B810,#ignore,ignore,,,,,,,,,,
KN.B811,#ignore,ignore,,,,,,,,,,
KN.B824,#ignore,ignore,,,,,,,,,,
KN.B825,#ignore,ignore,,,,,,,,,,
KN.B838,#ignore,ignore,,,,,,,,,,
KN.B839,#ignore,ignore,,,,,,,,,,
KN.B852,#ignore,ignore,,,,,,,,,,
KN.B853,#ignore,ignore,,,,,,,,,,
KN.B869,#ignore,ignore,,,,,,,,,,
KN.B870,#ignore,ignore,,,,,,,,,,
KN.B885,#ignore,ignore,,,,,,,,,,
KN.B886,#ignore,ignore,,,,,,,,,,
KN.B900,#ignore,ignore,,,,,,,,,,
KN.B901,#ignore,ignore,,,,,,,,,,
KN.B915,#ignore,ignore,,,,,,,,,,
KN.B916,#ignore,ignore,,,,,,,,,,
KN.B930,#ignore,ignore,,,,,,,,,,
KN.B931,#ignore,ignore,,,,,,,,,,
KN.B946,#ignore,ignore,,,,,,,,,,
KN.B947,#ignore,ignore,,,,,,,,,,
KN.B961,#ignore,ignore,,,,,,,,,,
KN.B962,#ignore,ignore,,,,,,,,,,
KN.B976,#ignore,ignore,,,,,,,,,,
KN.B977,#ignore,ignore,,,,,,,,,,
KN.B991,#ignore,ignore,,,,,,,,,,
KN.B992,#ignore,ignore,,,,,,,,,,
KN.B995,#ignore,ignore,,,,,,,,,,
KN.B996,#ignore,ignore,,,,,,,,,,
KN.B523,#ignore,ignore,,,,,,,,,,
KN.B528,#ignore,ignore,,,,,,,,,,
KN.B532,#ignore,ignore,,,,,,,,,,
KN.B536,#ignore,ignore,,,,,,,,,,
KN.B540,#ignore,ignore,,,,,,,,,,
KN.B2,#ignore,ignore,,,,,,,,,,
KN.B3,#ignore,ignore,,,,,,,,,,
KN.B4,#ignore,ignore,,,,,,,,,,
KN.B5,#ignore,ignore,,,,,,,,,,
KN.B6,#ignore,ignore,,,,,,,,,,
KN.B7,#ignore,ignore,,,,,,,,,,
KN.B8,#ignore,ignore,,,,,,,,,,
KN.B9,#ignore,ignore,,,,,,,,,,
KN.B10,#ignore,ignore,,,,,,,,,,
KN.B11,#ignore,ignore,,,,,,,,,,
KN.B12,#ignore,ignore,,,,,,,,,,
KN.B13,#ignore,ignore,,,,,,,,,,
KN.B14,#ignore,ignore,,,,,,,,,,
KN.B19,#ignore,ignore,,,,,,,,,,
KN.B21,#ignore,ignore,,,,,,,,,,
KN.B24,#ignore,ignore,,,,,,,,,,
KN.B26,#ignore,ignore,,,,,,,,,,
KN.B33,#ignore,ignore,,,,,,,,,,
KN.B34,#ignore,ignore,,,,,,,,,,
KN.B35,#ignore,ignore,,,,,,,,,,
KN.B36,#ignore,ignore,,,,,,,,,,
KN.B37,#ignore,ignore,,,,,,,,,,
KN.B38,#ignore,ignore,,,,,,,,,,
KN.B39,#ignore,ignore,,,,,,,,,,
KN.B40,#ignore,ignore,,,,,,,,,,
KN.B41,#ignore,ignore,,,,,,,,,,
KN.B42,#ignore,ignore,,,,,,,,,,
KN.B43,#ignore,ignore,,,,,,,,,,
KN.B44,#ignore,ignore,,,,,,,,,,
KN.B45,#ignore,ignore,,,,,,,,,,
KN.B46,#ignore,ignore,,,,,,,,,,
KN.B47,#ignore,ignore,,,,,,,,,,
KN.B48,#ignore,ignore,,,,,,,,,,
KN.B49,#ignore,ignore,,,,,,,,,,
KN.B50,#ignore,ignore,,,,,,,,,,
KN.B51,#ignore,ignore,,,,,,,,,,
KN.B52,#ignore,ignore,,,,,,,,,,
KN.B53,#ignore,ignore,,,,,,,,,,
KN.B54,#ignore,ignore,,,,,,,,,,
KN.B55,#ignore,ignore,,,,,,,,,,
KN.B56,#ignore,ignore,,,,,,,,,,
KN.B57,#ignore,ignore,,,,,,,,,,
KN.B58,#ignore,ignore,,,,,,,,,,
KN.B59,#ignore,ignore,,,,,,,,,,
KN.B60,#ignore,ignore,,,,,,,,,,
KN.B61,#ignore,ignore,,,,,,,,,,
KN.B62,#ignore,ignore,,,,,,,,,,
KN.B63,#ignore,ignore,,,,,,,,,,
KN.B64,#ignore,ignore,,,,,,,,,,
KN.B65,#ignore,ignore,,,,,,,,,,
KN.B66,#ignore,ignore,,,,,,,,,,
KN.B67,#ignore,ignore,,,,,,,,,,
KN.B68,#ignore,ignore,,,,,,,,,,
KN.B69,#ignore,ignore,,,,,,,,,,
KN.B70,#ignore,ignore,,,,,,,,,,
KN.B71,#ignore,ignore,,,,,,,,,,
KN.B72,#ignore,ignore,,,,,,,,,,
KN.B73,#ignore,ignore,,,,,,,,,,
KN.B74,#ignore,ignore,,,,,,,,,,
KN.B75,#ignore,ignore,,,,,,,,,,
KN.B76,#ignore,ignore,,,,,,,,,,
KN.B77,#ignore,ignore,,,,,,,,,,
KN.B78,#ignore,ignore,,,,,,,,,,
KN.B79,#ignore,ignore,,,,,,,,,,
KN.B80,#ignore,ignore,,,,,,,,,,
KN.B81,#ignore,ignore,,,,,,,,,,
KN.B82,#ignore,ignore,,,,,,,,,,
KN.B83,#ignore,ignore,,,,,,,,,,
KN.B84,#ignore,ignore,,,,,,,,,,
KN.B85,#ignore,ignore,,,,,,,,,,
KN.B86,#ignore,ignore,,,,,,,,,,
KN.B87,#ignore,ignore,,,,,,,,,,
KN.B108,#ignore,ignore,,,,,,,,,,
KN.B109,#ignore,ignore,,,,,,,,,,
KN.B114,#ignore,ignore,,,,,,,,,,
KN.B115,#ignore,ignore,,,,,,,,,,
KN.B116,#ignore,ignore,,,,,,,,,,
