Table,Administrative Unit,Units,2013,2014,2015,2016,2017,2018,2019,2020
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Narok,,96444,96676,105024,110543,119067,125904,130555,131624
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Kajiado,,89215,93688,97111,107864,106773,116223,124728,126633
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Kericho,,101727,108641,110581,113619,119173,125948,128793,133866
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Bomet,,81679,84159,89594,100563,105326,114440,114113,121387
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Kakamega,,133939,140339,145163,153829,152596,162745,170174,169332
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Vihiga,,50474,49977,50869,54064,54465,59406,62186,62636
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Bungoma,,128112,137418,135686,137119,146373,153325,157087,156999
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Busia,,51755,53215,55030,57305,58501,61840,68915,71153
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Siaya,,62265,65638,69541,66852,71616,77045,81919,82471
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Kisumu,,156704,161522,169982,173977,184041,196103,207326,210540
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Homa-Bay,,78299,81646,82188,82970,86344,92641,93771,93235
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Migori,,75738,81321,80914,77883,88172,92405,97172,96457
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Kisii,,122892,128736,133230,140651,147121,147649,149431,150454
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Nyamira,,68749,67982,70945,75393,76996,85852,86544,89311
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Nairobi,,1612572,1707029,1817432,1912001,2020743,2137131,2268114,2267447
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Total,,4831317,5482980,6289246,6926656,7754323,8531502,9389865,9892187
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Mombasa,,268326,296857,329262,360583,401393,435527,469584,467395
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Kwale,,54196,63269,69230,76614,90621,100084,108658,119666
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Kilifi,,108937,123451,140018,147927,162766,177795,199179,204172
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Tana River,,15525,15557,21051,20381,21095,23567,27627,29866
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Lamu,,15858,17692,20555,21762,25262,29032,32338,32857
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Taita Taveta,,30583,36029,40677,44757,49589,54640,60879,63564
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Garissa,,27974,31185,35064,42043,44901,51491,54939,59910
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Wajir,,24585,24940,33043,35897,39367,42654,47473,49816
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Mandera,,25568,27144,31990,34585,37159,44123,51056,58925
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Marsabit,,25515,27189,33502,36260,36770,43207,56711,61434
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Isiolo,,12909,13640,16623,17834,19441,22668,25117,26558
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Meru,,147102,171460,199076,219479,245618,266532,316093,345319
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Tharaka-Nithi,,28567,32011,36589,40663,46834,52405,56281,61957
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Embu,,81946,87820,94830,110119,119393,134488,138867,153927
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Kitui,,60075,72847,82809,81962,93698,108868,127567,136380
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Machakos,,187900,207763,233910,241041,255999,281256,297350,313559
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Makueni,,53770,61198,70965,76949,84440,97112,109383,111071
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Nyandarua,,49785,63090,83756,94845,116560,118231,140734,150062
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Nyeri,,97658,112940,132022,146215,160013,170042,193645,210393
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Kirinyaga,,65691,72392,82852,91586,107410,109636,123676,130263
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Murang'a,,98712,111428,128486,141455,155172,166679,180780,200682
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Kiambu,,288907,326154,379163,416982,457309,485980,532498,553312
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Turkana,,49299,54544,66403,69000,75379,90657,102987,109101
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",West Pokot,,31709,37854,44695,51967,52618,59617,68726,80546
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Samburu,,13325,14199,18241,20885,21670,24177,28158,29211
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Trans-Nzoia,,75679,87050,97577,104333,121646,144331,151566,165121
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Uasin-Gishu,,120604,135456,149902,165347,188441,204757,224099,228846
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Elgeyo-Marakwet,,36579,45062,46129,57669,70844,88863,104844,117047
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Nandi,,77281,82247,97175,107066,123863,137891,140534,150753
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Baringo,,35852,42040,47684,51259,59403,61894,71544,76636
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Laikipia,,41503,47212,57265,67338,72070,80913,88501,94810
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Nakuru,,221472,276385,321433,365966,381200,411565,461636,480539
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Narok,,77146,83271,97661,110535,132231,144118,156813,166662
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Kajiado,,75124,84306,93363,107862,113464,129862,143199,150413
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Kericho,,85265,90931,107483,113543,134951,145575,152420,164714
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Bomet,,64268,67305,85548,100542,120512,133969,137691,152744
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Kakamega,,105821,119890,134493,153745,172060,186943,203904,214068
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Vihiga,,37657,42181,47227,54045,59954,68644,78080,85407
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Bungoma,,99597,118448,126232,137028,163810,177336,193711,206705
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Busia,,40108,46062,51610,57251,64007,71210,83280,90817
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Siaya,,47453,55842,64904,66795,78069,88306,99092,106259
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Kisumu,,130396,144502,162500,173966,196956,218443,238564,249440
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Homa-Bay,,61948,70995,76973,82914,95138,107041,115057,122198
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Migori,,61138,71001,75724,77859,96610,104271,114770,121106
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Kisii,,92408,106980,124285,140528,165092,171748,185041,199333
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Nyamira,,51086,54626,65889,75371,87429,100846,108286,118792
"Gross County Product (GCP) 2013-2020, in Current Prices KSh million",Nairobi,,1328511,1508534,1733377,1913903,2136097,2362505,2586926,2669829
