unit,physact,c_birth,sex,age,time\geo	EU27_2020 	EU28 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	IS 	NO 	UK 	TR 
PC,MV_AERO,FOR,T,Y65-74,2014	27.1 	27.8 	: u	4.6 u	50.7 u	42.1 	10.4 	4.8 	10.2 u	34.3 	18.7 	16.9 	12.4 	43.9 	8.7 	1.5 	42.0 u	22.4 u	38.2 u	46.9 	7.5 	16.5 	0 	17.8 	17.7 u	: u	51.5 u	: u	41.2 u	32.3 	3.7 
PC,MV_AERO,FOR,T,Y_GE18,2014	28.8 	29.6 	12.7 u	16.8 	49.2 	42.1 	15.4 	27.2 	15.1 	32.3 	19.2 	14.8 	14.5 	28.1 	14.0 	9.5 	35.2 	32.9 	47.2 	44.0 	16.4 	23.6 	: u	26.3 	24.5 	40.8 	47.3 	55.1 	51.8 	33.2 	4.5 
PC,MV_AERO,FOR,T,Y_GE65,2014	22.1 	22.2 	: u	3.6 	47.4 	34.3 	9.2 	7.0 	6.8 	32.4 	14.1 	16.2 u	9.6 	37.8 	8.2 	2.0 	37.4 u	14.4 u	40.6 u	41.7 	5.4 	11.7 	: u	15.4 	12.1 u	: u	45.6 u	: u	37.1 	23.4 	2.2 
PC,MV_AERO,FOR,T,Y_GE75,2014	15.2 	15.0 	: u	2.6 u	: u	24.0 	8.1 	11.6 u	2.4 u	26.6 u	8.2 	15.2 u	3.8 u	23.0 u	7.7 	2.6 u	26.7 u	: u	: u	35.6 	4.0 	6.6 	: u	11.4 	6.7 u	: u	36.9 u	: u	: u	14.0 	0 u
PC,MV_AERO,NAT,F,TOTAL,2014	25.5 	26.4 	5.2 	23.6 	57.1 	46.0 	21.5 	24.1 	13.6 	27.6 	19.6 	15.3 	13.4 	18.9 	20.8 	15.4 	39.4 	24.7 	30.3 	49.1 	14.2 	12.7 	3.7 	33.4 	23.8 	55.0 	56.2 	62.9 	56.7 	32.9 	2.3 
PC,MV_AERO,NAT,F,Y15-24,2014	38.2 	37.8 	20.9 	49.0 	68.9 	57.3 	33.5 	26.7 	29.3 	36.4 	27.1 	27.7 	26.9 	23.9 	37.3 	39.2 	51.1 u	42.7 	34.4 	54.1 	24.2 	25.2 	15.2 	49.5 	48.8 	66.2 	65.7 	75.7 	66.8 	34.3 	4.0 
PC,MV_AERO,NAT,F,Y18-24,2014	35.3 	34.8 	18.4 	49.4 	67.2 	54.1 	28.9 	21.0 	31.1 	36.9 	20.4 	23.8 	24.2 	27.2 	31.6 	33.9 	49.4 	35.3 	37.5 	52.4 	23.1 	16.7 	11.4 	48.6 	46.6 	66.1 	65.7 	73.3 	63.1 	30.7 	3.9 
PC,MV_AERO,NAT,F,Y18-29,2014	33.1 	32.9 	16.2 	43.4 	66.9 	49.7 	27.1 	26.3 	30.0 	36.8 	19.4 	23.6 	23.9 	24.5 	30.1 	27.4 	50.3 	34.4 	36.6 	49.4 	21.5 	16.8 	8.1 	48.7 	38.9 	64.4 	65.5 	73.4 	63.2 	31.6 	3.2 
PC,MV_AERO,NAT,F,Y18-44,2014	27.9 	28.6 	9.5 	34.5 	60.5 	44.9 	24.0 	29.7 	21.8 	31.9 	16.4 	19.0 	18.8 	21.7 	27.8 	20.8 	42.7 	31.0 	31.2 	48.8 	18.6 	14.1 	5.1 	42.2 	32.1 	59.9 	59.4 	69.3 	61.2 	33.6 	2.9 
PC,MV_AERO,NAT,F,Y18-64,2014	27.4 	28.3 	6.2 	28.1 	59.1 	47.4 	23.7 	26.7 	17.8 	30.2 	19.8 	17.1 	15.7 	20.5 	23.6 	16.9 	42.1 	27.9 	32.7 	51.3 	16.2 	13.4 	3.7 	38.1 	26.2 	57.9 	58.7 	66.8 	60.6 	35.2 	2.4 
PC,MV_AERO,NAT,F,Y25-34,2014	27.8 	28.6 	9.8 	34.2 	59.6 	43.7 	22.6 	34.1 	23.9 	32.4 	16.6 	80.8 	20.3 	19.9 	28.2 	14.9 	44.6 	32.7 	28.2 	43.9 	18.2 	14.9 	3.5 	45.9 	28.1 	57.5 	59.5 	69.8 	62.3 	34.3 	2.6 
PC,MV_AERO,NAT,F,Y25-64,2014	26.3 	27.5 	4.9 	25.5 	57.4 	46.5 	22.9 	27.5 	16.0 	29.4 	19.7 	16.1 	14.8 	19.4 	22.4 	14.1 	40.5 	26.8 	31.8 	51.1 	15.3 	13.0 	2.6 	36.8 	23.0 	56.4 	57.6 	65.7 	60.2 	35.7 	2.1 
PC,MV_AERO,NAT,F,Y35-44,2014	24.2 	25.3 	6.1 	28.6 	56.0 	40.2 	22.6 	30.4 	15.7 	29.4 	14.1 	15.8 	15.4 	19.9 	25.0 	17.4 	34.7 	27.5 	29.3 	50.6 	16.7 	12.3 	3.3 	35.4 	27.4 	58.0 	55.3 	65.9 	58.9 	34.3 	2.4 
PC,MV_AERO,NAT,F,Y45-54,2014	27.5 	28.9 	3.5 	22.3 	59.6 	48.5 	24.4 	24.9 	14.8 	29.2 	22.0 	18.7 	12.9 	20.9 	18.0 	13.7 	38.3 	27.4 	30.5 	51.8 	14.5 	12.0 	2.4 	35.6 	20.7 	57.7 	56.8 	66.4 	60.9 	38.3 	1.5 
PC,MV_AERO,NAT,F,Y45-64,2014	26.8 	28.0 	2.4 	19.4 	57.2 	50.0 	23.2 	22.4 	13.0 	28.2 	23.9 	15.0 	12.7 	19.0 	17.9 	12.2 	41.1 	23.8 	34.7 	54.0 	13.0 	12.5 	1.8 	33.1 	17.5 	55.2 	57.7 	63.4 	59.9 	37.0 	1.5 
PC,MV_AERO,NAT,F,Y55-64,2014	26.0 	27.1 	1.4 	16.5 	54.2 	51.9 	21.9 	19.5 	11.2 	26.8 	26.0 	11.3 	12.4 	16.9 	17.7 	10.4 	44.5 u	20.9 	38.9 	56.9 	11.9 	13.2 	1.3 	30.4 	14.4 	52.7 	58.7 	60.3 	58.9 	35.3 	1.5 
PC,MV_AERO,NAT,F,Y65-74,2014	22.2 	23.6 	0.7 	10.4 	58.4 	46.1 	14.7 	13.5 u	3.4 	25.9 	24.2 	10.0 	8.0 	18.1 	9.6 	9.3 	37.6 u	15.3 	31.5 	46.5 	7.2 	9.2 	0.8 	25.1 	11.4 	48.6 	53.8 	50.1 	51.2 	32.9 	1.1 
PC,MV_AERO,NAT,F,Y_GE18,2014	24.8 	25.8 	4.6 	23.0 	56.4 	45.3 	20.5 	23.5 	13.2 	27.3 	18.6 	14.4 	12.8 	18.9 	19.7 	13.9 	38.6 	23.5 	30.5 	48.7 	13.8 	11.6 	2.9 	32.8 	22.7 	54.7 	55.6 	61.9 	55.8 	32.5 	2.2 
PC,MV_AERO,NAT,F,Y_GE65,2014	17.0 	18.0 	0.6 	7.3 	47.0 u	38.8 	9.7 	9.6 u	1.9 	18.7 	15.0 	5.9 	5.7 	12.4 	7.3 	5.3 	26.4 u	10.0 	22.9 	40.7 	5.1 	6.9 	0.5 	17.0 	8.6 	42.8 u	45.4 u	41.9 	39.7 	24.8 	0.7 
PC,MV_AERO,NAT,F,Y_GE75,2014	11.5 	12.0 	0.5 	2.6 	30.0 u	31.3 	4.4 	4.8 u	0.7 	11.3 	6.0 	2.0 	3.3 	4.8 	4.6 	1.6 	8.3 u	3.5 	12.2 	33.4 	2.6 	4.8 	0.1 	9.2 	5.0 	31.8 u	32.0 u	31.8 	27.1 	15.5 	0.1 
PC,MV_AERO,NAT,M,TOTAL,2014	34.9 	35.8 	15.3 	34.2 	52.8 	51.7 	28.1 	34.3 	20.2 	40.9 	32.3 	25.1 	24.2 	29.9 	29.9 	25.8 	50.6 u	32.8 	38.0 	54.3 	20.4 	23.9 	14.0 	44.8 	35.5 	55.1 	54.5 	59.9 	58.5 	42.7 	7.1 
PC,MV_AERO,NAT,M,Y15-24,2014	56.4 	56.2 	43.0 	65.3 	68.1 	69.7 	39.7 	57.0 	49.6 	62.9 	49.9 	55.3 	47.9 	36.6 	56.7 	56.8 	71.5 	58.6 	46.1 	68.7 	42.1 	45.6 	37.2 	66.5 	65.4 	71.9 	67.6 	71.6 	71.9 	54.6 	12.9 
PC,MV_AERO,NAT,M,Y18-24,2014	52.0 	51.9 	38.0 	60.6 	61.7 	64.1 	32.8 	51.6 	47.3 	62.2 	42.8 	54.8 	43.0 	30.7 	52.2 	53.0 	69.5 	51.6 	45.3 	64.6 	39.7 	40.6 	32.0 	65.6 	65.6 	72.4 	63.2 	66.0 	67.1 	51.6 	11.0 
PC,MV_AERO,NAT,M,Y18-29,2014	48.5 	48.5 	32.5 	54.6 	57.9 	60.9 	35.0 	49.8 	44.3 	59.5 	41.3 	42.9 	40.9 	34.5 	45.6 	47.2 	64.7 	48.7 	43.1 	60.7 	34.6 	40.8 	26.1 	60.8 	59.3 	67.3 	59.9 	66.5 	66.3 	48.9 	9.7 
PC,MV_AERO,NAT,M,Y18-44,2014	40.3 	41.0 	24.1 	47.4 	55.3 	53.4 	31.9 	45.4 	31.4 	50.1 	34.3 	33.9 	32.9 	32.5 	36.6 	36.4 	55.0 	39.8 	40.6 	54.4 	26.6 	33.1 	17.9 	52.4 	47.0 	60.6 	56.3 	64.3 	61.4 	46.5 	7.8 
PC,MV_AERO,NAT,M,Y18-64,2014	35.7 	36.7 	16.8 	37.7 	52.6 	50.7 	28.6 	36.4 	23.4 	43.1 	31.9 	26.1 	26.8 	29.8 	30.5 	26.7 	51.7 	34.3 	38.3 	52.7 	20.9 	26.0 	14.3 	47.3 	38.7 	56.5 	54.0 	61.4 	59.9 	44.9 	6.7 
PC,MV_AERO,NAT,M,Y25-34,2014	41.6 	42.1 	25.4 	47.8 	56.9 	54.0 	35.4 	49.0 	35.9 	54.3 	35.0 	30.8 	35.4 	34.7 	35.5 	38.2 	52.1 	42.8 	41.5 	54.5 	25.6 	38.7 	16.6 	52.7 	47.5 	61.1 	56.9 	64.8 	61.7 	45.7 	7.9 
PC,MV_AERO,NAT,M,Y25-64,2014	33.4 	34.6 	14.3 	34.5 	51.0 	48.8 	27.9 	33.9 	20.3 	40.9 	30.2 	21.4 	24.9 	29.6 	26.9 	22.0 	47.5 	31.5 	36.9 	50.7 	18.2 	23.8 	11.8 	45.0 	34.1 	54.3 	52.6 	60.4 	58.5 	44.1 	5.9 
PC,MV_AERO,NAT,M,Y35-44,2014	32.9 	34.1 	16.6 	40.4 	49.5 	45.5 	27.6 	38.9 u	20.5 	42.3 	28.8 	23.0 	26.7 	30.6 	28.1 	22.8 	43.1 u	31.0 	35.6 	46.5 	20.2 	24.5 	12.0 	45.8 	35.1 	53.3 	51.4 	62.2 	56.5 	44.7 	5.5 
PC,MV_AERO,NAT,M,Y45-54,2014	31.5 	33.2 	10.1 	29.0 	49.9 	46.9 	22.6 	28.1 	15.4 	36.1 	26.8 	17.1 	22.8 	27.9 	21.0 	15.3 	43.3 u	29.3 	33.4 	49.4 	13.7 	17.0 	11.9 	43.7 	30.1 	52.5 	55.5 	57.7 	58.0 	45.9 	5.1 
PC,MV_AERO,NAT,M,Y45-64,2014	30.0 	31.5 	7.7 	23.7 	49.1 	47.8 	22.5 	24.3 	12.6 	34.2 	28.8 	15.9 	20.5 	26.1 	20.5 	12.8 	47.1 u	26.3 	35.0 	50.9 	13.0 	16.9 	9.1 	40.6 	25.2 	51.7 	51.0 	56.9 	58.0 	43.1 	4.6 
PC,MV_AERO,NAT,M,Y55-64,2014	28.2 	29.5 	5.4 	18.7 	48.2 	49.1 	22.4 	19.9 	9.4 	31.9 	31.0 	14.6 	17.6 	24.1 	19.7 	9.3 	51.5 u	23.5 	36.6 	52.8 	12.3 	16.9 	6.2 	37.2 	20.1 	51.0 	46.1 	56.1 	57.9 	39.8 	3.8 
PC,MV_AERO,NAT,M,Y65-74,2014	29.6 	31.1 	5.0 	14.5 	49.1 	53.4 	15.5 	20.1 u	8.7 	33.3 	35.3 	15.3 	14.5 	29.2 	17.2 	6.9 	45.3 u	17.4 	36.3 	58.8 	13.5 	13.5 	4.9 	33.5 	9.2 	51.5 	56.6 	48.9 	54.0 	40.6 	3.9 
PC,MV_AERO,NAT,M,Y_GE18,2014	33.6 	34.6 	14.0 	32.6 	51.1 	50.4 	26.6 	32.9 	19.0 	40.0 	30.8 	23.7 	22.9 	28.8 	28.3 	23.4 	49.3 u	31.0 	37.6 	53.3 	19.3 	22.4 	12.4 	43.8 	34.5 	54.5 	53.1 	58.2 	57.2 	42.2 	6.4 
PC,MV_AERO,NAT,M,Y_GE65,2014	25.7 	26.8 	3.5 	11.5 	45.1 	49.0 	14.3 	16.2 u	5.6 	27.8 	26.9 	12.8 	11.8 	24.2 	14.2 	6.8 	38.4 u	15.0 	34.3 	55.4 	11.0 	10.8 	3.3 	26.5 	7.5 	46.9 	50.1 	45.5 	48.5 	33.9 	2.8 
PC,MV_AERO,NAT,M,Y_GE75,2014	20.4 	20.9 	0.8 	6.3 	37.3 u	43.7 	12.5 	10.0 u	2.3 	20.4 	16.8 	8.8 	8.4 	16.3 	9.0 	6.7 	27.0 u	10.7 	30.6 	50.6 	6.5 	7.6 	1.2 	16.4 	4.3 	36.9 u	37.9 u	40.9 	39.8 	24.0 	1.0 
PC,MV_AERO,NAT,T,TOTAL,2014	30.1 	30.9 	9.9 	28.7 	54.9 	48.8 	24.6 	29.2 	16.7 	34.1 	25.5 	19.9 	18.5 	24.3 	25.0 	20.2 	44.9 u	28.5 	34.1 	51.7 	17.1 	17.9 	8.6 	39.0 	29.5 	55.1 	55.3 	61.4 	57.6 	37.4 	4.7 
PC,MV_AERO,NAT,T,Y15-24,2014	47.4 	47.1 	32.6 	57.8 	68.5 	63.7 	36.7 	42.4 	39.2 	49.7 	38.0 	41.5 	37.7 	30.1 	47.0 	48.2 	61.6 u	50.9 	40.4 	61.5 	33.4 	35.5 	26.6 	58.3 	57.3 	68.8 	66.7 	73.4 	69.5 	43.7 	8.5 
PC,MV_AERO,NAT,T,Y18-24,2014	43.7 	43.3 	28.7 	55.3 	64.6 	59.3 	30.9 	37.1 	39.0 	49.4 	31.1 	39.3 	33.5 	29.0 	41.9 	43.4 	59.8 	43.6 	41.4 	58.5 	31.7 	28.9 	21.9 	57.2 	56.4 	68.8 	64.4 	69.3 	65.2 	40.1 	7.4 
PC,MV_AERO,NAT,T,Y18-29,2014	40.9 	40.7 	24.8 	49.5 	62.4 	55.5 	31.1 	38.3 	37.3 	48.3 	30.0 	33.7 	32.4 	29.5 	38.0 	37.8 	57.3 	41.7 	40.0 	55.2 	27.9 	28.8 	17.5 	54.9 	49.7 	65.6 	62.6 	69.5 	64.8 	39.5 	6.5 
PC,MV_AERO,NAT,T,Y18-44,2014	34.1 	34.7 	16.7 	41.0 	57.9 	49.3 	28.1 	37.4 	26.6 	41.3 	24.9 	26.5 	25.8 	27.1 	32.2 	28.6 	51.2 	35.5 	36.1 	51.6 	22.4 	23.5 	11.6 	47.5 	39.7 	60.3 	57.8 	66.6 	61.3 	39.5 	5.3 
PC,MV_AERO,NAT,T,Y18-64,2014	31.5 	32.4 	11.4 	32.9 	55.8 	49.1 	26.1 	31.5 	20.6 	36.7 	25.5 	21.5 	21.1 	25.2 	27.0 	21.6 	46.9 	31.0 	35.6 	52.0 	18.4 	19.5 	9.0 	42.8 	32.5 	57.2 	56.3 	64.0 	60.3 	39.7 	4.6 
PC,MV_AERO,NAT,T,Y25-34,2014	34.7 	35.3 	18.0 	41.2 	58.2 	49.0 	29.1 	41.4 	30.2 	43.9 	25.2 	25.3 	27.9 	27.6 	32.0 	26.8 	48.2 	37.8 	35.2 	49.4 	78.3 	26.4 	10.2 	49.5 	38.0 	59.1 	58.1 	67.1 	62.0 	39.6 	5.2 
PC,MV_AERO,NAT,T,Y25-64,2014	29.8 	31.0 	9.4 	29.9 	54.1 	47.6 	25.3 	30.7 	18.1 	35.3 	24.6 	18.7 	19.7 	24.6 	24.6 	17.8 	43.9 	29.1 	34.4 	50.9 	16.7 	18.2 	7.2 	41.0 	28.5 	55.4 	55.0 	63.0 	59.3 	39.6 	4.0 
PC,MV_AERO,NAT,T,Y35-44,2014	28.5 	29.7 	10.9 	34.3 	52.7 	42.9 	25.2 	34.5 	18.1 	36.1 	21.1 	19.3 	20.9 	25.2 	26.5 	20.0 	38.7 u	29.3 	32.5 	48.5 	18.4 	18.2 	7.8 	40.9 	31.4 	55.7 	53.2 	64.1 	57.7 	39.2 	4.0 
PC,MV_AERO,NAT,T,Y45-54,2014	29.5 	31.0 	6.8 	25.5 	54.7 	47.7 	23.5 	26.5 	15.1 	32.7 	24.3 	17.9 	17.7 	24.4 	19.5 	14.5 	40.8 	28.3 	32.0 	50.6 	14.1 	14.4 	7.2 	39.8 	25.4 	55.1 	56.2 	62.2 	59.5 	41.9 	3.3 
PC,MV_AERO,NAT,T,Y45-64,2014	28.3 	29.7 	4.9 	21.5 	53.1 	48.9 	22.9 	23.4 	12.8 	31.2 	26.2 	15.4 	16.4 	22.6 	19.1 	12.5 	44.1 u	25.0 	34.9 	52.4 	13.0 	14.6 	5.4 	36.9 	21.3 	53.5 	54.3 	60.2 	59.0 	39.8 	3.1 
PC,MV_AERO,NAT,T,Y55-64,2014	27.1 	28.3 	3.3 	17.6 	51.1 	50.5 	22.1 	19.7 	10.3 	70.7 	28.3 	12.9 	14.9 	20.5 	18.6 	10.0 	48.1 u	22.1 	62.3 	54.8 	12.1 	14.9 	3.6 	33.8 	17.1 	51.9 	52.4 	58.3 	58.4 	37.4 	2.6 
PC,MV_AERO,NAT,T,Y65-74,2014	25.6 	27.0 	2.4 	12.2 	53.7 	49.5 	15.0 	16.8 u	5.9 	29.4 	29.3 	12.4 	11.1 	23.3 	12.4 	8.4 	41.0 u	16.2 	33.8 	52.1 	9.9 	11.2 	2.6 	28.8 	10.5 	50.0 	55.3 	49.5 	52.7 	36.6 	2.3 
PC,MV_AERO,NAT,T,Y_GE18,2014	29.1 	30.0 	8.9 	27.6 	53.7 	47.8 	23.4 	28.1 	16.0 	33.6 	24.3 	18.8 	17.6 	23.8 	23.7 	18.1 	43.8 u	27.0 	34.0 	51.0 	16.4 	16.6 	7.5 	38.1 	28.4 	54.6 	54.4 	60.1 	56.5 	37.0 	4.2 
PC,MV_AERO,NAT,T,Y_GE65,2014	20.8 	21.8 	1.8 	9.0 	46.1 u	43.5 	11.3 	12.7 u	3.5 	22.7 	20.1 	8.7 	8.4 	17.8 	9.5 	5.8 	31.7 u	11.9 	27.9 	47.3 	7.4 	8.6 	1.6 	20.7 	8.2 	44.8 u	47.8 u	43.7 	44.1 	28.9 	1.6 
PC,MV_AERO,NAT,T,Y_GE75,2014	15.1 	15.6 	0.6 	4.1 	33.1 u	36.7 	6.8 	7.1 u	1.4 	14.9 	10.4 	4.3 	5.4 	9.7 	5.8 	3.2 	16.5 u	5.9 	19.2 	40.8 	3.9 	5.9 	0.5 	11.7 	4.8 	34.1 u	34.8 u	36.3 	32.8 	19.1 	0.5 
PC,MV_AERO,NEU28_FOR,F,TOTAL,2014	23.2 	23.8 	: u	6.4 u	48.1 	37.3 	9.3 	15.1 	13.1 	26.1 	16.5 	14.8 	12.9 	25.1 	12.1 	6.7 	32.4 	40.1 u	47.5 	32.0 	16.0 	14.3 	: u	22.4 	: u	34.2 	41.9 u	56.5 	43.3 	26.6 	4.2 
PC,MV_AERO,NEU28_FOR,F,Y15-24,2014	32.3 	36.5 	: u	: u	: u	67.1 u	: u	: u	: u	19.4 	21.7 u	: u	16.2 	24.4 u	: u	0 	: u	: u	: u	: u	0 	31.9 u	: u	: u	0 	: u	60.2 	: u	71.9 u	49.4 u	: u
PC,MV_AERO,NEU28_FOR,F,Y18-24,2014	29.1 	35.6 	: u	: u	: u	63.4 u	0 	: u	: u	13.2 	13.7 u	: u	18.7 u	: u	: u	0 	: u	: u	0 	: u	0 	36.2 u	: u	: u	0 	: u	53.8 u	: u	66.1 u	50.4 u	: u
PC,MV_AERO,NEU28_FOR,F,Y18-29,2014	30.2 	32.7 	: u	: u	63.4 u	50.3 	: u	15.5 u	15.2 u	23.6 	24.4 	: u	17.8 	26.8 u	: u	: u	18.3 u	: u	: u	35.8 	: u	20.6 	: u	: u	: u	: u	47.9 	: u	44.9 	41.2 	: u
PC,MV_AERO,NEU28_FOR,F,Y18-44,2014	24.0 	25.0 	: u	: u	48.8 	41.2 	19.3 u	13.2 	16.5 	23.0 	14.2 	8.2 	13.8 	26.8 	25.4 	: u	30.3 	: u	48.6 u	25.5 	: u	14.9 	: u	26.6 	: u	23.8 u	38.8 	59.2 u	45.8 	29.0 	8.9 u
PC,MV_AERO,NEU28_FOR,F,Y18-64,2014	24.2 	24.8 	: u	: u	47.8 	40.5 	13.4 	13.7 	13.5 	25.6 	18.0 	14.1 	13.0 	25.2 	17.6 	11.0 	32.0 	: u	50.3 	28.6 	: u	15.7 	: u	23.0 	: u	32.2 u	39.9 u	56.7 	42.5 	27.4 	5.3 
PC,MV_AERO,NEU28_FOR,F,Y25-34,2014	23.4 	23.5 	0 	: u	47.2 u	33.6 	: u	6.5 u	22.0 	21.6 	18.7 	7.8 u	14.6 	24.7 	: u	: u	25.2 u	: u	: u	23.2 	: u	14.9 	0 	27.7 u	: u	: u	38.4 u	: u	38.7 	23.9 	9.7 u
PC,MV_AERO,NEU28_FOR,F,Y25-64,2014	23.8 	23.6 	: u	: u	46.6 	38.1 	13.4 	11.7 	14.0 	26.9 	18.4 	14.0 	12.5 	25.5 	17.1 	11.0 	34.1 	: u	50.3 	26.7 	: u	13.9 	0 	22.2 	: u	34.2 u	37.9 u	57.5 	39.3 	22.9 	6.0 
PC,MV_AERO,NEU28_FOR,F,Y35-44,2014	22.9 	22.6 	: u	: u	47.2 u	41.4 	16.9 u	14.0 u	10.9 u	27.1 	10.2 	6.7 u	11.8 	30.1 	13.1 u	: u	41.4 u	: u	: u	20.8 	: u	9.3 	0 	23.0 u	: u	: u	32.9 	: u	46.3 	21.0 	: u
PC,MV_AERO,NEU28_FOR,F,Y45-54,2014	24.4 	23.8 	: u	: u	48.1 u	43.2 	20.5 	12.5 u	10.3 	31.8 	14.7 	15.2 	11.6 	16.9 	13.8 	19.7 u	: u	: u	: u	18.4 	: u	22.1 	0 	19.7 u	: u	: u	46.6 	: u	39.6 	21.3 	: u
PC,MV_AERO,NEU28_FOR,F,Y45-64,2014	24.6 	24.5 	: u	: u	45.5 	39.1 	12.0 	15.8 u	8.7 	31.9 	22.5 	18.0 	11.6 	19.5 	15.5 	8.7 	36.5 u	: u	53.5 u	34.9 	: u	16.7 	0 	20.4 	: u	: u	42.5 u	53.2 u	33.0 	23.8 	0 u
PC,MV_AERO,NEU28_FOR,F,Y55-64,2014	24.9 	25.5 	: u	: u	41.7 u	32.6 u	6.6 	: u	5.8 u	32.1 	29.1 	21.4 u	11.7 	: u	16.7 	2.5 u	: u	: u	: u	62.0 u	: u	7.1 	0 	21.1 u	: u	: u	: u	: u	: u	29.2 	: u
PC,MV_AERO,NEU28_FOR,F,Y65-74,2014	19.5 	20.2 	: u	: u	: u	28.1 u	6.5 	: u	: u	40.7 u	15.3 	10.3 u	16.2 u	: u	6.1 	2.3 u	: u	: u	: u	: u	3.0 u	5.7 u	0 	: u	0 	: u	: u	: u	: u	24.4 	: u
PC,MV_AERO,NEU28_FOR,F,Y_GE18,2014	22.7 	23.4 	: u	6.4 u	47.7 	36.7 	9.3 	13.9 	12.4 	25.9 	16.0 	14.2 	13.0 	24.9 	12.1 	6.7 	32.0 	40.1 u	49.6 	32.0 	16.0 	14.3 	: u	21.2 	: u	31.1 u	39.6 u	55.4 	42.0 	26.6 	4.4 
PC,MV_AERO,NEU28_FOR,F,Y_GE65,2014	13.6 	14.5 	: u	: u	: u	17.9 	5.3 	: u	4.7 u	32.5 u	8.6 	14.3 	13.8 u	: u	6.2 	1.3 	: u	: u	: u	: u	5.5 	3.3 	: u	5.0 u	: u	: u	: u	: u	: u	20.0 	0 u
PC,MV_AERO,NEU28_FOR,F,Y_GE75,2014	7.2 	8.1 	: u	: u	: u	11.1 u	4.4 	: u	: u	: u	0 u	19.0 u	: u	: u	6.2 	0 u	0 	: u	0 	: u	6.4 	0.6 u	: u	: u	: u	: u	: u	: u	: u	14.3 u	: u
PC,MV_AERO,NEU28_FOR,M,TOTAL,2014	33.6 	34.5 	: u	19.3 u	49.8 	44.6 	25.6 	44.2 u	17.4 	43.0 	24.7 	15.0 	18.6 	28.1 	16.4 	13.5 	38.5 	: u	43.1 u	40.4 	23.6 	31.4 	0 	35.0 	: u	55.7 u	52.0 	56.4 u	52.4 	39.3 	2.0 
PC,MV_AERO,NEU28_FOR,M,Y15-24,2014	56.9 	57.4 	: u	: u	: u	60.0 u	0 	: u	: u	59.0 	42.2 u	: u	45.8 	50.8 u	: u	: u	: u	: u	: u	: u	: u	68.5 u	0 	: u	0 	: u	67.6 	: u	70.3 u	: u	: u
PC,MV_AERO,NEU28_FOR,M,Y18-24,2014	55.8 	56.3 	: u	: u	: u	61.0 u	0 	: u	: u	56.2 	: u	: u	45.0 u	: u	: u	: u	: u	: u	: u	: u	: u	66.3 u	0 	: u	0 	: u	71.0 	: u	67.9 u	: u	: u
PC,MV_AERO,NEU28_FOR,M,Y18-29,2014	50.6 	52.5 	: u	: u	56.0 u	54.8 	: u	: u	38.0 u	54.6 	28.5 u	: u	36.7 	25.8 u	: u	: u	: u	: u	: u	69.9 u	: u	57.2 	0 	52.7 u	: u	: u	68.3 	: u	68.7 	62.4 u	: u
PC,MV_AERO,NEU28_FOR,M,Y18-44,2014	37.5 	39.2 	: u	: u	50.4 u	49.5 	50.3 u	42.8 u	27.3 	43.5 	24.2 	14.3 u	20.1 	24.4 	28.1 u	: u	43.8 	: u	49.7 u	46.7 	: u	35.7 	0 	35.4 	: u	: u	56.0 	58.8 u	55.5 	47.6 	2.1 u
PC,MV_AERO,NEU28_FOR,M,Y18-64,2014	33.3 	34.4 	: u	19.8 u	47.8 	43.8 	29.4 	38.4 u	18.1 	41.7 	24.8 	13.3 	17.5 	23.9 	19.6 	16.6 	38.7 	: u	44.8 u	42.2 	: u	30.8 	0 	34.3 	: u	56.0 u	50.5 	58.7 u	52.6 	39.4 	2.6 u
PC,MV_AERO,NEU28_FOR,M,Y25-34,2014	40.9 	42.3 	0 	: u	41.7 u	51.4 	: u	: u	29.3 u	51.4 	22.2 u	: u	19.8 	20.3 u	: u	: u	41.6 u	: u	: u	48.0 u	: u	30.6 u	0 	32.5 u	: u	: u	61.2 	: u	66.4 	49.0 u	: u
PC,MV_AERO,NEU28_FOR,M,Y25-64,2014	30.4 	31.6 	: u	: u	41.5 	41.5 	29.4 	31.8 u	17.0 	38.6 	23.6 	12.0 	14.7 	22.3 	19.7 	15.0 	34.9 	: u	40.0 u	38.2 	: u	26.1 	0 	32.7 	: u	44.7 u	47.2 	55.5 u	49.9 	37.4 	1.7 u
PC,MV_AERO,NEU28_FOR,M,Y35-44,2014	27.0 	29.7 	: u	: u	: u	41.1 	52.9 u	28.2 u	24.8 u	29.8 	21.2 	13.5 u	13.4 	24.3 u	27.4 u	: u	36.5 u	: u	: u	35.2 	: u	26.2 	0 	31.6 u	: u	: u	37.8 	: u	35.8 	42.6 	: u
PC,MV_AERO,NEU28_FOR,M,Y45-54,2014	29.1 	29.0 	: u	: u	40.0 u	39.3 	20.5 u	22.2 u	2.4 u	40.3 	29.0 	15.9 	13.6 	: u	10.4 u	: u	29.8 u	: u	: u	25.4 u	: u	25.9 	0 	38.5 u	0 	: u	42.5 	: u	45.0 u	28.4 	: u
