physact,deg_urb,sex,age,unit,time\geo	EU27_2020 	EU28 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	IS 	NO 	UK 	TR 
MV_AERO,DEG1,F,Y45-64,PC,2014	26.4 	27.7 	3.5 	17.8 	66.7 	48.9 	16.3 	23.3 	14.3 	31.3 	21.2 	18.9 	13.2 	21.4 	17.0 	10.9 	44.5 u	25.4 	33.4 	51.6 	12.3 	14.0 	0.5 	47.3 	20.9 	55.0 	54.8 	64.7 	63.0 	34.0 	0 
MV_AERO,DEG1,F,Y55-64,PC,2014	25.3 	26.6 	1.6 	14.7 	59.6 	51.7 	11.3 	22.0 	12.4 	29.6 	22.7 	17.1 	14.1 	17.7 	16.3 	10.7 	53.5 u	17.1 	37.3 	59.5 	10.4 	14.2 	0.6 	46.6 	12.9 	55.1 	52.6 	63.8 	60.4 	33.5 	0 
MV_AERO,DEG1,F,Y65-74,PC,2014	21.6 	23.3 	0.8 	8.4 	55.2 	41.6 	6.6 	15.4 u	5.4 	28.3 	20.8 	12.2 u	8.2 	20.8 	7.6 	5.6 	28.6 u	14.8 	30.0 	46.4 	7.4 	9.4 	0.7 	45.7 	9.2 	49.8 	47.3 	50.3 	52.1 	32.2 	0 
MV_AERO,DEG1,F,Y_GE18,PC,2014	25.4 	26.2 	6.8 	21.1 	65.4 	45.6 	17.4 	22.8 	14.1 	28.9 	16.6 	16.9 	13.7 	23.3 	18.5 	13.8 	34.5 u	23.7 	30.1 	45.9 	14.8 	12.4 	2.2 	42.8 	24.6 	55.0 	50.8 	62.5 	58.1 	30.0 	0 
MV_AERO,DEG1,F,Y_GE65,PC,2014	17.2 	18.0 	0.7 	5.4 	46.2 	36.2 	5.3 	11.4 u	2.9 	21.3 	13.5 	10.6 u	5.6 	14.2 	5.8 	3.7 	22.9 u	10.3 	21.8 	41.0 	5.0 	7.0 	0.4 	28.9 	6.3 	45.3 u	41.3 u	42.8 	37.1 	22.3 	0 
MV_AERO,DEG1,F,Y_GE75,PC,2014	12.3 	12.1 	0.7 	1.6 	32.8 u	30.9 	4.1 	6.6 u	0.6 	13.9 	6.0 	9.0 u	2.8 	6.5 	4.0 	1.6 	: u	4.5 	11.6 	34.3 	1.9 	4.8 	0 	15.5 	2.5 	35.7 u	30.9 u	33.9 	24.4 	11.1 	0 
MV_AERO,DEG1,M,TOTAL,PC,2014	36.6 	37.5 	17.8 	34.5 	57.8 	53.1 	27.2 	41.7 	22.0 	44.0 	31.6 	30.0 	23.8 	31.5 	30.3 	26.9 	43.8 	35.2 	39.9 	54.6 	24.1 	26.8 	9.0 	56.0 	38.0 	57.7 	53.8 	62.3 	60.9 	41.9 	0 
MV_AERO,DEG1,M,Y15-24,PC,2014	57.3 	57.0 	43.0 	69.2 	71.7 	65.3 	36.3 	50.0 u	45.6 	66.2 	55.0 	78.1 u	44.1 	39.8 	57.2 	55.2 	: u	65.3 	49.5 	67.4 	48.9 	51.5 	30.3 	76.3 	68.3 	70.5 	65.6 	69.2 	68.4 	54.8 	0 
MV_AERO,DEG1,M,Y18-24,PC,2014	54.8 	54.5 	39.4 	66.6 	68.6 	62.5 	34.5 	45.1 u	43.1 	65.5 	52.1 	81.9 u	39.0 	33.3 	54.1 	58.0 	: u	59.5 	48.3 	63.7 	48.6 	48.1 	23.5 	82.7 u	68.2 	69.6 	63.5 	63.5 	64.4 	53.1 	0 
MV_AERO,DEG1,M,Y18-29,PC,2014	50.7 	50.5 	34.2 	63.3 	63.7 	61.2 	35.7 	50.3 u	41.1 	60.7 	43.0 	65.8 u	38.2 	35.1 	47.2 	48.9 	49.8 u	56.7 	44.7 	62.2 	40.2 	45.5 	18.6 	75.4 	61.9 	66.9 	58.6 	66.0 	67.5 	49.6 	0 
MV_AERO,DEG1,M,Y18-44,PC,2014	42.9 	43.6 	26.8 	53.0 	60.9 	56.3 	31.9 	49.1 	31.8 	52.6 	34.4 	42.0 	30.5 	32.7 	40.2 	40.4 	47.6 	43.7 	42.2 	55.8 	33.0 	36.2 	12.0 	64.8 	50.5 	60.6 	52.6 	65.1 	62.6 	47.1 	0 
MV_AERO,DEG1,M,Y18-64,PC,2014	37.7 	38.7 	19.3 	39.6 	59.0 	52.9 	28.8 	43.9 	25.0 	45.6 	30.6 	31.7 	26.0 	32.0 	32.8 	29.7 	45.2 	38.4 	39.6 	54.1 	26.1 	29.1 	8.6 	58.5 	42.9 	59.4 	52.4 	63.4 	62.0 	43.8 	0 
MV_AERO,DEG1,M,Y25-34,PC,2014	43.9 	44.4 	27.8 	58.1 	62.9 	56.4 	33.5 	53.4 u	35.0 	55.7 	32.7 	36.4 u	31.2 	32.0 	41.6 	39.2 	46.8 	47.4 	42.0 	58.6 	32.7 	38.7 	13.2 	63.0 	48.0 	58.7 	52.9 	66.0 	70.3 	47.0 	0 
MV_AERO,DEG1,M,Y25-64,PC,2014	35.3 	36.5 	16.8 	35.8 	57.0 	51.5 	28.1 	43.7 	22.2 	43.1 	27.5 	23.8 	24.3 	31.9 	30.1 	24.2 	43.4 	35.2 	38.1 	52.3 	23.2 	26.3 	6.9 	55.4 	39.2 	57.7 	50.9 	63.4 	61.5 	42.8 	0 
MV_AERO,DEG1,M,Y35-44,PC,2014	35.8 	37.1 	20.6 	42.1 	52.3 	52.4 	28.9 	47.3 	22.5 	45.0 	26.5 	20.5 u	25.9 	33.1 	31.6 	28.4 	42.6 u	33.3 	37.5 	45.9 	25.7 	27.9 	6.1 	58.1 	43.5 	56.9 	47.0 	65.1 	49.9 	44.4 	0 
MV_AERO,DEG1,M,Y45-54,PC,2014	32.1 	33.7 	11.0 	13.7 	59.8 	48.4 	22.8 	37.6 	17.6 	36.9 	24.6 	18.4 	23.1 	36.0 	20.7 	14.5 	41.7 u	31.8 	36.9 	47.8 	17.5 	21.1 	4.2 	54.2 	33.9 	56.5 	52.8 	65.1 	59.0 	41.2 	0 
MV_AERO,DEG1,M,Y45-64,PC,2014	30.2 	31.8 	7.9 	16.5 	54.8 	48.1 	23.2 	34.2 	13.5 	35.6 	25.2 	18.6 	20.9 	31.0 	21.8 	10.7 	40.8 u	29.4 	36.2 	51.2 	15.3 	20.3 	3.7 	48.9 	29.5 	57.5 	52.2 	60.5 	60.5 	39.6 	0 
MV_AERO,DEG1,M,Y55-64,PC,2014	28.0 	29.6 	5.1 	19.0 	48.4 	47.6 	23.5 	30.0 	8.3 	34.0 	26.0 	19.0 u	18.3 	25.1 	23.2 	6.6 	39.4 u	27.1 	35.7 	56.9 	13.6 	19.4 	3.2 	43.5 	24.9 	58.7 	51.4 	55.7 	62.3 	37.7 	0 
MV_AERO,DEG1,M,Y65-74,PC,2014	30.2 	31.7 	4.3 	16.0 	48.5 	51.5 	15.0 	25.6 u	8.8 	36.1 	35.5 	26.1 u	16.0 	27.7 	16.2 	7.5 	54.5 u	14.2 	39.9 	49.5 	13.7 	14.7 	2.5 	46.9 	2.6 	56.3 	59.6 	50.9 	58.8 	38.0 	0 
MV_AERO,DEG1,M,Y_GE18,PC,2014	35.6 	36.6 	16.6 	33.2 	56.7 	52.4 	26.6 	40.8 	21.1 	43.1 	30.2 	28.7 	22.7 	30.5 	29.4 	25.6 	43.3 	33.7 	39.4 	53.6 	23.4 	25.5 	7.6 	55.6 	37.1 	57.1 	52.8 	61.1 	60.1 	41.5 	0 
MV_AERO,DEG1,M,Y_GE65,PC,2014	27.1 	28.1 	3.1 	11.9 	43.1 	50.4 	13.6 	21.4 u	5.4 	31.8 	28.2 	18.4 u	12.7 	22.5 	13.1 	5.3 	32.7 u	13.7 	38.5 	51.3 	11.1 	12.2 	1.6 	43.0 	1.4 	45.9 	54.0 	49.9 	49.8 	32.8 	0 
MV_AERO,DEG1,M,Y_GE75,PC,2014	22.6 	23.1 	1.2 	5.8 	31.7 	49.2 	11.4 	13.9 u	1.8 	24.6 	18.3 	5.7 u	8.5 	15.7 	8.6 	2.4 	14.8 u	12.8 u	36.0 	53.8 	6.9 	8.6 	0 	35.6 u	0 	28.8 	41.3 u	48.4 	36.6 	25.2 	0 
MV_AERO,DEG1,T,TOTAL,PC,2014	31.0 	31.7 	12.4 	27.4 	62.0 	49.6 	22.6 	32.5 	18.0 	36.2 	23.8 	23.2 	18.6 	27.3 	24.0 	20.3 	39.7 	29.4 	34.9 	50.2 	19.2 	19.7 	5.7 	49.2 	31.4 	56.5 	53.3 	62.9 	59.8 	35.4 	0 
MV_AERO,DEG1,T,Y15-24,PC,2014	47.9 	46.8 	38.7 	57.3 	74.8 	61.8 	35.2 	39.3 	35.1 	50.4 	38.6 	52.2 	36.3 	35.7 	49.9 	50.9 	53.2 u	54.0 	43.8 	63.5 	37.4 	40.0 	21.7 	67.3 	55.7 	67.8 	67.7 	72.3 	66.9 	40.6 	0 
MV_AERO,DEG1,T,Y18-24,PC,2014	45.4 	44.3 	35.5 	57.4 	72.5 	58.8 	30.5 	32.9 	33.1 	49.3 	34.9 	50.8 	33.2 	33.8 	45.6 	50.8 	49.4 u	48.4 	44.7 	60.9 	36.1 	34.1 	16.7 	69.6 	54.9 	65.9 	62.2 	68.0 	63.7 	39.2 	0 
MV_AERO,DEG1,T,Y18-29,PC,2014	42.5 	41.9 	30.0 	52.1 	70.7 	55.9 	32.7 	37.0 	33.8 	49.0 	30.7 	45.9 	32.5 	31.7 	40.4 	41.9 	44.9 	44.9 	41.5 	55.2 	30.4 	31.6 	12.6 	68.3 	52.6 	64.2 	59.1 	68.3 	66.2 	39.2 	0 
MV_AERO,DEG1,T,Y18-44,PC,2014	36.0 	36.3 	19.7 	43.3 	66.1 	52.4 	28.5 	37.4 	26.1 	41.8 	24.0 	29.2 	25.5 	29.9 	34.3 	31.3 	40.9 	36.8 	37.5 	50.3 	27.0 	24.9 	8.0 	56.2 	42.6 	59.4 	52.8 	66.3 	62.1 	38.1 	0 
MV_AERO,DEG1,T,Y18-64,PC,2014	32.7 	33.5 	13.9 	33.1 	64.4 	50.8 	25.1 	34.3 	21.3 	38.2 	23.6 	24.7 	21.3 	28.4 	27.7 	23.1 	41.5 	33.0 	36.4 	50.8 	21.6 	21.3 	5.5 	52.6 	36.2 	58.2 	53.1 	64.9 	62.0 	37.5 	0 
MV_AERO,DEG1,T,Y25-34,PC,2014	36.8 	37.2 	20.9 	44.6 	68.2 	52.8 	30.9 	40.1 u	29.9 	44.5 	23.6 	27.9 	26.5 	27.6 	36.6 	27.3 	40.8 	38.5 	35.0 	48.4 	26.9 	27.0 	8.0 	56.6 	41.5 	56.9 	51.6 	66.2 	66.7 	38.7 	0 
MV_AERO,DEG1,T,Y25-64,PC,2014	30.9 	32.0 	11.5 	30.3 	62.6 	49.6 	24.3 	34.5 	19.6 	36.9 	21.9 	20.0 	19.9 	27.7 	25.6 	18.4 	40.6 	30.9 	34.8 	48.8 	19.8 	19.5 	4.2 	50.3 	33.2 	56.7 	51.9 	64.4 	61.6 	37.3 	0 
MV_AERO,DEG1,T,Y35-44,PC,2014	30.3 	31.3 	13.0 	36.7 	57.1 	47.8 	24.7 	37.2 	18.6 	36.7 	18.3 	14.8 	21.5 	30.6 	26.3 	22.6 	37.8 	30.2 	34.6 	44.6 	22.9 	18.7 	4.3 	48.5 	36.5 	57.5 	49.0 	65.4 	54.4 	36.8 	0 
MV_AERO,DEG1,T,Y45-54,PC,2014	29.6 	31.0 	8.5 	17.8 	66.2 	47.5 	22.2 	30.7 	16.7 	34.7 	22.1 	19.6 	17.4 	29.6 	19.0 	12.6 	39.6 u	33.9 	33.2 	46.7 	16.2 	17.3 	2.2 	50.6 	32.0 	55.6 	54.8 	65.4 	62.2 	37.7 	0 
MV_AERO,DEG1,T,Y45-64,PC,2014	28.2 	29.6 	5.6 	17.2 	60.9 	48.5 	19.5 	28.6 	13.9 	33.4 	23.0 	18.8 	16.7 	26.0 	19.0 	10.8 	42.6 u	27.2 	34.8 	51.4 	13.6 	17.0 	2.0 	48.0 	25.1 	56.1 	53.5 	62.7 	61.8 	36.7 	0 
MV_AERO,DEG1,T,Y55-64,PC,2014	26.5 	28.0 	3.1 	16.7 	54.1 	49.8 	16.8 	25.9 	10.6 	31.6 	24.2 	17.8 	16.0 	21.3 	19.1 	9.0 	46.9 u	21.5 	36.4 	58.3 	11.8 	16.6 	1.8 	45.2 	18.6 	56.6 	52.0 	60.0 	61.3 	35.5 	0 
MV_AERO,DEG1,T,Y65-74,PC,2014	25.4 	27.0 	2.1 	11.7 	52.2 	46.0 	9.8 	20.4 u	6.9 	32.0 	27.3 	18.4 u	11.7 	24.0 	10.5 	6.3 	38.9 u	14.5 	34.6 	47.7 	10.0 	11.8 	1.5 	46.3 	6.6 	52.4 	53.8 	50.6 	55.9 	35.0 	0 
MV_AERO,DEG1,T,Y_GE18,PC,2014	30.2 	31.0 	11.4 	26.7 	61.2 	48.9 	21.7 	31.5 	17.4 	35.6 	22.7 	22.0 	17.8 	26.6 	23.1 	18.9 	39.1 	28.2 	34.7 	49.5 	18.7 	18.4 	4.7 	48.7 	30.6 	55.9 	51.8 	61.8 	59.1 	35.2 	0 
MV_AERO,DEG1,T,Y_GE65,PC,2014	21.3 	22.2 	1.7 	8.2 	44.9 	42.3 	8.1 	15.9 u	3.9 	25.7 	19.6 	13.8 u	8.6 	18.0 	8.1 	4.2 	27.5 	11.6 	29.0 	45.0 	7.4 	9.2 	0.8 	34.4 	4.4 	45.6 	47.7 u	46.3 	43.4 	27.0 	0 
MV_AERO,DEG1,T,Y_GE75,PC,2014	16.3 	16.4 	0.9 	3.3 	32.4 u	38.3 	6.2 	9.5 u	1.0 	17.8 	10.7 	7.8 u	5.1 	10.5 	5.2 	1.9 	14.6 u	7.3 	20.9 	41.7 	3.7 	6.2 	0 	21.3 	1.5 	32.4 u	35.7 u	40.6 	29.6 	16.8 	0 
MV_AERO,DEG2,F,TOTAL,PC,2014	27.8 	28.3 	3.9 	22.8 	53.2 	47.0 	17.2 	24.3 	17.2 	26.7 	21.4 	19.1 	14.6 	21.4 	20.5 	11.4 	33.1 	28.3 	32.5 	49.6 	15.2 	13.9 	3.8 	34.2 	25.2 	55.2 	55.6 	56.9 	54.4 	32.7 	0 
MV_AERO,DEG2,F,Y15-24,PC,2014	40.6 	40.1 	14.4 	47.4 	61.3 	60.8 	31.4 	23.0 u	37.3 	36.9 	30.0 	25.4 	27.5 	19.7 	35.5 	22.4 u	47.2 	50.0 	28.6 	51.4 	27.2 	22.0 	10.4 	50.8 	52.3 	68.7 	62.1 	69.4 	66.0 	33.6 	0 
MV_AERO,DEG2,F,Y18-24,PC,2014	37.7 	36.7 	9.2 u	44.7 	59.2 u	57.2 	27.2 u	21.4 u	40.5 	34.6 	24.0 	22.2 	25.8 	25.7 	31.1 	22.0 u	48.2 	38.7 	32.0 	47.4 	27.9 	16.3 	6.0 	54.1 	50.2 	75.9 	66.0 	66.8 	58.6 	24.9 	0 
MV_AERO,DEG2,F,Y18-29,PC,2014	34.2 	33.5 	9.8 	41.8 	61.7 	51.8 	22.3 	21.6 u	33.0 	33.8 	20.9 	24.7 	22.8 	26.9 	33.9 	19.6 u	44.6 	38.5 	34.6 	46.3 	24.9 	18.4 	6.1 	51.9 	39.0 	71.1 	63.8 	72.8 	55.4 	25.9 	0 
MV_AERO,DEG2,F,Y18-44,PC,2014	28.6 	29.1 	7.4 	32.0 	54.3 	43.6 	21.7 	28.0 	25.3 	29.3 	17.3 	23.5 	18.4 	21.5 	32.5 	21.2 	37.7 	35.0 	31.4 	47.5 	20.4 	15.7 	4.9 	43.2 	33.3 	62.3 	58.8 	62.7 	57.2 	34.0 	0 
MV_AERO,DEG2,F,Y18-64,PC,2014	29.1 	29.8 	4.4 	26.9 	54.1 	48.3 	20.3 	25.9 	20.8 	28.1 	21.4 	21.8 	16.1 	23.2 	24.1 	13.2 	34.8 	31.1 	35.0 	50.4 	17.4 	15.1 	3.9 	39.6 	27.3 	59.1 	58.7 	59.9 	57.0 	35.3 	0 
MV_AERO,DEG2,F,Y25-34,PC,2014	27.5 	28.2 	8.0 	35.8 	51.5 u	41.1 	14.7 	27.9 	22.8 	28.0 	16.0 	24.1 	18.5 	21.9 	34.6 	15.1 u	36.0 	41.1 	31.8 	43.7 	18.0 	17.8 	5.7 	43.5 	27.1 	60.6 	58.0 	68.6 	53.1 	33.7 	0 
MV_AERO,DEG2,F,Y25-64,PC,2014	28.1 	29.0 	4.0 	24.4 	53.1 	47.1 	19.7 	26.7 	18.0 	27.4 	21.0 	21.7 	15.1 	22.9 	22.9 	11.5 	31.8 	30.0 	35.5 	50.8 	16.3 	14.9 	3.6 	38.0 	23.7 	56.6 	57.6 	58.5 	56.7 	36.3 	0 
MV_AERO,DEG2,F,Y35-44,PC,2014	25.0 	26.3 	6.5 	23.4 	52.5 	38.1 	25.8 	32.3 	19.9 	28.5 	14.3 	23.5 	15.4 	18.6 	31.9 	24.5 u	31.3 	28.6 	30.4 	50.8 	19.5 	13.8 	3.7 	37.8 	29.5 	54.2 	54.7 	52.0 	59.7 	37.4 	0 
MV_AERO,DEG2,F,Y45-54,PC,2014	30.0 	30.9 	0 	21.1 	56.6 	52.6 	21.4 	23.4 	14.5 	27.3 	22.3 	24.6 	13.5 	26.8 	15.0 	8.8 u	26.3 u	27.5 	37.8 	56.0 	16.9 	15.0 	3.4 	39.6 	20.0 	59.1 	54.6 	57.9 	56.2 	37.9 	0 
MV_AERO,DEG2,F,Y45-64,PC,2014	29.8 	30.6 	0.7 	19.5 	53.9 	52.9 	19.1 	22.2 	15.0 	26.4 	26.5 	20.0 	13.6 	26.3 	14.6 	5.1 	29.7 u	26.1 	39.8 	53.7 	13.9 	14.3 	2.6 	35.4 	18.4 	55.5 	58.6 	55.3 	56.7 	36.7 	0 
MV_AERO,DEG2,F,Y55-64,PC,2014	29.6 	30.2 	1.3 	17.8 	50.5 	53.3 	17.1 	20.7 u	15.5 	25.3 	30.6 	14.8 	13.8 	25.6 	14.1 	1.8 	34.7 u	24.8 	41.9 	50.6 	11.1 	13.5 	1.8 	30.6 	17.1 	52.3 	63.1 	52.3 	57.2 	35.4 	0 
MV_AERO,DEG2,F,Y65-74,PC,2014	25.6 	26.1 	0.9 	7.7 	59.1 	47.2 	12.0 	18.4 	3.1 	24.7 	25.9 	11.0 	11.2 	21.1 	8.6 	15.9 u	31.5 u	19.4 	32.9 	52.0 	7.1 	8.7 	0.9 	22.5 	12.8 	50.2 	55.5 	45.1 u	48.0 	29.3 	0 
MV_AERO,DEG2,F,Y_GE18,PC,2014	27.1 	27.6 	3.4 	21.9 	52.7 	46.1 	16.4 	24.2 	16.6 	26.1 	20.3 	18.6 	14.1 	22.3 	19.7 	11.2 	32.8 	26.6 	33.0 	49.2 	14.8 	13.1 	3.1 	34.0 	23.9 	55.4 	55.6 	55.9 	53.3 	32.2 	0 
MV_AERO,DEG2,F,Y_GE65,PC,2014	20.3 	20.6 	0.6 	6.3 	47.8 u	39.8 	7.0 	14.4 u	2.3 	17.9 	16.5 	7.5 	8.1 	16.0 	7.8 	6.4 	24.6 u	13.1 	24.3 	45.3 	5.4 	6.9 	0.5 	17.3 	9.9 	42.8 u	45.3 u	38.3 	39.7 	22.9 	0 
MV_AERO,DEG2,F,Y_GE75,PC,2014	14.3 	14.4 	0 	4.3 	31.1 u	32.2 	2.4 	8.1 u	1.4 	9.8 	6.2 	3.1 	4.8 	6.8 u	6.9 	0 	13.5 u	4.9 	12.7 	37.4 	3.3 	5.3 	0 	11.2 	6.0 	28.6 u	32.2 u	27.6 u	30.0 	15.2 	0 
MV_AERO,DEG2,M,TOTAL,PC,2014	37.1 	37.7 	16.6 	36.7 	53.5 	51.4 	33.5 	40.5 	24.0 	40.5 	34.6 	26.6 	25.4 	32.0 	26.6 	24.4 	45.7 u	35.3 	36.2 	54.3 	21.8 	25.3 	15.1 	50.3 	35.7 	59.2 	53.1 	55.3 	58.6 	42.7 	0 
MV_AERO,DEG2,M,Y15-24,PC,2014	58.1 	57.7 	55.4 	59.9 	73.9 u	70.1 	47.9 	74.9 u	49.7 	58.5 	49.1 	48.7 	50.5 	44.6 	50.3 	63.4 u	69.7 u	59.7 	42.7 	74.3 	48.0 	43.9 	37.8 	69.1 	65.4 	82.3 	70.6 	72.3 	74.0 	53.5 	0 
MV_AERO,DEG2,M,Y18-24,PC,2014	52.6 	52.5 	55.5 u	55.9 	70.0 u	62.4 	42.3 u	68.3 u	51.4 	58.9 	38.8 	46.0 	45.1 	40.3 	49.1 	: u	66.6 u	53.3 	43.8 	72.9 	41.6 	40.0 	35.6 	67.2 	64.8 	83.6 u	66.1 	67.2 	71.5 	50.6 	0 
MV_AERO,DEG2,M,Y18-29,PC,2014	48.9 	49.2 	45.5 	56.0 	58.9 	58.8 	42.0 	64.0 u	48.8 	55.8 	39.1 	36.0 	41.3 	41.0 	45.3 	44.4 u	61.3 	49.4 	41.9 	66.9 	33.3 	42.0 	28.9 	65.9 	55.5 	70.7 	63.6 	64.5 	68.3 	51.7 	0 
MV_AERO,DEG2,M,Y18-44,PC,2014	40.7 	41.3 	24.6 	49.3 	54.5 	51.0 	40.6 	51.2 u	34.6 	46.7 	34.4 	35.7 	32.9 	32.6 	35.1 	32.1 	49.6 	43.7 	39.6 	52.7 	26.9 	32.2 	20.3 	57.9 	44.8 	65.5 	54.6 	61.9 	59.7 	46.1 	0 
MV_AERO,DEG2,M,Y18-64,PC,2014	37.2 	38.1 	17.4 	41.3 	52.2 	49.9 	35.6 	39.9 	26.1 	41.7 	33.7 	27.6 	27.2 	29.9 	28.0 	22.9 	45.7 u	36.6 	37.5 	52.7 	21.6 	27.0 	16.0 	53.5 	37.9 	59.8 	52.3 	56.7 	60.4 	45.4 	0 
MV_AERO,DEG2,M,Y25-34,PC,2014	41.8 	42.1 	24.6 	54.7 	45.9 u	53.3 	42.9 	46.7 u	37.2 	51.8 	33.0 	32.0 	35.4 	34.3 	35.3 	23.8 u	46.9 	44.3 	42.1 	52.6 	20.3 	40.5 	17.4 	57.2 	45.5 	58.4 	57.2 	61.2 	54.5 	44.4 	0 
MV_AERO,DEG2,M,Y25-64,PC,2014	35.1 	36.0 	13.0 	39.5 	49.4 	48.0 	34.7 	34.3 	22.7 	39.6 	32.8 	24.7 	25.3 	28.1 	24.7 	18.5 	42.3 u	33.9 	36.2 	50.0 	19.0 	25.1 	12.8 	51.9 	33.3 	56.9 	49.9 	54.3 	58.5 	44.8 	0 
MV_AERO,DEG2,M,Y35-44,PC,2014	33.3 	34.6 	12.6 	42.0 	50.7 	40.5 	37.1 	43.5 u	24.3 	38.3 	32.7 	32.8 	26.4 	25.0 	24.4 	: u	41.6 	37.9 	33.0 	42.2 	25.9 	21.9 	14.1 	54.5 	32.1 	63.8 	44.0 	57.5 	56.7 	45.5 	0 
MV_AERO,DEG2,M,Y45-54,PC,2014	34.4 	35.7 	12.2 	37.1 	46.8 	47.5 	27.2 	26.0 	18.9 	39.6 	31.6 	19.5 	22.8 	22.3 	16.8 	11.2 u	36.4 u	32.5 	31.6 	52.7 	15.5 	18.8 	14.0 	50.6 	28.6 	55.6 	51.9 	47.3 	64.2 	47.8 	0 
MV_AERO,DEG2,M,Y45-64,PC,2014	33.0 	34.2 	8.6 	29.8 	49.8 	48.8 	29.2 	22.2 	15.0 	34.7 	32.8 	17.5 	21.2 	25.9 	18.7 	13.1 	39.7 u	27.0 	34.5 	52.6 	14.8 	18.4 	9.7 	47.7 	26.6 	53.1 	49.4 	48.9 	61.5 	44.6 	0 
